gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
114,α,1,0,1,α³,0,α,0,0
115,α²,1,0,α³,α⁴,0,α,0,0
116,α⁶,α³,0,α⁴,α⁴,0,α,0,0
117,α⁵,α⁵,0,α⁵,α⁴,0,α,0,0
118,α,α³,0,α,α⁵,0,α,0,0
119,α⁶,α⁴,0,α²,α⁵,0,α,0,0
120,α³,1,0,α⁵,α⁵,0,α,0,0
121,α⁵,α,0,α⁶,α⁵,0,α,0,0
122,α²,α²,0,1,α⁵,0,α,0,0
123,1,α²,0,α,α⁶,0,α,0,0
124,α⁴,1,0,α²,α⁶,0,α,0,0
125,α,α,0,α⁴,α⁶,0,α,0,0
126,α²,α⁶,0,α⁶,α⁶,0,α,0,0
127,α⁵,α³,0,1,α⁶,0,α,0,0
128,α⁵,1,0,α,1,0,α,0,0
129,α⁶,α⁶,0,α³,1,0,α,0,0
130,α⁴,α³,0,α⁵,1,0,α,0,0
131,1,α⁴,0,1,1,0,α,0,0
132,1,1,0,α⁴,α,0,α²,0,0
133,α³,α⁶,0,α⁵,α,0,α²,0,0
134,α⁵,α⁴,0,α⁶,α,0,α²,0,0
135,α⁵,α⁶,0,α,α²,0,α²,0,0
136,α⁶,1,0,α³,α²,0,α²,0,0
137,α²,α³,0,α⁴,α²,0,α²,0,0
138,α,α²,0,α⁶,α²,0,α²,0,0
139,1,α,0,1,α²,0,α²,0,0
140,α⁴,1,0,α,α³,0,α²,0,0
141,1,α²,0,α²,α³,0,α²,0,0
142,α²,α⁶,0,α³,α³,0,α²,0,0
143,α⁶,α⁵,0,α⁴,α³,0,α²,0,0
144,α⁵,α³,0,α⁵,α³,0,α²,0,0
145,α³,α⁵,0,α²,α⁴,0,α²,0,0
146,α⁴,α⁴,0,α³,α⁴,0,α²,0,0
147,α⁵,α²,0,α⁴,α⁴,0,α²,0,0
148,1,α³,0,α⁶,α⁴,0,α²,0,0
149,α,α⁶,0,1,α⁴,0,α²,0,0
150,α⁵,1,0,α²,α⁵,0,α²,0,0
151,α³,α,0,α⁴,α⁵,0,α²,0,0
152,1,α⁴,0,α⁵,α⁵,0,α²,0,0
153,α⁶,α⁶,0,α⁶,α⁵,0,α²,0,0
154,α⁴,α³,0,1,α⁵,0,α²,0,0
155,α³,α³,0,α,α⁶,0,α²,0,0
156,α²,α⁴,0,α²,α⁶,0,α²,0,0
157,1,α⁵,0,α³,α⁶,0,α²,0,0
158,α⁴,α,0,α⁶,α⁶,0,α²,0,0
159,α⁶,α²,0,1,α⁶,0,α²,0,0
160,α⁶,α⁴,0,α,1,0,α²,0,0
161,α,α³,0,α²,1,0,α²,0,0
162,α²,α²,0,α⁵,1,0,α²,0,0
163,α³,1,0,1,1,0,α²,0,0
164,α⁴,α,0,α,α,0,α³,0,0
165,1,α⁵,0,α²,α,0,α³,0,0
166,α²,α⁴,0,α³,α,0,α³,0,0
167,α³,α³,0,α⁶,α,0,α³,0,0
168,α²,α⁶,0,α²,α²,0,α³,0,0
169,1,α²,0,α³,α²,0,α³,0,0
170,α,α,0,α⁵,α²,0,α³,0,0
171,α⁴,1,0,α⁶,α²,0,α³,0,0
172,α⁶,α⁵,0,1,α²,0,α³,0,0
173,α,α²,0,α,α³,0,α³,0,0
174,α⁶,1,0,α²,α³,0,α³,0,0
175,1,α,0,α⁴,α³,0,α³,0,0
176,α³,α⁴,0,α⁵,α³,0,α³,0,0
177,α⁵,α⁶,0,α⁶,α³,0,α³,0,0
178,α²,α³,0,1,α³,0,α³,0,0
179,α⁵,α,0,α²,α⁴,0,α³,0,0
180,α³,1,0,α⁴,α⁴,0,α³,0,0
181,1,α⁶,0,α⁵,α⁴,0,α³,0,0
182,α⁶,α⁴,0,α⁶,α⁴,0,α³,0,0
183,α⁴,α⁶,0,α³,α⁵,0,α³,0,0
184,α⁵,α⁵,0,α⁴,α⁵,0,α³,0,0
185,α⁶,α³,0,α⁵,α⁵,0,α³,0,0
186,α⁵,α⁴,0,α,α⁶,0,α³,0,0
187,α⁶,α,0,α³,α⁶,0,α³,0,0
188,α⁴,α²,0,α⁵,α⁶,0,α³,0,0
