gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
104,α²,α⁵,1,α⁴,0,0,0,0,0
105,α⁷,α⁶,1,α⁴,0,0,0,0,0
106,α⁶,α⁷,1,α⁴,0,0,0,0,0
107,α⁴,α²,α,α⁵,0,0,0,0,0
108,α⁶,α³,α,α⁵,0,0,0,0,0
109,α²,α⁴,α,α⁵,0,0,0,0,0
110,1,α⁷,α,α⁵,0,0,0,0,0
111,α⁷,1,α,α⁵,0,0,0,0,0
112,α⁶,α²,α²,α⁵,0,0,0,0,0
113,α⁷,α³,α²,α⁵,0,0,0,0,0
114,1,α⁴,α²,α⁵,0,0,0,0,0
115,α,α⁵,α²,α⁵,0,0,0,0,0
116,α²,α⁶,α²,α⁵,0,0,0,0,0
117,α³,α⁷,α²,α⁵,0,0,0,0,0
118,α⁴,1,α²,α⁵,0,0,0,0,0
119,α²,α²,α³,α⁵,0,0,0,0,0
120,α⁴,α⁵,α³,α⁵,0,0,0,0,0
121,α,α⁷,α³,α⁵,0,0,0,0,0
122,α³,α,α⁴,α⁵,0,0,0,0,0
123,α⁵,α²,α⁴,α⁵,0,0,0,0,0
124,α²,α⁵,α⁴,α⁵,0,0,0,0,0
125,α⁷,α⁶,α⁴,α⁵,0,0,0,0,0
126,α⁶,α⁷,α⁴,α⁵,0,0,0,0,0
127,α³,α²,α⁵,α⁵,0,0,0,0,0
128,α⁵,α⁷,α⁵,α⁵,0,0,0,0,0
129,α³,α³,α⁶,α⁵,0,0,0,0,0
130,α⁶,α⁵,α⁶,α⁵,0,0,0,0,0
131,α²,1,α⁶,α⁵,0,0,0,0,0
132,α⁷,α²,α⁷,α⁵,0,0,0,0,0
133,1,α⁶,α⁷,α⁵,0,0,0,0,0
134,α²,α⁷,α⁷,α⁵,0,0,0,0,0
135,α⁶,1,α⁷,α⁵,0,0,0,0,0
136,1,α,1,α⁵,0,0,0,0,0
137,α⁵,α³,1,α⁵,0,0,0,0,0
138,α⁷,α⁴,1,α⁵,0,0,0,0,0
139,α³,α⁵,1,α⁵,0,0,0,0,0
140,α⁴,α⁷,1,α⁵,0,0,0,0,0
141,α²,α,α,α⁶,0,0,0,0,0
142,α,α²,α,α⁶,0,0,0,0,0
143,α⁶,α⁴,α,α⁶,0,0,0,0,0
144,1,α⁵,α,α⁶,0,0,0,0,0
145,α⁷,α⁷,α,α⁶,0,0,0,0,0
146,α⁵,1,α,α⁶,0,0,0,0,0
147,1,α,α²,α⁶,0,0,0,0,0
148,α⁵,α³,α²,α⁶,0,0,0,0,0
149,α³,α⁵,α²,α⁶,0,0,0,0,0
150,α⁴,α⁷,α²,α⁶,0,0,0,0,0
151,α⁵,α,α³,α⁶,0,0,0,0,0
152,α⁶,α²,α³,α⁶,0,0,0,0,0
153,1,α⁴,α³,α⁶,0,0,0,0,0
154,α,α⁵,α³,α⁶,0,0,0,0,0
155,α⁴,1,α³,α⁶,0,0,0,0,0
156,α⁴,α,α⁴,α⁶,0,0,0,0,0
157,α³,α³,α⁴,α⁶,0,0,0,0,0
158,α²,1,α⁴,α⁶,0,0,0,0,0
159,α²,α⁴,α⁵,α⁶,0,0,0,0,0
160,α⁵,α⁵,α⁵,α⁶,0,0,0,0,0
161,α,α,α⁶,α⁶,0,0,0,0,0
162,α⁷,α²,α⁶,α⁶,0,0,0,0,0
163,α⁴,α³,α⁶,α⁶,0,0,0,0,0
164,1,α⁶,α⁶,α⁶,0,0,0,0,0
165,α²,α⁷,α⁶,α⁶,0,0,0,0,0
166,α⁵,α²,α⁷,α⁶,0,0,0,0,0
167,α,α³,α⁷,α⁶,0,0,0,0,0
168,α⁷,α,1,α⁶,0,0,0,0,0
169,α²,α²,1,α⁶,0,0,0,0,0
170,1,α³,1,α⁶,0,0,0,0,0
171,α⁵,α⁴,1,α⁶,0,0,0,0,0
172,α⁴,α⁵,1,α⁶,0,0,0,0,0
173,α⁴,α,α,α⁷,0,0,0,0,0
174,1,α²,α,α⁷,0,0,0,0,0
175,α³,α³,α,α⁷,0,0,0,0,0
176,α,α⁴,α,α⁷,0,0,0,0,0
177,α⁶,α⁵,α,α⁷,0,0,0,0,0
178,α⁵,α⁶,α,α⁷,0,0,0,0,0
179,α²,1,α,α⁷,0,0,0,0,0
180,α⁶,α,α²,α⁷,0,0,0,0,0
181,α³,α²,α²,α⁷,0,0,0,0,0
182,α²,α³,α²,α⁷,0,0,0,0,0
183,α⁷,α⁵,α²,α⁷,0,0,0,0,0
184,α,α⁶,α²,α⁷,0,0,0,0,0
185,α⁵,α⁷,α²,α⁷,0,0,0,0,0
186,1,1,α²,α⁷,0,0,0,0,0
187,α²,α,α³,α⁷,0,0,0,0,0
188,α,α²,α³,α⁷,0,0,0,0,0
189,α⁶,α⁴,α³,α⁷,0,0,0,0,0
190,1,α⁵,α³,α⁷,0,0,0,0,0
191,α⁴,α⁶,α³,α⁷,0,0,0,0,0
192,α⁷,α⁷,α³,α⁷,0,0,0,0,0
193,α⁵,1,α³,α⁷,0,0,0,0,0
194,α⁵,α,α⁴,α⁷,0,0,0,0,0
195,α⁶,α²,α⁴,α⁷,0,0,0,0,0
196,α⁷,α³,α⁴,α⁷,0,0,0,0,0
197,1,α⁴,α⁴,α⁷,0,0,0,0,0
198,α,α⁵,α⁴,α⁷,0,0,0,0,0
199,α²,α⁶,α⁴,α⁷,0,0,0,0,0
200,α³,α⁷,α⁴,α⁷,0,0,0,0,0
201,α⁴,1,α⁴,α⁷,0,0,0,0,0
202,α³,α,α⁵,α⁷,0,0,0,0,0
203,α⁵,α²,α⁵,α⁷,0,0,0,0,0
204,α,α³,α⁵,α⁷,0,0,0,0,0
205,α²,α⁵,α⁵,α⁷,0,0,0,0,0
206,1,α,α⁶,α⁷,0,0,0,0,0
207,α⁵,α³,α⁶,α⁷,0,0,0,0,0
208,α⁷,α⁴,α⁶,α⁷,0,0,0,0,0
209,α³,α⁵,α⁶,α⁷,0,0,0,0,0
210,α⁶,α⁶,α⁶,α⁷,0,0,0,0,0
211,α,1,α⁶,α⁷,0,0,0,0,0
212,α⁷,α,α⁷,α⁷,0,0,0,0,0
213,α²,α²,α⁷,α⁷,0,0,0,0,0
214,α⁵,α⁴,α⁷,α⁷,0,0,0,0,0
215,α⁴,α⁵,α⁷,α⁷,0,0,0,0,0
216,α⁴,α²,1,α⁷,0,0,0,0,0
217,α⁶,α³,1,α⁷,0,0,0,0,0
218,α²,α⁴,1,α⁷,0,0,0,0,0
219,α⁵,α⁵,1,α⁷,0,0,0,0,0
220,α³,α⁶,1,α⁷,0,0,0,0,0
221,α⁷,1,1,α⁷,0,0,0,0,0
222,1,α,α,1,0,0,0,0,0
223,α⁵,α³,α,1,0,0,0,0,0
224,α⁷,α⁴,α,1,0,0,0,0,0
225,α³,α⁵,α,1,0,0,0,0,0
226,α⁶,α⁶,α,1,0,0,0,0,0
227,α⁴,α⁷,α,1,0,0,0,0,0
228,α,1,α,1,0,0,0,0,0
229,α³,α,α²,1,0,0,0,0,0
230,α⁵,α²,α²,1,0,0,0,0,0
231,α,α³,α²,1,0,0,0,0,0
232,α⁴,α⁴,α²,1,0,0,0,0,0
233,α²,α⁵,α²,1,0,0,0,0,0
234,α⁷,α⁶,α²,1,0,0,0,0,0
235,α⁶,α⁷,α²,1,0,0,0,0,0
236,α,α,α³,1,0,0,0,0,0
237,α⁷,α²,α³,1,0,0,0,0,0
238,α⁴,α³,α³,1,0,0,0,0,0
239,α³,α⁴,α³,1,0,0,0,0,0
240,α²,α⁷,α³,1,0,0,0,0,0
241,α⁶,1,α³,1,0,0,0,0,0
242,α⁶,α,α⁴,1,0,0,0,0,0
243,α³,α²,α⁴,1,0,0,0,0,0
244,α²,α³,α⁴,1,0,0,0,0,0
245,α⁷,α⁵,α⁴,1,0,0,0,0,0
246,α,α⁶,α⁴,1,0,0,0,0,0
247,α⁵,α⁷,α⁴,1,0,0,0,0,0
248,1,1,α⁴,1,0,0,0,0,0
249,α⁵,α,α⁵,1,0,0,0,0,0
250,α⁶,α²,α⁵,1,0,0,0,0,0
251,α⁷,α³,α⁵,1,0,0,0,0,0
252,1,α⁴,α⁵,1,0,0,0,0,0
253,α²,α⁶,α⁵,1,0,0,0,0,0
254,α³,α⁷,α⁵,1,0,0,0,0,0
255,α⁴,1,α⁵,1,0,0,0,0,0
256,α⁶,α³,α⁶,1,0,0,0,0,0
257,α²,α⁴,α⁶,1,0,0,0,0,0
258,1,α⁷,α⁶,1,0,0,0,0,0
259,α⁷,1,α⁶,1,0,0,0,0,0
260,α²,α,α⁷,1,0,0,0,0,0
261,α,α²,α⁷,1,0,0,0,0,0
262,α⁵,1,α⁷,1,0,0,0,0,0
263,α⁴,α,1,1,0,0,0,0,0
264,α³,α³,1,1,0,0,0,0,0
265,α⁵,α⁶,1,1,0,0,0,0,0
266,α²,1,1,1,0,0,0,0,0
267,0,α⁴,α,α,α,0,0,0,0
268,0,α²,α³,α,α,0,0,0,0
269,0,α⁵,α⁴,α,α,0,0,0,0
270,0,α³,α⁵,α,α,0,0,0,0
271,0,α⁷,α⁷,α,α,0,0,0,0
272,0,α³,α,α²,α,0,0,0,0
273,0,α²,α²,α²,α,0,0,0,0
274,0,α⁷,α⁴,α²,α,0,0,0,0
275,0,α,α⁵,α²,α,0,0,0,0
276,0,α⁵,α⁶,α²,α,0,0,0,0
277,0,α⁶,1,α²,α,0,0,0,0
278,0,α⁵,α²,α³,α,0,0,0,0
279,0,α⁷,α³,α³,α,0,0,0,0
280,0,α³,α⁴,α³,α,0,0,0,0
281,0,α⁶,α⁵,α³,α,0,0,0,0
