gene,block1,block2,block3,block4,block5
232,8,15,1,10,7
233,9,15,1,11,8
234,10,15,1,12,9
235,11,15,1,13,10
236,12,15,1,14,11
237,13,15,1,15,12
238,14,15,1,0,13
239,15,15,1,1,14
240,0,15,1,2,15
241,1,0,1,2,0
242,2,0,1,3,1
243,3,0,1,4,2
244,4,0,1,5,3
245,5,0,1,6,4
246,6,0,1,7,5
247,7,0,1,8,6
248,8,0,1,9,7
249,9,0,1,10,8
250,10,0,1,11,9
251,11,0,1,12,10
252,12,0,1,13,11
253,13,0,1,14,12
254,14,0,1,15,13
255,15,0,1,0,14
256,0,0,1,1,15
257,1,1,2,2,15
258,2,1,2,3,0
259,3,1,2,4,1
260,4,1,2,5,2
261,5,1,2,6,3
262,6,1,2,7,4
263,7,1,2,8,5
264,8,1,2,9,6
265,9,1,2,10,7
266,10,1,2,11,8
267,11,1,2,12,9
268,12,1,2,13,10
269,13,1,2,14,11
270,14,1,2,15,12
271,15,1,2,0,13
272,0,1,2,1,14
273,1,2,2,1,15
274,2,2,2,2,0
275,3,2,2,3,1
276,4,2,2,4,2
277,5,2,2,5,3
278,6,2,2,6,4
279,7,2,2,7,5
280,8,2,2,8,6
281,9,2,2,9,7
282,10,2,2,10,8
283,11,2,2,11,9
284,12,2,2,12,10
285,13,2,2,13,11
286,14,2,2,14,12
287,15,2,2,15,13
288,0,2,2,0,14
289,1,3,2,0,15
290,2,3,2,1,0
291,3,3,2,2,1
292,4,3,2,3,2
293,5,3,2,4,3
294,6,3,2,5,4
295,7,3,2,6,5
296,8,3,2,7,6
297,9,3,2,8,7
298,10,3,2,9,8
299,11,3,2,10,9
300,12,3,2,11,10
301,13,3,2,12,11
302,14,3,2,13,12
303,15,3,2,14,13
304,0,3,2,15,14
305,1,4,2,15,15
306,2,4,2,0,0
307,3,4,2,1,1
308,4,4,2,2,2
309,5,4,2,3,3
310,6,4,2,4,4
311,7,4,2,5,5
312,8,4,2,6,6
313,9,4,2,7,7
314,10,4,2,8,8
315,11,4,2,9,9
316,12,4,2,10,10
317,13,4,2,11,11
318,14,4,2,12,12
319,15,4,2,13,13
320,0,4,2,14,14
321,1,5,2,14,15
322,2,5,2,15,0
323,3,5,2,0,1
324,4,5,2,1,2
325,5,5,2,2,3
326,6,5,2,3,4
327,7,5,2,4,5
328,8,5,2,5,6
329,9,5,2,6,7
330,10,5,2,7,8
331,11,5,2,8,9
332,12,5,2,9,10
333,13,5,2,10,11
334,14,5,2,11,12
335,15,5,2,12,13
336,0,5,2,13,14
337,1,6,2,13,15
338,2,6,2,14,0
339,3,6,2,15,1
340,4,6,2,0,2
341,5,6,2,1,3
342,6,6,2,2,4
343,7,6,2,3,5
344,8,6,2,4,6
345,9,6,2,5,7
346,10,6,2,6,8
347,11,6,2,7,9
348,12,6,2,8,10
349,13,6,2,9,11
350,14,6,2,10,12
351,15,6,2,11,13
352,0,6,2,12,14
353,1,7,2,12,15
354,2,7,2,13,0
355,3,7,2,14,1
356,4,7,2,15,2
357,5,7,2,0,3
358,6,7,2,1,4
359,7,7,2,2,5
360,8,7,2,3,6
361,9,7,2,4,7
362,10,7,2,5,8
363,11,7,2,6,9
364,12,7,2,7,10
365,13,7,2,8,11
366,14,7,2,9,12
367,15,7,2,10,13
368,0,7,2,11,14
369,1,8,2,11,15
370,2,8,2,12,0
371,3,8,2,13,1
372,4,8,2,14,2
373,5,8,2,15,3
374,6,8,2,0,4
375,7,8,2,1,5
376,8,8,2,2,6
377,9,8,2,3,7
378,10,8,2,4,8
379,11,8,2,5,9
380,12,8,2,6,10
381,13,8,2,7,11
382,14,8,2,8,12
383,15,8,2,9,13
384,0,8,2,10,14
385,1,9,2,10,15
386,2,9,2,11,0
387,3,9,2,12,1
388,4,9,2,13,2
389,5,9,2,14,3
390,6,9,2,15,4
391,7,9,2,0,5
392,8,9,2,1,6
393,9,9,2,2,7
394,10,9,2,3,8
395,11,9,2,4,9
396,12,9,2,5,10
397,13,9,2,6,11
398,14,9,2,7,12
399,15,9,2,8,13
400,0,9,2,9,14
401,1,10,2,9,15
402,2,10,2,10,0
403,3,10,2,11,1
404,4,10,2,12,2
405,5,10,2,13,3
406,6,10,2,14,4
407,7,10,2,15,5
408,8,10,2,0,6
409,9,10,2,1,7
410,10,10,2,2,8
411,11,10,2,3,9
412,12,10,2,4,10
413,13,10,2,5,11
414,14,10,2,6,12
415,15,10,2,7,13
416,0,10,2,8,14
417,1,11,2,8,15
418,2,11,2,9,0
419,3,11,2,10,1
420,4,11,2,11,2
421,5,11,2,12,3
422,6,11,2,13,4
423,7,11,2,14,5
424,8,11,2,15,6
425,9,11,2,0,7
426,10,11,2,1,8
427,11,11,2,2,9
428,12,11,2,3,10
429,13,11,2,4,11
430,14,11,2,5,12
431,15,11,2,6,13
432,0,11,2,7,14
433,1,12,2,7,15
434,2,12,2,8,0
435,3,12,2,9,1
436,4,12,2,10,2
437,5,12,2,11,3
438,6,12,2,12,4
439,7,12,2,13,5
440,8,12,2,14,6
441,9,12,2,15,7
442,10,12,2,0,8
443,11,12,2,1,9
444,12,12,2,2,10
445,13,12,2,3,11
446,14,12,2,4,12
447,15,12,2,5,13
448,0,12,2,6,14
449,1,13,2,6,15
450,2,13,2,7,0
451,3,13,2,8,1
452,4,13,2,9,2
453,5,13,2,10,3
454,6,13,2,11,4
455,7,13,2,12,5
456,8,13,2,13,6
457,9,13,2,14,7
458,10,13,2,15,8
459,11,13,2,0,9
460,12,13,2,1,10
461,13,13,2,2,11
462,14,13,2,3,12
463,15,13,2,4,13
464,0,13,2,5,14
465,1,14,2,5,15
466,2,14,2,6,0
467,3,14,2,7,1
468,4,14,2,8,2
469,5,14,2,9,3
470,6,14,2,10,4
471,7,14,2,11,5
472,8,14,2,12,6
473,9,14,2,13,7
474,10,14,2,14,8
475,11,14,2,15,9
476,12,14,2,0,10
477,13,14,2,1,11
478,14,14,2,2,12
479,15,14,2,3,13
480,0,14,2,4,14
481,1,15,2,4,15
482,2,15,2,5,0
483,3,15,2,6,1
484,4,15,2,7,2
485,5,15,2,8,3
486,6,15,2,9,4
487,7,15,2,10,5
488,8,15,2,11,6
489,9,15,2,12,7
490,10,15,2,13,8
491,11,15,2,14,9
492,12,15,2,15,10
493,13,15,2,0,11
494,14,15,2,1,12
495,15,15,2,2,13
496,0,15,2,3,14
497,1,0,2,3,15
498,2,0,2,4,0
499,3,0,2,5,1
500,4,0,2,6,2
501,5,0,2,7,3
502,6,0,2,8,4
503,7,0,2,9,5
504,8,0,2,10,6
505,9,0,2,11,7
506,10,0,2,12,8
507,11,0,2,13,9
508,12,0,2,14,10
509,13,0,2,15,11
510,14,0,2,0,12
511,15,0,2,1,13
512,0,0,2,2,14
513,1,1,3,3,14
514,2,1,3,4,15
515,3,1,3,5,0
516,4,1,3,6,1
517,5,1,3,7,2
518,6,1,3,8,3
519,7,1,3,9,4
520,8,1,3,10,5
521,9,1,3,11,6
522,10,1,3,12,7
523,11,1,3,13,8
524,12,1,3,14,9
525,13,1,3,15,10
526,14,1,3,0,11
527,15,1,3,1,12
528,0,1,3,2,13
529,1,2,3,2,14
530,2,2,3,3,15
531,3,2,3,4,0
532,4,2,3,5,1
533,5,2,3,6,2
534,6,2,3,7,3
535,7,2,3,8,4
536,8,2,3,9,5
537,9,2,3,10,6
538,10,2,3,11,7
539,11,2,3,12,8
540,12,2,3,13,9
541,13,2,3,14,10
542,14,2,3,15,11
543,15,2,3,0,12
544,0,2,3,1,13
545,1,3,3,1,14
546,2,3,3,2,15
547,3,3,3,3,0
548,4,3,3,4,1
549,5,3,3,5,2
550,6,3,3,6,3
551,7,3,3,7,4
552,8,3,3,8,5
553,9,3,3,9,6
554,10,3,3,10,7
555,11,3,3,11,8
556,12,3,3,12,9
557,13,3,3,13,10
558,14,3,3,14,11
559,15,3,3,15,12
560,0,3,3,0,13
561,1,4,3,0,14
562,2,4,3,1,15
563,3,4,3,2,0
564,4,4,3,3,1
565,5,4,3,4,2
566,6,4,3,5,3
567,7,4,3,6,4
568,8,4,3,7,5
569,9,4,3,8,6
570,10,4,3,9,7
571,11,4,3,10,8
572,12,4,3,11,9
573,13,4,3,12,10
574,14,4,3,13,11
575,15,4,3,14,12
576,0,4,3,15,13
577,1,5,3,15,14
578,2,5,3,0,15
579,3,5,3,1,0
580,4,5,3,2,1
581,5,5,3,3,2
582,6,5,3,4,3
583,7,5,3,5,4
584,8,5,3,6,5
585,9,5,3,7,6
586,10,5,3,8,7
587,11,5,3,9,8
588,12,5,3,10,9
589,13,5,3,11,10
590,14,5,3,12,11
591,15,5,3,13,12
592,0,5,3,14,13
593,1,6,3,14,14
594,2,6,3,15,15
595,3,6,3,0,0
596,4,6,3,1,1
597,5,6,3,2,2
598,6,6,3,3,3
599,7,6,3,4,4
600,8,6,3,5,5
601,9,6,3,6,6
602,10,6,3,7,7
603,11,6,3,8,8
604,12,6,3,9,9
605,13,6,3,10,10
606,14,6,3,11,11
607,15,6,3,12,12
608,0,6,3,13,13
609,1,7,3,13,14
610,2,7,3,14,15
611,3,7,3,15,0
612,4,7,3,0,1
613,5,7,3,1,2
614,6,7,3,2,3
615,7,7,3,3,4
616,8,7,3,4,5
617,9,7,3,5,6
618,10,7,3,6,7
619,11,7,3,7,8
620,12,7,3,8,9
621,13,7,3,9,10
622,14,7,3,10,11
623,15,7,3,11,12
624,0,7,3,12,13
625,1,8,3,12,14
626,2,8,3,13,15
627,3,8,3,14,0
628,4,8,3,15,1
629,5,8,3,0,2
630,6,8,3,1,3
631,7,8,3,2,4
632,8,8,3,3,5
633,9,8,3,4,6
634,10,8,3,5,7
635,11,8,3,6,8
636,12,8,3,7,9
637,13,8,3,8,10
638,14,8,3,9,11
639,15,8,3,10,12
640,0,8,3,11,13
641,1,9,3,11,14
642,2,9,3,12,15
643,3,9,3,13,0
644,4,9,3,14,1
645,5,9,3,15,2
646,6,9,3,0,3
647,7,9,3,1,4
648,8,9,3,2,5
649,9,9,3,3,6
650,10,9,3,4,7
651,11,9,3,5,8
652,12,9,3,6,9
653,13,9,3,7,10
654,14,9,3,8,11
655,15,9,3,9,12
656,0,9,3,10,13
657,1,10,3,10,14
658,2,10,3,11,15
659,3,10,3,12,0
660,4,10,3,13,1
661,5,10,3,14,2
662,6,10,3,15,3
663,7,10,3,0,4
664,8,10,3,1,5
665,9,10,3,2,6
666,10,10,3,3,7
667,11,10,3,4,8
668,12,10,3,5,9
669,13,10,3,6,10
670,14,10,3,7,11
671,15,10,3,8,12
672,0,10,3,9,13
673,1,11,3,9,14
674,2,11,3,10,15
675,3,11,3,11,0
676,4,11,3,12,1
677,5,11,3,13,2
678,6,11,3,14,3
679,7,11,3,15,4
680,8,11,3,0,5
681,9,11,3,1,6
682,10,11,3,2,7
683,11,11,3,3,8
684,12,11,3,4,9
685,13,11,3,5,10
686,14,11,3,6,11
687,15,11,3,7,12
688,0,11,3,8,13
689,1,12,3,8,14
690,2,12,3,9,15
691,3,12,3,10,0
692,4,12,3,11,1
693,5,12,3,12,2
694,6,12,3,13,3
695,7,12,3,14,4
696,8,12,3,15,5
697,9,12,3,0,6
698,10,12,3,1,7
699,11,12,3,2,8
700,12,12,3,3,9
701,13,12,3,4,10
702,14,12,3,5,11
703,15,12,3,6,12
704,0,12,3,7,13
705,1,13,3,7,14
706,2,13,3,8,15
707,3,13,3,9,0
708,4,13,3,10,1
709,5,13,3,11,2
710,6,13,3,12,3
711,7,13,3,13,4
712,8,13,3,14,5
713,9,13,3,15,6
714,10,13,3,0,7
715,11,13,3,1,8
716,12,13,3,2,9
717,13,13,3,3,10
718,14,13,3,4,11
719,15,13,3,5,12
720,0,13,3,6,13
721,1,14,3,6,14
722,2,14,3,7,15
723,3,14,3,8,0
724,4,14,3,9,1
