gene,Block1,Block2,Block3,Block4
Stk25,15,2,4,13
Stk32c,10,10,5,15
Stk38,4,15,16,3
Stk38l,3,13,3,13
Stk40,19,5,3,1
Stoml1,4,9,6,7
Stra6,4,12,13,3
Strada,3,5,13,15
Stradb,9,11,2,18
Strap,3,9,1,11
Strip2,0,17,9,8
Strn3,17,17,6,8
Strn4,8,5,9,4
Stt3a,17,7,10,14
Stt3b,11,15,14,12
Stx16,9,3,4,8
Stx18,7,17,3,1
Stx6,2,6,5,3
Stx8,16,19,4,11
Stxbp1,14,14,4,4
Stxbp4,18,1,11,8
Stxbp6,1,0,8,13
Suclg2,18,6,8,16
Sult4a1,8,12,4,16
Sult6b1,19,7,15,11
Supt7l,19,0,12,7
Surf4,17,3,15,5
Surf6,3,18,7,14
Susd4,19,5,16,8
