,hyb,x,y,z,x_SE,y_SE,z_SE,n_matches
0,0,5.214039762506112,3.4620138209188513,0.0,0.06307550852093503,0.029966425784058438,0.0,112
1,1,3.1692987922882097,0.6633164198798642,0.0,0.05485604827930374,0.026507776781344763,0.0,119
2,2,1.843514295936054,-0.32979531821471125,0.0,0.023828465573687868,0.01317192048154357,0.0,118
3,3,2.129508399515822,-0.5847065663089784,0.0,0.05064865674237014,0.018639043486104276,0.0,114
4,4,1.3170203730915542,-0.9493139393099932,0.0,0.028162542500411124,0.013679680873302126,0.0,115
5,5,1.4640360733328466,-1.4288355899604954,0.0,0.01530085616655666,0.012158152987139393,0.0,114
6,6,1.3033573315634992,-1.9786195509500215,0.0,0.014531851360728548,0.012344058664272406,0.0,115
7,7,1.6309645511952982,-2.373602656639273,0.0,0.012626096937066155,0.009871847128653018,0.0,115
8,8,-0.17077577940954927,-1.0765763727826774,0.0,0.020891213683806198,0.010351131487811046,0.0,119
9,9,0.16310333231495022,-1.2929742483557374,0.0,0.04705715664833689,0.0156821840813315,0.0,116
10,10,1.5047597976375326,-2.724811066624416,0.0,0.022041760537386518,0.010667823952482508,0.0,122
11,11,0.11572762374227986,-0.9824821153728845,0.0,0.012275679550825758,0.009268377385885512,0.0,118
12,12,0.3138871564342665,-0.4450513147905775,0.0,0.010881505381180588,0.00833468889047432,0.0,119
13,13,1.1423755689856925,-0.0880472176077264,0.0,0.047840350790214654,0.015560680327127634,0.0,119
14,14,0.7590844412824114,0.1985137341553971,0.0,0.02712017205109337,0.010884655373982964,0.0,121
15,15,0.7841569720522232,-0.014305548828741074,0.0,0.010297134840333308,0.008554015206576225,0.0,117
16,16,1.5815587601718706,-1.2056919305261415,0.0,0.05216539318630823,0.016573207572307597,0.0,113
17,17,0.5047328552010395,-1.352072750363939,0.0,0.044865754141088954,0.013627367227793577,0.0,115
18,18,0.6032822540854578,-1.537864043693547,0.0,0.014134640877431928,0.008298699815904241,0.0,117
19,19,0.08311104240775888,-1.444138112778145,0.0,0.01637217624014748,0.009905662645437234,0.0,119
20,20,0.2515342717423318,-1.6631942944886504,0.0,0.010792966498506208,0.007936742808213212,0.0,118
21,21,0.12206521679211084,-1.1901312194678448,0.0,0.021115707302221953,0.00975409238416529,0.0,120
22,22,-0.13647229807788822,-1.3489803528977033,0.0,0.014622231921585809,0.008483407275798247,0.0,118
23,23,-0.7186786207724273,-1.3806028120221523,0.0,0.028695181758593317,0.011360344556288947,0.0,118
24,24,0.528341719313308,-0.7521989533046953,0.0,0.04324460668179836,0.014476529770484236,0.0,118
25,25,-0.03551956674546152,-0.2903052685187143,0.0,0.011188877792648844,0.007747904275439633,0.0,123
26,26,0.9193937124510458,0.39457618955059925,0.0,0.014063103950144741,0.007825481251017653,0.0,118
27,27,1.2966472734090573,0.4128270224266345,0.0,0.04054970185636138,0.014410709401153379,0.0,119
28,28,0.5000092200900645,-0.07431654718104229,0.0,0.02961540127856311,0.012001912756687355,0.0,119
29,29,1.1430612240111961,0.5097207735443732,0.0,0.009136204774377493,0.006843840008180189,0.0,117
30,30,0.8524157060663319,0.4402957253076944,0.0,0.02743348393361015,0.010234412570650523,0.0,118
31,31,0.8018031129460097,0.6699476303137052,0.0,0.012850989622129218,0.0072355601832316575,0.0,117
32,32,0.6848578451860864,0.643831535259929,0.0,0.03631394895131,0.013342419124951,0.0,119
33,33,0.8067198760132683,0.9168969548728806,0.0,0.024212796229557517,0.010985279607318956,0.0,120
34,34,1.0293873004543748,1.439845989867027,0.0,0.04820317530726092,0.01781443555415541,0.0,112
35,35,1.7690417372807588,-1.6941937708885295,0.0,0.05089460162031733,0.01799767722232849,0.0,109
36,36,1.4086298574741807,-2.728493188319605,0.0,0.05030661332344445,0.017299607626037914,0.0,111
37,37,0.25475420143495403,-2.6904854726244145,0.0,0.019711889154679918,0.008728610937662064,0.0,120
38,38,0.08503712884843248,-2.458821855913797,0.0,0.0429027009814563,0.015224733143099987,0.0,115
39,39,1.0243602968676713,-3.2333756665620523,0.0,0.008761395437031862,0.007306332310675365,0.0,121
40,40,1.5642670217140011,-3.233430022173157,0.0,0.03702122883872267,0.014596251073478672,0.0,121
41,41,1.2562244694913267,-3.687906772702243,0.0,0.04325485977816223,0.015748943836618,0.0,116
42,42,0.14091180626882804,-2.7533454467876686,0.0,0.007753108254246974,0.006866704491998056,0.0,119
43,43,-0.19987589280422494,-2.197410851142193,0.0,0.009556213273090461,0.006804005743335325,0.0,123
44,44,1.1202483060158108,-2.9905319368935097,0.0,0.048992912746563116,0.01601661274639163,0.0,109
45,45,-0.3490515995117407,-2.4633681268541765,0.0,0.031996275876348595,0.011938239162519095,0.0,118
46,46,1.4784629185054692,-4.061656593452438,0.0,0.04238394227677432,0.0143755111689113,0.0,112
47,47,0.7334989509552122,-3.6093274778687667,0.0,0.008397889016494764,0.007436694327753221,0.0,121
48,48,0.7477636672715625,-3.6389857724499963,0.0,0.009131961379560863,0.006580815169162264,0.0,118
49,49,0.42431173701538805,-3.3332438504868036,0.0,0.023426365514842805,0.009216919088549344,0.0,119
50,50,1.3710488653946615,-3.0696158548141375,0.0,0.041842085826444844,0.015094052841363384,0.0,115
51,51,0.2805558637562623,-1.3142456866830499,0.0,0.01445460370566373,0.007537328337137636,0.0,123
