gene,gene_number,cpath,cost,x,y
Vim,261,"[44524, 67492, 73067, 98529]",1.018101222,856.2628032,1085.62903
Lmna,77,"[23674, 76122, 86756, 108503]",1.018692351,811.0985388,1342.718361
negative_control,1899,"[22494, 39920, 58399, 69738]",1.018764002,804.1346897,1198.041833
Srebf2,215,"[28717, 41972, 72688, 90289]",1.018805103,763.3941737,1254.680006
Mrpl37,99,"[40109, 66181, 80315, 92744]",1.018964161,862.3583935,1362.98593
St13,220,"[32825, 42685, 55035, 62080]",1.020080233,1021.05682,1033.560819
Prmt1,153,"[34205, 62260, 99130, 110037]",1.020410173,725.704486,1394.842461
Sae1,199,"[35881, 45117, 65586, 109082]",1.020607389,742.483013,1356.756107
Hdgf,56,"[25512, 45680, 64110, 107695]",1.02112369,914.042908,1103.442753
Cct5,10,"[34994, 71555, 74080, 88720]",1.021299894,856.4028654,1069.36182
Spp1,214,"[664, 49391, 53980, 65000]",1.021425667,849.8969877,1143.389943
negative_control,1954,"[14538, 16116, 34056, 58883]",1.021512593,1038.082804,1095.29027
Myc,117,"[2498, 21743, 30870, 105633]",1.022402988,904.3837783,1280.633892
negative_control,1014,"[4753, 42160, 63904, 92461]",1.022472293,813.7470182,1354.616131
Gsto1,54,"[38535, 81837, 94779, 106076]",1.023298151,749.057799,1277.668501
Stip1,221,"[15001, 31476, 73810, 103551]",1.023367287,793.928765,1360.794315
negative_control,1324,"[16336, 39758, 50275, 78212]",1.023736575,759.0693999,1308.831742
Ssrp1,219,"[32333, 75566, 96851, 104558]",1.024363534,834.2632992,1234.35619
Tspan3,245,"[2041, 25153, 65922, 84227]",1.02446791,816.2575747,1098.484586
negative_control,1495,"[45838, 61963, 73325, 106553]",1.025427067,980.9115619,1203.008031
Pkm,144,"[4590, 20014, 90408, 92305]",1.025492155,792.9148502,1376.403704
Sfpq,206,"[32190, 54713, 74787, 86727]",1.026180505,801.8141139,1115.790395
Sfpq,206,"[32746, 54967, 75355, 87139]",1.026795279,987.4666712,1095.136827
Cox7a2l,18,"[5853, 47735, 52282, 88987]",1.027289244,1107.463036,1133.507627
Ptgs1,169,"[37264, 44138, 59071, 63698]",1.027362341,756.8282496,1247.036638
negative_control,1057,"[17778, 34017, 74507, 86330]",1.027567036,1027.100712,1120.235484
Sec13,204,"[50814, 65278, 98776, 107848]",1.028536355,973.3783232,1056.680608
Vim,261,"[44631, 67610, 73170, 98645]",1.02887035,917.8661697,1297.435294
Ctbp1,24,"[27359, 61347, 79099, 90105]",1.028964776,1044.889806,1166.949601
Pkm,144,"[4780, 20211, 90515, 92497]",1.030350972,818.1280838,1303.247817
Ybx1,263,"[62597, 76038, 101837, 111623]",1.030811969,798.6060366,1177.749427
Hspa8,62,"[22649, 56672, 93807, 110587]",1.030898824,840.5147395,1010.858248
Ptges3,168,"[5890, 17938, 40516, 106830]",1.030902156,694.8670715,1375.895087
Snx5,212,"[15521, 40149, 82422, 92833]",1.031111938,883.9494842,1226.6228
Neat1,125,"[3283, 30339, 77192, 88487]",1.03147276,756.2419704,974.6703082
Spp1,214,"[1097, 49681, 54296, 65225]",1.031739363,952.4387732,1126.086323
Ybx1,263,"[63214, 76904, 102545, 112265]",1.032424872,998.9297752,1066.305508
Mrps9,111,"[33994, 58021, 90044, 94118]",1.032574333,1021.150367,1200.814666
Fus,47,"[52161, 72287, 77931, 93353]",1.033794489,1008.759137,1103.399804
St13,220,"[32851, 42712, 55058, 62106]",1.034099595,1035.379648,1173.491941
Rpl18a,187,"[27773, 30596, 48038, 96694]",1.034340967,817.9722967,1324.706153
Lmna,77,"[23351, 75767, 86472, 108295]",1.034623441,738.3087375,1311.320524
Ctbp1,24,"[26684, 60684, 78551, 89504]",1.034945339,836.6716413,1413.172291
Ubxn1,253,"[24549, 31276, 58113, 79944]",1.035273196,705.2682217,1405.437542
Ppm1g,150,"[1247, 25748, 61215, 79769]",1.036789851,988.8585826,1051.26066
Cct8,11,"[17073, 71642, 75596, 83426]",1.040187908,875.327045,1104.055912
Vim,261,"[44666, 67645, 73201, 98680]",1.040753941,937.5551523,1272.763209
Tpi1,237,"[8821, 75825, 94801, 110126]",1.040978089,755.6630202,1338.193575
Thy1,228,"[37475, 87730, 92349, 103572]",1.041280559,798.8249433,1145.354761
Ncl,121,"[14764, 28655, 99178, 106990]",1.0414185,749.2502225,1295.142303
negative_control,1744,"[8852, 16371, 47848, 105193]",1.041485416,765.3480784,1330.532459
G3bp1,49,"[38670, 56410, 89228, 108396]",1.041488658,784.1812021,1388.448635
Lrrc59,79,"[38386, 77067, 85585, 112391]",1.041593598,1056.224735,1084.988542
Malat1,83,"[12338, 17740, 47075, 66800]",1.041644906,1017.050965,1195.205459
Prrc2a,158,"[11175, 46068, 61361, 90123]",1.043604514,1059.855825,1180.32596
Cct3,9,"[6291, 52514, 81122, 100741]",1.044679155,809.7263678,1364.489832
Polr2m,149,"[39678, 42743, 60178, 79137]",1.044704483,1068.756322,1123.977687
Rpl15,186,"[49212, 55459, 100760, 107371]",1.045171432,812.6506195,1395.240005
Ppp2r1a,151,"[35751, 41778, 77967, 86328]",1.046129518,1024.861259,1175.615661
Rcc2,183,"[19997, 42068, 55384, 94315]",1.046451549,790.5993204,1174.022415
Tbrg1,225,"[80129, 90448, 93710, 111649]",1.046514234,803.9973262,1180.554726
Ywhah,266,"[27958, 59574, 76396, 85195]",1.048412261,858.8008697,1253.018307
Prpsap1,156,"[27790, 51472, 68541, 100796]",1.048413158,821.3997996,1114.875284
Spp1,214,"[1304, 49857, 54431, 65375]",1.049098313,1004.281856,1189.165754
Prps2,155,"[14221, 41567, 57912, 89878]",1.049165751,969.4905479,1098.458482
Lmna,77,"[23835, 76309, 86851, 108594]",1.049476284,839.0851729,1093.294129
Polr2m,149,"[38435, 41877, 58960, 78024]",1.050051025,677.6292016,1440.503664
Got2,51,"[7273, 34194, 89027, 92012]",1.050835123,717.2015029,1403.021298
negative_control,354,"[26771, 54801, 102097, 109475]",1.052337694,852.5347706,1058.474906
Ndufs2,122,"[3237, 18023, 82961, 98076]",1.052468285,739.3354448,1358.893925
Tomm40,235,"[24959, 78334, 83091, 92260]",1.05254663,786.7673693,1147.548585
Vat1,259,"[21247, 38415, 90145, 105110]",1.052911966,1127.8974,1092.952933
Emp1,39,"[5684, 23101, 45949, 84628]",1.053531942,1011.710454,1092.917299
Ugdh,255,"[7084, 23145, 47674, 67924]",1.053955827,1022.016121,1202.116598
Maged1,82,"[58786, 74444, 86280, 103976]",1.054592471,1000.987016,1205.633965
St13,220,"[32820, 42681, 55029, 62069]",1.055434854,1018.030653,1212.159982
negative_control,853,"[5154, 55629, 64078, 107630]",1.057006863,886.4934619,1310.09148
negative_control,1512,"[12388, 88324, 101326, 108079]",1.057383731,1027.5357,1090.85884
Malat1,83,"[12026, 17320, 46804, 66455]",1.057700996,930.8183689,1283.444255
Stip1,221,"[15166, 31519, 73918, 103616]",1.057919139,814.7947507,1381.84718
Rpl18a,187,"[27459, 30303, 47796, 96141]",1.058150501,744.8460884,1307.58499
Vim,261,"[44820, 67817, 73371, 98851]",1.058678615,997.2638614,1225.51184
Aqp1,5,"[12966, 31416, 80036, 81939]",1.058680053,777.3879093,1229.829799
Vim,261,"[44498, 67456, 73043, 98502]",1.058892293,849.3261026,989.4882018
Eef1g,28,"[4762, 26561, 38852, 62682]",1.059593675,815.1129126,1085.396439
Prpsap1,156,"[27772, 51449, 68525, 100785]",1.060616877,818.1409858,1018.179033
Pkm,144,"[5455, 20891, 90875, 93144]",1.060975559,960.6292054,1216.369686
negative_control,1207,"[9359, 54952, 67768, 106553]",1.061083154,980.5356513,1203.039016
Psap,160,"[26487, 64814, 74773, 109245]",1.061085598,799.6768973,1153.747718
Psma7,161,"[45168, 59064, 85688, 96200]",1.061463761,755.1241897,972.4111639
Nr2f2,129,"[24990, 44284, 81047, 87689]",1.063643412,790.7120243,1195.310207
negative_control,755,"[18033, 80852, 81824, 104171]",1.064991587,743.566531,1374.884359
negative_control,664,"[27118, 44722, 63083, 102397]",1.065339523,963.0958745,1074.148867
Arf1,6,"[28640, 60267, 86495, 98101]",1.065678358,745.4587796,952.2263021
Fus,47,"[51414, 71205, 77386, 92443]",1.066506311,811.7525501,1148.285261
Pcdhgc3,138,"[36001, 42011, 80034, 96333]",1.06736423,775.9992677,1202.082851
Fkbp8,45,"[12785, 59034, 96153, 110089]",1.067621484,747.2178176,1371.63152
Tsc22d1,244,"[12723, 22122, 34206, 61412]",1.068112215,726.3278956,1354.176893
Maged1,82,"[58350, 73804, 85805, 103545]",1.068337435,791.6903025,1163.767611
Myh9,118,"[37616, 41045, 71306, 107420]",1.069244582,822.9135572,1152.431777
Kars,72,"[46223, 80927, 83013, 99229]",1.069313746,762.8899618,1350.91071
Prpsap1,156,"[28090, 51791, 68877, 101023]",1.070061439,904.0461276,1289.454756
Ptgs1,169,"[37738, 44481, 59511, 64012]",1.070826371,844.9724105,1060.633401
H1f0,55,"[38902, 45469, 67359, 101958]",1.072855184,823.3211483,1141.720139
Rpl15,186,"[48853, 55209, 100530, 106999]",1.07339383,751.2957294,1302.97438
Tsc22d1,244,"[14295, 22976, 35599, 61967]",1.074489493,983.2742331,1116.040539
St13,220,"[32700, 42576, 54945, 61947]",1.074738268,973.8758186,1085.749028
Tsc22d1,244,"[14448, 23116, 35715, 62061]",1.075779309,1015.046432,1098.117934
Clta,15,"[47480, 54810, 68730, 109488]",1.076568988,855.2081731,1348.534016
Rpl15,186,"[49298, 55512, 100827, 107452]",1.076691478,828.1724462,1372.95475
Got2,51,"[7264, 34177, 89013, 91993]",1.076857552,705.4279592,1391.470482
negative_control,1564,"[37344, 63764, 98206, 102908]",1.077051776,774.3535206,1365.487418
Txn2,248,"[22956, 33815, 87110, 91719]",1.077544163,977.9488283,1015.186691
Mrfap1,89,"[22745, 68797, 73098, 86932]",1.077704321,879.9850636,1338.405221
Lrrc59,79,"[37552, 76120, 85064, 111681]",1.077973027,811.2221414,1109.249658
Ywhag,265,"[4021, 27285, 47042, 78970]",1.078232741,1004.946048,1120.72142
St13,220,"[32018, 41955, 54602, 61487]",1.078615137,756.4275551,1323.387041
Fkbp9,46,"[37388, 53733, 60392, 109179]",1.079445169,783.1727568,1287.591083
Trap1,240,"[14809, 48903, 79291, 106110]",1.080005041,758.8043462,1315.47486
Hdgf,56,"[25250, 45505, 63980, 107475]",1.080236715,833.9557941,1364.204504
negative_control,787,"[35715, 66794, 84640, 101303]",1.080603923,1015.289535,1098.502369
Emp1,39,"[4551, 22399, 45314, 84124]",1.080926021,787.6523017,1206.765605
negative_control,385,"[36406, 74944, 89530, 107505]",1.082304073,840.7061419,1360.55819
negative_control,447,"[24399, 62068, 75430, 88292]",1.082500285,1018.209167,1109.915073
Thy1,228,"[37385, 87638, 92234, 103506]",1.082506743,782.2122289,1198.068153
Hdgf,56,"[24875, 45253, 63766, 107152]",1.082704225,775.2566929,1384.940411
U2af2,249,"[7910, 30780, 59592, 70031]",1.082751409,867.3939814,1085.53847
Gas1,50,"[7607, 31496, 61663, 79446]",1.083079299,806.8409218,1132.439481
Nedd4,126,"[6298, 25118, 38827, 48010]",1.083099468,810.6510979,1095.750386
Ybx1,263,"[62858, 76392, 102119, 111882]",1.083431962,857.8263078,1104.609342
Hspa8,62,"[22222, 56245, 93561, 110117]",1.083576449,754.0835347,1252.430689
Il1rl1,69,"[12378, 25948, 95957, 109949]",1.084719831,1025.255671,1190.046395
Mta1,113,"[57594, 67359, 78506, 107423]",1.085095773,822.8305154,1141.567505
Uqcrq,257,"[8387, 21968, 44791, 64263]",1.085971398,989.1421435,1073.28179
negative_control,1807,"[49391, 53980, 79548, 88708]",1.086796784,850.2283683,1143.562486
Idh2,65,"[16191, 58955, 63542, 87370]",1.086982936,657.1805516,1438.919743
Rnf11,185,"[34889, 60690, 89511, 105458]",1.087708737,837.4067961,1031.046408
Cct5,10,"[35535, 72088, 74350, 88861]",1.088965977,968.9174432,1153.941363
Hspa8,62,"[22512, 56555, 93726, 110410]",1.089011753,808.7856857,1379.921538
Hnrnpk,59,"[9736, 28607, 46154, 79229]",1.089581539,734.9631913,1314.376288
Myh9,118,"[38371, 41827, 72421, 108155]",1.090364364,1045.917761,1177.346189
Maged1,82,"[58340, 73791, 85797, 103542]",1.09047337,789.8548596,1107.671706
Npc2,128,"[13591, 20413, 99745, 105506]",1.090790086,849.4819128,1225.359102
Prrx1,159,"[1586, 44074, 62291, 85651]",1.090841192,737.9236319,1383.124514
Vim,261,"[44148, 67078, 72663, 98155]",1.091703676,758.5058356,1297.754033
Eef1g,28,"[4932, 26701, 38997, 62784]",1.091804347,839.302106,1036.035994
Eif4g2,38,"[26968, 33642, 56840, 90777]",1.09223332,919.9844568,1066.592271
Eif4b,37,"[8657, 32889, 47739, 78013]",1.093243817,638.6107736,1484.262782
Rpsa,197,"[2376, 18901, 97101, 104674]",1.093559635,877.7012113,1316.402114
Vim,261,"[44774, 67777, 73329, 98804]",1.095092254,982.6157503,1101.896835
Npc2,128,"[13453, 20287, 99641, 105429]",1.095146195,831.1300549,1225.797627
Puf60,171,"[28253, 43695, 89849, 91685]",1.095203741,959.8012313,1034.026782
Cnn2,16,"[12146, 50811, 70420, 102438]",1.095333896,972.691796,1224.610306
Prrc2a,158,"[11005, 45882, 61231, 89958]",1.096013239,994.7103962,1065.257997
negative_control,1425,"[29872, 59900, 63087, 90883]",1.096244565,964.908251,1080.953447
Ssr2,217,"[37637, 45487, 79501, 84256]",1.096479827,826.9283451,1324.758456
Zfp36l2,270,"[35822, 79933, 82916, 97940]",1.0965689,1060.931367,1180.617128
Vim,261,"[44613, 67592, 73154, 98626]",1.097684244,906.4651286,1083.038984
Lrrc59,79,"[38317, 76975, 85527, 112323]",1.098010997,1016.042493,1085.457609
Mrps31,109,"[28413, 54446, 88943, 108022]",1.098147544,1013.171201,1185.728141
Ybx1,263,"[62646, 76093, 101877, 111661]",1.098365513,807.0091592,1037.215123
Cnn2,16,"[12217, 50857, 70510, 102522]",1.098439527,993.9720279,1116.400035
Rpl18a,187,"[27542, 30390, 47874, 96308]",1.099824641,772.7957567,1288.146479
Fus,47,"[51130, 70769, 77176, 92080]",1.100092412,748.32854,1308.342784
Il1rl1,69,"[12017, 25541, 95608, 109680]",1.100177367,928.4185636,1279.619523
Psmd7,165,"[16080, 67926, 83830, 105938]",1.100339497,1022.970849,1131.734689
negative_control,1232,"[4837, 40010, 79500, 87834]",1.100482081,825.4391193,1350.678967
Tubb5,246,"[13199, 63870, 78409, 101848]",1.100721416,801.667923,1380.205233
Fus,47,"[52225, 72374, 77974, 93430]",1.100749876,1029.591385,1137.939417
Oaf,133,"[22905, 59868, 61911, 79701]",1.100851252,956.2068882,1107.082359
Myh9,118,"[37505, 40928, 71129, 107332]",1.100904889,802.5532379,1076.940556
negative_control,375,"[14679, 42770, 90180, 106871]",1.101208378,715.6978675,1352.929188
Eif4g2,38,"[26303, 33048, 56258, 90261]",1.101904745,756.1505104,960.9154015
negative_control,2019,"[62638, 79440, 87754, 107339]",1.10604646,804.9694644,1363.604792
Mtch1,115,"[14502, 40474, 85551, 98972]",1.106513722,1028.062626,1121.973789
Skp1a,207,"[35874, 63627, 80831, 104158]",1.106911197,736.2238189,1363.190792
Lmna,77,"[24440, 77036, 87299, 109031]",1.107546603,1037.770945,1096.252968
Mdh2,85,"[37075, 62085, 75441, 100389]",1.110001663,1025.424079,1086.895782
Rpl18a,187,"[27678, 30510, 47964, 96533]",1.110013719,799.5385018,1303.983747
Igfbp6,68,"[8819, 18078, 73671, 99195]",1.111612004,754.2474541,1300.904156
Mrpl37,99,"[40223, 66421, 80447, 92967]",1.111950483,922.5361375,1094.801423
Nap1l1,120,"[39547, 52887, 65368, 83789]",1.112921224,1002.338089,1075.731342
Eif4g2,38,"[26599, 33376, 56599, 90524]",1.113001418,820.7178412,1383.668345
Spp1,214,"[224, 49012, 53711, 64717]",1.113186341,776.4167341,1174.426191
Morf4l2,88,"[11497, 27538, 55286, 96301]",1.113380117,771.1287911,1343.935425
Vat1,259,"[20290, 37663, 89481, 104543]",1.114074602,831.5838362,1106.886009
Ncl,121,"[15955, 30020, 100259, 107915]",1.114847362,992.5540068,1023.687424
Sf3b2,205,"[41028, 58445, 78488, 87807]",1.114902833,820.0984545,1358.099503
negative_control,1383,"[22624, 53939, 64945, 103041]",1.115795683,836.5133002,1127.573205
Vim,261,"[44615, 67597, 73156, 98630]",1.116311504,909.9373956,1093.992879
Vim,261,"[44340, 67286, 72875, 98331]",1.116325139,804.7804897,1002.241411
Polr2m,149,"[38717, 42078, 59242, 78368]",1.116365016,792.6010208,1135.220997
Thy1,228,"[37817, 87967, 92780, 103740]",1.117450319,871.380862,1331.789721
Rcn3,184,"[18866, 39126, 55602, 87963]",1.117452623,869.6508387,1102.99734
Cited2,13,"[19683, 32897, 72489, 96052]",1.118494969,684.4576283,1409.68417
Mrpl4,101,"[6679, 53345, 71779, 76541]",1.118931027,907.4593212,1081.47071
Hdgf,56,"[25882, 45954, 64336, 108031]",1.118988151,1014.39471,1101.395614
Aco2,2,"[13354, 23732, 79483, 107404]",1.119370629,819.5718985,1085.111759
negative_control,1209,"[8810, 72630, 89105, 108311]",1.119395632,751.9790812,1390.103176
Lrrc59,79,"[37846, 76457, 85230, 111927]",1.119410783,878.7655793,1330.393737
Hspa8,62,"[22284, 56319, 93580, 110160]",1.11981242,766.2789499,1351.123787
Ube2m,252,"[4581, 24995, 80085, 93663]",1.120234406,791.6276416,1387.139982
negative_control,964,"[40444, 44887, 67887, 104009]",1.120404419,1012.549674,1158.497457
negative_control,1987,"[52874, 79781, 98835, 104960]",1.120419768,993.9849814,1110.8664
Ptges3,168,"[5970, 18033, 40618, 106968]",1.120545451,743.8060339,1374.545203
Ctbp1,24,"[26600, 60618, 78496, 89423]",1.120697187,821.2384109,1116.980037
Oxct1,134,"[15115, 34654, 68464, 109291]",1.121038113,808.7967194,1121.082931
Lmna,77,"[24412, 76999, 87253, 109009]",1.121205305,1022.770262,1088.561287
Spp1,214,"[782, 49482, 54068, 65069]",1.121222289,876.1025077,1118.045532
Got2,51,"[7544, 34544, 89288, 92314]",1.121814351,794.2444954,1221.330505
Vim,261,"[44579, 67555, 73116, 98597]",1.123247856,887.4468698,1096.625688
Nudt9,132,"[48634, 52261, 66881, 108179]",1.123719257,1055.760427,1124.430131
Hdgf,56,"[25709, 45834, 64230, 107868]",1.124268853,979.4790541,1047.784158
Msn,112,"[25863, 33948, 88270, 108006]",1.124712429,1011.016942,1143.098609
Efemp2,30,"[21385, 43004, 65797, 87714]",1.125753611,795.9463912,1094.34354
Ctbp1,24,"[27317, 61290, 79015, 90036]",1.126276548,1017.512949,1134.842288
Thy1,228,"[38358, 88344, 93442, 104054]",1.126537685,1035.164627,1149.147164
Rad21,176,"[16612, 51362, 73847, 102966]",1.126780812,801.0934283,1033.553482
Eif3i,36,"[9518, 30185, 63385, 108129]",1.126898014,1038.52232,1110.634491
Mrpl45,105,"[10869, 15829, 93159, 103191]",1.126900309,964.9771652,1145.594606
Nr4a1,130,"[3372, 44253, 84959, 107216]",1.128288599,784.4267114,1031.873876
Cnn2,16,"[11739, 50518, 69822, 101931]",1.128974498,818.4012484,1051.26909
Morf4l2,88,"[11268, 27418, 55120, 96071]",1.129374241,708.810205,1375.222934
Tubb5,246,"[13560, 64009, 78589, 102060]",1.129624755,844.5807886,1373.175436
Sfpq,206,"[32161, 54695, 74756, 86691]",1.129700837,794.792374,1357.299057
Pkm,144,"[4501, 19933, 90354, 92226]",1.130034992,781.1350701,1018.643904
Psma7,161,"[45035, 58958, 85601, 96046]",1.13022197,672.257688,1408.413346
Stip1,221,"[16008, 31815, 74452, 103984]",1.131509424,1003.679997,1103.123482
Efemp2,30,"[22039, 43952, 66869, 88375]",1.131695018,1046.077374,1184.38299
Tubb5,246,"[14152, 64185, 78818, 102375]",1.131760595,957.4744436,1067.739367
Hdgf,56,"[25720, 45844, 64242, 107873]",1.131786553,981.6469235,1027.880961
Vim,261,"[44902, 67900, 73462, 98929]",1.131892271,1017.080825,1162.772064
negative_control,298,"[1585, 22155, 44075, 72581]",1.132044088,738.0991017,1370.878916
Psmd7,165,"[15386, 67452, 83344, 105503]",1.132528302,848.4460771,1372.163444
negative_control,1734,"[12855, 58236, 64649, 87549]",1.132717565,761.6258604,1359.893753
Ptgs2,170,"[21326, 77244, 94880, 108368]",1.133131978,776.3463012,1216.353152
Fkbp4,44,"[59743, 65150, 78740, 86084]",1.133521505,914.9246561,1072.88252
Eef1g,28,"[5768, 27341, 39630, 63364]",1.134376525,1033.940521,1088.849946
Raly,177,"[22343, 45259, 56367, 75920]",1.135022309,776.4757688,1199.234526
Ehmt2,31,"[8784, 41931, 52996, 79248]",1.135082036,745.8232862,1290.089102
Spp1,214,"[1108, 49680, 54295, 65227]",1.135276444,952.8093038,1257.543451
Uba1,250,"[59295, 69720, 101847, 102967]",1.13668408,801.7590001,1349.874494
Ncl,121,"[14707, 28589, 99134, 106905]",1.137127112,728.8333018,1375.753954
Hnrnpk,59,"[11171, 30218, 47145, 79930]",1.138721166,1058.974116,1132.782855
Pkm,144,"[5512, 20950, 90901, 93208]",1.138850801,972.9492207,1237.984954
Vim,261,"[44965, 67980, 73520, 99013]",1.13938424,1037.993577,1163.695772
Rpsa,197,"[2435, 18963, 97158, 104695]",1.139877207,890.501879,1259.459464
Tpm1,238,"[4392, 70831, 87554, 103428]",1.140294628,762.606825,1273.046211
Npc2,128,"[12637, 19679, 99071, 105111]",1.141205532,627.1793786,1469.964488
Pdia6,142,"[7762, 29189, 66027, 82231]",1.141250967,831.7128707,1141.934413
negative_control,2022,"[72862, 86726, 94343, 107325]",1.141270422,801.6021209,1180.412267
Mrps2,107,"[7083, 16071, 32826, 84657]",1.142474051,1021.806647,1180.584115
Pkm,144,"[5361, 20786, 90832, 93050]",1.142725853,940.9030775,1232.534202
Vim,261,"[44789, 67791, 73344, 98818]",1.143252425,987.7205762,1080.24544
Eef1g,28,"[4340, 26290, 38541, 62340]",1.143387052,750.3688954,957.1273009
Neat1,125,"[3782, 30890, 77674, 88782]",1.143864335,910.3567269,1223.316231
Eef1g,28,"[5177, 26892, 39184, 62933]",1.144098875,892.5458999,1095.650217
Lrrc59,79,"[38140, 76761, 85406, 112164]",1.145088984,967.3909936,1042.735525
Emp1,39,"[4651, 22488, 45388, 84181]",1.145289366,801.473832,1180.352346
negative_control,609,"[27691, 45388, 78410, 86726]",1.146666705,801.9010543,1180.238249
Vim,261,"[44272, 67207, 72802, 98263]",1.146826318,790.0232964,1106.93123
Npc2,128,"[14040, 20768, 100042, 105710]",1.147204607,936.4856109,1216.291753
Ptgs1,169,"[38172, 44749, 59933, 64222]",1.147270873,974.4182501,1239.01003
Tpm1,238,"[4444, 70891, 87602, 103471]",1.147808871,773.4591173,1339.860135
Msn,112,"[24654, 32986, 87464, 106953]",1.148480719,741.4447109,1350.89077
Ssrp1,219,"[32063, 75510, 96314, 104264]",1.148701512,773.3373564,1358.744491
Psmd4,164,"[40544, 79950, 84825, 94718]",1.148790628,717.590288,1342.942075
Tbrg1,225,"[80131, 90449, 93711, 111651]",1.14919226,804.2513274,1144.195014
Cct5,10,"[34428, 70939, 73742, 88517]",1.149339089,779.0913251,1344.117131
Fus,47,"[52280, 72463, 78008, 93488]",1.149821115,1091.672012,1154.883176
Mrfap1,89,"[22479, 68410, 72859, 86720]",1.150018767,800.5712674,1152.944927
Eef1g,28,"[4804, 26595, 38883, 62703]",1.150138126,820.1474547,1066.578063
Rps15a,191,"[28508, 55088, 81745, 106754]",1.150859301,1074.940602,1091.251392
Tmbim6,230,"[37051, 58825, 65402, 108993]",1.150876118,1013.603457,1198.200447
negative_control,1865,"[40311, 45773, 56929, 65243]",1.150982181,958.7254784,1130.313843
Rpl21,188,"[9745, 48809, 52990, 94751]",1.151147639,739.0779299,1315.649698
Cct5,10,"[35793, 72410, 74531, 88972]",1.151496818,1039.149569,1076.285987
Cct5,10,"[34159, 70643, 73595, 88424]",1.151725086,694.9331754,1435.399106
Hspa8,62,"[22639, 56671, 93809, 110586]",1.152462147,840.3637982,1349.743851
Lmna,77,"[23523, 75988, 86664, 108409]",1.152731237,789.1055879,1047.725435
Cs,20,"[33768, 52818, 61129, 95742]",1.152742909,965.4529477,1066.220176
negative_control,1698,"[22851, 44664, 82592, 95642]",1.152913849,936.5739607,1069.879062
Eif3d,33,"[24685, 28652, 59038, 96159]",1.154384496,748.5775611,1385.231013
Igfbp6,68,"[9190, 18852, 74099, 99810]",1.15559226,865.0305317,1123.123918
Rad21,176,"[17550, 52050, 74386, 103209]",1.155936977,977.9426286,1075.590649
Hdgf,56,"[25245, 45503, 63973, 107471]",1.156364568,833.1351092,1385.020707
Hdgf,56,"[25272, 45515, 63992, 107491]",1.156860452,838.0558592,1050.45987
negative_control,1093,"[20406, 29298, 57682, 83345]",1.157141985,848.6347101,1310.182133
Lmna,77,"[24375, 76953, 87208, 108986]",1.157552413,1009.340886,1109.928635
Csnk1a1,22,"[32408, 56731, 60786, 87936]",1.158226383,856.5621642,1017.658234
Il1rl1,69,"[12010, 25530, 95593, 109673]",1.159019855,923.9207608,1066.37019
negative_control,2079,"[58376, 61636, 81073, 98304]",1.159721266,797.4115283,1158.663897
Actn4,3,"[12264, 24350, 58793, 62017]",1.160565885,1003.133177,1075.347029
negative_control,1395,"[22507, 79448, 87764, 98340]",1.162100926,807.8544854,1349.97727
Vim,261,"[44417, 67370, 72959, 98414]",1.162900372,824.7464667,1388.716486
negative_control,1838,"[9819, 21290, 83013, 103433]",1.163319813,763.1488726,1350.357794
negative_control,1806,"[49404, 52634, 71531, 87920]",1.163374869,852.0694425,1044.856919
Psmd4,164,"[41457, 80479, 85339, 95648]",1.163585712,939.7299638,1258.303111
Ddx17,26,"[32980, 56189, 101515, 106943]",1.166955848,737.9456347,1400.929885
negative_control,497,"[31387, 68223, 80011, 107115]",1.167104496,768.2859589,1393.217302
Mdh2,85,"[37103, 62120, 75464, 100426]",1.167575433,1043.80419,1163.500888
Oxct1,134,"[14688, 34201, 68091, 109065]",1.167962153,719.1093839,1333.080086
Kars,72,"[46265, 80980, 83053, 99302]",1.168062866,776.7278102,1050.734042
Efemp2,30,"[21569, 43285, 66095, 87890]",1.16816334,842.8673562,1085.443797
Hnrnpk,59,"[10077, 28990, 46399, 79442]",1.168184023,805.3651403,1380.469467
Fkbp9,46,"[38108, 54310, 61108, 109768]",1.168345372,957.902698,1210.268257
Oxct1,134,"[16029, 35697, 69256, 109924]",1.168639893,1009.645992,1125.46749
Fkbp4,44,"[59164, 64733, 78301, 85762]",1.168897792,780.2333173,1103.210975
Lrrc59,79,"[37321, 75882, 84921, 111486]",1.169212083,770.2294828,1179.563284
Rnf11,185,"[35817, 61357, 90119, 105972]",1.170500187,1054.029255,1062.081181
Rcc2,183,"[21229, 42735, 56019, 94663]",1.171098116,1059.719544,1146.65051
Vim,261,"[44868, 67870, 73423, 98902]",1.171670899,1008.281175,1178.198417
Vim,261,"[44338, 67281, 72873, 98328]",1.172213815,803.9995796,1104.54993
negative_control,1386,"[22617, 76279, 96843, 105440]",1.172429794,833.843878,1103.927205
Timp2,229,"[31440, 62534, 87668, 101765]",1.173519059,786.586143,1136.071949
Aebp1,4,"[2372, 29432, 43408, 83429]",1.173596889,876.1711416,1245.59353
Hnrnpk,59,"[10148, 29072, 46445, 79475]",1.174092851,815.6990422,1131.241311
Vim,261,"[44405, 67353, 72946, 98397]",1.174595232,821.8686395,1148.997761
Gpi1,52,"[19424, 57960, 70484, 97676]",1.176607667,987.4067691,1073.173789
Ywhah,266,"[27713, 59327, 76094, 85049]",1.17703216,807.3894829,1166.379797
