gene,gene_number,cpath,cost,x,y
Zfp36l2,270,"[34799, 79496, 82193, 96768]",0.193081385,824.507105,1101.975161
Spp1,214,"[245, 49036, 53722, 64735]",0.194288889,779.8952095,1376.652139
Gas1,50,"[8499, 31849, 62066, 79853]",0.194797192,1017.296086,1190.314231
Tbrg1,225,"[80556, 90885, 94014, 112157]",0.195033287,966.5120111,1151.069183
Tubb5,246,"[13051, 63822, 78332, 101761]",0.196652251,786.4643602,1101.235764
Npc2,128,"[14214, 20928, 100166, 105814]",0.197306896,968.3039274,1217.979223
Hspa9,63,"[17768, 75439, 88958, 104034]",0.198727623,1024.658445,1047.198929
Hspa8,62,"[22655, 56682, 93815, 110593]",0.19906935,843.1099666,975.7281234
Taldo1,223,"[10961, 40377, 95818, 107887]",0.203378793,984.8100408,1056.008184
Maged1,82,"[58417, 73894, 85869, 103602]",0.204549919,810.76642,1012.256711
negative_control,543,"[19888, 47875, 75511, 99288]",0.205474434,773.6400988,1316.104836
Ssrp1,219,"[32519, 75604, 97197, 104717]",0.20665715,899.3344892,1165.672473
Ncl,121,"[16159, 30222, 100446, 108195]",0.207095227,1062.729528,1070.639705
Hspa8,62,"[22837, 56854, 93953, 110879]",0.20897081,929.1748918,1062.306097
Rpl18a,187,"[28152, 30935, 48358, 97331]",0.209487001,926.8157783,1216.243071
Clta,15,"[47428, 54755, 68563, 109362]",0.209918933,824.1070738,1390.879896
Arpc2,7,"[7244, 14642, 87371, 108253]",0.211380002,658.7609735,1458.86721
Sfpq,206,"[32532, 54863, 75125, 86980]",0.211853887,907.4780683,1079.936683
Vim,261,"[44007, 66940, 72513, 98001]",0.213029316,705.8251078,1395.170759
Maged1,82,"[58175, 73640, 85660, 103366]",0.213055342,742.7231422,1365.988131
Pkm,144,"[5178, 20586, 90723, 92861]",0.213331192,892.8205644,1198.725019
Vim,261,"[43992, 66927, 72493, 97979]",0.213532532,692.4456047,1410.848613
Jun,70,"[23702, 64875, 84223, 107388]",0.21365428,815.2025992,1120.419835
Vim,261,"[44888, 67888, 73443, 98917]",0.213919129,1012.806064,1044.870416
Fbln2,42,"[3051, 21176, 87279, 108096]",0.214359014,1031.556632,1031.219106
Mrps18b,106,"[38091, 51959, 66558, 100113]",0.214550697,953.9901711,1063.412797
Arf1,6,"[30229, 61369, 87354, 99067]",0.214577735,1094.466483,1089.707011
Vim,261,"[44570, 67543, 73106, 98586]",0.215112192,882.9443286,1091.995924
Rcc2,183,"[20432, 42288, 55573, 94430]",0.215366795,853.3604346,1344.155422
Arf1,6,"[29312, 60757, 86879, 98506]",0.21559539,850.4390747,1076.562911
Ptgs1,169,"[38245, 44808, 60015, 64277]",0.217212747,994.4039809,1053.162816
Mrfap1,89,"[22063, 68057, 72480, 86377]",0.218137692,676.0237497,1404.48032
Rbbp7,181,"[57135, 77958, 100378, 106655]",0.223299108,1021.211681,1202.378002
Arf1,6,"[29070, 60586, 86776, 98378]",0.223392931,815.6131143,1086.370015
Mrpl38,100,"[3931, 38154, 49731, 69097]",0.22355814,970.4259915,1072.164582
Tbrg1,225,"[80043, 90349, 93616, 111527]",0.22446176,778.8588811,1139.761869
Ly6e,81,"[47356, 64771, 79389, 108413]",0.224713762,789.3320825,1104.33576
Rcn3,184,"[18861, 39123, 55598, 87961]",0.224779646,868.0667353,1089.940703
Oaf,133,"[23102, 60076, 62051, 79833]",0.225237715,1011.693011,1163.228346
Ncl,121,"[14818, 28708, 99224, 107067]",0.225487317,761.2325042,1338.140686
Lmna,77,"[23307, 75709, 86394, 108260]",0.227291519,703.0705808,1410.978867
Ltbp3,80,"[1329, 17723, 76964, 101298]",0.228007796,1013.310359,1237.252709
Vim,261,"[45009, 68034, 73576, 99060]",0.229155001,1075.699338,1125.036077
Actn4,3,"[11272, 23315, 58121, 61394]",0.229942575,710.721238,1377.755205
Eif3e,34,"[7689, 82165, 96712, 105392]",0.230361557,819.7297771,1097.867433
Myc,117,"[2315, 21620, 30761, 105533]",0.231438671,861.1360245,1247.662048
Vim,261,"[44474, 67435, 73019, 98479]",0.23178402,843.7292381,976.7390841
Ssr3,218,"[49960, 80701, 102698, 109954]",0.234344336,1029.481224,1194.072036
Ncl,121,"[16010, 30070, 100314, 107978]",0.23434928,1004.675023,1029.592922
Vim,261,"[44697, 67682, 73237, 98719]",0.234434618,952.8717637,1050.024609
Txn2,248,"[23128, 33980, 87237, 91809]",0.234442682,1018.541133,1108.290387
Vat1,259,"[20104, 37510, 89335, 104411]",0.23512227,803.8333129,1094.003247
Rps6ka6,194,"[14898, 40766, 53714, 68268]",0.235869328,777.5582659,1295.474659
Hspd1,64,"[13555, 45534, 77502, 85164]",0.236985841,844.0926065,1043.575425
U2af2,249,"[7441, 30406, 59146, 69585]",0.237984688,776.0660594,1299.893576
Igfbp4,67,"[16579, 49143, 55408, 80106]",0.238325615,797.6818674,1072.703902
Arf1,6,"[29220, 60687, 86843, 98452]",0.23847393,837.4056739,1077.952339
Vim,261,"[43994, 66931, 72496, 97984]",0.238766782,696.2446793,1375.908079
Csnk2b,23,"[48867, 75501, 83988, 91267]",0.240286324,753.4364829,1324.264434
Gsto1,54,"[39619, 82880, 95972, 106680]",0.240952986,1030.654324,1034.800178
Lamp1,74,"[33834, 48507, 58741, 69157]",0.242302874,983.6117135,1070.67783
Cox7a2l,18,"[4612, 47370, 51333, 88558]",0.242792588,796.3820364,1210.737266
Fus,47,"[51653, 71579, 77551, 92739]",0.244398448,861.0985366,1088.976331
Vim,261,"[44386, 67332, 72930, 98382]",0.245435092,816.4636848,1119.87132
Tsc22d1,244,"[14561, 23232, 35804, 62122]",0.245747868,1046.310264,1125.656049
Vim,261,"[44973, 67996, 73532, 99024]",0.247011499,1043.318669,1162.97786
negative_control,1104,"[4044, 32814, 48574, 101298]",0.2475991,1013.383146,1237.180167
Spon2,213,"[32177, 53106, 76043, 103573]",0.248738516,798.9862321,1111.147918
Got2,51,"[7823, 34925, 89540, 92655]",0.249141156,843.0818179,1145.713022
Sdc4,202,"[28062, 33600, 47516, 54848]",0.250402118,896.1128957,1137.264098
Vat1,259,"[19745, 37201, 89068, 104160]",0.251063369,738.3757277,1377.049129
Ptgs2,170,"[21654, 77583, 95408, 108678]",0.252278577,873.3672874,1252.588312
Vim,261,"[44141, 67072, 72659, 98145]",0.254607634,757.0308687,1269.615093
Cct5,10,"[34934, 71482, 74057, 88698]",0.256095685,845.0030054,1081.786201
Eif4g2,38,"[26215, 32900, 56084, 90154]",0.25611068,686.0082504,1393.01563
Ly6e,81,"[47445, 64937, 79511, 108575]",0.257443241,831.9635059,1096.783508
Gpi1,52,"[17996, 57355, 69461, 96102]",0.258169176,728.9729266,1337.652358
Hspd1,64,"[12653, 45032, 77106, 84810]",0.259377128,664.2726924,1432.932239
St13,220,"[32485, 42355, 54835, 61814]",0.261093501,883.4715898,1111.521577
Ubxn1,253,"[25306, 31582, 58487, 80260]",0.261489062,843.6185691,1365.502613
Ehmt2,31,"[8669, 41874, 52965, 79174]",0.262626381,662.1593339,1430.488898
Ptgs1,169,"[38092, 44699, 59857, 64173]",0.26264218,953.8764128,1255.883715
Prrc2a,158,"[10094, 45403, 60539, 89351]",0.263554165,807.1213171,1023.532311
Got2,51,"[8595, 35820, 90124, 93469]",0.26529431,1059.586169,1095.970279
Rps15a,191,"[27564, 54645, 80986, 106164]",0.266213251,777.2980492,997.4834244
Snrnp70,210,"[53554, 73521, 95984, 112368]",0.267398653,1038.232488,1077.434699
Ptbp1,167,"[16389, 34377, 53682, 81912]",0.267676561,769.7457559,1345.294082
Prrx1,159,"[1529, 43998, 62199, 85611]",0.2677799,698.5247632,1403.375361
Cs,20,"[33297, 52488, 60522, 95060]",0.26926365,803.8960888,1120.185634
Sf3b2,205,"[40515, 58100, 78030, 87375]",0.270309634,691.4974779,1417.691133
Maged1,82,"[58931, 74547, 86363, 104093]",0.270663175,1074.663085,1148.906394
Sfpq,206,"[32819, 55028, 75427, 87234]",0.271835842,1016.635058,1083.619724
Vim,261,"[44350, 67297, 72884, 98338]",0.273002068,807.2216174,1146.091268
Tubb5,246,"[14436, 64328, 78993, 102610]",0.274159026,1011.717103,1067.393914
Vim,261,"[44862, 67865, 73417, 98895]",0.274186851,1006.823694,1038.472728
Vim,261,"[44491, 67450, 73036, 98489]",0.274775425,847.4183263,1042.443863
Mrfap1,89,"[22337, 68261, 72737, 86603]",0.276032974,775.8413985,1004.123768
Hnrnpk,59,"[9838, 28740, 46232, 79326]",0.276393814,768.204104,1376.506448
Vat1,259,"[20481, 37803, 89607, 104647]",0.278207691,864.0761608,1306.341251
Ybx1,263,"[62538, 75976, 101769, 111563]",0.278510657,787.3649198,1069.66253
Loxl1,78,"[35972, 48966, 55273, 69554]",0.278515502,768.8457215,1251.296663
Ncl,121,"[14630, 28519, 99072, 106784]",0.278747762,632.6837877,1472.252399
Tomm40,235,"[25682, 78850, 83704, 93206]",0.279001569,972.4255653,1023.366317
Ndufv1,124,"[31163, 52190, 63303, 104014]",0.280768104,1017.306202,1145.558301
Rps15a,191,"[27887, 54786, 81226, 106341]",0.280815374,841.632677,1017.997628
Zyx,271,"[23554, 40877, 84153, 94323]",0.281061554,794.2816979,1184.395556
Rbm3,182,"[57270, 79145, 87347, 91929]",0.281842443,1078.438469,1131.287134
Vim,261,"[44425, 67382, 72968, 98422]",0.282382226,827.5637146,1046.235259
Ehmt2,31,"[8962, 42073, 53081, 79397]",0.283725875,791.0996501,1108.407909
Vim,261,"[44025, 66953, 72529, 98021]",0.284457607,715.2075641,1398.841601
Vim,261,"[44840, 67840, 73391, 98870]",0.285673139,1001.856179,1099.163614
Vim,261,"[44726, 67717, 73268, 98752]",0.287430899,964.3101353,1235.664988
Kars,72,"[46612, 81289, 83391, 99803]",0.287535571,861.3760516,1089.511332
Psap,160,"[26385, 64726, 74691, 109166]",0.287903954,778.5801576,1150.300073
Fkbp4,44,"[60130, 65460, 79066, 86339]",0.288009453,1032.845247,1165.355568
Lmna,77,"[23313, 75714, 86404, 108263]",0.288308253,708.7426896,1367.536847
Lrrc59,79,"[38301, 76959, 85519, 112312]",0.288496817,1012.586531,1060.927758
Rad21,176,"[16756, 51479, 73962, 103015]",0.288567943,822.8642985,1231.127469
Tsc22d1,244,"[13859, 22798, 35205, 61834]",0.289000611,900.7200741,1056.475583
Vim,261,"[44257, 67183, 72786, 98246]",0.28933632,785.8502694,1211.914954
Gpi1,52,"[18187, 57432, 69584, 96332]",0.290950042,775.6484526,1381.923761
Khdrbs1,73,"[1197, 69124, 90909, 107857]",0.29142783,975.7949089,1051.588159
Gas1,50,"[7481, 31437, 61579, 79372]",0.292489464,784.7506806,1366.838619
Nr2f2,129,"[25268, 44444, 81210, 87868]",0.293033865,836.4451577,1109.010757
Mrfap1,89,"[22370, 68293, 72769, 86629]",0.293856652,782.2693901,1018.838271
Polr2m,149,"[39447, 42572, 59925, 78853]",0.293968346,972.5610875,1038.895333
Timp2,229,"[31871, 63348, 88332, 102697]",0.294371834,1029.344997,1162.2607
Ptgs2,170,"[21591, 77523, 95310, 108626]",0.294770973,849.7155356,1129.924638
Lmna,77,"[23660, 76106, 86749, 108490]",0.295759046,808.5731562,1047.444499
Ybx1,263,"[62995, 76603, 102285, 112044]",0.296556979,925.5893836,1069.471985
Emp1,39,"[4487, 22350, 45271, 84079]",0.296643337,779.1361337,1173.137345
Hspd1,64,"[14579, 46062, 77998, 85584]",0.299050972,1055.776669,1186.260321
St13,220,"[32367, 42263, 54793, 61755]",0.300454994,843.4654473,1075.193129
Eef1g,28,"[4799, 26591, 38879, 62701]",0.300971595,819.7750688,1433.795719
Eef1g,28,"[4613, 26469, 38745, 62582]",0.301421166,796.2105272,1095.888168
Ywhaz,268,"[5590, 67797, 85471, 102505]",0.30206368,989.8892738,1061.080113
Ptgs2,170,"[21713, 77632, 95480, 108721]",0.303735601,893.8527181,1241.740152
Polr2e,148,"[18760, 41162, 64995, 81254]",0.304760598,848.5158336,977.3997939
Vim,261,"[44773, 67776, 73330, 98803]",0.305810192,982.4872234,1032.091323
Vim,261,"[44628, 67612, 73169, 98644]",0.306947583,917.6484753,1291.233583
