gene,gene_number,cpath,cost,x,y,z,cellid,cc,cc_size,pos,cell,lvf,zvf,wf,svf,dr
Xdh,262,"[42757, 68065, 79941, 99092]",0.5280997556684868,692.805840938284,1414.1325739363626,0.0,1,1,2,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[25, 16206, 51055, 70644]",2.8827570273403174,695.5514894576747,1390.1031607993218,0.0,1,2,1,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[28, 14660, 88427, 96062]",2.2177376320837268,701.8773118340328,1376.492374371814,0.0,1,3,1,0,1,7.0,1.0,0.0,0.0,0
Ncl,121,"[14673, 28558, 99108, 106862]",0.9161390748044138,711.9378352871896,1414.1856002248308,0.0,1,4,3,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[38, 68082, 90175, 106869]",3.7633926144776173,713.5980307967113,1413.3712663645538,0.0,1,4,3,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[54, 48758, 53597, 64543]",0.7177955587038504,722.77718568364,1351.0713154164876,0.0,1,5,1,0,1,7.0,1.0,0.0,0.0,0
Arpc5,8,"[77, 78124, 98070, 106935]",2.551858272355308,736.7133517815242,1387.315077090391,0.0,1,6,1,0,1,7.0,1.0,0.0,0.0,0
Rpl21,188,"[9745, 48809, 52990, 94751]",1.1511476394086657,739.0779299261641,1315.6496984770733,0.0,1,7,2,0,1,7.0,1.0,0.0,0.0,0
negative_control,1775,"[85, 37214, 73637, 90223]",3.199166985922098,741.4131302555586,1347.8020361916767,0.0,1,8,1,0,1,7.0,1.0,0.0,0.0,0
Myh9,118,"[37209, 40603, 70745, 106954]",3.5883020121072557,741.1088660927703,1368.354684766346,0.0,1,9,3,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[86, 48821, 53616, 64580]",3.949728312909164,742.027209489335,1368.205277415689,0.0,1,9,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,998,"[14738, 51115, 77156, 87463]",3.055903220249622,741.6445197044561,1323.009383214387,0.0,1,10,2,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[97, 14748, 88463, 96146]",0.9083251242290927,745.2576134385229,1281.1241349192135,0.0,1,11,3,0,1,7.0,1.0,0.0,0.0,0
Lmna,77,"[23362, 75789, 86497, 108301]",1.8353123017263786,745.6522429316482,1280.061081533537,0.0,1,11,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,564,"[44106, 51127, 79255, 103378]",1.9238561836042418,747.8923078695079,1348.4257955028602,0.0,1,12,4,0,1,7.0,1.0,0.0,0.0,0
negative_control,335,"[108, 67034, 75498, 91248]",3.999538200171151,747.6628772117249,1348.1730051532663,0.0,1,12,4,0,1,7.0,1.0,0.0,0.0,0
negative_control,610,"[5987, 47239, 79977, 103382]",2.135072360158953,749.6191247193369,1320.5441821767945,0.0,1,13,11,0,1,7.0,1.0,0.0,0.0,0
negative_control,847,"[24692, 45152, 79264, 94784]",2.737601671800247,750.253952808102,1321.464473646214,0.0,1,13,11,0,1,7.0,1.0,0.0,0.0,0
Mrpl35,98,"[109, 23366, 93545, 108304]",2.895918017927408,748.4963001370523,1320.7372508121443,0.0,1,13,11,0,1,7.0,1.0,0.0,0.0,0
Tsc22d1,244,"[12801, 22198, 34271, 61463]",3.4005741241944505,750.7205798277184,1320.2793776572391,0.0,1,13,11,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[115, 14771, 88472, 96174]",0.9105317020167376,751.1763417721301,955.3966579197047,0.0,1,14,1,0,1,7.0,1.0,0.0,0.0,0
Srebf2,215,"[28678, 41948, 72642, 90255]",1.5545647252153958,753.8687102631534,1334.7408977537584,0.0,1,15,9,0,1,7.0,1.0,0.0,0.0,0
negative_control,882,"[47815, 70791, 86523, 91270]",1.9396812565906318,753.8307268787273,1335.3179394803224,0.0,1,15,9,0,1,7.0,1.0,0.0,0.0,0
Spon2,213,"[32007, 53006, 75816, 103393]",2.064040625475325,753.2075912684701,1335.4197448727991,0.0,1,15,9,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[122, 48862, 53635, 64608]",2.4818126240520737,752.8721850698744,1335.3222001348036,0.0,1,15,9,0,1,7.0,1.0,0.0,0.0,0
Xdh,262,"[42822, 68160, 79983, 99189]",2.9014953061035333,753.0796937592798,1336.4354642798858,0.0,1,15,9,0,1,7.0,1.0,0.0,0.0,0
Maged1,82,"[58199, 73663, 85682, 103389]",2.226064937654214,752.6206512010788,1369.5291368992732,0.0,1,16,11,0,1,7.0,1.0,0.0,0.0,0
negative_control,800,"[9778, 33031, 68158, 85683]",2.8144583096874403,753.1836640165233,1368.0364355051204,0.0,1,16,11,0,1,7.0,1.0,0.0,0.0,0
negative_control,295,"[27483, 40649, 57386, 72639]",2.828551672379035,753.2463897087074,1367.3418078418877,0.0,1,16,11,0,1,7.0,1.0,0.0,0.0,0
negative_control,1563,"[22220, 41953, 70789, 79984]",3.564795093556304,753.8625172399236,1366.8324033126955,0.0,1,16,11,0,1,7.0,1.0,0.0,0.0,0
negative_control,613,"[4354, 16313, 59058, 101573]",3.620356046974749,754.3269783840678,1367.1567241062494,0.0,1,16,11,0,1,7.0,1.0,0.0,0.0,0
negative_control,869,"[128, 39756, 77193, 109101]",3.940634118586292,756.4472693340722,1355.756451028849,0.0,1,17,1,0,1,7.0,1.0,0.0,0.0,0
Arpc5,8,"[136, 78202, 98149, 107040]",2.3703328290005192,757.2897921964034,1326.3779764479,0.0,1,18,5,0,1,7.0,1.0,0.0,0.0,0
Mbd3,84,"[18101, 53648, 65635, 85697]",3.2840418096498385,759.2575066172993,1328.365386098637,0.0,1,18,5,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[138, 48897, 53644, 64628]",1.5123432780911479,757.5263186421427,1273.6081968745161,0.0,1,19,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[144, 48907, 53651, 64638]",1.2847679880195155,759.351616166601,1234.0573397427609,0.0,1,20,3,0,1,7.0,1.0,0.0,0.0,0
Eef1g,28,"[4374, 26307, 38565, 62373]",3.985308361643926,758.77267591423,1234.3619923818912,0.0,1,20,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,586,"[11444, 50284, 72681, 88493]",0.7563023632895118,760.6570146091034,1292.2295870633743,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
negative_control,613,"[4381, 16342, 59080, 101612]",1.194267456708878,760.6783794236093,1293.2136253827812,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
Nr2f2,129,"[24758, 44160, 80911, 87534]",1.3732907250017814,759.9176512048027,1292.8432728857235,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
Srm,216,"[16334, 53646, 74620, 94814]",2.3397712152358827,758.2576604725737,1292.0817208657431,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
Ywhaq,267,"[51168, 61506, 91290, 111451]",2.5154271999495386,760.7405211400772,1292.9019263455853,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
Arpc5,8,"[146, 78219, 98166, 107054]",3.076360469200899,760.1407994227927,1292.1787422678765,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
negative_control,1131,"[22246, 37270, 62376, 82999]",3.7342334186724644,758.5418363731815,1293.3524795589628,0.0,1,21,21,0,1,7.0,1.0,0.0,0.0,0
Mbd3,84,"[18097, 53652, 65638, 85696]",2.3860890130510146,759.3399011148313,959.6822930541665,0.0,1,22,2,0,1,7.0,1.0,0.0,0.0,0
negative_control,1838,"[9819, 21290, 83013, 103433]",1.1633198133530653,763.1488725823037,1350.3577940478046,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
negative_control,1321,"[4394, 46223, 72687, 100558]",1.1934989616588543,762.9061190674993,1350.648400756389,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
negative_control,1430,"[9814, 65640, 101616, 103425]",2.7878843508182585,761.510302778391,1348.6126761132846,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[152, 68188, 90278, 107066]",2.8795197576622247,760.8180050198664,1351.136096341172,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
Sat1,200,"[18118, 37286, 84023, 96238]",3.294139242567523,762.6074775357216,1351.3754595325488,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
Paics,137,"[28714, 51178, 63726, 79312]",3.3890600454128497,763.677151380474,1350.5542771012651,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
negative_control,1888,"[31363, 47286, 51169, 67098]",3.7067096316891344,761.5012140679149,1349.7033002578514,0.0,1,23,22,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[153, 68195, 90282, 107065]",1.6433066783195005,761.3893688742561,1370.8524051828754,0.0,1,24,8,0,1,7.0,1.0,0.0,0.0,0
Mmp14,87,"[11452, 47837, 75846, 91302]",2.1281154566102223,762.4605273082523,1371.8228497181842,0.0,1,24,8,0,1,7.0,1.0,0.0,0.0,0
Ubxn1,253,"[24768, 31366, 58232, 79997]",3.1653036630359237,761.2073993214077,1371.5583798372732,0.0,1,24,8,0,1,7.0,1.0,0.0,0.0,0
Ltbp3,80,"[159, 16364, 75848, 100560]",3.1476048895177886,763.2830089418835,1310.6867876599908,0.0,1,25,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[162, 48932, 53661, 64654]",0.6509079258250613,763.0016665719692,1208.4261090163577,0.0,1,26,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[163, 48930, 53662, 64656]",1.2514446807755866,763.2013996903518,1241.8609925244468,0.0,1,27,1,0,1,7.0,1.0,0.0,0.0,0
Loxl1,78,"[35949, 48936, 55255, 69534]",1.2126046821258751,764.0603704001129,1270.434927393817,0.0,1,28,10,0,1,7.0,1.0,0.0,0.0,0
negative_control,593,"[164, 31380, 80934, 96261]",2.179592908875142,764.5065767441187,1272.2409948833365,0.0,1,28,10,0,1,7.0,1.0,0.0,0.0,0
negative_control,1251,"[26327, 38583, 96251, 111456]",3.5547772445320693,763.4209803022372,1269.5183435976264,0.0,1,28,10,0,1,7.0,1.0,0.0,0.0,0
Rarg,179,"[169, 19847, 74647, 106127]",0.9496586563817413,765.4080068468984,1374.7617195335245,0.0,1,29,1,0,1,7.0,1.0,0.0,0.0,0
Rarg,179,"[174, 19851, 74649, 106134]",3.825045197676336,766.1619246299603,1217.0507451907263,0.0,1,30,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1542,"[32044, 48954, 73702, 94844]",0.7050129308734245,767.1787840947705,1356.5075170657888,0.0,1,31,23,0,1,7.0,1.0,0.0,0.0,0
Efemp2,30,"[21298, 42868, 65662, 87573]",2.1062698253136847,767.0888437980044,1355.390115877088,0.0,1,31,23,0,1,7.0,1.0,0.0,0.0,0
Tsc22d1,244,"[12900, 22290, 34365, 61522]",2.185668921170675,767.4250278345121,1357.389592339164,0.0,1,31,23,0,1,7.0,1.0,0.0,0.0,0
Vim,261,"[44182, 67110, 72704, 98181]",2.2394561801994692,766.0669559729101,1357.32004157903,0.0,1,31,23,0,1,7.0,1.0,0.0,0.0,0
negative_control,941,"[16379, 38595, 83029, 94265]",2.964621291717553,767.0116170680567,1355.3813448652477,0.0,1,31,23,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[184, 48962, 53680, 64685]",1.821257400347101,768.4879566312047,1230.145638739642,0.0,1,32,1,0,1,7.0,1.0,0.0,0.0,0
Rpl21,188,"[9841, 48965, 53031, 94846]",1.4275208844366398,768.3439185687239,1328.1348289976618,0.0,1,33,5,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[19861, 33111, 72717, 96290]",2.594572525943253,768.9070855083927,1328.4374337280556,0.0,1,33,5,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[192, 48975, 53687, 64698]",1.3842840790095483,770.7959705349132,1203.5395630315295,0.0,1,34,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[193, 48981, 53688, 64695]",1.245340257250371,771.1247883181671,1339.1403680420349,0.0,1,35,1,0,1,7.0,1.0,0.0,0.0,0
Arpc5,8,"[203, 78268, 98205, 107141]",1.2319658687756718,772.8865225056987,1041.8906748481031,0.0,1,36,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[211, 48997, 53705, 64714]",2.0412615959028417,774.5885144216511,1235.2959395499163,0.0,1,37,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[214, 49000, 53706, 64716]",3.348539383431567,775.057817764733,1158.5250441504083,0.0,1,38,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1701,"[222, 19898, 62465, 87605]",3.201752902981992,775.4826049547875,1304.9007789494694,0.0,1,39,3,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[224, 49012, 53711, 64717]",1.11318634052856,776.4167340500572,1174.426190981767,0.0,1,40,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[226, 49022, 53709, 64720]",0.42990432066745443,776.9741015160226,1224.7534310728001,0.0,1,41,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[227, 49021, 53716, 64719]",2.3294288621563006,777.0628143057112,1231.0639039474918,0.0,1,42,4,0,1,7.0,1.0,0.0,0.0,0
Ergic1,41,"[21330, 40761, 69594, 99314]",2.5314001165515965,778.1338233551055,1231.5057421527113,0.0,1,42,4,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[233, 16436, 51241, 70937]",3.2065458291251834,778.4868294548336,1305.0973017142953,0.0,1,43,1,0,1,7.0,1.0,0.0,0.0,0
Rarg,179,"[237, 19920, 74690, 106169]",1.4503944121109358,778.6439015064723,1381.1274800338672,0.0,1,44,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[244, 49033, 53721, 64729]",1.649529544128856,779.2983356642546,1236.4571648302497,0.0,1,45,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[245, 49036, 53722, 64735]",0.1942888888184272,779.8952094720903,1376.6521392665124,0.0,1,46,1,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[248, 68287, 90357, 107191]",0.6044803714821743,780.6732943334182,1055.3056402026996,0.0,1,47,1,0,1,7.0,1.0,0.0,0.0,0
Cct5,10,"[34465, 70965, 73763, 88527]",1.7910475076386987,783.3841030933083,1115.5019166750635,0.0,1,48,2,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[272, 16492, 51270, 70978]",1.9730407245617392,784.9559911314766,1143.115924226147,0.0,1,49,3,0,1,7.0,1.0,0.0,0.0,0
Prmt1,153,"[34474, 62523, 99351, 110260]",2.772936549375456,784.9094197696538,1142.3650179026822,0.0,1,49,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,1985,"[75522, 83081, 94924, 103519]",2.705786706607121,784.5606767520467,1229.4531870134772,0.0,1,50,2,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[296, 16514, 51288, 71013]",3.486250853354935,788.1198238775701,1268.231733153073,0.0,1,51,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,498,"[31446, 55356, 84117, 107226]",1.721716157143907,786.5307811946611,1234.458094041809,0.0,1,52,13,0,1,7.0,1.0,0.0,0.0,0
Tpm1,238,"[4539, 70984, 87664, 103526]",2.098062675096232,785.9527901014362,1233.6651436679485,0.0,1,52,13,0,1,7.0,1.0,0.0,0.0,0
negative_control,1419,"[28832, 75966, 83085, 91367]",2.127097649148299,785.3941020073578,1234.6742845400959,0.0,1,52,13,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[297, 49078, 53754, 64762]",2.602563169990271,787.578733443036,1235.2450646921934,0.0,1,52,13,0,1,7.0,1.0,0.0,0.0,0
Gpi1,52,"[18320, 57486, 69660, 96460]",0.4675880376488545,791.8756656938687,1175.099657275371,0.0,1,53,6,0,1,7.0,1.0,0.0,0.0,0
Vim,261,"[44277, 67214, 72806, 98268]",1.3517736166824772,790.6087212084386,1176.6405534557491,0.0,1,53,6,0,1,7.0,1.0,0.0,0.0,0
Sfpq,206,"[32143, 54687, 74746, 86681]",3.193822233619181,792.3532372903168,1174.6805077041108,0.0,1,53,6,0,1,7.0,1.0,0.0,0.0,0
Rpl21,188,"[9978, 49103, 53084, 94972]",3.95238460842757,791.2673817218861,1175.8311979594437,0.0,1,53,6,0,1,7.0,1.0,0.0,0.0,0
Cops7a,17,"[312, 38702, 68332, 94969]",2.681593419978396,789.8952697297165,1068.153225138553,0.0,1,54,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[314, 49102, 53764, 64781]",0.5094832472181139,790.5861563160488,1121.7059938770208,0.0,1,55,1,0,1,7.0,1.0,0.0,0.0,0
Aebp1,4,"[1892, 28902, 42999, 83117]",2.0621177144983647,793.9587880232277,1314.049131133408,0.0,1,56,3,0,1,7.0,1.0,0.0,0.0,0
Rpl18a,187,"[27651, 30488, 47944, 96480]",3.7050833236121425,793.9231507094933,1314.223125141411,0.0,1,56,3,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[335, 49136, 53776, 64798]",3.3802736365105575,794.8377340680529,1194.1360824825365,0.0,1,57,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1738,"[26461, 47365, 71048, 105296]",1.9649778730293563,793.8209079759883,1165.1639386733068,0.0,1,58,4,0,1,7.0,1.0,0.0,0.0,0
negative_control,1471,"[20030, 49122, 67238, 90410]",3.1256276301869246,793.9082121399678,1164.6347998848134,0.0,1,58,4,0,1,7.0,1.0,0.0,0.0,0
Lamp1,74,"[33267, 47954, 58371, 68377]",1.914297678771236,796.8670006651578,1167.1408355164208,0.0,1,59,2,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[351, 15021, 88563, 96512]",2.1646336171504936,797.3063699637293,1300.8823751318023,0.0,1,60,1,0,1,7.0,1.0,0.0,0.0,0
Ctsb,25,"[1904, 69684, 83128, 95019]",2.191317333459099,796.9150931065577,1279.8948198072223,0.0,1,61,2,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[364, 15037, 88568, 96521]",0.9319541506795577,798.861330409159,1141.5042553860142,0.0,1,62,1,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[373, 16585, 51348, 71102]",2.9236185133564545,799.1126804634692,1357.211974061131,0.0,1,63,2,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[378, 16606, 51351, 71109]",0.8313586368140415,800.2701245828371,1175.4736942549218,0.0,1,64,1,0,1,7.0,1.0,0.0,0.0,0
Ltbp3,80,"[382, 16613, 76055, 100710]",2.4915160608129283,801.039323298779,1121.6708259013722,0.0,1,65,1,0,1,7.0,1.0,0.0,0.0,0
Arpc5,8,"[386, 78410, 98319, 107325]",0.8205597251825838,801.3064701787678,1180.3824014960255,0.0,1,66,20,0,1,7.0,1.0,0.0,0.0,0
Emp1,39,"[4651, 22488, 45388, 84181]",1.1452893663817227,801.4738319703912,1180.3523455557397,0.0,1,66,20,0,1,7.0,1.0,0.0,0.0,0
negative_control,1224,"[23619, 30523, 69724, 86726]",1.7212853736387834,802.2288045594582,1180.099939812636,0.0,1,66,20,0,1,7.0,1.0,0.0,0.0,0
negative_control,1946,"[6240, 33292, 49160, 56523]",1.7952023798737407,801.6487814608489,1180.2466114500514,0.0,1,66,20,0,1,7.0,1.0,0.0,0.0,0
Polr2e,148,"[18385, 40921, 64819, 81093]",3.1886370461445352,800.6595587203079,1180.2968502361982,0.0,1,66,20,0,1,7.0,1.0,0.0,0.0,0
negative_control,1081,"[27691, 77339, 88578, 99464]",3.3371274046497135,801.9566447989607,1179.3742356323999,0.0,1,66,20,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[399, 15068, 88582, 96555]",2.9171407853681077,802.7813656326841,1289.7963478980637,0.0,1,67,2,0,1,7.0,1.0,0.0,0.0,0
Cops7a,17,"[401, 38783, 68428, 95051]",3.3226929908870755,802.8569826042766,1309.8389804413894,0.0,1,68,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[409, 49186, 53811, 64834]",3.959619803651411,805.1562186162271,1098.6461229470583,0.0,1,69,1,0,1,7.0,1.0,0.0,0.0,0
Ywhah,266,"[27713, 59327, 76094, 85049]",1.1770321598845337,807.3894829145382,1166.37979745865,0.0,1,70,8,0,1,7.0,1.0,0.0,0.0,0
Rpl15,186,"[49190, 55435, 100728, 107345]",1.9985611386996665,805.9680280454843,1165.9198299500556,0.0,1,70,8,0,1,7.0,1.0,0.0,0.0,0
negative_control,611,"[6270, 47392, 55438, 101874]",3.321657344802572,806.8708588095448,1166.0833180075806,0.0,1,70,8,0,1,7.0,1.0,0.0,0.0,0
negative_control,1395,"[22507, 79448, 87764, 98340]",1.162100926416254,807.8544854389722,1349.9772698088964,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
Pdia4,141,"[33329, 47401, 72900, 107366]",1.2084989540019,811.1638395357407,1352.2926410696937,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
negative_control,1358,"[4700, 34647, 85864, 107351]",1.8293293610494588,807.358193931273,1349.7073209421553,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
negative_control,1978,"[58409, 67300, 100732, 103596]",1.9298104586910019,807.8503629708189,1350.0538846268116,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
Sf3b2,205,"[40985, 58422, 78447, 87774]",2.3757407501421284,811.7660961444024,1351.4032253727128,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
negative_control,1757,"[20159, 36216, 59342, 81123]",2.450624075580478,810.4580361579236,1350.9562573409285,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
negative_control,1918,"[421, 39928, 43084, 71168]",2.943372574973795,806.8893424771704,1350.6736280092668,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
Ptgs1,169,"[37527, 44352, 59326, 63887]",3.2524170591461763,807.4683819912126,1349.9884899102356,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
Ybx1,263,"[62672, 76127, 101898, 111695]",3.3967530623074484,812.3419007438421,1353.6901675642437,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
negative_control,798,"[6283, 23671, 45412, 96622]",3.839626623791351,809.3170604327313,1349.4213285411122,0.0,1,71,25,0,1,7.0,1.0,0.0,0.0,0
negative_control,1889,"[429, 27721, 48004, 68470]",3.967291911540841,809.0329382757692,1292.8396630796524,0.0,1,72,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[433, 49203, 53832, 64854]",2.7565453345146516,809.2667115014881,1157.1584628334567,0.0,1,73,1,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[435, 68462, 90471, 107358]",0.8680171950569825,808.5371538122341,1096.5031935507554,0.0,1,74,1,0,1,7.0,1.0,0.0,0.0,0
negative_control,1637,"[20144, 58416, 68473, 84204]",0.9764976025471535,809.8623687810694,1386.360071464866,0.0,1,75,4,0,1,7.0,1.0,0.0,0.0,0
Efemp2,30,"[21445, 43110, 65895, 87775]",3.8376149161812867,811.2214607334143,1385.7766128212522,0.0,1,75,4,0,1,7.0,1.0,0.0,0.0,0
Kars,72,"[46428, 81132, 83196, 99521]",1.2654285299093069,811.997769203602,1106.7677319901602,0.0,1,76,3,0,1,7.0,1.0,0.0,0.0,0
Vim,261,"[44366, 67311, 72906, 98355]",2.9166646776884964,811.3709562224949,1376.3424921625315,0.0,1,77,3,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[457, 68491, 90487, 107369]",3.5951584336903344,812.537207719518,1376.3573741786497,0.0,1,77,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,412,"[6327, 33359, 83219, 100782]",1.7970810129464179,816.8884775808699,1322.0799521407484,0.0,1,78,12,0,1,7.0,1.0,0.0,0.0,0
negative_control,601,"[26563, 31518, 76156, 99538]",2.3132069324691664,814.7449878474014,1326.28095184933,0.0,1,78,12,0,1,7.0,1.0,0.0,0.0,0
Lmna,77,"[23707, 76160, 86777, 108517]",2.652716513987922,815.7599144097578,1322.6865301035573,0.0,1,78,12,0,1,7.0,1.0,0.0,0.0,0
Ptbp1,167,"[16705, 34713, 53852, 82137]",2.778808788662418,814.5902524182032,1325.4413741310036,0.0,1,78,12,0,1,7.0,1.0,0.0,0.0,0
negative_control,480,"[13309, 46434, 58430, 73917]",3.3175979890012717,814.6948738566532,1325.4192599023427,0.0,1,78,12,0,1,7.0,1.0,0.0,0.0,0
Tcp1,227,"[20198, 39967, 62686, 98376]",2.195732418987066,815.7869606125096,1358.732898570851,0.0,1,79,3,0,1,7.0,1.0,0.0,0.0,0
Rpn2,190,"[10167, 21480, 78482, 96690]",0.7283842874093359,818.1849867875036,1131.6722693754105,0.0,1,80,2,0,1,7.0,1.0,0.0,0.0,0
Mvd,116,"[485, 48041, 59381, 92499]",0.3835266217591219,818.1996460267541,1081.4723639926058,0.0,1,81,8,0,1,7.0,1.0,0.0,0.0,0
negative_control,828,"[27771, 37591, 80175, 110465]",1.373226103733279,817.8562719063383,1081.9792062762901,0.0,1,81,8,0,1,7.0,1.0,0.0,0.0,0
Hdgf,56,"[25156, 45442, 63922, 107395]",3.9845963530924235,817.076033553529,1081.424667949078,0.0,1,81,8,0,1,7.0,1.0,0.0,0.0,0
Ssrp1,219,"[32287, 75557, 96738, 104509]",0.9530187447035194,822.0515643262033,1357.8755366259036,0.0,1,82,5,0,1,7.0,1.0,0.0,0.0,0
Mvd,116,"[514, 48064, 59404, 92531]",2.145718080729151,822.8886269936621,1357.8190181674724,0.0,1,82,5,0,1,7.0,1.0,0.0,0.0,0
Lamp2,75,"[16750, 39986, 60620, 88637]",3.4712394329646785,821.6868003572876,1359.1546369023636,0.0,1,82,5,0,1,7.0,1.0,0.0,0.0,0
negative_control,869,"[523, 39996, 77430, 109355]",2.9592296957068585,823.275627412733,1305.2638060322117,0.0,1,83,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[527, 49273, 53896, 64911]",1.3611478658189355,823.9754464847395,1123.7115596859303,0.0,1,84,3,0,1,7.0,1.0,0.0,0.0,0
Morf4l2,88,"[11770, 27807, 55500, 96771]",2.9277894814016583,824.8419702905013,1123.736068731584,0.0,1,84,3,0,1,7.0,1.0,0.0,0.0,0
Ltbp3,80,"[528, 16771, 76222, 100805]",3.1137286522304994,824.3924375869558,1258.4782662182786,0.0,1,85,1,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[530, 49285, 53902, 64914]",1.4317521291437512,825.5725435821068,1116.1947722448767,0.0,1,86,2,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[535, 15243, 88644, 96784]",3.8279530630436684,826.5922057907427,1085.086337931426,0.0,1,87,1,0,1,7.0,1.0,0.0,0.0,0
Lmna,77,"[23764, 76229, 86813, 108550]",0.5239903013904745,825.5954130810711,1351.1852412137039,0.0,1,88,19,0,1,7.0,1.0,0.0,0.0,0
negative_control,1232,"[4837, 40010, 79500, 87834]",1.1004820806682605,825.4391192597318,1350.6789672450457,0.0,1,88,19,0,1,7.0,1.0,0.0,0.0,0
Rarg,179,"[538, 20259, 74890, 106305]",1.6966492509894748,826.5064073313002,1352.7451165859923,0.0,1,88,19,0,1,7.0,1.0,0.0,0.0,0
negative_control,1161,"[2109, 48070, 98417, 103644]",2.2799862495510808,825.1197683519765,1350.6451828476002,0.0,1,88,19,0,1,7.0,1.0,0.0,0.0,0
Morf4l2,88,"[11772, 27813, 55502, 96769]",2.642123769866127,825.5255286575939,1350.2204161545865,0.0,1,88,19,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[550, 49299, 53914, 64926]",2.107729290798203,828.5588539826217,1354.558924813726,0.0,1,89,1,0,1,7.0,1.0,0.0,0.0,0
