gene,gene_number,cpath,cost,x,y,z,cellid,cc,cc_size,pos,cell,lvf,zvf,wf,svf,dr
Vat1,259,"[19839, 37294, 89146, 104231]",0.7063616330082254,764.1681101139516,1257.6498250012842,0.0,1,2976,3,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[19849, 41976, 55258, 94260]",0.5049781966936053,765.7337570423022,1392.6870049504314,0.0,1,2977,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19852, 37302, 89154, 104238]",3.8524395544415606,766.6237185383654,1247.3214439256612,0.0,1,2978,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19881, 37331, 89180, 104261]",2.8812730747347324,772.8062351599398,1284.6776991517984,0.0,1,2979,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19883, 37342, 89181, 104263]",2.764312817369675,773.4831910587674,1259.2423333223442,0.0,1,2980,1,0,1,7.0,1.0,0.0,0.0,0
Lamp1,74,"[33180, 47904, 58306, 68291]",1.8483405340794568,781.69143153797,1163.7612174927765,0.0,1,2981,3,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19935, 37380, 89222, 104297]",3.458408306876971,782.1897129347101,1164.0036642540458,0.0,1,2981,3,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[19945, 42039, 55345, 94297]",0.9296261592360111,782.9585993996652,1034.366431819266,0.0,1,2982,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19951, 37396, 89240, 104317]",3.1024062340384293,785.907184458394,1307.8394637918195,0.0,1,2983,1,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19959, 37395, 89238, 104319]",2.6560379041223348,786.0885321823828,1320.547382460162,0.0,1,2984,1,0,1,7.0,1.0,0.0,0.0,0
Cited2,13,"[19965, 33203, 72784, 96416]",3.3034503159263364,786.4729772076071,1258.096906117413,0.0,1,2985,1,0,1,7.0,1.0,0.0,0.0,0
Timp2,229,"[31444, 62541, 87670, 101766]",0.7910422752896951,787.1098929168207,1241.2867055499285,0.0,1,2986,2,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[19982, 42065, 55371, 94313]",0.9347531527136717,789.2174117034114,1157.0927992457823,0.0,1,2987,3,0,1,7.0,1.0,0.0,0.0,0
Nap1l1,120,"[38705, 52441, 64773, 83101]",2.486815907132807,789.5302040340555,1156.171021360731,0.0,1,2987,3,0,1,7.0,1.0,0.0,0.0,0
Vat1,259,"[19996, 37428, 89269, 104342]",2.1888072273957695,790.8420888661647,1188.1654485157828,0.0,1,2988,1,0,1,7.0,1.0,0.0,0.0,0
Rcc2,183,"[19997, 42068, 55384, 94315]",1.0464515493801505,790.5993203586349,1174.0224145708778,0.0,1,2989,6,0,1,7.0,1.0,0.0,0.0,0
Slc25a1,208,"[44278, 58347, 83104, 106202]",1.3541521982279066,790.5841332258517,1173.2768854262638,0.0,1,2989,6,0,1,7.0,1.0,0.0,0.0,0
Pdia4,141,"[33227, 47360, 72804, 107262]",3.958892297987445,790.3743081863931,1173.2749730001165,0.0,1,2989,6,0,1,7.0,1.0,0.0,0.0,0
