,gene,gene_number,x,y
535,Rpsa,197,796.5960058458483,612.0581938668201
536,Timp2,229,797.0876457854837,653.1097326380744
537,negative_control,287,797.7531245396124,653.9627698357962
538,negative_control,942,795.8539445157638,653.4808816042621
539,negative_control,359,796.6189110957552,654.192512912132
540,Rpsa,197,797.0700528700622,291.10286723374975
541,negative_control,1914,797.742588727979,666.8810160138999
542,Ctsb,25,799.0644125850472,441.10534717990873
543,Rpsa,197,799.0496286801839,333.39993899589444
544,Rpsa,197,800.3164451595899,274.3537477343119
545,Aebp1,4,799.4303782901188,486.7659259700296
546,negative_control,627,800.2757678559416,343.1717580631706
547,Rpsa,197,800.4434818258477,265.31669443985345
548,Tpi1,237,800.3466274099303,265.96078741459746
549,Timp2,229,799.2432668335816,716.3448235150158
550,Psmd2,163,799.5118389221507,716.124576828535
551,Il1rl1,69,800.677950230888,714.589918734696
552,negative_control,1576,800.6193953652962,715.6491641890891
553,Maged1,82,799.5277431127337,363.30986713357566
554,Rpsa,197,799.760246315979,364.0021498572349
555,Psmd2,163,800.4219448321032,361.5999370475564
556,Vim,261,800.0138960594054,361.9432330759024
557,Rrp1,198,800.7057461417278,361.0725646231618
558,Rpsa,197,801.1736705872511,760.4157359602448
559,Ergic1,41,801.3949069277297,494.7049190484923
560,Rpsa,197,801.1496900561241,689.8021655763483
561,Rpsa,197,802.0746644163482,208.06707068350235
562,Rpsa,197,802.2817701114209,303.2038918624084
563,Rpsa,197,801.6399336609181,652.9404100921333
564,Rpsa,197,801.8984581682694,645.7243002620698
565,Myc,117,803.4413470819727,628.4700456060028
566,Puf60,171,803.168191457944,610.2417006950931
567,Rpsa,197,803.2824820296912,610.6190979487942
568,Aebp1,4,803.8654695300843,461.5687771642106
569,Rpsa,197,805.1580737446517,433.3478844080836
570,Fbln2,42,804.2426655452323,428.6254233638085
571,Rpsa,197,804.8996123687258,361.3628774828667
572,Eef1g,28,804.0160473058567,360.90511118164017
573,Rpsa,197,805.447202066152,640.7815418925129
574,Rpsa,197,805.2830748872302,246.23506858406077
575,Prps1l3,154,804.8705597444582,245.8781445817459
576,Gsto1,54,805.2802926677582,244.3528653213688
577,Prrx1,159,805.8465437939404,229.6471811071046
578,negative_control,1478,806.4838405946575,637.029999913233
579,Fbln2,42,805.8781833200909,679.7255098429796
580,Rpsa,197,807.0450586276575,488.3384178196068
581,Arpc2,7,807.0186738927052,327.39287905793026
582,Rpsa,197,806.7750010622599,326.7264119906656
583,Hspa8,62,808.3666550698135,327.4055030081619
584,negative_control,1580,807.5600719676502,328.0590669710907
585,Ybx1,263,806.1856222539427,326.6201299324293
586,Rpsa,197,806.9776272827451,647.3508509903188
587,Psmd2,163,807.7922307507235,658.3285863123791
588,Rcc2,183,808.0346985449722,304.6186633580924
589,negative_control,1349,809.7661714364116,303.5939590496718
590,negative_control,1846,808.4670397810922,304.2128103168852
591,Ywhah,266,807.5965816392369,305.1115202969073
592,Myh9,118,810.0738904308043,304.8644602287296
593,Aebp1,4,808.2470844747263,478.7802082752363
594,Rpsa,197,808.1682452909588,207.43208789367688
595,Vim,261,810.5522395090408,260.9553465971448
596,Rpsa,197,809.5412962376458,260.4302537946206
597,Pdia3,140,809.4234183410583,439.0604219411311
598,negative_control,401,809.2976208328834,437.4351962244266
599,Aebp1,4,809.6124296203135,498.8589889992954
600,Prrx1,159,809.2785225472312,297.91061593126767
601,negative_control,277,809.9019273432157,324.7734638790595
602,Ctsb,25,810.1868413891476,447.79678068711166
603,Vim,261,808.9632653829249,292.58568736334126
604,Rpsa,197,809.9038079673309,292.64619773738195
605,Vim,261,812.3371231889193,234.66561671307144
606,Rpsa,197,812.1687146535,235.0796977749576
607,Rpsa,197,812.1906862598494,734.5344628066701
608,Uqcrc1,256,812.1977552043288,347.8335862315256
609,Rpl18a,187,814.2004413003525,347.35944000776243
610,Rpsa,197,812.1810047450797,348.12380038898823
611,Rpsa,197,812.1603117987312,745.5327891708959
612,Vim,261,812.3852013922683,756.1810912646486
613,Rps15a,191,813.1686488417133,755.0034014721643
614,Zyx,271,811.6782002436718,755.0269187344057
615,Ckap4,14,812.2240032218626,754.9855650537311
616,negative_control,853,813.1380603592443,743.2579918634507
617,negative_control,1857,812.2729350304548,743.1922459026634
618,Pla2g4a,145,811.9893204772562,742.6368312277125
619,negative_control,905,813.5638175363548,742.8935059943743
620,Rpl18a,187,812.1614403988194,650.5567856435043
621,Rpsa,197,813.3869124326022,788.7922803762207
622,Rpsa,197,813.0237856590074,257.56300002201374
623,negative_control,298,812.5963191017169,331.67724375566365
624,negative_control,1858,813.2145920376101,684.3787006234414
625,negative_control,1760,812.5659989816988,684.1913698525784
626,Ctsb,25,813.8547426884359,653.3598524723943
627,Rpsa,197,813.1110507409711,383.566245672373
628,Ctsb,25,814.2110809840212,463.61179000246864
629,negative_control,1984,813.8695130173496,444.7768998003418
630,Rpsa,197,813.8537152272781,446.22271788123743
631,negative_control,689,814.9597680439944,445.9609056385938
632,Vim,261,816.5132623415291,313.98428308779273
633,negative_control,1292,815.1767068543627,313.5905435119387
634,Rpsa,197,813.6750980835442,312.98058921377213
635,Cct5,10,813.8512462435463,247.1245166223399
636,Msn,112,815.401800915421,247.20160914216507
637,negative_control,711,814.4342063665123,246.57619588818204
638,H1f0,55,814.4039313152672,246.90816980995697
639,Pa2g4,135,813.5791835464838,248.4748433689793
640,Fbln2,42,814.3459757799945,659.9580578804373
641,Ptges3,168,813.7717911269946,217.46661242541916
642,negative_control,1850,814.3551086287492,327.7348463938534
643,Vim,261,814.8805404281443,328.0866896846405
644,Rars,180,813.7647078186613,328.29848911790225
645,negative_control,1507,814.702882410932,328.7143498903581
646,negative_control,2076,814.7013791950458,328.02631532516205
647,Rpsa,197,815.1159265418064,749.8220596035032
648,Psmd2,163,815.313364495718,225.74057333242985
649,Aebp1,4,815.7667867831673,808.5720262029131
650,Rpsa,197,815.4062078368115,700.0553521283981
651,Rpsa,197,815.6755435685602,609.0983044149414
652,Aebp1,4,816.4868116260591,726.272150722873
653,Aebp1,4,816.9152529248139,593.0000108390162
654,negative_control,1908,816.4294800300031,621.2815307108384
655,Prrx1,159,816.8158339675837,337.29892117600383
656,Fkbp8,45,817.7579266897824,413.1759764850585
657,Rpsa,197,817.6169796636034,391.1245630719679
658,Psmd2,163,817.8658741368859,674.3402612608331
659,Csnk1a1,22,817.5337896682047,225.1727963354512
660,Pkm,144,818.6824474266427,224.25859181777696
661,Fkbp4,44,818.2521734749841,225.28211125143991
662,Mrpl38,100,818.1583157968795,224.095082059778
663,Ugdh,255,818.3839454647987,223.65836342003183
664,Rpsa,197,818.1018586857022,720.1653597333252
665,Rpsa,197,818.5984894855242,672.7270592007113
666,Rars,180,818.0817185326212,310.1999190363386
667,Psmd2,163,818.6862718693333,309.82534607046443
668,H1f0,55,818.2973248442905,311.23108326097724
669,Aebp1,4,818.4029996161714,776.8089226060382
670,negative_control,1040,817.9905404597567,475.1600050062596
671,negative_control,1907,818.2899695246315,475.1342626146177
672,Rpsa,197,819.0893223319115,404.3788153592228
673,Rpsa,197,819.2393630751671,666.7729825085188
674,Rpsa,197,818.7753602847384,359.01638783938165
675,Rpsa,197,819.064233580267,395.1037728896968
676,Mbd3,84,818.1307391607681,683.751204037228
677,Rpsa,197,819.0241580130094,215.7025268316514
678,Psmd2,163,820.2241362522873,240.3422521662061
679,Ctsb,25,820.1983158724422,481.04268678532287
680,Rpsa,197,821.0842236692424,636.2610586488798
681,Ctsb,25,821.5790542738876,429.6781580001379
682,Rpl18a,187,822.1024767779845,353.52718633603115
683,negative_control,1520,823.5008750085236,354.8818827191111
684,Prps1l3,154,820.009002522891,353.5974054584457
685,Aars,1,822.2990742270384,354.7238504651683
686,Aebp1,4,822.8438071687104,788.7081774815424
687,Ctsb,25,822.6294834161082,532.8517182385966
688,Myc,117,822.9782741863451,575.7804439746212
689,Aebp1,4,823.82764802868,485.731151164562
690,Ctsb,25,823.6450771641599,448.35327122549074
691,Ctsb,25,823.9660183860037,499.26058986397777
692,Rpsa,197,824.0654084349313,452.5240705045933
693,Aebp1,4,824.8181561759646,552.0297669897748
694,Rpsa,197,824.8570544219908,347.2800188874958
695,Rpsa,197,824.623257084545,826.3368148125517
696,Rpl15,186,826.171184068683,275.621930689416
697,Ndufs2,122,826.1099782621595,362.2174901926706
698,Aebp1,4,825.6360552304953,765.1708029128927
699,Lamp1,74,825.162606202691,340.9285263039043
700,negative_control,1589,825.8819175141779,341.02016129637275
701,Aebp1,4,825.6939155681532,516.6061044448644
702,negative_control,1923,827.4799509967105,373.53850625038143
703,Rpsa,197,825.5868210710871,373.38605673280415
704,Vim,261,826.3764472983045,373.7866581684826
705,Prrx1,159,825.5318612967553,222.58873610398504
706,Rpsa,197,826.1424008422399,403.1756446726577
707,Mrfap1,89,826.6331733162949,825.3389479611892
708,Sdc4,202,827.4099662656074,826.1712987331308
709,Rpsa,197,826.5306879454647,824.4068022611553
710,Tubb5,246,827.4599885370035,826.3723139842142
