,gene,gene_number,x,y
0,Cops7a,17,1150.132708821934,1858.611841277556
1,Arpc5,8,1151.3377601559314,1896.2298412362013
2,Tpm4,239,1152.6047267788665,1868.8058158663569
3,Arpc5,8,1162.576969440546,1926.736545184547
4,Rpsa,197,1165.3192277921542,1840.8124990037643
5,Rarg,179,1168.438426237287,1872.4504519930583
6,Tpm4,239,1176.2183706079977,1944.3175746180443
7,Mtch1,115,1175.276409442493,1932.718956693036
8,Tpm4,239,1180.6224990162364,1910.0827172374704
9,Cops7a,17,1181.568125675785,1854.576481207343
10,Rarg,179,1180.475149980603,1960.0438150516911
11,Arpc5,8,1181.9117035454349,1785.6598005340295
12,Mvd,116,1183.0924285239043,1963.9461913974403
13,Ppm1g,150,1184.731787059868,1982.966024425152
14,Tpm4,239,1186.3788278190784,2005.943729823047
15,Mrpl12,92,1189.1964020088028,1830.6532420709675
16,Tpm4,239,1191.8940883144128,1764.0938917331596
17,Vim,261,1193.286060371735,1997.3359900544287
18,Arpc5,8,1193.4244250804088,1853.3337204435325
19,Khdrbs1,73,1196.0672458129966,2004.6774149698845
20,Arpc5,8,1196.1658275276643,1979.3198231940185
21,Khdrbs1,73,1197.1499292438466,1865.5272827165272
22,Khdrbs1,73,1200.168685650402,1796.322684319005
23,Gpi1,52,1203.5828108416515,1753.5299836379315
24,Mvd,116,1203.2548078430154,1753.4066572038814
25,Mvd,116,1203.7417221485389,1979.2990071321765
26,Arpc5,8,1206.584994123049,1792.8107097461402
27,Ppm1g,150,1206.622441466404,1891.3662672460991
28,Khdrbs1,73,1210.575912001439,1948.5152883743367
29,Spp1,214,1211.954480023791,1929.6559482120529
30,Ube2m,252,1213.7467318720428,1768.2862255541809
31,Msn,112,1214.003184405318,1659.164512284338
32,Uqcrc1,256,1216.3931742744287,1659.0679980975272
33,Cops7a,17,1218.546406416547,1978.6795842788915
34,Khdrbs1,73,1220.9830620834691,1648.4583237514605
35,Mrps5,110,1220.0514525963722,1648.16951050308
36,U2af2,249,1219.43610672591,1647.4228234589689
37,Nap1l1,120,1219.21220308394,1648.002793960171
38,Khdrbs1,73,1223.1975352990185,1851.742704756296
39,Tpm4,239,1223.291344649269,1951.6238092004207
40,Rpl18a,187,1223.0615751291368,1792.9989010537745
41,Mvd,116,1224.895080554308,1778.331814841136
42,Spp1,214,1229.484796117516,1576.5283226686415
43,Spp1,214,1230.6535845668325,1565.662162762185
