,gene,gene_number,x,y
0,Tpm4,239,1115.358937339629,1817.9426886924964
1,Spp1,214,1126.5299822744716,1825.38228330143
2,Rarg,179,1146.8604520172078,1829.554364161908
3,Trap1,240,1155.9653224482588,1869.8239276481863
4,Spp1,214,1161.78513450195,1874.7307887011505
5,Aebp1,4,1161.4751121080214,1826.1193195306716
6,Mrpl43,103,1160.6067133613287,1825.71426224262
7,negative_control,1110,1162.5579755798772,1825.714138583881
8,negative_control,1549,1161.4962497899603,1825.9691452759175
9,Il1rl1,69,1164.486229258909,1837.3663199125715
10,Spp1,214,1164.0299046399775,1836.83185926465
11,negative_control,1595,1166.3904274816084,1838.579336992952
12,Cops7a,17,1165.584186136529,1813.9309340224704
13,Sec13,204,1169.651435863931,1824.7257541424683
14,negative_control,1701,1169.6447781312097,1826.0074742225256
15,Spp1,214,1170.231426525666,1882.4763955700655
16,Malat1,83,1170.855147574301,1881.72737873695
17,Tubb5,246,1169.418238676,1882.227883769609
18,Ncl,121,1171.6049810056857,1883.1416318844103
19,Khdrbs1,73,1175.2764909873522,1832.097293208916
20,Lrrc59,79,1177.307201353829,1826.8387680795104
21,Khdrbs1,73,1177.017626594457,1824.8181863100936
22,Arpc2,7,1176.909781499444,1826.37806405952
23,Cct5,10,1177.4061271949008,1825.380581426728
24,Psmd7,165,1175.6099684204498,1823.8374989608965
25,Tubb5,246,1176.743956271692,1827.9451251585028
26,Spp1,214,1177.15976025178,1866.114550387804
27,Spp1,214,1177.4114090456887,1850.3884534437248
28,Cs,20,1176.134776289906,1850.8431492326088
29,Spp1,214,1180.189224241256,1856.19885595524
30,Spp1,214,1184.1777773768806,1820.8910630639523
31,Spp1,214,1186.192261484412,1890.134410328003
32,Spp1,214,1186.1863822781131,1847.0884348482696
33,Arpc5,8,1191.159151593702,1855.718657956793
34,Spp1,214,1192.300071848114,1829.5965761108207
35,Ppm1g,150,1192.860470269834,1845.5413845734304
36,Sf3b2,205,1194.0080657703695,1836.324594474704
37,negative_control,701,1194.4403300207732,1836.1428610922576
38,Rps15a,191,1195.055746633938,1835.5643127729272
39,Cops7a,17,1195.0208000051118,1820.1953172629508
40,negative_control,1316,1196.96555361039,1888.2125137031665
41,negative_control,323,1196.1551192278744,1887.6105575969716
42,negative_control,1164,1196.2889987961712,1887.7030318812133
43,negative_control,2014,1196.5647548980414,1887.3617644979608
44,negative_control,1405,1196.4301344115768,1888.55259798336
45,negative_control,1380,1195.5397422936794,1887.4874656387376
46,negative_control,1258,1195.1844610264525,1886.8677632663043
47,negative_control,1884,1195.8509100551412,1887.049598657522
48,Khdrbs1,73,1197.1421374033064,1803.573574146974
49,Npc2,128,1198.7713152656,1911.0133562987855
50,Spp1,214,1197.397616806545,1911.3438505000108
51,Ehmt2,31,1201.0296411705192,1896.2385991600572
52,Rpl15,186,1201.2276131727265,1895.7795016195932
53,Thy1,228,1202.2576510972926,1896.110906279303
54,Gsto1,54,1202.2608100604702,1896.976753708909
55,negative_control,1716,1201.4124403818005,1896.3016661305544
56,Oaf,133,1200.7331187176446,1816.367195395383
57,Spp1,214,1202.0366571434845,1816.485055518825
58,Rpl18a,187,1202.6346169503138,1817.4241246579704
59,Hspa8,62,1203.4119080325534,1814.505373235973
60,Zyx,271,1202.8185183068676,1816.2080610682256
61,Spp1,214,1202.695879661563,1830.181760013771
62,Vim,261,1205.6786407849656,1930.09956727922
63,Tpm4,239,1205.6043366365689,1929.8103611323213
64,Arpc5,8,1206.1944570871603,1811.1170482167083
65,Tpm4,239,1207.5933854208267,1868.4059528242012
66,Spp1,214,1207.7357689632909,1847.023795837029
67,negative_control,1058,1212.2482018613612,1910.0774708113408
68,Spp1,214,1213.1842751032816,1791.8637887223113
69,Aebp1,4,1213.759337740756,1790.7504634436816
70,Ptgs1,169,1213.6420430722897,1790.2346293612986
71,Gas1,50,1212.2388162685795,1805.9451043036229
72,negative_control,299,1213.7178301714,1806.4082900542392
73,Vat1,259,1214.8146763725222,1823.705170736092
74,Pdia3,140,1214.0839305898503,1821.879371707048
75,Fkbp4,44,1213.6327162739867,1823.567834355292
76,Tpm4,239,1216.2202400120673,1810.8334030991564
77,Zfp36l1,269,1219.2476791616436,1920.9866157179868
78,Twist2,247,1219.5177488335898,1860.435073990168
79,Spp1,214,1220.7451708013034,1868.841072532568
80,Maged1,82,1220.1161917029708,1887.7308871922523
81,Spp1,214,1220.5077638791515,1938.6175026246055
82,Ltbp3,80,1222.4227896221803,1839.2112449471724
83,Spp1,214,1222.8766899580476,1785.9492240132802
84,Spp1,214,1224.5493980969452,1858.2177110744933
85,Spp1,214,1224.5843766583814,1874.1298958323891
