gene,x,y
Vim,736.3205166075717,1597.2957468619095
Ybx1,736.6318588747919,1597.5963144209936
Khdrbs1,817.5434081360069,1586.8797607956476
Ppm1g,884.7280646891504,1570.9348153787057
negative_control,908.0162788576984,1562.2838981464502
Khdrbs1,911.8346807596542,1712.2146380130075
Tpm4,917.6945450388936,1541.7439632966673
Arpc5,918.0928217684852,1736.852420900992
Khdrbs1,925.829408212138,1784.5493858004677
Sdhc,926.698230286039,1784.631918449813
Ybx1,929.1626671375872,1785.066148935126
Hspd1,925.5829406450692,1784.3482266446642
Hnrnpk,926.0771432803416,1785.2588280784469
Prrx1,927.3423361301836,1785.6948096642336
Khdrbs1,929.8173543436404,1729.5553681058343
Zfp36l1,931.4779369383846,1697.543903489754
Nedd4,936.4656257661928,1786.6603980652926
Cox7a2l,936.3203620953076,1785.7816372908287
negative_control,938.2248338729148,1546.314176516859
negative_control,938.3528490062698,1673.2152115369129
negative_control,938.3051143525904,1740.4800536605535
Khdrbs1,938.9865132545548,1740.5902335775174
Hspa8,938.9427111013632,1741.541805062551
Mdh2,939.1230670876324,1740.501726398812
Zfp36l1,941.2436474406644,1720.7448642507732
Tubb5,944.6822101632654,1531.418608455718
Ptges3,943.0108409804848,1531.0430038059471
Hspa8,943.6832796032452,1529.9215450232214
Zyx,945.9678016212392,1670.286202066011
Rarg,945.237746057526,1669.3680221999325
Csnk1a1,945.9833303969842,1669.9060153930027
Rcc2,946.807739098586,1554.578893344828
negative_control,946.723514232724,1555.0167011195997
negative_control,947.2596262807464,1555.4811023859277
Mrpl35,949.3323073477296,1759.8048446033458
Tpm4,949.9617555996967,1534.6616916839394
Rarg,950.4134732297156,1576.8148513784602
negative_control,952.5717870663856,1537.5242280942753
Zfp36l1,956.935927302746,1699.3935176558712
Trim28,957.9392243085218,1575.8764085245398
negative_control,958.3986175109428,1575.603038809831
negative_control,959.7608421915146,1564.6545062442617
Rarg,960.4583937056492,1612.044040962792
Vim,961.7243826979178,1630.4259935031112
negative_control,961.4720759760544,1630.7067042908093
Msn,962.118459884136,1632.1919409208622
Mrpl12,961.0739083612768,1602.2790275712289
Rpl21,960.498759412122,1602.8135775195742
Ywhah,960.4978490741358,1601.7786275888689
Ppm1g,964.0950255279236,1669.5388832023446
Tpm4,964.4237954762136,1707.885266670725
Sf3b2,967.219830933452,1588.6109753415838
Rarg,965.1645105351176,1588.2584980371469
Fus,967.6016675818304,1589.9542774898282
Stip1,966.6579021869844,1587.637494219665
Lmna,967.1506922922008,1642.6407714104698
negative_control,967.4377113208704,1642.8978417246765
Cops7a,966.2679841189182,1643.011128698673
negative_control,967.0761595832104,1642.5847855884967
Hdgf,966.3815564887768,1641.696472794484
negative_control,965.9350972042268,1571.6489934520732
Prps1l3,963.7599218558576,1571.5588513068085
Gsto1,964.4541370823669,1571.996307814221
Fus,969.2580909462878,1559.6215760151638
Mrpl17,969.4662075469862,1560.5855062845617
Actn4,969.5302533401618,1627.962297667139
Aars,969.4787436098776,1628.6238097176715
Nap1l1,971.069031506609,1650.9258948467573
Arpc5,972.1208560115296,1644.8361281229695
Tpm4,972.5033065706056,1515.981360075647
Tpm4,973.1143591732604,1677.3035268597578
Mbd3,978.7747511695474,1504.2289925397135
Gsto1,978.670528362706,1504.926628887716
Pkm,977.644481305356,1504.8049098730935
negative_control,978.214960780766,1505.3305472425477
Vim,980.0364938340364,1531.488673202161
negative_control,980.6381287457108,1529.4827778742797
negative_control,979.2056814160812,1530.6773620401252
negative_control,980.3030592591792,1529.76852107515
negative_control,979.8167468254078,1530.8635057954275
Ndufs8,978.6259716015376,1530.0159306827709
Rarg,979.870735961208,1574.64027485178
Khdrbs1,979.7720752100612,1569.808160969898
negative_control,977.8676193665432,1538.9476246055508
Ergic1,979.4332046257018,1537.9268817379873
negative_control,979.0615526530224,1538.1556777795583
Actn4,980.1798529119216,1538.9988301457831
Khdrbs1,981.9109775375003,1511.76302879042
negative_control,982.2225642609192,1524.3193507414348
negative_control,981.9473310178388,1526.117200542974
Hnrnpk,983.03563971912,1525.1087887933274
negative_control,982.7031741390788,1526.0039929123743
negative_control,982.877807505496,1527.3257604439157
negative_control,982.6357236683727,1577.816950825255
Eef1g,981.4364665862666,1577.5281334184854
negative_control,986.9539257262824,1628.1103224843382
