gene,x,y
Khdrbs1,931.3984341467368,1696.1652058136706
Myh9,946.413490619872,1680.1003891827622
Tubb5,946.8292790404356,1677.7691436900266
Cops7a,972.1671297667498,1666.2836312898703
Cops7a,1003.4007263521568,1600.9544018536694
negative_control,1003.9223284002368,1600.7020740022374
Psmd4,1005.37391053248,1611.3150970813797
Gpi1,1005.254190070634,1610.557237373191
Hnrnpk,1006.213879319162,1610.3974163379728
Khdrbs1,1006.1864443746088,1610.5496784428808
Sdc4,1004.1822053344822,1609.8283830511705
Khdrbs1,1007.018966909723,1617.4743442500164
Khdrbs1,1028.2973107395742,1674.5810832714446
Pa2g4,1028.5208642524822,1675.1458703143956
Crlf1,1026.7129616617556,1673.811007309961
Rarg,1041.1348725393582,1681.1962486381976
Vim,1048.460811675191,1622.5818106242364
Tpm4,1047.5158145187647,1622.2658336852962
negative_control,1047.6254109258196,1623.074029938397
Gsto1,1051.267505742776,1669.8726656692677
Vat1,1052.0321475104083,1668.9139629522233
Mbd3,1052.3446083963454,1675.470514781737
Ppm1g,1051.6300146053277,1674.3385180438058
Zyx,1055.080728415483,1660.3948882062084
Pkm,1055.389088467896,1627.254017255591
Ncl,1055.4453840931742,1627.5107012354913
Prrc2a,1058.2784965401552,1670.4818922095833
Ehmt2,1058.219532016069,1670.639184198979
Cops7a,1058.3165907573698,1670.9490869801532
Mtch1,1057.3397648732484,1671.0421066916128
Rarg,1059.900449380179,1609.6799924173952
Khdrbs1,1065.995804702089,1625.448153347612
Cops7a,1068.402473485441,1617.5336915114403
Ercc1,1080.4596544416092,1627.6067443838092
Ppm1g,1080.8975777780147,1629.6052737839527
Rarg,1083.81078717819,1631.0240100891992
Ppm1g,1089.5169584735622,1604.0966294486907
Eif4g2,1091.1338375609078,1628.3104443455618
Rarg,1092.5431328580771,1628.426915003956
Sdhc,1092.0491625423967,1627.1916000065685
Vim,1092.1128614371191,1628.1167732460513
negative_control,1105.2679512677469,1609.6326102156395
Mrpl45,1112.0174805570457,1621.195787317366
negative_control,1112.8304163927132,1620.6377399833273
negative_control,1113.1288420171936,1620.825487113508
Naca,1111.7767772782106,1619.5444192130387
Tubb5,1110.2208977324094,1619.205670536692
Zyx,1112.2002323286365,1619.5058686262632
negative_control,1114.2398023865048,1619.9075906142016
Mrpl12,1112.8108331256717,1620.089209494666
negative_control,1113.116408624925,1620.0607446283534
negative_control,1111.9118910168224,1620.7885985149169
negative_control,1112.2690477398116,1620.6582836144537
negative_control,1113.964005590497,1620.1222356262074
Tpm4,1112.092118092292,1602.3581677727586
negative_control,1117.3744063799902,1627.0667351819811
negative_control,1118.1849914874224,1627.350933934965
Sf3b2,1119.5231513890144,1619.0781076185972
negative_control,1123.4175771216762,1626.4211635437146
Sf3b2,1123.084109254588,1627.2967807995833
negative_control,1124.202178604631,1625.054946765815
Mdh2,1122.932043382885,1628.4670319888369
negative_control,1123.455791960628,1628.3247804171976
Oaf,1123.7251270495508,1625.294713521772
Eef1g,1124.16210151404,1626.8357076704233
negative_control,1122.8689537445755,1628.037534551488
Hdgf,1122.884436761778,1626.2518774135767
negative_control,1124.0940892243143,1626.29813195407
negative_control,1125.9699506456263,1607.745374062927
negative_control,1130.9178240055294,1620.3067486934815
negative_control,1136.47043401901,1593.671224472285
negative_control,1143.8051880146836,1599.2667552634516
negative_control,1145.6144392216306,1599.08287915049
negative_control,1145.547438012722,1598.867838057393
negative_control,1144.25099831101,1598.375779065941
Efemp2,1142.9878108143596,1598.4185807414735
Tpm4,1150.36933827451,1587.400381761991
Mrpl12,1149.8865311523427,1579.137303068842
negative_control,1155.7805669053098,1603.308014293489
Prps1l3,1154.1774833612162,1604.5937081057496
negative_control,1155.8773957855178,1605.2960358163027
Rcc2,1156.432661498499,1603.2933037444582
negative_control,1154.8065438126305,1603.414925475428
Hdgf,1155.4544550364676,1583.2910969013387
negative_control,1155.6670053907972,1585.6277378259983
Cnn2,1155.912677362509,1582.9543123286214
Top2a,1154.3548766760132,1582.021796908174
negative_control,1155.0381769890762,1583.2328059933184
negative_control,1154.6382807139742,1583.469410830783
Ssrp1,1163.2698198570215,1615.4368022126068
Spp1,1162.048414847156,1615.4513116077392
negative_control,1162.4650335790802,1614.8747060540832
Ubxn1,1161.5876742479925,1614.8332173001436
Lrrc59,1161.547657586339,1614.558682223057
negative_control,1161.337047867965,1615.3113896302473
negative_control,1162.6739802064417,1614.7472666547017
Cnn2,1162.0306573873231,1612.8621543000363
negative_control,1162.6178087114015,1614.38805400108
Hspa8,1163.63451933905,1606.0275256009002
Eif3i,1163.5271622860555,1604.398210428321
Cct5,1164.511445729753,1607.8127093343055
negative_control,1164.4185949527318,1607.3689393432192
negative_control,1163.3173521690685,1606.0064414546134
negative_control,1163.1493859753966,1604.467496354862
Cnn2,1162.3088516250634,1606.09855038025
Ywhaq,1162.8847221083834,1606.2990134927802
negative_control,1164.6690698493906,1606.2876759295486
Tubb5,1161.9279033352118,1604.6682265131576
Rpsa,1165.8347777078068,1593.3355631759257
Cops7a,1169.8794252832936,1600.545254110686
Nr4a1,1173.0845897692948,1582.8509846432644
Mrps5,1171.6674479146825,1601.592707040296
Maged1,1173.2633443512227,1594.1259386105612
Spp1,1173.4015920348763,1595.0990534090329
negative_control,1173.534162036709,1594.387726532713
Tpi1,1174.8072464817203,1593.2898566445542
Rpl18a,1172.1640958782268,1592.0760020512894
negative_control,1174.912425183746,1594.59354690992
Ywhae,1172.0883585732286,1594.594433344458
Uqcrc1,1173.752968776422,1613.3153342090272
negative_control,1174.8684073397442,1610.9981991655372
negative_control,1173.7256056097856,1612.148341343086
Spp1,1173.668285940591,1611.594306964195
Il1rl1,1173.9833874819617,1612.541385613045
negative_control,1174.752086213541,1611.0539711919469
negative_control,1177.3700887636678,1575.471789827415
Rpsa,1179.0323822020948,1574.588819075972
Taldo1,1184.7496638591529,1576.3646612406478
Ywhaq,1178.6314150294786,1576.1949094040433
Hspa8,1183.015673658577,1575.430701984742
Sec13,1182.5048147447571,1576.1703640847163
Pkm,1180.4236415203734,1576.2852460278375
Actn4,1181.7295516314953,1575.9279278679169
Gsto1,1178.678714285556,1555.0539693852293
Rpl18a,1180.112860544544,1553.7340996875196
Ybx1,1179.3150236655756,1556.2577790410437
Khdrbs1,1178.6352305725247,1554.0971185317394
Arf1,1179.6507660635236,1555.45756584831
Fkbp4,1180.6810686026995,1552.8910504959788
Hspa8,1177.8026434799458,1554.4837136628057
negative_control,1179.5235445879327,1599.2420696853123
Mbd3,1185.8412844106329,1619.1623071299036
negative_control,1180.2168186932863,1618.4278252481326
Khdrbs1,1185.5096057236087,1618.292923351873
Mrpl10,1181.1351107226153,1619.9160259296032
Zyx,1181.6738189003547,1619.6515911141266
negative_control,1180.716127156942,1619.1322223017464
negative_control,1180.151669574287,1618.7229089287343
Oaf,1185.177760622726,1620.9554908743612
negative_control,1181.244830954975,1619.3480235226702
negative_control,1186.3016856902698,1619.2558210818136
Tpi1,1183.081055887246,1619.0181949252976
negative_control,1181.1459878307398,1618.575881619135
Mrpl17,1185.3354670315844,1617.2461420086065
negative_control,1185.038585771959,1618.5117797411997
negative_control,1184.4591964955669,1633.5315533428484
Lamp1,1183.1697861343089,1629.2807297004242
Nfe2l1,1184.2893415259282,1627.2240720224895
Raly,1185.5281852451928,1628.8161775756764
negative_control,1185.7057815118992,1635.8114736167545
Vim,1184.5972155652812,1631.4924829036631
Ptges3,1185.5376000853275,1628.0794864053169
Igfbp6,1185.6138964500915,1636.9986727384926
negative_control,1185.0630968229932,1633.7143653936014
negative_control,1185.2281435017542,1627.8382667384374
Stip1,1183.9990713399627,1631.1799141831389
Rpsa,1182.4419334474487,1627.8911865505706
Ptgs1,1183.3473141969585,1628.9133946210766
negative_control,1187.357809142949,1635.98952586327
Snrnp70,1185.2472833241843,1626.542171729799
negative_control,1183.2460889853733,1633.3864838716802
Ugdh,1183.3200181851066,1634.069025797944
Tmbim6,1183.9921871860909,1631.8883139264444
negative_control,1183.3878791922957,1632.1722060265474
negative_control,1184.7298838991296,1635.0794738444156
negative_control,1182.8335373359282,1631.0563853475444
negative_control,1186.52411261295,1635.5094457645348
