Unnamed: 0,lvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,eff_truth,fdr_truth,fp,not_decoded_true,total_true_cnts,nbarcodes,nnonspec,ims,rep
0,8.0,0.0,0.0,0,7,0,7,0.0,0.6,0.1428571428571428,1.0,4.0,10,10,40,_ims,2
0,6.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,50,_ims,2
0,8.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,50,_ims,2
0,6.0,0.0,0.0,0,14,2,12,0.1190884412058865,0.55,0.0714285714285714,1.0,9.0,20,20,0,_ims,2
0,8.0,0.0,0.0,0,12,1,11,0.0649573315668472,0.5,0.0833333333333333,1.0,10.0,20,20,0,_ims,2
0,6.0,0.0,0.0,0,15,1,14,0.0510379033739513,0.65,0.0666666666666666,1.0,7.0,20,20,10,_ims,2
0,8.0,0.0,0.0,0,14,1,13,0.0549638959411784,0.6,0.0714285714285714,1.0,8.0,20,20,10,_ims,2
0,6.0,0.0,0.0,0,15,3,12,0.1786326618088298,0.55,0.0666666666666666,1.0,9.0,20,20,20,_ims,2
0,8.0,0.0,0.0,0,13,2,11,0.1299146631336944,0.55,0.0,0.0,9.0,20,20,20,_ims,2
0,6.0,0.0,0.0,0,14,1,13,0.0549638959411784,0.6,0.0714285714285714,1.0,8.0,20,20,30,_ims,2
0,8.0,0.0,0.0,0,14,1,13,0.0549638959411784,0.6,0.0714285714285714,1.0,8.0,20,20,30,_ims,2
0,6.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.6,0.0,0.0,8.0,20,20,40,_ims,2
0,8.0,0.0,0.0,0,11,3,8,0.2679489927132447,0.35,0.0909090909090909,1.0,13.0,20,20,40,_ims,2
0,6.0,0.0,0.0,0,15,1,14,0.0510379033739513,0.7,0.0,0.0,6.0,20,20,50,_ims,2
0,8.0,0.0,0.0,0,14,0,14,0.0,0.7,0.0,0.0,6.0,20,20,50,_ims,2
0,6.0,0.0,0.0,0,21,4,17,0.1681248581730163,0.5333333333333333,0.0476190476190476,1.0,14.0,30,30,0,_ims,2
0,8.0,0.0,0.0,0,20,8,12,0.4763537648235462,0.3666666666666666,0.05,1.0,19.0,30,30,0,_ims,2
0,6.0,0.0,0.0,0,21,10,11,0.6495733156684721,0.1333333333333333,0.3333333333333333,7.0,26.0,30,30,10,_ims,2
0,8.0,0.0,0.0,0,18,6,12,0.3572653236176596,0.2666666666666666,0.2222222222222222,4.0,22.0,30,30,10,_ims,2
0,6.0,0.0,0.0,0,20,5,15,0.2381768824117731,0.3333333333333333,0.25,5.0,20.0,30,30,20,_ims,2
0,8.0,0.0,0.0,0,18,0,18,0.0,0.4666666666666667,0.2222222222222222,4.0,16.0,30,30,20,_ims,2
0,6.0,0.0,0.0,0,22,8,14,0.408303226991611,0.3333333333333333,0.1818181818181818,4.0,20.0,30,30,30,_ims,2
0,8.0,0.0,0.0,0,19,4,15,0.1905415059294185,0.4333333333333333,0.1052631578947368,2.0,17.0,30,30,30,_ims,2
0,6.0,0.0,0.0,0,22,11,11,0.7145306472353193,0.2666666666666666,0.1363636363636363,3.0,22.0,30,30,40,_ims,2
0,8.0,0.0,0.0,0,20,6,14,0.3062274202437082,0.3333333333333333,0.2,4.0,20.0,30,30,40,_ims,2
0,6.0,0.0,0.0,0,19,5,14,0.2551895168697569,0.3666666666666666,0.1578947368421052,3.0,19.0,30,30,50,_ims,2
0,8.0,0.0,0.0,0,16,6,10,0.4287183883411916,0.2,0.25,4.0,24.0,30,30,50,_ims,2
0,6.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,0,_ims,3
0,8.0,0.0,0.0,0,6,0,6,0.0,0.6,0.0,0.0,4.0,10,10,0,_ims,3
0,6.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,10,_ims,3
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,10,_ims,3
0,6.0,0.0,0.0,0,9,0,9,0.0,0.9,0.0,0.0,1.0,10,10,20,_ims,3
0,8.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,20,_ims,3
