gene,block1,block2,block3,block4
Atp6v0e2,17,16,13,20
Pclo,14,14,4,4
Higd1a,20,1,1,20
Srrm1,6,14,4,16
Mapk8ip3,14,19,13,20
Csnk2a1,17,18,9,6
Wbp11,20,14,4,10
Mat2a,14,1,4,11
Tanc2,5,2,4,3
Cdc40,8,12,4,16
Scn3b,19,14,4,9
Acp1,6,14,16,4
Cadm3,13,16,9,20
Mast3,20,19,16,3
Rgs14,2,18,16,4
Aak1,10,16,13,13
Icam5,16,16,10,2
Ntrk3,1,14,4,11
Otub1,20,16,2,14
Eif5b,12,20,13,19
Rangap1,9,2,20,11
Dock4,20,5,10,15
Phactr1,14,20,11,3
Uba1,9,10,19,20
Ptprn2,17,1,13,5
Adora1,5,9,10,4
Ash1l,2,8,4,6
Mphosph8,5,20,9,16
Nucks1,6,12,12,6
Arhgef9,1,16,7,10
Reps2,13,2,3,12
Ddx6,17,11,13,15
Lingo1,14,18,13,19
Add2,6,19,17,8
Npepps,7,16,7,16
Ddx3x,13,5,2,16
Zfp365,13,19,19,13
Trim37,15,8,20,3
Sipa1l1,19,14,19,14
Napa,5,9,6,8
Pfkl,12,1,14,19
Ogt,4,2,18,8
Dctn2,16,10,2,4
B4galt6,18,8,12,14
Dnajc5,4,7,7,4
Macf1,8,19,16,11
Amph,20,9,3,6
Rb1cc1,1,3,12,12
Kif5a,7,13,4,16
Herc2,7,12,2,17
Stx12,15,15,10,20
Grin1,4,14,15,3
Ankrd46,15,14,9,20
Cacnb4,5,13,1,17
Myo9a,5,8,1,12
Kcnab2,2,14,3,13
Omg,6,1,8,19
Gcc2,12,9,19,2
Kcnq2,11,2,18,15
Ndufs1,16,5,5,16
Prickle2,1,10,9,2
Scamp5,7,10,20,17
Pten,2,11,8,5
Syngr3,16,7,17,6
Etnk1,15,16,13,18
Rbfox2,12,2,15,19
Atp8a1,14,9,17,6
Gnb5,7,18,13,12
Cdip1,18,20,5,13
Wac,17,20,3,14
Scamp1,20,8,5,3
Prrc2b,2,19,16,5
Eef1a2,11,10,16,5
Dnajc7,14,15,12,17
Nkiras1,16,10,16,10
Rap1gds1,19,5,18,6
Ppfia2,17,6,8,15
Slc1a1,8,5,14,19
Ccdc32,17,17,6,8
Cdk14,5,3,14,14
Tpr,13,16,7,2
Pum1,8,11,2,17
Camsap2,7,3,20,10
R3hdm4,6,5,10,1
Gdap1,13,20,12,1
Naa15,3,12,9,6
Dlgap4,14,4,19,19
Hars,19,11,1,9
Nrip3,14,6,19,1
Cttn,2,12,16,18
Dzip3,11,12,12,11
Cend1,10,19,2,7
Slc17a7,18,6,12,12
Lynx1,20,10,6,4
Pcnp,15,18,12,1
Rab11b,16,3,15,4
Unc13a,12,20,2,10
Ankrd17,7,13,15,5
Kif3c,15,4,3,16
Glg1,16,2,20,18
Spag9,16,16,17,15
Ubxn4,6,13,5,14
Ppig,15,2,4,13
Dync1li2,8,5,9,4
Hnrnph2,9,9,8,10
Pdia6,7,3,11,19
Tspyl1,8,1,7,2
Pam,1,8,10,19
Dner,16,6,11,11
Atp1a1,10,1,14,17
Wdr7,8,10,11,7
Brd3,18,20,14,4
Nefm,7,2,13,16
Sphkap,17,6,5,18
Fam49b,6,3,20,9
Caln1,17,13,15,15
Atp6v0a1,18,3,18,3
Camk4,1,9,4,6
Ppm1k,4,11,1,14
Zer1,9,2,9,2
Camkk2,4,19,1,2
Usp7,10,3,13,20
Scg3,16,1,5,12
Prkaca,16,8,8,16
Fam81a,5,4,1,8
Wbp4,17,3,11,9
Cdk5,12,5,16,1
Efr3a,11,17,16,12
Ist1,15,2,1,16
Nr3c1,20,13,14,19
Sec23a,17,18,3,12
Stim2,8,16,1,3
Sltm,14,12,1,5
Dlg3,5,4,7,2
Ildr2,2,13,10,5
Nlgn1,20,11,14,17
Ylpm1,14,19,15,18
Clip3,3,6,3,6
Gprasp2,3,7,12,18
Plekhg5,12,8,10,10
Nmt2,9,10,20,19
Fry,4,12,2,14
Mprip,20,9,4,5
Chchd10,18,4,10,12
Brd4,11,13,19,5
Bdnf,3,11,2,12
Rab18,12,15,8,19
Mical2,3,8,16,15
Adam23,6,8,5,9
Glyr1,19,19,11,7
Tnpo3,15,12,18,9
Snph,8,3,11,20
Tef,4,20,11,13
Fyttd1,1,11,16,16
Arhgap32,15,11,12,14
Cab39,19,9,3,5
Gas7,2,6,2,6
Sdf2,8,20,9,19
Nap1l2,16,20,9,7
Mapk8,9,14,1,2
Pgbd5,9,7,4,12
Ttll7,13,8,11,10
Gps1,8,3,10,1
Por,11,1,7,5
Map4k3,3,7,10,20
Rgs2,8,2,12,18
Rabl6,18,7,12,13
Herc3,16,15,19,12
Ppp1r11,8,15,12,11
Sec14l1,9,20,12,17
Arpc4,11,15,20,6
Hspa13,6,17,18,5
Arhgap21,1,14,14,1
Cap1,11,13,8,16
Tub,5,6,20,11
Arid4b,1,5,7,19
Mfn2,9,20,11,18
Chp1,13,4,9,8
Ddb1,4,2,3,3
Cpd,4,4,3,5
Pbrm1,3,3,15,11
Arhgef2,8,10,4,14
Eprs,7,8,18,17
Htatsf1,10,15,2,3
Cpt1c,12,18,9,1
Cdc37,11,18,15,14
Dcaf7,19,2,14,7
Lrrtm2,10,15,16,9
Fzd3,15,5,4,16
Elmo2,10,11,17,4
Dctn1,15,10,17,8
Homer2,12,9,9,12
Tenm4,4,3,11,16
Rasl11b,5,7,12,20
Psmd8,10,5,16,19
Tiprl,5,1,7,19
Dpp6,3,17,16,4
Bet1l,7,16,12,11
C2cd2l,18,9,1,6
Ajap1,18,12,3,7
Slc2a3,10,1,11,20
Myadm,3,18,4,17
Lrrn3,14,18,17,15
Rtn4rl1,19,11,6,4
Cul5,3,3,8,18
Man1a,15,15,6,4
Ccar1,9,18,11,16
Tyro3,15,12,6,1
Btbd9,1,20,15,6
Apc,2,15,15,2
Eml5,2,11,10,3
Lgi1,2,20,6,16
Tmco1,17,9,6,20
Eif4g1,11,12,15,8
Snx27,17,13,18,12
Lmbrd1,7,15,20,2
Rab15,14,5,11,8
Sgta,19,1,13,7
Kpnb1,12,17,9,20
Grpel1,14,5,20,19
Mras,3,7,7,3
Mrpl11,2,8,2,8
Cops8,3,9,1,11
Man2a2,6,20,11,15
Tmed7,1,4,3,2
Nlk,8,8,13,3
Samd8,17,5,7,15
Ndst3,3,1,20,4
Dcun1d1,3,12,16,19
Cand1,18,19,6,11
Cpeb1,9,1,2,8
Fyn,12,5,5,12
Gripap1,13,20,10,3
Nedd4l,8,12,13,7
Ina,19,3,12,10
Dcaf12l1,19,3,6,16
Cpsf2,5,18,20,3
Commd8,2,5,15,12
Zcchc7,14,18,3,9
Matn2,5,16,1,20
Stip1,4,10,7,7
Slc8a2,11,5,15,1
Wdr6,9,6,13,2
Prpf40a,10,12,13,9
Naa35,17,12,19,10
Zfp462,3,15,5,13
Slitrk4,13,5,17,1
Mgrn1,6,11,20,17
Slc38a2,11,15,14,12
Cmas,1,13,13,1
Rpn2,6,3,16,13
Dusp3,14,1,2,13
Clptm1l,12,9,5,16
Gphn,2,12,5,9
Ccdc25,6,13,1,18
Snrnp70,20,6,13,13
Sumo3,6,11,19,18
Acin1,11,2,4,9
Smc6,8,14,8,14
Puf60,12,1,2,11
Rnf157,16,19,11,4
Zfp292,20,18,9,9
Epm2aip1,17,12,1,8
Prpf19,7,12,4,15
Smu1,3,17,9,11
Nr2f1,4,4,17,11
Clstn3,6,17,7,16
Sorbs1,1,7,5,3
Elavl1,19,1,9,11
Flrt2,16,9,6,19
Ppp1cc,8,20,8,20
Enpp5,6,16,20,2
Bcr,20,20,11,9
Sppl3,11,11,16,6
Kcnn2,18,8,17,9
Sf1,13,9,17,5
Uba5,9,2,16,15
Mrps25,7,13,17,3
R3hdm2,15,10,8,17
Senp6,1,10,18,13
Ano3,15,18,10,3
Actr1a,13,8,3,18
Zdhhc20,13,19,8,4
Mtmr6,4,2,1,5
Pcmtd2,12,10,17,5
Rab5b,20,8,15,13
Arid4a,7,20,8,19
Lancl2,2,7,11,18
Tcf20,20,13,9,4
Wdr82,18,19,10,7
Cntnap2,13,5,12,6
Chid1,20,9,1,8
Tmem33,15,12,8,19
Dap3,1,17,1,17
Slc48a1,17,7,11,13
Papola,10,4,2,12
Smap2,12,1,11,2
Tmx3,2,14,8,8
Spcs2,15,16,4,7
Map3k12,5,8,18,15
Kifc2,11,5,14,2
Reep2,3,9,20,12
Lix1,5,8,6,7
Mkrn1,1,13,4,10
Atxn2,19,4,15,8
Top2b,20,4,18,6
Chm,2,10,18,14
Kcnv1,9,9,11,7
Tprgl,12,8,5,15
Usp48,14,12,5,1
Fndc5,1,14,5,10
