gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
103,α³,α³,α³,0,α⁴,0,0,0,α⁶,0
104,α⁷,1,0,α³,α²,0,0,0,α⁷,0
105,α⁶,0,1,α⁷,α⁴,0,0,0,α⁷,0
106,α⁴,α⁴,α⁴,0,α⁵,0,0,0,α⁷,0
107,0,α⁶,α³,α³,α,0,0,0,1,0
108,α⁷,0,α,1,α⁵,0,0,0,1,0
109,α⁵,α⁵,α⁵,0,α⁶,0,0,0,1,0
110,α³,0,α⁷,1,α⁴,0,0,0,0,α
111,0,α²,1,α²,α⁷,0,0,0,0,α
112,α⁵,α⁶,α⁷,0,α,0,0,0,0,α²
113,0,α³,α,α³,1,0,0,0,0,α²
114,0,α⁴,α²,α⁴,α,0,0,0,0,α³
115,α⁶,α⁷,1,0,α²,0,0,0,0,α³
116,α⁷,α,0,α⁷,α⁵,0,0,0,0,α³
117,0,α⁵,α³,α⁵,α²,0,0,0,0,α⁴
118,α⁷,1,α,0,α³,0,0,0,0,α⁴
119,1,α²,0,1,α⁶,0,0,0,0,α⁴
120,α⁶,0,α²,α³,α⁷,0,0,0,0,α⁴
121,0,α⁶,α⁴,α⁶,α³,0,0,0,0,α⁵
122,1,α,α²,0,α⁴,0,0,0,0,α⁵
123,α,α³,0,α,α⁷,0,0,0,0,α⁵
124,1,0,α⁴,α⁵,α,0,0,0,0,α⁶
125,0,α⁷,α⁵,α⁷,α⁴,0,0,0,0,α⁶
126,α,α²,α³,0,α⁵,0,0,0,0,α⁶
127,α²,α³,α⁴,0,α⁶,0,0,0,0,α⁷
128,α⁴,α⁶,0,α⁴,α²,0,0,0,0,1
129,α³,α⁴,α⁵,0,α⁷,0,0,0,0,1
130,1,α⁷,α⁶,0,0,α²,α,0,0,0
131,α⁵,α⁵,0,α⁷,0,α³,α,0,0,0
132,0,α,α⁵,α⁵,0,α⁵,α,0,0,0
133,α⁶,α⁶,0,1,0,α⁴,α²,0,0,0
134,0,α²,α⁶,α⁶,0,α⁶,α²,0,0,0
135,α²,0,α²,α,0,α⁷,α²,0,0,0
136,0,α³,α⁷,α⁷,0,α⁷,α³,0,0,0
137,α³,0,α³,α²,0,1,α³,0,0,0
138,α⁴,0,α⁴,α³,0,α,α⁴,0,0,0
139,α³,α²,α,0,0,α⁵,α⁴,0,0,0
140,1,1,0,α²,0,α⁶,α⁴,0,0,0
141,0,α⁴,1,1,0,1,α⁴,0,0,0
142,0,α⁵,α,α,0,α,α⁵,0,0,0
143,α⁴,α³,α²,0,0,α⁶,α⁵,0,0,0
144,α,α,0,α³,0,α⁷,α⁵,0,0,0
145,0,α⁶,α²,α²,0,α²,α⁶,0,0,0
146,α⁶,0,α⁶,α⁵,0,α³,α⁶,0,0,0
147,α⁵,α⁴,α³,0,0,α⁷,α⁶,0,0,0
148,α²,α²,0,α⁴,0,1,α⁶,0,0,0
149,α³,α³,0,α⁵,0,α,α⁷,0,0,0
150,α⁶,α⁵,α⁴,0,0,1,α⁷,0,0,0
151,α⁷,α⁶,α⁵,0,0,α,1,0,0,0
152,α⁴,α⁴,0,α⁶,0,α²,1,0,0,0
153,0,1,α⁴,α⁴,0,α⁴,1,0,0,0
154,1,0,1,α⁷,0,α⁵,1,0,0,0
155,α⁵,0,1,α²,0,α,0,α,0,0
156,α,α,α²,0,0,α²,0,α,0,0
157,α²,α²,α³,0,0,α³,0,α²,0,0
158,α³,α³,α⁴,0,0,α⁴,0,α³,0,0
159,1,0,α³,α⁵,0,α⁴,0,α⁴,0,0
160,0,α,α⁷,α²,0,α³,0,α⁵,0,0
161,0,α²,1,α³,0,α⁴,0,α⁶,0,0
162,α²,0,α⁵,α⁷,0,α⁶,0,α⁶,0,0
163,0,α³,α,α⁴,0,α⁵,0,α⁷,0,0
164,α,α²,0,α,0,α⁶,0,α⁷,0,0
165,0,α⁴,α²,α⁵,0,α⁶,0,1,0,0
166,α²,α³,0,α²,0,α⁷,0,1,0,0
167,0,α⁵,α⁶,1,0,α³,0,0,α,0
168,α⁵,0,α⁴,α⁵,0,α⁶,0,0,α,0
169,α⁶,1,0,α,0,1,0,0,α,0
170,α⁷,α,0,α²,0,α,0,0,α²,0
171,α⁴,α⁵,α,0,0,α²,0,0,α²,0
172,1,α²,0,α³,0,α²,0,0,α³,0
173,α⁵,α⁶,α²,0,0,α³,0,0,α³,0
174,1,0,α⁷,1,0,α,0,0,α⁴,0
175,α,α³,0,α⁴,0,α³,0,0,α⁴,0
176,α⁶,α⁷,α³,0,0,α⁴,0,0,α⁴,0
177,0,1,α,α³,0,α⁶,0,0,α⁴,0
178,0,α,α²,α⁴,0,α⁷,0,0,α⁵,0
179,α²,0,α,α²,0,α³,0,0,α⁶,0
