"","lambda","gamma","suppSize"
"1",0.0450786,0,0
"2",0.0446278,0,1
"3",0.0396532,0,2
"4",0.0326393,0,3
"5",0.0252046,0,4
"6",0.0245939,0,5
"7",0.0212048,0,7
"8",0.0202691,0,8
"9",0.0197316,0,8
"10",0.0191818,0,9
"11",0.0186078,0,10
"12",0.0167528,0,11
"13",0.0149708,0,14
"14",0.0145483,0,15
"15",0.0140617,0,16
"16",0.011416,0,17
"17",0.0106718,0,19
"18",0.0105571,0,22
"19",0.0098572,0,23
"20",0.00871451,0,24
"21",0.00796774,0,25
"22",0.00204808,0,26
"23",0.00103057,0,27
"24",0.000688968,0,28
"25",0.000300889,0,28
"26",0.00020595,0,30
"27",0.000134615,0,31
"28",0.000102196,0,32
"29",9.80838e-05,0,33
"30",7.10001e-05,0,33
"31",5.40721e-05,0,38
"32",4.60141e-05,0,39
"33",3.33694e-05,0,41
"34",3.21591e-05,0,42
"35",3.11943e-05,0,44
"36",2.78646e-05,0,44
"37",2.22917e-05,0,47
"38",1.84075e-05,0,47
"39",1.4726e-05,0,48
"40",1.42842e-05,0,48
"41",1.27313e-05,0,50
"42",1.14444e-05,0,50
"43",9.1555e-06,0,52
"44",8.88083e-06,0,54
"45",8.61441e-06,0,54
"46",6.89153e-06,0,56
"47",6.68478e-06,0,57
"48",6.48424e-06,0,57
"49",5.18739e-06,0,57
"50",4.14991e-06,0,60
"51",4.02541e-06,0,60
"52",3.22033e-06,0,62
"53",3.12372e-06,0,62
"54",2.49898e-06,0,64
"55",2.42401e-06,0,64
"56",1.93921e-06,0,68
"57",1.88103e-06,0,70
"58",1.8246e-06,0,71
"59",1.76986e-06,0,70
"60",1.71677e-06,0,71
"61",1.66526e-06,0,73
"62",1.45158e-06,0,74
"63",1.40803e-06,0,74
"64",1.12642e-06,0,77
"65",1.09263e-06,0,78
"66",1.05985e-06,0,79
"67",1.02806e-06,0,79
"68",8.22445e-07,0,82
"69",7.97771e-07,0,82
"70",6.38217e-07,0,89
"71",6.1907e-07,0,89
"72",4.95256e-07,0,91
"73",4.80399e-07,0,95
"74",4.65987e-07,0,95
"75",3.72789e-07,0,97
"76",3.61606e-07,0,99
"77",3.50758e-07,0,100
"78",3.40235e-07,0,101
"79",3.30028e-07,0,101
"80",3.20127e-07,0,102
"81",3.10523e-07,0,105
"82",3.01207e-07,0,106
"83",2.92171e-07,0,106
"84",2.33737e-07,0,108
"85",2.26725e-07,0,108
"86",1.8138e-07,0,111
"87",1.75938e-07,0,111
"88",1.40751e-07,0,118
"89",1.36528e-07,0,120
"90",1.32432e-07,0,123
"91",1.28459e-07,0,125
"92",1.24606e-07,0,125
"93",9.96845e-08,0,126
"94",9.6694e-08,0,129
"95",9.37932e-08,0,130
"96",9.09794e-08,0,132
"97",8.825e-08,0,136
"98",8.56025e-08,0,134
"99",8.30344e-08,0,135
"100",8.05434e-08,0,136
