"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"37",1446,1446,"[266, 447, 690, 1023]",0,2.25,2.6,1,79,2.94247e-07
"74",1446,1446,"[258, 442, 687, 1017]",0,1.95,2.35,1,42,7.72183e-06
"76",1446,1446,"[260, 442, 687, 1017]",0,1.95,2.45,1,51,2.65996e-06
"427",1446,1446,"[260, 447, 690, 1021]",0,2.1,2.65,1,8,0.0172574
"503",1446,1446,"[263, 459, 692, 1024]",0,2.3,2.8,1,46,4.55386e-06
"825",1785,1785,"[94, 389, 1100, 1106]",0,2.15,6.05,1,30,3.64536e-05
"828",1785,1785,"[94, 390, 1100, 1106]",0,2.15,6.1,1,91,1.14532e-07
"830",1785,1785,"[94, 393, 1100, 1106]",0,2.2,6.05,1,80,2.85419e-07
"922",2095,2095,"[509, 576, 787, 890]",0,2.95,2.15,1,20,0.00583972
"1543",1000,1000,"[67, 490, 811, 966]",0,2.35,3.2,1,24,0.000135469
"1562",1000,1000,"[64, 494, 814, 966]",0,2.4,3.25,1,57,1.24297e-06
"1567",1000,1000,"[62, 494, 815, 966]",0,2.4,3.2,1,90,1.18074e-07
"1570",1000,1000,"[67, 494, 815, 966]",0,2.45,3.25,1,87,1.56863e-07
"1804",1000,1000,"[65, 496, 815, 978]",0,2.45,3.6,1,58,1.20568e-06
"1805",1000,1000,"[69, 496, 815, 978]",0,2.5,3.6,1,53,2.06413e-06
"1965",612,612,"[163, 209, 400, 1158]",0,2.95,3.35,1,9,0.0163251
"2074",1000,1000,"[63, 495, 814, 977]",0,2.45,3.35,1,11,0.0154239
"2200",1370,1370,"[132, 467, 643, 987]",0,2.4,5.75,1,43,5.91667e-06
"2209",1370,1370,"[134, 475, 646, 987]",0,2.6,5.55,1,16,0.0120005
"2214",1785,1785,"[94, 393, 1103, 1112]",0,2.35,6,1,19,0.00767848
"2226",1785,1785,"[96, 393, 1102, 1111]",0,2.4,5.85,1,74,4.15465e-07
"2233",1565,1565,"[438, 540, 871, 1120]",0,2.9,6.1,1,33,2.06251e-05
"2234",1565,1565,"[438, 541, 871, 1120]",0,2.9,6.15,1,31,3.2898e-05
"2283",1565,1565,"[430, 538, 868, 1112]",0,2.6,6.15,1,91,1.14532e-07
"2284",1565,1565,"[434, 538, 868, 1112]",0,2.65,6.15,1,6,0.0210345
"2308",2095,2095,"[511, 576, 787, 892]",0,3.1,2.2,1,94,8.62106e-08
"2311",2095,2095,"[511, 577, 787, 892]",0,3.15,2.2,1,57,1.24297e-06
"2318",2095,2095,"[510, 577, 788, 892]",0,3.15,2.2,1,96,8.11155e-08
"2319",2095,2095,"[511, 577, 788, 892]",0,3.2,2.2,1,60,1.13442e-06
