"","lambda","gamma","suppSize"
"1",0.0426184,0,1
"2",0.0369679,0,2
"3",0.0351309,0,3
"4",0.0263348,0,4
"5",0.0254544,0,5
"6",0.0229395,0,6
"7",0.0215298,0,8
"8",0.0205762,0,9
"9",0.0201744,0,10
"10",0.0181538,0,12
"11",0.0146464,0,14
"12",0.0137546,0,15
"13",0.0132197,0,18
"14",0.0104491,0,20
"15",0.00857768,0,21
"16",0.00792623,0,24
"17",0.00160045,0,25
"18",0.000671987,0,25
"19",0.00053759,0,26
"20",0.000338119,0,27
"21",0.000246416,0,29
"22",0.000150322,0,29
"23",0.000103571,0,30
"24",7.25766e-05,0,30
"25",5.80613e-05,0,31
"26",4.39622e-05,0,32
"27",4.29678e-05,0,33
"28",4.25309e-05,0,34
"29",2.48372e-05,0,35
"30",2.48224e-05,0,36
"31",1.80404e-05,0,37
"32",1.50597e-05,0,37
"33",1.20478e-05,0,40
"34",1.16864e-05,0,40
"35",9.34909e-06,0,42
"36",9.06862e-06,0,42
"37",7.25489e-06,0,42
"38",5.80392e-06,0,43
"39",5.71978e-06,0,44
"40",5.54818e-06,0,46
"41",4.7755e-06,0,49
"42",4.71794e-06,0,50
"43",4.12334e-06,0,53
"44",3.99964e-06,0,54
"45",3.87965e-06,0,55
"46",3.65232e-06,0,55
"47",2.92186e-06,0,59
"48",2.8342e-06,0,59
"49",2.74918e-06,0,59
"50",2.19934e-06,0,59
"51",1.75947e-06,0,63
"52",1.70669e-06,0,65
"53",1.65549e-06,0,66
"54",1.60582e-06,0,67
"55",1.55765e-06,0,68
"56",1.51092e-06,0,69
"57",1.46559e-06,0,69
"58",1.17247e-06,0,74
"59",1.1373e-06,0,74
"60",9.09839e-07,0,77
"61",8.82544e-07,0,79
"62",8.56068e-07,0,79
"63",6.84854e-07,0,80
"64",6.64308e-07,0,81
"65",6.44379e-07,0,81
"66",5.15503e-07,0,81
"67",4.12403e-07,0,87
"68",4.00031e-07,0,87
"69",3.20024e-07,0,87
"70",2.5602e-07,0,89
"71",2.48339e-07,0,91
"72",2.40889e-07,0,92
"73",2.33662e-07,0,92
"74",1.8693e-07,0,94
"75",1.81322e-07,0,97
"76",1.75882e-07,0,99
"77",1.70606e-07,0,101
"78",1.65488e-07,0,102
"79",1.60523e-07,0,103
"80",1.55707e-07,0,106
"81",1.51036e-07,0,108
"82",1.46505e-07,0,111
"83",1.4211e-07,0,112
"84",1.37846e-07,0,112
"85",1.10277e-07,0,114
"86",1.06969e-07,0,114
"87",8.55751e-08,0,118
"88",8.30078e-08,0,120
"89",8.05176e-08,0,121
"90",7.81021e-08,0,122
"91",7.5759e-08,0,122
"92",6.06072e-08,0,123
"93",5.8789e-08,0,125
"94",5.70253e-08,0,126
"95",5.53146e-08,0,127
"96",5.36551e-08,0,128
"97",5.20455e-08,0,130
"98",5.04841e-08,0,129
"99",4.89696e-08,0,130
"100",4.75005e-08,0,133
