"","lambda","gamma","suppSize"
"1",0.0411601,0,1
"2",0.0342944,0,2
"3",0.0264143,0,3
"4",0.0239187,0,4
"5",0.0234113,0,5
"6",0.0225013,0,7
"7",0.0218901,0,8
"8",0.0199312,0,9
"9",0.0189639,0,10
"10",0.0175201,0,12
"11",0.0146823,0,13
"12",0.0138046,0,14
"13",0.0128153,0,15
"14",0.0122944,0,16
"15",0.0113374,0,19
"16",0.0106284,0,23
"17",0.00724966,0,24
"18",0.0010017,0,25
"19",0.000315333,0,26
"20",0.000230064,0,27
"21",0.000217183,0,27
"22",0.000173746,0,28
"23",0.000145775,0,28
"24",0.00011662,0,29
"25",0.00011027,0,30
"26",0.00010576,0,31
"27",8.72045e-05,0,32
"28",4.19912e-05,0,33
"29",2.85797e-05,0,34
"30",2.77223e-05,0,35
"31",2.33471e-05,0,36
"32",1.96507e-05,0,38
"33",1.62331e-05,0,38
"34",1.29865e-05,0,42
"35",1.16614e-05,0,44
"36",9.7277e-06,0,44
"37",7.78216e-06,0,48
"38",4.96168e-06,0,52
"39",4.81283e-06,0,53
"40",4.66844e-06,0,55
"41",4.52839e-06,0,55
"42",3.62271e-06,0,58
"43",3.51403e-06,0,59
"44",3.40861e-06,0,59
"45",2.72689e-06,0,61
"46",2.64508e-06,0,61
"47",2.11606e-06,0,64
"48",2.05258e-06,0,63
"49",1.991e-06,0,64
"50",1.93127e-06,0,64
"51",1.54502e-06,0,67
"52",1.49867e-06,0,67
"53",1.45371e-06,0,67
"54",1.16297e-06,0,69
"55",1.12808e-06,0,69
"56",9.02462e-07,0,75
"57",8.75389e-07,0,77
"58",8.49127e-07,0,79
"59",8.23653e-07,0,80
"60",7.98944e-07,0,79
"61",7.74975e-07,0,78
"62",7.51726e-07,0,78
"63",6.01381e-07,0,79
"64",5.83339e-07,0,79
"65",4.66671e-07,0,80
"66",4.52671e-07,0,80
"67",3.62137e-07,0,81
"68",3.51273e-07,0,85
"69",3.40735e-07,0,88
"70",3.30513e-07,0,87
"71",3.20597e-07,0,88
"72",3.10979e-07,0,88
"73",2.48784e-07,0,88
"74",1.99027e-07,0,92
"75",1.93056e-07,0,93
"76",1.87264e-07,0,95
"77",1.81646e-07,0,96
"78",1.76197e-07,0,97
"79",1.70911e-07,0,98
"80",1.65784e-07,0,98
"81",1.6081e-07,0,101
"82",1.55986e-07,0,102
"83",1.51306e-07,0,103
"84",1.46767e-07,0,104
"85",1.42364e-07,0,104
"86",1.13891e-07,0,107
"87",1.10475e-07,0,107
"88",8.83797e-08,0,109
"89",8.57283e-08,0,111
"90",8.31564e-08,0,111
"91",8.06617e-08,0,111
"92",7.82419e-08,0,113
"93",7.58946e-08,0,114
"94",7.36178e-08,0,117
"95",7.14093e-08,0,117
"96",5.71274e-08,0,119
"97",5.54136e-08,0,120
"98",5.37512e-08,0,121
"99",5.21386e-08,0,121
"100",4.17109e-08,0,121
