"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"7",320,320,"[2, 727, 919, 1030]",0,2.4,2.75,1,96,6.98654e-08
"341",320,320,"[5, 727, 923, 1032]",0,2.55,2.8,1,10,0.0148875
"685",231,231,"[86, 373, 965, 1158]",0,2.2,3.8,1,90,1.01698e-07
"712",231,231,"[85, 372, 964, 1161]",0,2.25,3.65,1,54,1.42228e-06
"807",231,231,"[87, 373, 967, 1164]",0,2.4,3.8,1,15,0.0104172
"832",231,231,"[86, 373, 968, 1158]",0,2.25,3.85,1,29,7.54799e-05
"1132",914,914,"[143, 772, 977, 1229]",0,2.8,4.45,1,24,0.000175001
"1198",381,381,"[128, 296, 444, 1143]",0,2.5,6.15,1,42,5.87257e-06
"1199",381,381,"[128, 299, 444, 1143]",0,2.55,6.15,1,70,4.04209e-07
"1254",381,381,"[128, 296, 444, 1133]",0,2.4,6.1,1,9,0.0180398
"1744",381,381,"[123, 290, 429, 1131]",0,2.05,6.45,1,34,2.31176e-05
"1761",381,381,"[123, 294, 429, 1131]",0,2.1,6.5,1,33,3.29068e-05
"1767",381,381,"[123, 297, 429, 1131]",0,2.15,6.45,1,86,1.68885e-07
"1890",381,381,"[123, 297, 429, 1134]",0,2.2,6.4,1,82,1.90767e-07
"2326",381,381,"[124, 298, 430, 1136]",0,2.2,6.65,1,62,6.25337e-07
"2581",320,320,"[6, 730, 922, 1036]",0,2.75,2.8,1,70,4.04209e-07
"2583",320,320,"[10, 730, 922, 1036]",0,2.8,2.8,1,82,1.90767e-07
"2598",320,320,"[10, 730, 926, 1034]",0,2.8,2.85,1,38,9.69801e-06
"2811",914,914,"[144, 773, 978, 1230]",0,2.85,4.65,1,76,2.77686e-07
"2813",914,914,"[144, 775, 978, 1230]",0,2.9,4.6,1,77,2.69356e-07
"3177",1992,1992,"[699, 934, 1123, 1208]",0,3.75,2.15,1,31,4.35687e-05
"3374",1992,1992,"[701, 934, 1125, 1208]",0,3.75,2.35,1,92,7.89179e-08
"3413",1992,1992,"[700, 930, 1121, 1203]",0,3.55,2.35,1,88,1.31054e-07
"3718",1992,1992,"[700, 930, 1121, 1207]",0,3.6,2.4,1,93,7.65503e-08
"3894",1992,1992,"[703, 932, 1121, 1207]",0,3.6,2.7,1,7,0.0193678
"3971",1906,1906,"[19, 200, 317, 490]",0,3.35,3.75,1,80,2.0275e-07
"3974",1906,1906,"[19, 202, 317, 490]",0,3.4,3.7,1,68,4.29598e-07
"4128",1906,1906,"[17, 198, 315, 488]",0,3.35,3.35,1,5,0.0224855
"4588",1906,1906,"[22, 203, 321, 491]",0,3.5,3.8,1,26,0.000125817
