"","lambda","gamma","suppSize"
"1",0.0443589,0,1
"2",0.0325983,0,3
"3",0.0294559,0,4
"4",0.0228291,0,5
"5",0.0192532,0,6
"6",0.0182426,0,7
"7",0.0165755,0,9
"8",0.0157211,0,13
"9",0.0155428,0,16
"10",0.0152749,0,17
"11",0.0145765,0,19
"12",0.01348,0,20
"13",0.0116131,0,21
"14",0.010627,0,23
"15",0.0101595,0,24
"16",0.000799311,0,25
"17",0.000455363,0,25
"18",0.000268173,0,26
"19",0.000251598,0,28
"20",0.000130436,0,29
"21",0.000119622,0,29
"22",9.56975e-05,0,31
"23",8.75723e-05,0,31
"24",4.9183e-05,0,32
"25",3.51457e-05,0,33
"26",3.29861e-05,0,34
"27",3.19965e-05,0,34
"28",2.89193e-05,0,35
"29",2.80517e-05,0,35
"30",2.16544e-05,0,36
"31",2.10047e-05,0,36
"32",1.68038e-05,0,39
"33",1.62997e-05,0,39
"34",1.30397e-05,0,40
"35",1.26486e-05,0,40
"36",1.01188e-05,0,40
"37",8.09507e-06,0,42
"38",7.85222e-06,0,42
"39",6.28178e-06,0,43
"40",6.09332e-06,0,43
"41",4.87466e-06,0,50
"42",4.72842e-06,0,50
"43",3.78274e-06,0,51
"44",3.66925e-06,0,52
"45",3.55918e-06,0,53
"46",3.4524e-06,0,53
"47",3.34883e-06,0,53
"48",2.67906e-06,0,53
"49",2.14325e-06,0,58
"50",2.07895e-06,0,59
"51",2.01658e-06,0,59
"52",1.61327e-06,0,60
"53",1.56487e-06,0,60
"54",1.2519e-06,0,65
"55",1.21434e-06,0,67
"56",1.17791e-06,0,68
"57",1.14257e-06,0,69
"58",1.10829e-06,0,69
"59",8.86635e-07,0,70
"60",8.60036e-07,0,71
"61",8.34235e-07,0,73
"62",8.09208e-07,0,73
"63",6.47366e-07,0,76
"64",6.27945e-07,0,76
"65",5.02356e-07,0,79
"66",4.87286e-07,0,82
"67",4.72667e-07,0,83
"68",4.58487e-07,0,84
"69",4.44732e-07,0,84
"70",3.55786e-07,0,84
"71",2.84629e-07,0,87
"72",2.7609e-07,0,90
"73",2.67807e-07,0,92
"74",2.59773e-07,0,92
"75",2.07818e-07,0,97
"76",2.01584e-07,0,96
"77",1.95536e-07,0,96
"78",1.56429e-07,0,97
"79",1.51736e-07,0,98
"80",1.47184e-07,0,99
"81",1.42769e-07,0,99
"82",1.14215e-07,0,101
"83",1.10788e-07,0,104
"84",1.07465e-07,0,105
"85",1.04241e-07,0,105
"86",1.01114e-07,0,109
"87",9.80802e-08,0,111
"88",9.51378e-08,0,112
"89",9.22836e-08,0,111
"90",8.95151e-08,0,113
"91",8.68297e-08,0,113
"92",8.42248e-08,0,113
"93",8.1698e-08,0,114
"94",7.92471e-08,0,115
"95",7.68697e-08,0,116
"96",7.45636e-08,0,119
"97",7.23267e-08,0,120
"98",7.01569e-08,0,120
"99",5.61255e-08,0,123
"100",5.44417e-08,0,125
