"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"2",1825,1825,"[6, 548, 644, 771]",0,2.05,2.3,1,38,6.8057e-06
"7",1825,1825,"[6, 548, 644, 769]",0,2.05,2.2,1,32,2.25584e-05
"33",1825,1825,"[6, 553, 645, 771]",0,2.1,2.4,1,54,1.14077e-06
"42",1825,1825,"[8, 553, 645, 771]",0,2.15,2.45,1,7,0.0202745
"60",537,537,"[105, 164, 468, 842]",0,2.35,3.25,1,50,1.5624e-06
"62",537,537,"[108, 164, 468, 842]",0,2.4,3.3,1,12,0.0138303
"65",537,537,"[108, 165, 466, 843]",0,2.35,3.4,1,60,7.83691e-07
"71",537,537,"[108, 165, 466, 845]",0,2.4,3.35,1,56,1.07335e-06
"77",537,537,"[108, 165, 468, 845]",0,2.45,3.35,1,75,2.29612e-07
"93",1752,1752,"[562, 673, 1077, 1086]",0,2.45,4.55,1,33,1.16514e-05
"139",1752,1752,"[554, 673, 1082, 1086]",0,2.45,4.6,1,14,0.00924747
"140",1752,1752,"[562, 673, 1082, 1086]",0,2.5,4.6,1,43,2.84284e-06
"291",1752,1752,"[563, 676, 1082, 1090]",0,2.65,4.7,1,35,9.04148e-06
"450",416,416,"[190, 521, 787, 825]",0,3.1,4.9,1,44,2.75756e-06
"585",706,706,"[134, 415, 1127, 1243]",0,3.1,4.95,1,51,1.51552e-06
"731",706,706,"[134, 419, 1127, 1247]",0,3.2,4.95,1,72,3.05043e-07
"749",416,416,"[191, 522, 787, 826]",0,3.1,5.05,1,38,6.8057e-06
"1034",706,706,"[134, 419, 1125, 1248]",0,3.15,5.1,1,10,0.0160051
"1086",1008,1008,"[64, 291, 756, 968]",0,3.75,2.2,1,11,0.0151659
"1111",1568,1568,"[516, 892, 1167, 1179]",0,3.25,3.75,1,80,1.34119e-07
"1123",1568,1568,"[517, 893, 1171, 1179]",0,3.3,3.9,1,74,2.36713e-07
"1171",1568,1568,"[515, 893, 1170, 1178]",0,3.3,3.7,1,11,0.0151659
"1649",416,416,"[189, 525, 791, 827]",0,3.25,4.55,1,27,3.88315e-05
"1663",416,416,"[190, 529, 787, 825]",0,3.2,4.95,1,98,4.34846e-08
"1712",416,416,"[185, 522, 787, 829]",0,3.1,5,1,6,0.0237606
"1713",416,416,"[190, 522, 787, 829]",0,3.15,5,1,70,3.24203e-07
"1898",706,706,"[138, 419, 1127, 1247]",0,3.25,4.95,1,71,3.14477e-07
"2098",416,416,"[191, 522, 787, 829]",0,3.15,5.05,1,55,1.10654e-06
"3279",1803,1803,"[73, 194, 424, 746]",0,3.25,6.45,1,33,1.16514e-05
"3526",320,320,"[37, 736, 925, 1105]",0,3.4,6.3,1,7,0.0202745
"3919",320,320,"[37, 736, 930, 1109]",0,3.5,6.4,1,96,4.62159e-08
"3920",320,320,"[39, 736, 930, 1109]",0,3.55,6.4,1,70,3.24203e-07
"3927",320,320,"[37, 738, 930, 1109]",0,3.5,6.5,1,66,4.4403e-07
"3930",320,320,"[40, 738, 930, 1109]",0,3.55,6.55,1,52,1.47006e-06
"3931",320,320,"[37, 741, 930, 1109]",0,3.55,6.45,1,84,1.18734e-07
"3946",320,320,"[37, 741, 932, 1109]",0,3.6,6.4,1,82,1.26192e-07
"4053",320,320,"[35, 738, 930, 1110]",0,3.5,6.6,1,29,2.94398e-05
"4076",320,320,"[37, 741, 932, 1110]",0,3.65,6.45,1,48,2.0134e-06
"4274",1008,1008,"[66, 291, 755, 968]",0,3.8,2.1,1,65,4.57763e-07
"4303",1008,1008,"[66, 291, 760, 968]",0,3.85,2.15,1,81,1.30095e-07
"4371",1008,1008,"[66, 291, 760, 969]",0,3.9,2.2,1,63,5.899e-07
"4394",1008,1008,"[69, 297, 762, 969]",0,4.1,2.1,1,35,9.04148e-06
"4548",235,235,"[31, 412, 811, 1041]",0,4.05,3.3,1,65,4.57763e-07
"4572",1755,1755,"[604, 621, 883, 1150]",0,4.1,3.2,1,58,8.32917e-07
"4584",235,235,"[31, 408, 805, 1040]",0,3.9,3.3,1,31,2.64469e-05
"4601",235,235,"[31, 408, 806, 1040]",0,3.9,3.35,1,83,1.22407e-07
"4611",235,235,"[32, 407, 811, 1040]",0,3.95,3.3,1,13,0.012711
"4613",235,235,"[31, 408, 811, 1040]",0,3.95,3.3,1,74,2.36713e-07
"4743",1755,1755,"[598, 621, 868, 1146]",0,3.95,3.2,1,87,8.93737e-08
"4746",1755,1755,"[598, 622, 868, 1146]",0,3.95,3.25,1,51,1.51552e-06
"4837",1755,1755,"[592, 621, 867, 1147]",0,3.9,3.2,1,2,0.0320164
"4858",1755,1755,"[599, 618, 868, 1147]",0,3.9,3.35,1,44,2.75756e-06
"5060",1628,1628,"[344, 393, 881, 1018]",0,4.1,5.9,1,91,6.52552e-08
"5061",1628,1628,"[344, 394, 881, 1018]",0,4.1,5.95,1,72,3.05043e-07
"5062",1628,1628,"[344, 397, 881, 1018]",0,4.15,5.9,1,15,0.00874248
"5066",1803,1803,"[81, 200, 432, 751]",0,3.7,6.4,1,10,0.0160051
"5075",1803,1803,"[82, 201, 433, 752]",0,3.7,6.6,1,70,3.24203e-07
"5076",1803,1803,"[84, 201, 433, 752]",0,3.75,6.55,1,67,4.30709e-07
"5173",390,390,"[351, 607, 721, 1254]",0,4.45,2.35,1,11,0.0151659
"5203",390,390,"[354, 609, 722, 1255]",0,4.55,2.45,1,70,3.24203e-07
"5237",390,390,"[355, 609, 723, 1258]",0,4.6,2.55,1,68,4.17788e-07
"5241",390,390,"[355, 612, 723, 1258]",0,4.65,2.55,1,80,1.34119e-07
"5426",1435,1435,"[55, 205, 499, 995]",0,4.75,4.35,1,9,0.0167772
"5442",1435,1435,"[55, 205, 501, 997]",0,4.8,4.5,1,87,8.93737e-08
"5474",1699,1699,"[237, 303, 922, 964]",0,4.55,6.45,1,83,1.22407e-07
"5482",1699,1699,"[237, 303, 918, 961]",0,4.45,6.55,1,65,4.57763e-07
"5494",1699,1699,"[237, 303, 922, 961]",0,4.5,6.5,1,41,3.66346e-06
"5496",1699,1699,"[243, 303, 922, 961]",0,4.6,6.5,1,3,0.0258092
"5512",1699,1699,"[235, 299, 916, 959]",0,4.35,6.25,1,23,9.78958e-05
"5519",1699,1699,"[235, 299, 921, 959]",0,4.4,6.25,1,85,1.15172e-07
"5522",1699,1699,"[235, 301, 921, 959]",0,4.45,6.2,1,20,0.000253731
"5531",1699,1699,"[235, 299, 922, 959]",0,4.4,6.3,1,87,8.93737e-08
"5826",390,390,"[359, 612, 730, 1262]",0,4.85,2.5,1,75,2.29612e-07
