"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"167",1844,1844,"[239, 461, 560, 629]",0,1.95,4.4,1,23,5.67368e-05
"168",1844,1844,"[239, 462, 560, 629]",0,1.95,4.45,1,44,2.70511e-06
"188",1844,1844,"[239, 462, 563, 630]",0,2.05,4.45,1,69,3.27873e-07
"190",1844,1844,"[239, 464, 563, 630]",0,2.1,4.4,1,73,2.90263e-07
"199",1844,1844,"[241, 462, 565, 630]",0,2.1,4.6,1,87,1.06304e-07
"200",1844,1844,"[241, 464, 565, 630]",0,2.15,4.55,1,99,6.08317e-08
"263",714,714,"[266, 906, 1006, 1156]",0,1.85,4.3,1,37,5.96798e-06
"301",714,714,"[266, 906, 1006, 1159]",0,1.9,4.3,1,37,5.96798e-06
"328",714,714,"[266, 906, 1006, 1160]",0,1.9,4.35,1,40,4.49222e-06
"347",714,714,"[266, 906, 1008, 1160]",0,1.95,4.35,1,68,3.38013e-07
"349",714,714,"[270, 906, 1008, 1160]",0,2.05,4.35,1,9,0.0139006
"420",399,399,"[1, 577, 820, 1217]",0,2.1,5.1,1,70,3.18037e-07
"755",714,714,"[272, 909, 1010, 1161]",0,2.3,4.1,1,91,9.41105e-08
"1125",1844,1844,"[244, 463, 565, 631]",0,2.2,4.75,1,5,0.0245871
"1149",1844,1844,"[240, 467, 567, 631]",0,2.3,4.4,1,63,4.77262e-07
"1250",1844,1844,"[241, 462, 568, 630]",0,2.15,4.55,1,47,2.03619e-06
"1347",1145,1145,"[12, 534, 555, 956]",0,2.6,4.7,1,94,8.58921e-08
"1452",1145,1145,"[14, 532, 552, 956]",0,2.5,4.9,1,90,9.70212e-08
"1458",1145,1145,"[14, 535, 552, 956]",0,2.55,4.9,1,74,2.81555e-07
"1478",1145,1145,"[14, 531, 556, 956]",0,2.55,4.85,1,49,1.58008e-06
"1525",1145,1145,"[15, 533, 552, 952]",0,2.4,5.05,1,10,0.0132048
"1751",399,399,"[4, 573, 820, 1221]",0,2.15,5.05,1,74,2.81555e-07
"1752",399,399,"[4, 577, 820, 1221]",0,2.2,5.05,1,68,3.38013e-07
"1859",1145,1145,"[14, 531, 556, 957]",0,2.55,4.9,1,47,2.03619e-06
"2031",399,399,"[7, 579, 823, 1219]",0,2.15,5.55,1,47,2.03619e-06
"2167",399,399,"[6, 575, 822, 1222]",0,2.15,5.4,1,40,4.49222e-06
"2211",399,399,"[5, 579, 821, 1217]",0,2.15,5.25,1,9,0.0139006
"2357",1843,1843,"[208, 535, 558, 635]",0,2.75,5,1,17,0.00017481
"2362",539,539,"[207, 252, 388, 738]",0,2.95,4.9,1,47,2.03619e-06
"2442",539,539,"[207, 256, 388, 740]",0,3.1,4.9,1,99,6.08317e-08
"2565",1116,1116,"[383, 491, 684, 963]",0,3.05,4.85,1,61,6.15028e-07
"2605",1795,1795,"[41, 141, 785, 1032]",0,3.55,2.55,1,6,0.0199488
"2606",1795,1795,"[48, 141, 785, 1032]",0,3.6,2.55,1,79,1.6446e-07
"2607",1795,1795,"[49, 141, 785, 1032]",0,3.6,2.6,1,50,1.53268e-06
"2616",1795,1795,"[48, 141, 786, 1032]",0,3.6,2.6,1,84,1.41227e-07
"2617",1795,1795,"[49, 141, 786, 1032]",0,3.6,2.65,1,63,4.77262e-07
"2620",1795,1795,"[49, 143, 786, 1032]",0,3.65,2.65,1,19,9.39092e-05
"2834",200,200,"[284, 421, 839, 978]",0,3.65,3.85,1,4,0.0267559
"2837",200,200,"[289, 421, 839, 978]",0,3.7,3.9,1,33,9.91069e-06
"2908",1116,1116,"[382, 492, 683, 972]",0,3.2,4.65,1,14,0.00974805
"2962",1116,1116,"[386, 492, 684, 982]",0,3.3,4.8,1,75,2.73109e-07
"2968",1116,1116,"[386, 492, 685, 982]",0,3.35,4.8,1,18,0.000164964
"2974",539,539,"[210, 256, 392, 746]",0,3.3,5,1,40,4.49222e-06
"2980",539,539,"[210, 256, 395, 746]",0,3.35,4.95,1,80,1.59526e-07
"3147",539,539,"[210, 254, 395, 740]",0,3.2,4.9,1,11,0.0123161
