"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"358",158,158,"[352, 647, 802, 1082]",0,2.1,2.7,1,71,2.72339e-07
"359",158,158,"[360, 647, 802, 1082]",0,2.15,2.65,1,92,6.64645e-08
"394",158,158,"[360, 647, 805, 1082]",0,2.2,2.6,1,7,0.0157173
"486",158,158,"[352, 647, 802, 1083]",0,2.1,2.75,1,62,6.38572e-07
"488",158,158,"[360, 647, 802, 1083]",0,2.15,2.7,1,69,2.89445e-07
"489",158,158,"[361, 647, 802, 1083]",0,2.15,2.75,1,25,5.87437e-05
"873",844,844,"[51, 368, 691, 1002]",0,2.15,4.95,1,31,1.72816e-05
"876",844,844,"[58, 368, 691, 1002]",0,2.25,4.95,1,83,1.28531e-07
"949",844,844,"[57, 368, 688, 1005]",0,2.25,4.9,1,44,4.19966e-06
"1097",466,466,"[152, 676, 839, 929]",0,2.15,5.25,1,36,9.57134e-06
"1098",466,466,"[155, 676, 839, 929]",0,2.2,5.25,1,40,6.97415e-06
"1175",844,844,"[49, 357, 685, 1000]",0,1.9,5.15,1,93,6.44705e-08
"1359",466,466,"[152, 676, 835, 935]",0,2.2,5.2,1,93,6.44705e-08
"1395",466,466,"[155, 676, 839, 935]",0,2.3,5.25,1,95,6.06603e-08
"1571",466,466,"[151, 670, 834, 934]",0,2.15,5.05,1,14,0.00794484
"1621",844,844,"[49, 357, 681, 1002]",0,1.9,5.05,1,31,1.72816e-05
"1669",844,844,"[52, 370, 685, 1002]",0,2.05,5.15,1,5,0.020736
"1690",844,844,"[58, 357, 689, 1002]",0,2.15,5.05,1,87,1.13787e-07
"2042",844,844,"[52, 359, 685, 1006]",0,2.05,5.25,1,37,9.26526e-06
"2232",844,844,"[51, 357, 689, 1008]",0,2.15,5.05,1,17,0.00113337
"2425",959,959,"[2, 205, 604, 1062]",0,2.7,2.8,1,96,5.88405e-08
"2431",959,959,"[2, 210, 604, 1062]",0,2.75,2.85,1,70,2.80762e-07
"2477",959,959,"[2, 209, 605, 1060]",0,2.7,2.9,1,7,0.0157173
"2505",959,959,"[1, 204, 600, 1059]",0,2.6,2.7,1,55,1.59508e-06
