"","lambda","gamma","suppSize"
"1",0.0510744,0,0
"2",0.0505637,0,1
"3",0.0306959,0,2
"4",0.025333,0,3
"5",0.0244692,0,4
"6",0.0240993,0,5
"7",0.0230893,0,6
"8",0.0221591,0,7
"9",0.0198578,0,8
"10",0.0188685,0,9
"11",0.0172231,0,10
"12",0.0164134,0,11
"13",0.0161916,0,12
"14",0.0154568,0,13
"15",0.0152166,0,14
"16",0.014599,0,17
"17",0.0142168,0,20
"18",0.0138993,0,21
"19",0.0132752,0,23
"20",0.0119288,0,24
"21",0.00926601,0,25
"22",0.000485688,0,25
"23",0.00022791,0,26
"24",0.000174221,0,27
"25",0.000102427,0,28
"26",9.61124e-05,0,29
"27",9.5128e-05,0,30
"28",8.7338e-05,0,31
"29",8.53467e-05,0,32
"30",6.30513e-05,0,32
"31",5.04411e-05,0,33
"32",4.46864e-05,0,33
"33",3.57491e-05,0,34
"34",2.90481e-05,0,36
"35",2.8714e-05,0,37
"36",2.77671e-05,0,38
"37",1.86901e-05,0,38
"38",1.49376e-05,0,43
"39",1.37032e-05,0,43
"40",1.09626e-05,0,46
"41",1.01704e-05,0,48
"42",9.12872e-06,0,48
"43",7.30298e-06,0,51
"44",6.84793e-06,0,53
"45",6.64249e-06,0,53
"46",5.31399e-06,0,53
"47",4.25119e-06,0,59
"48",4.12366e-06,0,61
"49",4.11155e-06,0,61
"50",3.28924e-06,0,62
"51",3.19056e-06,0,62
"52",2.55245e-06,0,64
"53",2.47587e-06,0,65
"54",2.4016e-06,0,65
"55",1.92128e-06,0,72
"56",1.86364e-06,0,75
"57",1.80773e-06,0,75
"58",1.44618e-06,0,78
"59",1.4028e-06,0,78
"60",1.12224e-06,0,80
"61",1.08857e-06,0,82
"62",1.05591e-06,0,84
"63",1.02424e-06,0,84
"64",9.9351e-07,0,85
"65",9.63705e-07,0,87
"66",9.34794e-07,0,88
"67",9.0675e-07,0,90
"68",8.79548e-07,0,90
"69",7.03638e-07,0,95
"70",6.82529e-07,0,95
"71",6.62053e-07,0,95
"72",6.42191e-07,0,95
"73",5.13753e-07,0,97
"74",4.98341e-07,0,97
"75",3.98672e-07,0,97
"76",3.18938e-07,0,101
"77",3.0937e-07,0,106
"78",3.00089e-07,0,111
"79",2.91086e-07,0,112
"80",2.82353e-07,0,114
"81",2.73883e-07,0,115
"82",2.65666e-07,0,116
"83",2.57696e-07,0,115
"84",2.49965e-07,0,118
"85",2.42467e-07,0,119
"86",2.35193e-07,0,119
"87",1.88154e-07,0,119
"88",1.50523e-07,0,121
"89",1.46008e-07,0,122
"90",1.41627e-07,0,125
"91",1.37378e-07,0,127
"92",1.33257e-07,0,127
"93",1.29259e-07,0,129
"94",1.25382e-07,0,131
"95",1.2162e-07,0,134
"96",1.17972e-07,0,135
"97",1.14432e-07,0,134
"98",1.10999e-07,0,134
"99",8.87996e-08,0,137
"100",8.61356e-08,0,140
