"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"16",1354,1354,"[175, 291, 608, 986]",0,2.15,2.2,1,38,3.80418e-06
"66",1354,1354,"[175, 295, 609, 986]",0,2.2,2.25,1,38,3.80418e-06
"127",1354,1354,"[176, 289, 613, 986]",0,2.15,2.35,1,79,1.3104e-07
"149",1354,1354,"[177, 296, 613, 986]",0,2.3,2.3,1,71,2.45806e-07
"377",1354,1354,"[177, 296, 613, 987]",0,2.3,2.35,1,64,3.04221e-07
"484",1354,1354,"[178, 291, 613, 989]",0,2.3,2.35,1,6,0.0201439
"499",1354,1354,"[176, 296, 613, 989]",0,2.3,2.4,1,78,1.35092e-07
"512",94,94,"[250, 718, 915, 1066]",0,2.2,3,1,73,1.90745e-07
"1303",94,94,"[247, 720, 919, 1068]",0,2.2,3.3,1,10,0.0156247
"1463",94,94,"[249, 720, 919, 1068]",0,2.2,3.4,1,47,1.33807e-06
"1515",472,472,"[155, 342, 538, 853]",0,2.6,2.8,1,97,3.50402e-08
"1598",1354,1354,"[177, 300, 613, 986]",0,2.35,2.25,1,59,4.29549e-07
"1683",472,472,"[155, 342, 534, 846]",0,2.5,2.8,1,11,0.0150571
"1705",472,472,"[155, 342, 538, 846]",0,2.55,2.8,1,95,3.72412e-08
"1718",472,472,"[155, 342, 539, 846]",0,2.55,2.85,1,54,7.3539e-07
"1721",472,472,"[159, 342, 539, 846]",0,2.6,2.9,1,50,1.00719e-06
"1845",94,94,"[255, 725, 922, 1074]",0,2.55,3.25,1,85,7.42454e-08
"1991",94,94,"[250, 722, 923, 1071]",0,2.4,3.2,1,28,1.9892e-05
"2027",2056,2056,"[499, 727, 852, 1018]",0,2.6,4.1,1,78,1.35092e-07
"2047",896,896,"[1, 128, 968, 1077]",0,2.5,4.2,1,20,7.25204e-05
"2058",896,896,"[4, 128, 971, 1077]",0,2.6,4.15,1,88,5.5886e-08
"2059",896,896,"[7, 128, 971, 1077]",0,2.65,4.15,1,56,5.70663e-07
"2318",896,896,"[10, 132, 975, 1084]",0,2.95,4.25,1,6,0.0201439
"2698",2056,2056,"[497, 731, 869, 1020]",0,2.7,4.4,1,49,1.03834e-06
"2758",896,896,"[6, 128, 971, 1079]",0,2.7,4.1,1,64,3.04221e-07
"2921",896,896,"[9, 131, 971, 1081]",0,2.85,4.05,1,61,4.04163e-07
"3368",2056,2056,"[498, 732, 862, 1021]",0,2.65,4.6,1,93,3.95804e-08
"3651",2056,2056,"[497, 729, 862, 1016]",0,2.55,4.5,1,35,5.44709e-06
"3739",2056,2056,"[497, 729, 860, 1020]",0,2.6,4.4,1,23,3.92019e-05
"3768",2056,2056,"[497, 728, 862, 1020]",0,2.6,4.45,1,54,7.3539e-07
"3773",2056,2056,"[497, 729, 862, 1020]",0,2.6,4.5,1,41,2.86348e-06
"3779",2056,2056,"[497, 731, 862, 1020]",0,2.65,4.45,1,56,5.70663e-07
