"","lambda","gamma","suppSize"
"1",0.0446447,0,0
"2",0.0441982,0,1
"3",0.0316397,0,3
"4",0.0298902,0,4
"5",0.027345,0,5
"6",0.0255526,0,6
"7",0.0216759,0,7
"8",0.0205219,0,8
"9",0.0186029,0,9
"10",0.017943,0,11
"11",0.0155426,0,12
"12",0.0151233,0,13
"13",0.0146456,0,15
"14",0.0135834,0,18
"15",0.0132259,0,19
"16",0.0108092,0,20
"17",0.00945265,0,22
"18",0.00902513,0,23
"19",0.00781899,0,24
"20",0.00463031,0,25
"21",0.00121028,0,26
"22",0.000485691,0,27
"23",0.000474846,0,28
"24",0.000286665,0,29
"25",0.000191252,0,30
"26",0.000140622,0,31
"27",0.00013764,0,31
"28",7.81281e-05,0,34
"29",6.72025e-05,0,34
"30",5.3762e-05,0,36
"31",4.52719e-05,0,37
"32",3.69459e-05,0,38
"33",3.41201e-05,0,39
"34",3.30965e-05,0,39
"35",2.30562e-05,0,41
"36",2.23646e-05,0,41
"37",1.55996e-05,0,43
"38",1.31898e-05,0,44
"39",1.17097e-05,0,45
"40",1.01547e-05,0,45
"41",8.12377e-06,0,48
"42",7.67342e-06,0,48
"43",6.13874e-06,0,51
"44",5.9081e-06,0,53
"45",5.23231e-06,0,54
"46",4.76135e-06,0,55
"47",4.61851e-06,0,55
"48",4.47996e-06,0,56
"49",4.34556e-06,0,57
"50",4.21519e-06,0,57
"51",3.37215e-06,0,58
"52",3.27099e-06,0,59
"53",3.17286e-06,0,59
"54",2.53829e-06,0,60
"55",2.46214e-06,0,61
"56",2.31016e-06,0,62
"57",2.24085e-06,0,62
"58",1.79268e-06,0,63
"59",1.7389e-06,0,65
"60",1.68673e-06,0,66
"61",1.63613e-06,0,66
"62",1.58705e-06,0,66
"63",1.26964e-06,0,68
"64",1.23155e-06,0,67
"65",1.1946e-06,0,68
"66",1.15876e-06,0,68
"67",9.27012e-07,0,72
"68",8.99202e-07,0,72
"69",8.72226e-07,0,72
"70",6.9778e-07,0,75
"71",6.76847e-07,0,76
"72",6.56542e-07,0,78
"73",6.36845e-07,0,80
"74",6.1774e-07,0,82
"75",5.99208e-07,0,82
"76",4.79366e-07,0,86
"77",4.64985e-07,0,86
"78",3.71988e-07,0,86
"79",3.60829e-07,0,87
"80",3.50004e-07,0,90
"81",3.39504e-07,0,92
"82",3.29318e-07,0,94
"83",3.19439e-07,0,95
"84",3.09856e-07,0,96
"85",3.0056e-07,0,97
"86",2.91543e-07,0,97
"87",2.33235e-07,0,99
"88",2.26238e-07,0,102
"89",2.1945e-07,0,102
"90",2.12867e-07,0,103
"91",2.06481e-07,0,103
"92",1.65185e-07,0,108
"93",1.60229e-07,0,112
"94",1.55422e-07,0,112
"95",1.24338e-07,0,115
"96",1.20608e-07,0,115
"97",9.64862e-08,0,116
"98",9.35916e-08,0,116
"99",9.07838e-08,0,119
"100",8.80603e-08,0,118
