"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"31",988,988,"[44, 720, 828, 1139]",0,2.15,3.35,1,4,0.0233524
"49",988,988,"[38, 717, 827, 1138]",0,1.9,3.2,1,23,0.0002265
"92",988,988,"[43, 718, 829, 1138]",0,2.1,3.25,1,27,8.99536e-05
"329",1765,1765,"[26, 116, 264, 560]",0,2.2,4.85,1,58,1.34565e-06
"352",1765,1765,"[27, 117, 266, 560]",0,2.25,4.95,1,41,8.46903e-06
"424",1386,1386,"[318, 371, 672, 784]",0,2.2,5.85,1,22,0.000285171
"428",1386,1386,"[318, 374, 672, 784]",0,2.25,5.85,1,91,1.05425e-07
"524",1386,1386,"[318, 374, 672, 793]",0,2.3,5.9,1,65,8.96708e-07
"624",1386,1386,"[319, 375, 673, 793]",0,2.3,6.05,1,76,3.59828e-07
"693",1828,1828,"[54, 96, 789, 1057]",0,2.3,6.85,1,47,4.06601e-06
"762",1828,1828,"[54, 96, 789, 1054]",0,2.25,6.85,1,47,4.06601e-06
"1147",1828,1828,"[56, 98, 791, 1054]",0,2.25,7.15,1,13,0.0138223
"1339",1828,1828,"[57, 95, 800, 1055]",0,2.25,7.35,1,94,9.62186e-08
"1342",1828,1828,"[56, 98, 800, 1055]",0,2.3,7.25,1,98,7.02529e-08
"1636",801,801,"[211, 383, 765, 1020]",0,2.65,2.9,1,11,0.0149752
"1725",801,801,"[217, 385, 770, 1025]",0,2.85,3.3,1,58,1.34565e-06
"1731",801,801,"[217, 387, 770, 1025]",0,2.9,3.2,1,24,0.000207665
"1754",801,801,"[212, 383, 763, 1017]",0,2.55,3.05,1,55,1.78771e-06
"1755",801,801,"[212, 383, 766, 1017]",0,2.6,3.05,1,63,9.53032e-07
"1943",988,988,"[48, 718, 828, 1143]",0,2.3,3.2,1,63,9.53032e-07
"2011",1765,1765,"[35, 124, 272, 562]",0,2.6,5,1,77,3.49033e-07
"2028",1765,1765,"[31, 121, 266, 561]",0,2.4,4.95,1,6,0.0163428
"2177",1765,1765,"[32, 122, 270, 562]",0,2.45,5.15,1,85,1.8607e-07
"2286",1765,1765,"[32, 122, 270, 564]",0,2.5,5.2,1,32,2.87248e-05
"2296",1765,1765,"[36, 125, 270, 564]",0,2.6,5.2,1,79,2.7085e-07
"2299",1765,1765,"[32, 124, 272, 564]",0,2.6,5.1,1,26,0.000136561
"2333",2039,2039,"[490, 850, 1027, 1187]",0,2.85,5.05,1,35,1.27595e-05
"2404",2039,2039,"[490, 850, 1028, 1190]",0,2.9,5.1,1,37,1.20054e-05
"2443",2039,2039,"[490, 851, 1029, 1191]",0,2.9,5.25,1,85,1.8607e-07
"2447",2039,2039,"[490, 852, 1029, 1191]",0,2.9,5.3,1,89,1.12047e-07
"2553",1386,1386,"[320, 378, 672, 784]",0,2.35,5.85,1,71,6.16027e-07
"2554",1386,1386,"[320, 378, 675, 784]",0,2.4,5.85,1,85,1.8607e-07
"2571",1386,1386,"[324, 377, 675, 792]",0,2.55,5.75,1,3,0.0286996
"2580",1386,1386,"[324, 381, 675, 792]",0,2.6,5.8,1,88,1.15512e-07
"2635",1386,1386,"[324, 381, 682, 792]",0,2.7,5.8,1,77,3.49033e-07
"2658",1386,1386,"[319, 380, 676, 801]",0,2.45,6.15,1,19,0.00216861
"2847",1828,1828,"[58, 97, 799, 1059]",0,2.45,7.05,1,64,9.24441e-07
"2892",1828,1828,"[59, 98, 800, 1055]",0,2.35,7.25,1,70,6.35079e-07
"2963",1828,1828,"[59, 98, 800, 1058]",0,2.4,7.25,1,68,8.18401e-07
"3042",1844,1844,"[230, 413, 496, 648]",0,3.4,4.55,1,38,1.05934e-05
"3241",2039,2039,"[493, 854, 1033, 1191]",0,3.05,5.3,1,15,0.0130281
"3263",2039,2039,"[498, 853, 1036, 1194]",0,3.25,5.15,1,74,4.63696e-07
"3320",381,381,"[152, 342, 483, 1068]",0,3.8,2.45,1,55,1.78771e-06
"3501",381,381,"[152, 342, 483, 1064]",0,3.75,2.4,1,53,2.30375e-06
"3640",910,910,"[187, 692, 771, 1120]",0,3.9,2.6,1,90,1.08686e-07
"3642",910,910,"[188, 691, 772, 1120]",0,3.95,2.6,1,34,2.18002e-05
"3801",910,910,"[188, 691, 772, 1119]",0,3.95,2.55,1,95,9.3332e-08
"3813",910,910,"[188, 691, 772, 1118]",0,3.9,2.6,1,92,1.02262e-07
"3885",381,381,"[146, 337, 484, 1063]",0,3.65,2.1,1,16,0.0107447
"3945",910,910,"[187, 687, 771, 1116]",0,3.75,2.55,1,18,0.0101364
"3951",910,910,"[187, 692, 771, 1116]",0,3.8,2.6,1,89,1.12047e-07
"4011",1844,1844,"[239, 423, 503, 655]",0,3.8,4.3,1,95,9.3332e-08
"4134",1844,1844,"[239, 419, 503, 652]",0,3.7,4.3,1,34,2.18002e-05
"4292",2049,2049,"[469, 595, 942, 1203]",0,3.45,4.35,1,9,0.0156606
"4615",1844,1844,"[230, 417, 496, 649]",0,3.45,4.65,1,85,1.8607e-07
"4674",1844,1844,"[230, 417, 496, 654]",0,3.5,4.7,1,61,1.22813e-06
"4744",1844,1844,"[230, 421, 505, 654]",0,3.65,4.65,1,1,0.0426542
"4791",1844,1844,"[230, 417, 496, 653]",0,3.5,4.65,1,55,1.78771e-06
"5446",2049,2049,"[474, 600, 942, 1205]",0,3.6,4.4,1,55,1.78771e-06
"5464",2049,2049,"[474, 600, 942, 1208]",0,3.65,4.45,1,90,1.08686e-07
"5536",2049,2049,"[474, 599, 942, 1203]",0,3.55,4.4,1,91,1.05425e-07
"5540",2049,2049,"[474, 600, 942, 1203]",0,3.55,4.45,1,73,4.78037e-07
"5741",376,376,"[289, 432, 751, 874]",0,3.75,5.45,1,33,2.49524e-05
"5747",806,806,"[72, 410, 578, 889]",0,3.45,5.85,1,13,0.0138223
"5819",376,376,"[290, 434, 752, 875]",0,3.8,5.6,1,82,2.47197e-07
"5822",376,376,"[285, 430, 749, 870]",0,3.55,5.45,1,27,8.99536e-05
"5827",376,376,"[285, 430, 751, 870]",0,3.6,5.45,1,29,6.21231e-05
"5837",376,376,"[285, 430, 752, 870]",0,3.6,5.5,1,31,4.09148e-05
"5850",376,376,"[290, 434, 752, 870]",0,3.75,5.55,1,10,0.0154387
"5983",376,376,"[283, 426, 750, 868]",0,3.35,5.6,1,67,8.43712e-07
"6046",376,376,"[283, 426, 752, 868]",0,3.4,5.6,1,70,6.35079e-07
"6100",806,806,"[78, 411, 584, 895]",0,3.65,6.15,1,28,6.87363e-05
"6266",806,806,"[78, 407, 584, 891]",0,3.55,6.15,1,47,4.06601e-06
"6269",806,806,"[78, 411, 584, 891]",0,3.6,6.1,1,45,5.2397e-06
"6287",1028,1028,"[336, 695, 917, 1038]",0,3.55,6.15,1,63,9.53032e-07
"6290",1028,1028,"[336, 697, 917, 1038]",0,3.6,6.1,1,25,0.000194197
"6453",645,645,"[61, 253, 605, 1164]",0,4.1,2.95,1,18,0.0101364
"6465",574,574,"[298, 590, 907, 1122]",0,4.4,2.4,1,48,3.94403e-06
"6467",574,574,"[300, 590, 907, 1122]",0,4.4,2.5,1,70,6.35079e-07
"6472",574,574,"[300, 590, 907, 1125]",0,4.45,2.5,1,3,0.0286996
"6590",645,645,"[61, 252, 604, 1166]",0,4.15,2.8,1,43,6.57197e-06
"6642",645,645,"[64, 262, 607, 1166]",0,4.35,2.8,1,58,1.34565e-06
"6643",645,645,"[66, 262, 607, 1166]",0,4.4,2.75,1,88,1.15512e-07
"6690",645,645,"[66, 261, 612, 1166]",0,4.45,2.75,1,21,0.000631217
"6991",234,234,"[65, 195, 609, 974]",0,4.35,3.15,1,5,0.0214348
"7052",1957,1957,"[535, 857, 969, 1070]",0,4.1,3.2,1,76,3.59828e-07
"7121",1957,1957,"[534, 857, 969, 1069]",0,4.1,3.1,1,80,2.62724e-07
"7437",1957,1957,"[539, 865, 974, 1074]",0,4.35,3.25,1,51,2.96875e-06
"7797",1957,1957,"[534, 858, 970, 1076]",0,4.15,3.35,1,17,0.0104457
"8035",1028,1028,"[346, 704, 926, 1046]",0,4.1,6.3,1,74,4.63696e-07
"8050",1028,1028,"[346, 704, 923, 1045]",0,4.05,6.25,1,10,0.0154387
"8083",645,645,"[69, 262, 611, 1171]",0,4.6,2.75,1,91,1.05425e-07
"8109",2008,2008,"[519, 759, 1013, 1175]",0,4.85,5.95,1,53,2.30375e-06
"8131",2008,2008,"[517, 756, 1013, 1173]",0,4.7,5.9,1,11,0.0149752
"8140",1592,1592,"[16, 209, 616, 815]",0,5.4,3.4,1,71,6.16027e-07
"8155",1592,1592,"[13, 209, 616, 818]",0,5.4,3.4,1,40,9.46146e-06
"8178",1592,1592,"[17, 210, 616, 815]",0,5.4,3.5,1,99,6.81453e-08
"8189",1592,1592,"[21, 210, 617, 816]",0,5.45,3.6,1,93,9.91944e-08
"8349",849,849,"[310, 443, 541, 1081]",0,5.25,5.65,1,58,1.34565e-06
"8366",849,849,"[307, 439, 542, 1081]",0,5.15,5.7,1,27,8.99536e-05
"8388",849,849,"[312, 443, 548, 1081]",0,5.35,5.55,1,76,3.59828e-07
"8462",849,849,"[313, 444, 542, 1083]",0,5.35,5.75,1,60,1.26612e-06
"8714",849,849,"[312, 443, 541, 1084]",0,5.35,5.65,1,98,7.02529e-08
"8913",849,849,"[314, 445, 557, 1084]",0,5.45,5.95,1,98,7.02529e-08
"8937",849,849,"[313, 444, 542, 1085]",0,5.4,5.8,1,85,1.8607e-07
"9225",1546,1546,"[128, 546, 663, 1180]",0,5.35,6.55,1,59,1.30528e-06
"9250",1546,1546,"[128, 555, 668, 1180]",0,5.45,6.65,1,58,1.34565e-06
"9297",1546,1546,"[127, 559, 667, 1183]",0,5.55,6.45,1,73,4.78037e-07
"9316",1592,1592,"[16, 209, 620, 818]",0,5.5,3.4,1,60,1.26612e-06
"9344",1592,1592,"[21, 209, 617, 825]",0,5.6,3.5,1,36,1.23767e-05
"9383",1592,1592,"[20, 210, 621, 819]",0,5.55,3.55,1,12,0.0145799
"9483",849,849,"[315, 449, 550, 1085]",0,5.55,5.8,1,2,0.0411404
"9610",1546,1546,"[131, 553, 666, 1182]",0,5.55,6.35,1,15,0.0130281
"9711",859,859,"[1, 275, 929, 956]",0,6.15,2.9,1,39,9.90033e-06
"9824",859,859,"[4, 275, 937, 960]",0,6.35,2.9,1,45,5.2397e-06
"10152",859,859,"[9, 280, 934, 960]",0,6.4,3.05,1,7,0.0161781
"10325",859,859,"[5, 276, 935, 964]",0,6.35,3.15,1,83,2.39781e-07
"10337",859,859,"[5, 276, 938, 964]",0,6.4,3.1,1,56,1.73408e-06
"10398",796,796,"[87, 351, 464, 913]",0,6.5,6.9,1,70,6.35079e-07
"10584",593,593,"[186, 362, 713, 880]",0,6.7,2.95,1,93,9.91944e-08
"10720",593,593,"[186, 366, 708, 879]",0,6.7,2.85,1,38,1.05934e-05
"10779",593,593,"[186, 362, 708, 884]",0,6.7,2.9,1,99,6.81453e-08
"10785",593,593,"[186, 366, 708, 884]",0,6.75,2.9,1,50,3.06057e-06
"10790",593,593,"[186, 362, 709, 884]",0,6.7,2.95,1,97,7.24257e-08
"10794",593,593,"[186, 366, 709, 884]",0,6.75,2.95,1,71,6.16027e-07
"10808",593,593,"[186, 362, 712, 884]",0,6.75,2.9,1,66,8.69807e-07
"10814",593,593,"[186, 366, 712, 884]",0,6.8,2.9,1,90,1.08686e-07
"10820",593,593,"[184, 362, 713, 884]",0,6.7,2.95,1,6,0.0163428
"10821",593,593,"[186, 362, 713, 884]",0,6.75,2.95,1,70,6.35079e-07
"10839",859,859,"[12, 279, 938, 964]",0,6.55,3.05,1,51,2.96875e-06
"10909",449,449,"[140, 645, 809, 1102]",0,6.9,6.3,1,58,1.34565e-06
"10971",796,796,"[90, 354, 464, 915]",0,6.65,6.85,1,71,6.16027e-07
"10979",796,796,"[87, 350, 465, 916]",0,6.6,6.9,1,98,7.02529e-08
"10984",796,796,"[87, 355, 465, 916]",0,6.65,6.95,1,15,0.0130281
"11113",1639,1639,"[111, 525, 965, 1110]",0,6.85,6.9,1,8,0.0158596
"11171",1639,1639,"[108, 524, 968, 1110]",0,6.85,6.95,1,55,1.78771e-06
"11268",449,449,"[139, 645, 810, 1104]",0,6.95,6.35,1,73,4.78037e-07
"11278",449,449,"[139, 647, 810, 1104]",0,6.95,6.45,1,83,2.39781e-07
"11311",449,449,"[140, 647, 812, 1104]",0,7,6.45,1,14,0.0135174
"11515",449,449,"[138, 642, 805, 1103]",0,6.7,6.6,1,47,4.06601e-06
"11854",1639,1639,"[108, 525, 968, 1111]",0,6.85,7.05,1,67,8.43712e-07
