"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"16",414,414,"[124, 262, 819, 967]",0,2.9,2.8,1,4,0.0223493
"46",414,414,"[117, 256, 812, 961]",0,2.45,2.8,1,23,8.72117e-05
"56",414,414,"[120, 259, 813, 961]",0,2.55,2.85,1,94,6.47076e-08
"116",414,414,"[117, 260, 816, 962]",0,2.55,2.95,1,77,1.59661e-07
"184",414,414,"[117, 260, 816, 963]",0,2.6,2.9,1,43,2.54739e-06
"191",414,414,"[125, 263, 816, 963]",0,2.75,2.85,1,76,1.64599e-07
"264",414,414,"[117, 260, 814, 964]",0,2.55,3,1,28,2.20529e-05
"331",414,414,"[125, 264, 819, 964]",0,2.8,2.95,1,86,8.25623e-08
"385",414,414,"[125, 263, 816, 965]",0,2.8,2.9,1,84,8.77482e-08
"466",1287,1287,"[159, 649, 864, 1027]",0,2.3,3.35,1,59,7.23964e-07
"720",1287,1287,"[167, 656, 871, 1039]",0,2.95,3.75,1,12,0.0139805
"730",1287,1287,"[163, 656, 868, 1034]",0,2.8,3.6,1,36,5.70169e-06
"731",1287,1287,"[165, 656, 868, 1034]",0,2.85,3.55,1,33,8.33224e-06
"770",1287,1287,"[159, 649, 867, 1028]",0,2.4,3.45,1,19,0.000365218
"920",1908,1908,"[154, 247, 403, 537]",0,2.4,4.95,1,14,0.0122489
"1081",1908,1908,"[149, 247, 403, 536]",0,2.35,4.85,1,92,6.8772e-08
"1137",1908,1908,"[149, 254, 407, 536]",0,2.55,4.85,1,53,1.27776e-06
"1694",551,551,"[143, 747, 1143, 1212]",0,3.15,5.4,1,41,3.28272e-06
"1918",551,551,"[144, 748, 1143, 1213]",0,3.15,5.55,1,76,1.64599e-07
"2067",551,551,"[145, 749, 1142, 1214]",0,3.1,5.8,1,10,0.0151383
"2629",551,551,"[146, 750, 1145, 1217]",0,3.2,5.9,1,49,1.44332e-06
"2706",1841,1841,"[17, 275, 580, 798]",0,3.2,6.75,1,16,0.0107476
"2734",1841,1841,"[18, 276, 580, 796]",0,3.15,6.95,1,58,7.46355e-07
"2747",1841,1841,"[18, 276, 583, 796]",0,3.2,7,1,51,1.35802e-06
"2907",1007,1007,"[31, 223, 889, 1191]",0,3.8,2.9,1,81,1.16575e-07
"2982",1007,1007,"[32, 225, 889, 1191]",0,3.8,3.05,1,86,8.25623e-08
"3016",1007,1007,"[32, 225, 890, 1192]",0,3.8,3.15,1,16,0.0107476
"3139",525,525,"[441, 640, 721, 982]",0,3.9,3.5,1,92,6.8772e-08
"3176",525,525,"[441, 641, 721, 978]",0,3.8,3.5,1,49,1.44332e-06
"3194",525,525,"[441, 640, 717, 981]",0,3.8,3.45,1,14,0.0122489
"3571",1007,1007,"[34, 227, 894, 1194]",0,4.05,2.95,1,27,3.71698e-05
"3583",1007,1007,"[35, 227, 896, 1194]",0,4.15,2.85,1,76,1.64599e-07
"3746",2051,2051,"[673, 772, 886, 1054]",0,4.3,3.3,1,26,3.9471e-05
"3800",1007,1007,"[35, 232, 898, 1198]",0,4.25,3.05,1,41,3.28272e-06
"3810",1007,1007,"[35, 229, 894, 1194]",0,4.1,3.05,1,49,1.44332e-06
"3883",525,525,"[445, 644, 721, 982]",0,4.05,3.45,1,50,1.40002e-06
"4112",1191,1191,"[180, 837, 912, 1018]",0,4.25,5.55,1,33,8.33224e-06
"4152",1191,1191,"[180, 837, 916, 1018]",0,4.3,5.55,1,36,5.70169e-06
"4311",1191,1191,"[178, 840, 912, 1021]",0,4.3,5.5,1,95,6.27664e-08
"4334",1191,1191,"[180, 838, 915, 1021]",0,4.4,5.35,1,80,1.2018e-07
"4335",1191,1191,"[180, 839, 915, 1021]",0,4.4,5.4,1,76,1.64599e-07
"4338",1191,1191,"[180, 840, 915, 1021]",0,4.4,5.45,1,91,7.0899e-08
"4350",1191,1191,"[178, 840, 916, 1021]",0,4.35,5.5,1,82,1.13078e-07
"4426",1191,1191,"[180, 837, 916, 1022]",0,4.35,5.55,1,77,1.59661e-07
"4434",1191,1191,"[177, 840, 916, 1022]",0,4.35,5.5,1,13,0.0136556
"4486",1363,1363,"[108, 343, 921, 1105]",0,4.4,2.45,1,13,0.0136556
"4507",130,130,"[340, 575, 903, 1065]",0,4.65,2.55,1,39,4.23032e-06
"4777",1363,1363,"[112, 343, 923, 1113]",0,4.55,2.6,1,33,8.33224e-06
"4797",1363,1363,"[110, 347, 923, 1113]",0,4.6,2.75,1,31,1.16017e-05
"4811",1363,1363,"[113, 347, 924, 1113]",0,4.65,2.75,1,28,2.20529e-05
"4995",130,130,"[328, 567, 898, 1058]",0,4.3,3,1,5,0.0213053
"5063",130,130,"[328, 567, 906, 1058]",0,4.4,3,1,93,6.67089e-08
"5076",130,130,"[328, 576, 906, 1058]",0,4.5,3,1,96,6.08834e-08
"5301",1363,1363,"[108, 344, 922, 1109]",0,4.45,2.6,1,49,1.44332e-06
"5331",1363,1363,"[113, 344, 923, 1109]",0,4.5,2.7,1,52,1.31728e-06
"5346",1363,1363,"[112, 343, 927, 1109]",0,4.55,2.55,1,87,8.00854e-08
"5398",1363,1363,"[113, 347, 922, 1114]",0,4.65,2.7,1,97,5.90569e-08
"5493",1007,1007,"[37, 230, 904, 1196]",0,4.4,2.7,1,45,2.39684e-06
"5563",130,130,"[328, 573, 906, 1058]",0,4.45,3.05,1,88,7.76828e-08
"5600",130,130,"[329, 568, 902, 1059]",0,4.35,3.15,1,57,7.69438e-07
"5618",130,130,"[329, 577, 902, 1059]",0,4.45,3.15,1,26,3.9471e-05
"5634",130,130,"[337, 577, 906, 1068]",0,4.6,3.15,1,18,0.000384377
"5714",355,355,"[48, 172, 280, 1234]",0,4.95,3.2,1,1,0.0406651
"5736",870,870,"[491, 766, 857, 1234]",0,5,3.15,1,16,0.0107476
"5741",870,870,"[491, 764, 858, 1234]",0,5,3.1,1,72,2.25436e-07
"5869",599,599,"[57, 290, 628, 1131]",0,4.9,3.9,1,30,1.56921e-05
"5903",599,599,"[54, 283, 625, 1128]",0,4.7,3.95,1,87,8.00854e-08
"6074",1969,1969,"[785, 844, 1074, 1172]",0,4.7,3.95,1,15,0.0109287
"6090",1969,1969,"[782, 844, 1076, 1172]",0,4.7,3.95,1,76,1.64599e-07
