"","lambda","gamma","suppSize"
"1",0.0611198,0,1
"2",0.0369304,0,2
"3",0.0341807,0,3
"4",0.0311067,0,4
"5",0.0257029,0,5
"6",0.0208709,0,7
"7",0.0196435,0,8
"8",0.0191616,0,9
"9",0.0170144,0,10
"10",0.0143623,0,12
"11",0.0132497,0,14
"12",0.0124018,0,16
"13",0.0119372,0,17
"14",0.0115125,0,18
"15",0.0111508,0,19
"16",0.00967743,0,20
"17",0.00925384,0,23
"18",0.00905139,0,25
"19",0.000666821,0,27
"20",0.000394977,0,27
"21",0.000298755,0,28
"22",0.000153158,0,29
"23",0.000101197,0,30
"24",8.35456e-05,0,31
"25",7.52346e-05,0,32
"26",7.1284e-05,0,33
"27",5.8171e-05,0,34
"28",4.54023e-05,0,35
"29",4.40402e-05,0,35
"30",3.52322e-05,0,38
"31",3.38186e-05,0,38
"32",2.70549e-05,0,39
"33",2.27343e-05,0,40
"34",1.65774e-05,0,41
"35",1.33522e-05,0,42
"36",1.16165e-05,0,42
"37",9.29318e-06,0,49
"38",6.9887e-06,0,50
"39",6.77903e-06,0,51
"40",6.37181e-06,0,52
"41",5.78839e-06,0,53
"42",5.51365e-06,0,53
"43",4.41092e-06,0,55
"44",4.27859e-06,0,55
"45",3.42288e-06,0,58
"46",3.32019e-06,0,59
"47",3.04004e-06,0,60
"48",2.94884e-06,0,62
"49",2.15616e-06,0,62
"50",1.72493e-06,0,65
"51",1.67318e-06,0,69
"52",1.62299e-06,0,71
"53",1.5743e-06,0,71
"54",1.25944e-06,0,75
"55",1.22165e-06,0,77
"56",1.185e-06,0,79
"57",1.14945e-06,0,80
"58",1.11497e-06,0,80
"59",8.91976e-07,0,81
"60",8.65217e-07,0,81
"61",6.92174e-07,0,84
"62",6.71408e-07,0,85
"63",6.51266e-07,0,85
"64",5.21013e-07,0,87
"65",5.05382e-07,0,90
"66",4.90221e-07,0,92
"67",4.75514e-07,0,94
"68",4.61249e-07,0,96
"69",4.47411e-07,0,96
"70",3.57929e-07,0,97
"71",3.47191e-07,0,99
"72",3.36776e-07,0,99
"73",2.6942e-07,0,101
"74",2.61338e-07,0,104
"75",2.53498e-07,0,102
"76",2.45893e-07,0,107
"77",2.38516e-07,0,107
"78",1.90813e-07,0,109
"79",1.85088e-07,0,110
"80",1.79536e-07,0,111
"81",1.7415e-07,0,112
"82",1.68925e-07,0,113
"83",1.63857e-07,0,114
"84",1.58942e-07,0,115
"85",1.54173e-07,0,118
"86",1.49548e-07,0,119
"87",1.45062e-07,0,119
"88",1.16049e-07,0,122
"89",1.12568e-07,0,123
"90",1.09191e-07,0,124
"91",1.05915e-07,0,127
"92",1.02738e-07,0,129
"93",9.96556e-08,0,132
"94",9.66659e-08,0,133
"95",9.3766e-08,0,132
"96",9.0953e-08,0,133
"97",8.82244e-08,0,134
"98",8.55777e-08,0,134
"99",6.84621e-08,0,135
"100",6.64083e-08,0,136
