"","lambda","gamma","suppSize"
"1",0.043085,0,0
"2",0.0426542,0,1
"3",0.0411404,0,2
"4",0.0286996,0,4
"5",0.0233524,0,5
"6",0.0214348,0,6
"7",0.0163428,0,8
"8",0.0161781,0,9
"9",0.0158596,0,10
"10",0.0156606,0,11
"11",0.0154387,0,13
"12",0.0149752,0,15
"13",0.0145799,0,16
"14",0.0138223,0,18
"15",0.0135174,0,19
"16",0.0130281,0,22
"17",0.0107447,0,23
"18",0.0104457,0,24
"19",0.0101364,0,25
"20",0.00216861,0,26
"21",0.000789021,0,26
"22",0.000631217,0,27
"23",0.000285171,0,28
"24",0.0002265,0,29
"25",0.000207665,0,30
"26",0.000194197,0,31
"27",0.000136561,0,32
"28",8.99536e-05,0,35
"29",6.87363e-05,0,36
"30",6.21231e-05,0,37
"31",4.99173e-05,0,38
"32",4.09148e-05,0,39
"33",2.87248e-05,0,40
"34",2.49524e-05,0,41
"35",2.18002e-05,0,43
"36",1.27595e-05,0,44
"37",1.23767e-05,0,45
"38",1.20054e-05,0,46
"39",1.05934e-05,0,48
"40",9.90033e-06,0,49
"41",9.46146e-06,0,50
"42",8.46903e-06,0,51
"43",8.21496e-06,0,51
"44",6.57197e-06,0,52
"45",6.54963e-06,0,52
"46",5.2397e-06,0,54
"47",5.08251e-06,0,54
"48",4.06601e-06,0,58
"49",3.94403e-06,0,59
"50",3.82571e-06,0,59
"51",3.06057e-06,0,60
"52",2.96875e-06,0,62
"53",2.87969e-06,0,62
"54",2.30375e-06,0,64
"55",2.23464e-06,0,64
"56",1.78771e-06,0,69
"57",1.73408e-06,0,70
"58",1.68206e-06,0,70
"59",1.34565e-06,0,76
"60",1.30528e-06,0,77
"61",1.26612e-06,0,79
"62",1.22813e-06,0,80
"63",1.19129e-06,0,80
"64",9.53032e-07,0,83
"65",9.24441e-07,0,84
"66",8.96708e-07,0,85
"67",8.69807e-07,0,86
"68",8.43712e-07,0,88
"69",8.18401e-07,0,89
"70",7.93849e-07,0,89
"71",6.35079e-07,0,94
"72",6.16027e-07,0,98
"73",5.97546e-07,0,98
"74",4.78037e-07,0,101
"75",4.63696e-07,0,103
"76",4.49785e-07,0,103
"77",3.59828e-07,0,106
"78",3.49033e-07,0,108
"79",3.38562e-07,0,108
"80",2.7085e-07,0,108
"81",2.62724e-07,0,109
"82",2.54842e-07,0,110
"83",2.47197e-07,0,111
"84",2.39781e-07,0,113
"85",2.32588e-07,0,113
"86",1.8607e-07,0,118
"87",1.80488e-07,0,118
"88",1.4439e-07,0,118
"89",1.15512e-07,0,120
"90",1.12047e-07,0,122
"91",1.08686e-07,0,125
"92",1.05425e-07,0,126
"93",1.02262e-07,0,127
"94",9.91944e-08,0,128
"95",9.62186e-08,0,129
"96",9.3332e-08,0,131
"97",9.05321e-08,0,131
"98",7.24257e-08,0,132
"99",7.02529e-08,0,135
"100",6.81453e-08,0,135
