"","lambda","gamma","suppSize"
"1",0.0643467,0,1
"2",0.0364896,0,2
"3",0.0270133,0,3
"4",0.0237131,0,5
"5",0.0228296,0,6
"6",0.0192683,0,7
"7",0.018583,0,8
"8",0.0158047,0,11
"9",0.015381,0,15
"10",0.014481,0,16
"11",0.0135226,0,17
"12",0.0130862,0,20
"13",0.0111713,0,21
"14",0.0105122,0,22
"15",0.00985045,0,23
"16",0.0078204,0,24
"17",0.00055651,0,24
"18",0.000295711,0,26
"19",0.000220278,0,27
"20",0.000181283,0,28
"21",0.000155384,0,29
"22",0.000139471,0,30
"23",9.93188e-05,0,31
"24",7.5165e-05,0,33
"25",6.03418e-05,0,35
"26",5.72653e-05,0,35
"27",4.58122e-05,0,36
"28",3.53179e-05,0,37
"29",3.48666e-05,0,38
"30",3.34629e-05,0,39
"31",2.60678e-05,0,40
"32",2.12178e-05,0,41
"33",1.38038e-05,0,44
"34",1.10371e-05,0,45
"35",8.73352e-06,0,45
"36",6.98681e-06,0,47
"37",6.67836e-06,0,47
"38",5.34269e-06,0,50
"39",4.90278e-06,0,52
"40",4.57427e-06,0,54
"41",4.24443e-06,0,55
"42",4.20276e-06,0,55
"43",3.3622e-06,0,58
"44",3.22275e-06,0,58
"45",2.5782e-06,0,63
"46",2.50085e-06,0,64
"47",2.1982e-06,0,66
"48",2.13225e-06,0,67
"49",2.06828e-06,0,67
"50",1.65463e-06,0,68
"51",1.60499e-06,0,67
"52",1.55684e-06,0,68
"53",1.51013e-06,0,69
"54",1.46483e-06,0,69
"55",1.42088e-06,0,70
"56",1.37826e-06,0,69
"57",1.33691e-06,0,70
"58",1.2968e-06,0,70
"59",1.03744e-06,0,72
"60",1.00632e-06,0,72
"61",8.05055e-07,0,75
"62",7.80904e-07,0,78
"63",7.57476e-07,0,79
"64",7.34752e-07,0,79
"65",5.87802e-07,0,85
"66",5.70168e-07,0,88
"67",5.53063e-07,0,88
"68",4.4245e-07,0,89
"69",4.29177e-07,0,93
"70",4.16301e-07,0,93
"71",3.33041e-07,0,96
"72",3.2305e-07,0,97
"73",3.13358e-07,0,100
"74",3.03958e-07,0,100
"75",2.43166e-07,0,102
"76",2.35871e-07,0,104
"77",2.28795e-07,0,104
"78",1.83036e-07,0,107
"79",1.77545e-07,0,109
"80",1.72219e-07,0,111
"81",1.67052e-07,0,113
"82",1.6204e-07,0,114
"83",1.57179e-07,0,114
"84",1.25743e-07,0,118
"85",1.21971e-07,0,121
"86",1.18312e-07,0,123
"87",1.14763e-07,0,125
"88",1.1132e-07,0,126
"89",1.0798e-07,0,129
"90",1.04741e-07,0,129
"91",8.37926e-08,0,128
"92",8.12788e-08,0,132
"93",7.88404e-08,0,135
"94",7.64752e-08,0,137
"95",7.41809e-08,0,137
"96",7.19555e-08,0,142
"97",6.97969e-08,0,141
"98",6.77029e-08,0,145
"99",6.56719e-08,0,147
"100",6.37017e-08,0,148
