"","lambda","gamma","suppSize"
"1",0.0440399,0,0
"2",0.0435995,0,1
"3",0.0421629,0,2
"4",0.0412895,0,3
"5",0.0273556,0,4
"6",0.02699,0,5
"7",0.024596,0,6
"8",0.0216378,0,7
"9",0.0167135,0,8
"10",0.0155578,0,9
"11",0.0147144,0,16
"12",0.0136566,0,18
"13",0.0125294,0,19
"14",0.0120025,0,20
"15",0.0112001,0,21
"16",0.0100883,0,23
"17",0.00995262,0,24
"18",0.00839436,0,25
"19",0.000304923,0,27
"20",0.000296614,0,28
"21",0.000214396,0,28
"22",0.000171517,0,29
"23",0.000158462,0,30
"24",9.00774e-05,0,31
"25",7.24294e-05,0,32
"26",4.82348e-05,0,34
"27",4.41092e-05,0,35
"28",3.85493e-05,0,35
"29",3.08395e-05,0,37
"30",2.54536e-05,0,37
"31",2.03629e-05,0,38
"32",2.01791e-05,0,38
"33",1.61433e-05,0,38
"34",1.21551e-05,0,41
"35",1.17904e-05,0,41
"36",9.43236e-06,0,46
"37",8.29227e-06,0,48
"38",7.44446e-06,0,51
"39",7.17191e-06,0,51
"40",5.73753e-06,0,51
"41",4.59002e-06,0,53
"42",4.45232e-06,0,55
"43",4.31875e-06,0,55
"44",3.455e-06,0,55
"45",2.764e-06,0,56
"46",2.68108e-06,0,58
"47",2.60065e-06,0,58
"48",2.08052e-06,0,60
"49",2.0181e-06,0,60
"50",1.61448e-06,0,67
"51",1.56605e-06,0,67
"52",1.25284e-06,0,71
"53",1.21525e-06,0,72
"54",1.1788e-06,0,72
"55",9.43037e-07,0,75
"56",9.14746e-07,0,75
"57",7.31797e-07,0,77
"58",7.09843e-07,0,77
"59",5.67874e-07,0,82
"60",5.50838e-07,0,83
"61",5.34313e-07,0,83
"62",4.2745e-07,0,84
"63",4.14627e-07,0,85
"64",4.02188e-07,0,85
"65",3.2175e-07,0,87
"66",3.12098e-07,0,88
"67",3.02735e-07,0,88
"68",2.42188e-07,0,92
"69",2.34922e-07,0,93
"70",2.27875e-07,0,95
"71",2.21038e-07,0,96
"72",2.14407e-07,0,99
"73",2.07975e-07,0,100
"74",2.01736e-07,0,101
"75",1.95684e-07,0,102
"76",1.89813e-07,0,101
"77",1.84119e-07,0,102
"78",1.78595e-07,0,102
"79",1.42876e-07,0,105
"80",1.3859e-07,0,105
"81",1.10872e-07,0,106
"82",1.07546e-07,0,108
"83",1.04319e-07,0,108
"84",1.0119e-07,0,110
"85",9.81541e-08,0,111
"86",9.52095e-08,0,113
"87",9.23532e-08,0,114
"88",8.95826e-08,0,114
"89",7.16661e-08,0,115
"90",6.95161e-08,0,116
"91",6.74306e-08,0,121
"92",6.54077e-08,0,122
"93",6.34455e-08,0,122
"94",6.15421e-08,0,125
"95",5.96959e-08,0,125
"96",5.7905e-08,0,125
"97",5.61678e-08,0,126
"98",5.44828e-08,0,127
"99",5.28483e-08,0,127
"100",4.22787e-08,0,129
