"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"160",1692,1692,"[224, 426, 580, 1155]",0,1.9,4.1,1,98,6.36491e-08
"163",1692,1692,"[226, 425, 584, 1157]",0,2.05,3.75,1,7,0.0213093
"168",1862,1862,"[179, 304, 388, 753]",0,2.25,3.95,1,49,6.17853e-06
"320",1692,1692,"[224, 426, 580, 1159]",0,1.95,4.1,1,39,1.85095e-05
"381",2048,2048,"[701, 821, 975, 1187]",0,2.25,4.2,1,51,4.79454e-06
"386",1692,1692,"[228, 430, 580, 1163]",0,2.1,4.1,1,38,1.96641e-05
"752",1095,1095,"[11, 467, 799, 1167]",0,2.05,4.7,1,88,1.26893e-07
"778",2048,2048,"[701, 819, 975, 1187]",0,2.2,4.25,1,58,1.79235e-06
"866",1095,1095,"[11, 471, 799, 1171]",0,2.15,4.65,1,82,2.2396e-07
"882",1095,1095,"[11, 471, 800, 1171]",0,2.15,4.7,1,62,1.30866e-06
"897",1095,1095,"[13, 470, 803, 1171]",0,2.25,4.6,1,33,5.02774e-05
"1068",429,429,"[342, 714, 843, 1009]",0,2.2,5.15,1,25,0.00048945
"1078",429,429,"[342, 714, 848, 1009]",0,2.3,5.1,1,70,6.9765e-07
"1188",429,429,"[341, 712, 844, 1006]",0,2.15,4.9,1,18,0.0116263
"1229",429,429,"[342, 713, 848, 1006]",0,2.2,5.05,1,68,7.41471e-07
"1306",1095,1095,"[12, 466, 797, 1169]",0,1.95,5,1,16,0.0124233
"1459",1095,1095,"[12, 466, 796, 1168]",0,1.95,4.9,1,61,1.34913e-06
"1498",1095,1095,"[12, 468, 801, 1168]",0,2.05,4.95,1,55,2.88716e-06
"1574",1095,1095,"[12, 468, 805, 1172]",0,2.15,4.95,1,59,1.73858e-06
"1576",1095,1095,"[14, 468, 805, 1172]",0,2.2,4.95,1,63,1.2694e-06
"1597",1095,1095,"[14, 467, 801, 1176]",0,2.2,4.9,1,75,4.941e-07
"1622",825,825,"[136, 641, 957, 1103]",0,2.8,2.1,1,58,1.79235e-06
"1641",825,825,"[136, 641, 953, 1100]",0,2.7,2.1,1,59,1.73858e-06
"1652",825,825,"[136, 642, 957, 1100]",0,2.75,2.15,1,94,8.7174e-08
"1661",825,825,"[136, 642, 958, 1100]",0,2.75,2.2,1,17,0.0118161
"1948",144,144,"[6, 486, 595, 906]",0,2.75,3.15,1,90,9.84691e-08
"1950",144,144,"[1, 483, 596, 906]",0,2.6,3.15,1,38,1.96641e-05
"2248",1862,1862,"[182, 305, 393, 759]",0,2.6,3.6,1,62,1.30866e-06
"3082",144,144,"[6, 486, 591, 906]",0,2.7,3.25,1,99,6.17396e-08
"3085",144,144,"[4, 484, 592, 906]",0,2.6,3.35,1,40,1.79542e-05
"3141",144,144,"[6, 487, 597, 911]",0,2.9,3.3,1,61,1.34913e-06
"3230",144,144,"[6, 487, 591, 909]",0,2.8,3.35,1,63,1.2694e-06
"3278",144,144,"[6, 484, 597, 909]",0,2.75,3.3,1,17,0.0118161
"3311",144,144,"[7, 488, 599, 909]",0,2.85,3.55,1,58,1.79235e-06
"3355",1862,1862,"[179, 306, 391, 753]",0,2.35,3.95,1,8,0.0203658
"3396",1862,1862,"[180, 305, 390, 756]",0,2.45,3.8,1,29,0.000100261
"3517",2048,2048,"[704, 825, 980, 1190]",0,2.55,4.05,1,87,1.30818e-07
"3518",2048,2048,"[708, 825, 980, 1190]",0,2.6,4.1,1,79,3.60761e-07
"3624",1764,1764,"[126, 268, 474, 652]",0,2.4,4.3,1,3,0.0277207
"3635",1764,1764,"[130, 271, 473, 663]",0,2.55,4.25,1,38,1.96641e-05
"3636",1764,1764,"[130, 271, 477, 663]",0,2.6,4.25,1,29,0.000100261
"3638",1764,1764,"[130, 271, 478, 663]",0,2.6,4.3,1,34,3.95943e-05
"3876",2048,2048,"[706, 822, 978, 1189]",0,2.4,4.3,1,11,0.0156658
"3900",2048,2048,"[709, 823, 976, 1191]",0,2.45,4.4,1,26,0.000337872
"3923",2048,2048,"[706, 826, 978, 1191]",0,2.5,4.3,1,55,2.88716e-06
"3962",2048,2048,"[709, 826, 981, 1191]",0,2.6,4.3,1,94,8.7174e-08
"9462",1200,1200,"[169, 357, 525, 830]",0,3.45,3.9,1,92,9.26496e-08
"9502",1200,1200,"[170, 356, 524, 833]",0,3.55,3.75,1,90,9.84691e-08
"9505",1200,1200,"[174, 356, 524, 833]",0,3.6,3.8,1,93,8.98701e-08
"9790",1200,1200,"[175, 357, 527, 832]",0,3.65,3.95,1,5,0.0241228
"9854",1200,1200,"[172, 356, 524, 836]",0,3.6,3.8,1,39,1.85095e-05
"9951",1200,1200,"[171, 357, 525, 837]",0,3.6,3.9,1,99,6.17396e-08
"10130",543,543,"[100, 452, 870, 1036]",0,3.75,6.5,1,6,0.0238257
"10132",543,543,"[100, 448, 865, 1033]",0,3.6,6.55,1,66,9.55504e-07
