"","lambda","gamma","suppSize"
"1",0.0628003,0,0
"2",0.0621723,0,1
"3",0.0456844,0,2
"4",0.0290764,0,3
"5",0.0270276,0,4
"6",0.0252833,0,5
"7",0.0242866,0,6
"8",0.0203349,0,8
"9",0.0190823,0,9
"10",0.0176766,0,10
"11",0.0145792,0,11
"12",0.0132111,0,12
"13",0.0128604,0,13
"14",0.0127057,0,14
"15",0.0119867,0,15
"16",0.011788,0,17
"17",0.0110635,0,18
"18",0.0104507,0,19
"19",0.0101068,0,20
"20",0.00977404,0,21
"21",0.00967045,0,24
"22",0.00471498,0,25
"23",0.00154988,0,26
"24",0.000800672,0,27
"25",0.000348735,0,27
"26",0.000278988,0,28
"27",0.000243011,0,29
"28",0.000201327,0,29
"29",0.000161062,0,31
"30",0.00014821,0,31
"31",9.4746e-05,0,32
"32",7.14125e-05,0,32
"33",5.01906e-05,0,34
"34",4.35426e-05,0,35
"35",3.56317e-05,0,36
"36",2.91195e-05,0,36
"37",2.32956e-05,0,38
"38",2.20506e-05,0,39
"39",2.15488e-05,0,40
"40",1.74525e-05,0,41
"41",1.26671e-05,0,43
"42",1.18324e-05,0,44
"43",1.08694e-05,0,45
"44",9.39247e-06,0,45
"45",7.51397e-06,0,46
"46",7.28615e-06,0,47
"47",7.06756e-06,0,48
"48",6.63792e-06,0,48
"49",6.43878e-06,0,48
"50",5.15102e-06,0,49
"51",4.99649e-06,0,49
"52",3.99719e-06,0,52
"53",3.87728e-06,0,55
"54",3.76096e-06,0,55
"55",3.00877e-06,0,56
"56",2.9185e-06,0,57
"57",2.83095e-06,0,57
"58",2.26476e-06,0,59
"59",2.19682e-06,0,61
"60",2.13091e-06,0,61
"61",1.70473e-06,0,63
"62",1.65359e-06,0,64
"63",1.60398e-06,0,65
"64",1.55586e-06,0,66
"65",1.50918e-06,0,66
"66",1.20735e-06,0,71
"67",1.17113e-06,0,71
"68",9.36902e-07,0,75
"69",9.08795e-07,0,75
"70",7.27036e-07,0,79
"71",7.05225e-07,0,79
"72",5.6418e-07,0,81
"73",5.47254e-07,0,83
"74",5.30837e-07,0,84
"75",5.14912e-07,0,87
"76",4.99464e-07,0,88
"77",4.8448e-07,0,88
"78",3.87584e-07,0,90
"79",3.75957e-07,0,93
"80",3.64678e-07,0,94
"81",3.53738e-07,0,96
"82",3.43126e-07,0,98
"83",3.32832e-07,0,98
"84",2.66266e-07,0,101
"85",2.58278e-07,0,103
"86",2.50529e-07,0,104
"87",2.43013e-07,0,104
"88",1.94411e-07,0,105
"89",1.88578e-07,0,107
"90",1.82921e-07,0,107
"91",1.77433e-07,0,107
"92",1.41947e-07,0,113
"93",1.37688e-07,0,116
"94",1.33558e-07,0,119
"95",1.29551e-07,0,118
"96",1.25664e-07,0,119
"97",1.21894e-07,0,119
"98",1.18238e-07,0,121
"99",1.1469e-07,0,122
"100",1.1125e-07,0,122
