"","lambda","gamma","suppSize"
"1",0.0443334,0,1
"2",0.0421204,0,2
"3",0.0341583,0,3
"4",0.0279262,0,4
"5",0.0251609,0,5
"6",0.0218616,0,6
"7",0.0211171,0,7
"8",0.0199487,0,8
"9",0.0192212,0,9
"10",0.0169614,0,10
"11",0.0164736,0,11
"12",0.0161309,0,12
"13",0.0128727,0,14
"14",0.0126919,0,16
"15",0.0120676,0,18
"16",0.0118329,0,20
"17",0.0106729,0,22
"18",0.00856533,0,24
"19",0.00717307,0,25
"20",0.00297381,0,26
"21",0.00229175,0,27
"22",0.000888484,0,27
"23",0.000615507,0,28
"24",0.000400243,0,28
"25",0.000275276,0,29
"26",0.000168162,0,30
"27",0.000142959,0,31
"28",0.000118615,0,32
"29",0.00011499,0,33
"30",8.80389e-05,0,34
"31",7.87734e-05,0,34
"32",6.30188e-05,0,35
"33",5.09548e-05,0,35
"34",4.07638e-05,0,39
"35",2.68894e-05,0,42
"36",2.19521e-05,0,42
"37",1.75617e-05,0,43
"38",1.58739e-05,0,43
"39",1.18883e-05,0,44
"40",9.97375e-06,0,46
"41",9.3229e-06,0,47
"42",7.37567e-06,0,48
"43",7.1544e-06,0,48
"44",5.72352e-06,0,51
"45",5.41148e-06,0,52
"46",5.3444e-06,0,52
"47",4.27552e-06,0,52
"48",3.42042e-06,0,52
"49",2.73633e-06,0,57
"50",2.65424e-06,0,59
"51",2.57462e-06,0,60
"52",2.43077e-06,0,62
"53",2.35785e-06,0,62
"54",1.69567e-06,0,66
"55",1.6448e-06,0,67
"56",1.59545e-06,0,67
"57",1.27636e-06,0,70
"58",1.23807e-06,0,71
"59",1.20093e-06,0,71
"60",9.60742e-07,0,71
"61",9.3192e-07,0,73
"62",9.03963e-07,0,74
"63",8.76844e-07,0,74
"64",7.01475e-07,0,76
"65",6.80431e-07,0,77
"66",6.60018e-07,0,78
"67",6.40217e-07,0,78
"68",5.12174e-07,0,79
"69",4.96809e-07,0,80
"70",4.81904e-07,0,80
"71",3.85523e-07,0,84
"72",3.73958e-07,0,86
"73",3.62739e-07,0,88
"74",3.51857e-07,0,87
"75",3.41301e-07,0,88
"76",3.31062e-07,0,89
"77",3.2113e-07,0,89
"78",2.56904e-07,0,96
"79",2.49197e-07,0,97
"80",2.41721e-07,0,98
"81",2.3447e-07,0,98
"82",1.87576e-07,0,100
"83",1.81948e-07,0,101
"84",1.7649e-07,0,106
"85",1.71195e-07,0,106
"86",1.36956e-07,0,107
"87",1.32847e-07,0,108
"88",1.28862e-07,0,108
"89",1.0309e-07,0,112
"90",9.9997e-08,0,113
"91",9.6997e-08,0,116
"92",9.40871e-08,0,117
"93",9.12645e-08,0,119
"94",8.85266e-08,0,121
"95",8.58708e-08,0,122
"96",8.32947e-08,0,121
"97",8.07958e-08,0,122
"98",7.8372e-08,0,123
"99",7.60208e-08,0,124
"100",7.37402e-08,0,125
