"","lambda","gamma","suppSize"
"1",0.0391176,0,1
"2",0.0301497,0,2
"3",0.0298432,0,4
"4",0.0274681,0,5
"5",0.0240214,0,6
"6",0.0223761,0,7
"7",0.0205727,0,8
"8",0.0179132,0,9
"9",0.0171005,0,10
"10",0.0166057,0,12
"11",0.015535,0,14
"12",0.0140351,0,15
"13",0.013528,0,16
"14",0.0133398,0,17
"15",0.0127218,0,23
"16",0.0104823,0,24
"17",0.00661454,0,24
"18",0.00529163,0,25
"19",0.0012947,0,26
"20",0.000828704,0,27
"21",0.000520338,0,28
"22",0.000366732,0,29
"23",0.000309432,0,30
"24",0.000186423,0,31
"25",0.000163531,0,32
"26",9.97895e-05,0,34
"27",9.30757e-05,0,35
"28",6.28282e-05,0,35
"29",4.83412e-05,0,35
"30",3.8673e-05,0,35
"31",3.09384e-05,0,36
"32",2.96861e-05,0,37
"33",2.62165e-05,0,38
"34",2.33656e-05,0,38
"35",1.86925e-05,0,40
"36",1.59412e-05,0,41
"37",1.33521e-05,0,43
"38",1.14466e-05,0,44
"39",1.11032e-05,0,46
"40",1.05723e-05,0,46
"41",7.09687e-06,0,47
"42",6.63662e-06,0,48
"43",6.56566e-06,0,50
"44",5.26855e-06,0,52
"45",5.11049e-06,0,52
"46",4.08839e-06,0,52
"47",3.27071e-06,0,54
"48",3.17259e-06,0,54
"49",2.53807e-06,0,58
"50",2.46193e-06,0,59
"51",2.38807e-06,0,59
"52",1.91046e-06,0,61
"53",1.85314e-06,0,61
"54",1.48252e-06,0,65
"55",1.43804e-06,0,65
"56",1.15043e-06,0,66
"57",1.11592e-06,0,71
"58",1.08244e-06,0,71
"59",8.65953e-07,0,74
"60",8.39975e-07,0,75
"61",8.14776e-07,0,77
"62",7.90332e-07,0,77
"63",6.32266e-07,0,79
"64",6.13298e-07,0,83
"65",5.94899e-07,0,83
"66",4.75919e-07,0,85
"67",4.61642e-07,0,86
"68",4.47792e-07,0,88
"69",4.34359e-07,0,89
"70",4.21328e-07,0,90
"71",4.08688e-07,0,90
"72",3.96427e-07,0,91
"73",3.84535e-07,0,91
"74",3.07628e-07,0,91
"75",2.46102e-07,0,95
"76",2.38719e-07,0,98
"77",2.31557e-07,0,98
"78",2.24611e-07,0,100
"79",2.17872e-07,0,100
"80",1.74298e-07,0,103
"81",1.69069e-07,0,105
"82",1.63997e-07,0,106
"83",1.59077e-07,0,107
"84",1.54305e-07,0,109
"85",1.49676e-07,0,110
"86",1.45185e-07,0,111
"87",1.4083e-07,0,114
"88",1.36605e-07,0,113
"89",1.32507e-07,0,113
"90",1.28531e-07,0,115
"91",1.24676e-07,0,117
"92",1.20935e-07,0,117
"93",9.67482e-08,0,120
"94",9.38458e-08,0,122
"95",9.10304e-08,0,123
"96",8.82995e-08,0,123
"97",8.56505e-08,0,124
"98",8.3081e-08,0,125
"99",8.05886e-08,0,125
"100",7.81709e-08,0,126
