"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"117",311,311,"[5, 763, 973, 1044]",0,1.95,6.05,1,13,0.0133398
"181",311,311,"[4, 764, 973, 1045]",0,1.9,6.2,1,48,2.53807e-06
"420",412,412,"[186, 463, 638, 1165]",0,2.5,2.1,1,11,0.0140351
"422",412,412,"[182, 464, 638, 1165]",0,2.45,2.15,1,48,2.53807e-06
"622",412,412,"[186, 465, 642, 1168]",0,2.6,2.2,1,56,1.11592e-06
"663",1586,1586,"[74, 188, 324, 918]",0,2.35,2.75,1,74,2.46102e-07
"734",1586,1586,"[74, 183, 320, 916]",0,2.25,2.5,1,31,2.96861e-05
"772",1586,1586,"[74, 187, 323, 920]",0,2.4,2.55,1,58,8.65953e-07
"800",1586,1586,"[74, 184, 323, 921]",0,2.35,2.65,1,4,0.0240214
"806",1586,1586,"[74, 188, 324, 921]",0,2.4,2.7,1,75,2.38719e-07
"859",1191,1191,"[192, 677, 774, 931]",0,2.3,4.55,1,68,4.34359e-07
"883",1191,1191,"[192, 684, 773, 934]",0,2.45,4.45,1,93,9.38458e-08
"929",1191,1191,"[192, 684, 773, 930]",0,2.4,4.4,1,95,8.82995e-08
"956",1191,1191,"[192, 680, 773, 936]",0,2.45,4.4,1,96,8.56505e-08
"1031",1191,1191,"[191, 679, 776, 929]",0,2.4,4.25,1,24,0.000163531
"1192",1191,1191,"[191, 675, 776, 935]",0,2.45,4.25,1,76,2.31557e-07
"1193",1191,1191,"[191, 679, 776, 935]",0,2.5,4.25,1,86,1.4083e-07
"1198",1191,1191,"[195, 680, 776, 935]",0,2.6,4.3,1,9,0.0166057
"1199",1191,1191,"[191, 683, 776, 935]",0,2.55,4.25,1,56,1.11592e-06
"1207",1191,1191,"[191, 685, 776, 935]",0,2.55,4.35,1,92,9.67482e-08
"1211",229,229,"[221, 414, 884, 1063]",0,2.6,4.9,1,18,0.0012947
"1265",229,229,"[222, 414, 885, 1063]",0,2.6,5.05,1,48,2.53807e-06
"1268",229,229,"[222, 414, 888, 1063]",0,2.65,5.05,1,49,2.46193e-06
"1756",1719,1719,"[112, 333, 612, 861]",0,2.95,4.4,1,14,0.0127218
"1796",1719,1719,"[107, 333, 612, 860]",0,2.9,4.3,1,58,8.65953e-07
"1797",1719,1719,"[108, 333, 612, 860]",0,2.9,4.35,1,63,6.13298e-07
"1800",1719,1719,"[113, 333, 612, 860]",0,2.95,4.4,1,94,9.10304e-08
"2544",1013,1013,"[23, 524, 1015, 1062]",0,3.15,5.85,1,63,6.13298e-07
"2576",1013,1013,"[19, 519, 1012, 1056]",0,2.85,5.9,1,34,1.86925e-05
"2581",1013,1013,"[20, 521, 1012, 1056]",0,2.9,5.9,1,32,2.62165e-05
"2598",1013,1013,"[15, 519, 1009, 1059]",0,2.8,5.9,1,14,0.0127218
"2645",1013,1013,"[23, 525, 1015, 1059]",0,3.1,5.9,1,65,4.75919e-07
"2652",1445,1445,"[76, 228, 687, 850]",0,2.85,6.85,1,14,0.0127218
"2847",1445,1445,"[81, 228, 688, 852]",0,2.95,7.05,1,43,5.26855e-06
"2909",1719,1719,"[114, 342, 615, 863]",0,3.2,4.3,1,34,1.86925e-05
"3011",229,229,"[237, 423, 890, 1071]",0,3.2,4.9,1,42,6.56566e-06
"3022",229,229,"[237, 423, 893, 1071]",0,3.25,4.95,1,43,5.26855e-06
"3024",229,229,"[260, 423, 893, 1071]",0,3.35,4.95,1,2,0.0298432
"3238",1445,1445,"[83, 247, 691, 854]",0,3.25,6.95,1,74,2.46102e-07
"3255",1445,1445,"[83, 246, 694, 854]",0,3.3,6.9,1,62,6.32266e-07
"3319",1445,1445,"[84, 245, 692, 856]",0,3.4,6.65,1,20,0.000520338
"3451",55,55,"[428, 481, 632, 742]",0,4.05,5.45,1,90,1.24676e-07
"3469",55,55,"[428, 481, 634, 742]",0,4.1,5.45,1,30,3.09384e-05
"3478",55,55,"[428, 481, 635, 742]",0,4.1,5.5,1,65,4.75919e-07
"3496",55,55,"[431, 489, 636, 744]",0,4.15,5.95,1,58,8.65953e-07
"3538",55,55,"[430, 482, 633, 743]",0,4.05,5.7,1,79,1.74298e-07
"3539",55,55,"[432, 482, 633, 743]",0,4.1,5.65,1,83,1.54305e-07
"3542",55,55,"[430, 487, 633, 743]",0,4.1,5.7,1,74,2.46102e-07
"3546",55,55,"[430, 488, 633, 743]",0,4.1,5.75,1,1,0.0301497
"3558",55,55,"[429, 482, 635, 743]",0,4.1,5.65,1,51,1.91046e-06
"3560",55,55,"[432, 482, 635, 743]",0,4.15,5.65,1,98,8.05886e-08
"3592",144,144,"[28, 527, 591, 905]",0,4.6,3.3,1,62,6.32266e-07
"3602",144,144,"[28, 527, 594, 908]",0,4.7,3.3,1,42,6.56566e-06
"3610",144,144,"[28, 527, 593, 907]",0,4.7,3.2,1,85,1.45185e-07
"3632",144,144,"[28, 527, 594, 910]",0,4.75,3.25,1,98,8.05886e-08
"3982",684,684,"[303, 451, 665, 1130]",0,4.45,3.7,1,67,4.47792e-07
"4047",684,684,"[303, 455, 667, 1130]",0,4.55,3.65,1,99,7.81709e-08
"4088",684,684,"[303, 452, 669, 1130]",0,4.5,3.8,1,53,1.48252e-06
"4403",684,684,"[300, 452, 667, 1129]",0,4.45,3.7,1,7,0.0179132
"4439",684,684,"[299, 455, 671, 1129]",0,4.55,3.6,1,86,1.4083e-07
"4680",801,801,"[313, 475, 798, 1005]",0,4.65,5.95,1,53,1.48252e-06
"4716",55,55,"[433, 493, 636, 744]",0,4.25,5.9,1,56,1.11592e-06
"4794",801,801,"[315, 476, 803, 1005]",0,4.7,6.15,1,51,1.91046e-06
"4902",801,801,"[315, 476, 799, 1001]",0,4.6,6.15,1,82,1.59077e-07
"5544",801,801,"[315, 474, 800, 1002]",0,4.55,6.3,1,10,0.015535
"5618",801,801,"[315, 476, 803, 1002]",0,4.65,6.2,1,80,1.69069e-07
"5652",801,801,"[316, 476, 804, 1002]",0,4.65,6.3,1,81,1.63997e-07
