"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"41",1424,1424,"[94, 654, 759, 1125]",0,2.25,2.9,1,25,8.7427e-05
"87",1424,1424,"[97, 656, 759, 1127]",0,2.4,2.85,1,8,0.0217917
"363",1424,1424,"[95, 655, 758, 1122]",0,2.15,3.05,1,26,7.24069e-05
"436",1346,1346,"[76, 561, 590, 919]",0,2.15,6.15,1,34,1.92763e-05
"440",1346,1346,"[75, 559, 588, 918]",0,2.05,6.05,1,15,0.0124204
"750",1713,1713,"[288, 407, 1105, 1269]",0,2.25,6.35,1,9,0.0164764
"818",1713,1713,"[292, 410, 1108, 1270]",0,2.4,6.4,1,31,2.63108e-05
"1347",1431,1431,"[198, 236, 707, 974]",0,3.55,1.95,1,28,4.44464e-05
"1741",1431,1431,"[198, 248, 712, 976]",0,3.7,2.2,1,10,0.0155875
"1976",1004,1004,"[293, 454, 984, 1168]",0,3.15,3.4,1,16,0.0121533
"2076",1004,1004,"[298, 457, 992, 1170]",0,3.45,3.45,1,29,3.67924e-05
"2110",53,53,"[64, 244, 827, 1068]",0,3.3,5.6,1,18,0.0100798
"2874",53,53,"[70, 253, 835, 1074]",0,3.8,5.45,1,30,2.69562e-05
"2881",53,53,"[70, 253, 837, 1074]",0,3.85,5.45,1,28,4.44464e-05
"2968",65,65,"[10, 676, 1051, 1221]",0,4.25,2.6,1,17,0.010879
"2970",65,65,"[10, 678, 1051, 1221]",0,4.3,2.6,1,25,8.7427e-05
"2978",65,65,"[10, 678, 1054, 1221]",0,4.35,2.6,1,27,6.15514e-05
"3150",571,571,"[350, 624, 850, 1158]",0,4.6,6.95,1,22,0.000268461
"3213",571,571,"[354, 622, 858, 1160]",0,4.7,6.75,1,1,0.0351591
"3518",1328,1328,"[86, 631, 1146, 1193]",0,4.9,2.8,1,21,0.000357227
"3550",1328,1328,"[85, 631, 1144, 1190]",0,4.85,2.6,1,6,0.0244982
"3766",314,314,"[14, 475, 1150, 1213]",0,5.1,3.1,1,32,2.29184e-05
"3821",1884,1884,"[12, 159, 475, 684]",0,4.95,3.4,1,20,0.000452628
"3997",489,489,"[21, 388, 399, 794]",0,5,3.5,1,12,0.0149422
"4074",1541,1541,"[164, 806, 993, 1215]",0,5.15,3.4,1,17,0.010879
"4276",1265,1265,"[218, 335, 863, 1243]",0,4.95,5.05,1,7,0.0223542
"4511",1265,1265,"[223, 340, 879, 1245]",0,5.1,5.35,1,30,2.69562e-05
"5398",831,831,"[349, 439, 737, 1240]",0,5.8,2.4,1,4,0.0270919
"5405",831,831,"[347, 434, 734, 1237]",0,5.55,2.35,1,26,7.24069e-05
"5444",1541,1541,"[172, 808, 998, 1216]",0,5.4,3,1,31,2.63108e-05
"5560",1884,1884,"[18, 173, 486, 691]",0,5.45,3.2,1,3,0.0326958
"5814",1638,1638,"[145, 647, 929, 1198]",0,5.65,3.65,1,35,1.56905e-05
"5896",775,775,"[102, 365, 539, 1096]",0,5.45,4.4,1,5,0.0251313
"6072",775,775,"[103, 366, 544, 1097]",0,5.5,4.6,1,23,0.000206963
"6200",195,195,"[179, 580, 945, 1006]",0,5.4,5.2,1,2,0.033893
"6533",195,195,"[180, 581, 937, 1021]",0,5.4,5.4,1,28,4.44464e-05
"7016",1265,1265,"[223, 345, 890, 1251]",0,5.3,5.4,1,28,4.44464e-05
"7044",195,195,"[186, 587, 954, 1021]",0,5.65,5.55,1,19,0.000649049
"7216",727,727,"[263, 512, 683, 801]",0,5.45,6.3,1,38,1.1912e-05
"7289",727,727,"[258, 512, 680, 800]",0,5.35,6.15,1,16,0.0121533
"7364",1350,1350,"[139, 430, 584, 1062]",0,5.6,6.1,1,36,1.53506e-05
"7647",1350,1350,"[137, 428, 577, 1061]",0,5.4,6.35,1,28,4.44464e-05
"7653",1350,1350,"[137, 429, 586, 1061]",0,5.45,6.45,1,11,0.0152029
"7742",700,700,"[447, 520, 941, 1138]",0,5.3,6.35,1,15,0.0124204
"8206",1638,1638,"[152, 652, 931, 1200]",0,5.95,3.65,1,13,0.0142236
"8842",2040,2040,"[908, 1042, 1117, 1256]",0,5.95,5.7,1,10,0.0155875
"9326",1296,1296,"[59, 269, 824, 1034]",0,6.05,6.8,1,33,2.13989e-05
"9402",1296,1296,"[59, 269, 824, 1033]",0,6.05,6.75,1,38,1.1912e-05
"9432",1296,1296,"[54, 267, 819, 1030]",0,5.85,6.7,1,6,0.0244982
"9820",1679,1679,"[130, 555, 702, 959]",0,6.6,2.6,1,16,0.0121533
"9932",1679,1679,"[130, 552, 704, 962]",0,6.65,2.6,1,27,6.15514e-05
"10132",21,21,"[234, 380, 729, 756]",0,6.55,4.15,1,40,9.24374e-06
"10304",21,21,"[228, 377, 731, 754]",0,6.35,4.25,1,14,0.0130365
"10703",1916,1916,"[193, 278, 469, 530]",0,6.85,2.05,1,10,0.0155875
