"","lambda","gamma","suppSize"
"1",0.0431438,0,0
"2",0.0427124,0,1
"3",0.0323509,0,2
"4",0.0309773,0,3
"5",0.0263933,0,4
"6",0.0241078,0,5
"7",0.023439,0,6
"8",0.0212645,0,7
"9",0.0206993,0,8
"10",0.0187179,0,9
"11",0.0178996,0,10
"12",0.0168856,0,11
"13",0.0164462,0,13
"14",0.0157827,0,14
"15",0.0148131,0,16
"16",0.014142,0,18
"17",0.013199,0,20
"18",0.0121421,0,21
"19",0.0110679,0,22
"20",0.0103448,0,23
"21",0.00947164,0,24
"22",0.00032646,0,25
"23",0.000249181,0,26
"24",0.00016017,0,27
"25",0.00011372,0,29
"26",0.000109133,0,29
"27",8.40983e-05,0,31
"28",7.67254e-05,0,32
"29",7.44237e-05,0,32
"30",5.40444e-05,0,33
"31",5.24231e-05,0,33
"32",4.19385e-05,0,34
"33",4.06803e-05,0,34
"34",3.08701e-05,0,35
"35",2.9944e-05,0,36
"36",2.80128e-05,0,36
"37",2.24102e-05,0,39
"38",2.1488e-05,0,39
"39",1.71904e-05,0,40
"40",1.66747e-05,0,41
"41",1.61745e-05,0,41
"42",1.29396e-05,0,42
"43",1.25514e-05,0,42
"44",1.00411e-05,0,44
"45",9.73988e-06,0,44
"46",7.7919e-06,0,44
"47",6.23352e-06,0,47
"48",6.04652e-06,0,47
"49",4.83721e-06,0,48
"50",4.6921e-06,0,48
"51",3.75368e-06,0,50
"52",3.64107e-06,0,50
"53",2.91285e-06,0,57
"54",2.82547e-06,0,59
"55",2.7407e-06,0,59
"56",2.19256e-06,0,61
"57",2.12679e-06,0,61
"58",1.70143e-06,0,67
"59",1.65039e-06,0,68
"60",1.60087e-06,0,70
"61",1.55285e-06,0,70
"62",1.24228e-06,0,71
"63",1.20501e-06,0,75
"64",1.16886e-06,0,76
"65",1.13379e-06,0,77
"66",1.09978e-06,0,78
"67",1.06679e-06,0,77
"68",1.03478e-06,0,78
"69",1.00374e-06,0,78
"70",8.02992e-07,0,79
"71",7.78902e-07,0,81
"72",7.55535e-07,0,80
"73",7.32869e-07,0,80
"74",5.86295e-07,0,81
"75",5.68706e-07,0,84
"76",5.51645e-07,0,83
"77",5.35096e-07,0,83
"78",4.28077e-07,0,84
"79",4.15234e-07,0,83
"80",4.02777e-07,0,83
"81",3.22222e-07,0,86
"82",3.12555e-07,0,89
"83",3.03179e-07,0,89
"84",2.94083e-07,0,92
"85",2.85261e-07,0,93
"86",2.76703e-07,0,93
"87",2.21362e-07,0,94
"88",2.14721e-07,0,95
"89",2.0828e-07,0,97
"90",2.02031e-07,0,99
"91",1.9597e-07,0,100
"92",1.90091e-07,0,102
"93",1.84389e-07,0,102
"94",1.47511e-07,0,106
"95",1.43086e-07,0,108
"96",1.38793e-07,0,108
"97",1.11034e-07,0,109
"98",1.07703e-07,0,109
"99",8.61627e-08,0,112
"100",8.35778e-08,0,113
