"","lambda","gamma","suppSize"
"1",0.0427429,0,0
"2",0.0423155,0,1
"3",0.039449,0,2
"4",0.0333599,0,3
"5",0.0310702,0,4
"6",0.0227383,0,5
"7",0.0217564,0,6
"8",0.0209362,0,7
"9",0.0202759,0,8
"10",0.01815,0,9
"11",0.0163389,0,11
"12",0.0150573,0,14
"13",0.0134271,0,17
"14",0.0117898,0,22
"15",0.00945869,0,24
"16",0.00887147,0,25
"17",0.00168788,0,26
"18",0.000348262,0,26
"19",0.000278609,0,27
"20",0.000253595,0,28
"21",0.000213896,0,28
"22",0.000171117,0,30
"23",0.000153948,0,31
"24",0.000122179,0,31
"25",9.77428e-05,0,32
"26",6.6507e-05,0,32
"27",5.32056e-05,0,34
"28",4.40823e-05,0,34
"29",3.52658e-05,0,35
"30",2.95938e-05,0,36
"31",2.81348e-05,0,38
"32",2.4879e-05,0,40
"33",1.82949e-05,0,41
"34",1.50608e-05,0,43
"35",1.35296e-05,0,44
"36",1.31237e-05,0,45
"37",1.05417e-05,0,45
"38",1.03939e-05,0,45
"39",8.31512e-06,0,46
"40",8.06566e-06,0,46
"41",6.45253e-06,0,49
"42",6.25895e-06,0,50
"43",6.07119e-06,0,51
"44",5.88905e-06,0,52
"45",5.47846e-06,0,52
"46",4.38276e-06,0,54
"47",4.20646e-06,0,55
"48",3.82917e-06,0,56
"49",3.70883e-06,0,59
"50",3.59756e-06,0,59
"51",2.30802e-06,0,62
"52",2.23878e-06,0,64
"53",2.17161e-06,0,63
"54",1.90623e-06,0,63
"55",1.52499e-06,0,69
"56",1.47924e-06,0,70
"57",1.43486e-06,0,72
"58",1.39181e-06,0,72
"59",1.11345e-06,0,74
"60",1.08005e-06,0,74
"61",1.04765e-06,0,76
"62",1.01622e-06,0,76
"63",8.12973e-07,0,79
"64",7.88584e-07,0,80
"65",7.64926e-07,0,83
"66",7.41978e-07,0,83
"67",5.93583e-07,0,86
"68",5.75775e-07,0,90
"69",5.58502e-07,0,92
"70",5.41747e-07,0,95
"71",5.25494e-07,0,96
"72",5.0973e-07,0,96
"73",4.07784e-07,0,99
"74",3.9555e-07,0,100
"75",3.83684e-07,0,105
"76",3.72173e-07,0,104
"77",3.61008e-07,0,104
"78",2.88806e-07,0,105
"79",2.80142e-07,0,105
"80",2.24114e-07,0,107
"81",2.1739e-07,0,107
"82",1.73912e-07,0,109
"83",1.68695e-07,0,111
"84",1.63634e-07,0,112
"85",1.58725e-07,0,114
"86",1.53963e-07,0,114
"87",1.49344e-07,0,117
"88",1.44864e-07,0,119
"89",1.40518e-07,0,120
"90",1.36303e-07,0,121
"91",1.32213e-07,0,121
"92",1.05771e-07,0,123
"93",1.02598e-07,0,126
"94",9.95197e-08,0,127
"95",9.65342e-08,0,130
"96",9.36381e-08,0,133
"97",9.0829e-08,0,135
"98",8.81041e-08,0,137
"99",8.5461e-08,0,139
"100",8.28972e-08,0,139
