"","lambda","gamma","suppSize"
"1",0.0420747,0,0
"2",0.041654,0,1
"3",0.035989,0,2
"4",0.0354526,0,3
"5",0.0339095,0,4
"6",0.0238359,0,5
"7",0.0230406,0,6
"8",0.0196885,0,7
"9",0.0190618,0,8
"10",0.0169111,0,9
"11",0.0165977,0,10
"12",0.0161613,0,12
"13",0.0152488,0,14
"14",0.0149698,0,15
"15",0.013854,0,16
"16",0.0132574,0,17
"17",0.012991,0,20
"18",0.012292,0,21
"19",0.011897,0,22
"20",0.0110511,0,23
"21",0.0101697,0,25
"22",0.000490266,0,26
"23",0.000224096,0,27
"24",0.000168113,0,28
"25",0.000151054,0,29
"26",0.000105385,0,30
"27",6.07076e-05,0,30
"28",4.85661e-05,0,31
"29",4.6253e-05,0,32
"30",4.39491e-05,0,33
"31",4.29029e-05,0,35
"32",4.06875e-05,0,36
"33",3.07178e-05,0,37
"34",2.8763e-05,0,37
"35",2.17833e-05,0,38
"36",2.15661e-05,0,38
"37",1.72529e-05,0,42
"38",1.64245e-05,0,43
"39",1.37683e-05,0,44
"40",1.24573e-05,0,45
"41",9.27274e-06,0,46
"42",8.99456e-06,0,47
"43",8.41728e-06,0,48
"44",7.58846e-06,0,50
"45",6.24685e-06,0,50
"46",4.99748e-06,0,51
"47",4.74501e-06,0,52
"48",4.16265e-06,0,53
"49",4.03777e-06,0,54
"50",3.00941e-06,0,58
"51",2.63383e-06,0,60
"52",2.61646e-06,0,60
"53",2.09317e-06,0,62
"54",2.03038e-06,0,62
"55",1.6243e-06,0,64
"56",1.57557e-06,0,67
"57",1.52831e-06,0,67
"58",1.22264e-06,0,72
"59",1.1611e-06,0,71
"60",1.09784e-06,0,72
"61",1.05063e-06,0,73
"62",1.01911e-06,0,72
"63",9.88541e-07,0,73
"64",9.58885e-07,0,73
"65",7.67108e-07,0,77
"66",7.44095e-07,0,77
"67",5.95276e-07,0,78
"68",5.77418e-07,0,79
"69",5.60095e-07,0,79
"70",4.48076e-07,0,81
"71",4.34634e-07,0,82
"72",4.21595e-07,0,84
"73",4.08947e-07,0,86
"74",3.96679e-07,0,85
"75",3.84778e-07,0,85
"76",3.73235e-07,0,85
"77",2.98588e-07,0,87
"78",2.8963e-07,0,88
"79",2.80941e-07,0,91
"80",2.72513e-07,0,91
"81",2.64338e-07,0,91
"82",2.1147e-07,0,93
"83",2.05126e-07,0,96
"84",1.98972e-07,0,98
"85",1.93003e-07,0,99
"86",1.87213e-07,0,100
"87",1.81597e-07,0,104
"88",1.76149e-07,0,105
"89",1.70864e-07,0,105
"90",1.65738e-07,0,107
"91",1.60766e-07,0,109
"92",1.55943e-07,0,110
"93",1.51265e-07,0,112
"94",1.46727e-07,0,113
"95",1.42325e-07,0,114
"96",1.38055e-07,0,114
"97",1.10444e-07,0,116
"98",1.07131e-07,0,117
"99",1.03917e-07,0,116
"100",1.008e-07,0,118
