"","lambda","gamma","suppSize"
"1",0.0604199,0,0
"2",0.0598157,0,1
"3",0.0365386,0,2
"4",0.0338835,0,3
"5",0.0225906,0,5
"6",0.0204491,0,6
"7",0.0197427,0,7
"8",0.0192703,0,8
"9",0.0186208,0,9
"10",0.0171903,0,10
"11",0.0153433,0,11
"12",0.0148468,0,13
"13",0.013699,0,15
"14",0.0133502,0,19
"15",0.0128376,0,20
"16",0.0108075,0,21
"17",0.00971085,0,22
"18",0.00959553,0,23
"19",0.00771884,0,24
"20",0.00217161,0,25
"21",0.00158697,0,26
"22",0.000236451,0,26
"23",0.000114765,0,27
"24",0.000110512,0,28
"25",9.69504e-05,0,29
"26",6.03523e-05,0,29
"27",3.7033e-05,0,29
"28",2.96264e-05,0,30
"29",2.76927e-05,0,31
"30",1.64611e-05,0,31
"31",1.31689e-05,0,32
"32",1.27738e-05,0,32
"33",1.02191e-05,0,33
"34",9.91248e-06,0,33
"35",7.92998e-06,0,37
"36",7.69209e-06,0,37
"37",6.15367e-06,0,39
"38",5.96906e-06,0,40
"39",5.78999e-06,0,40
"40",4.63199e-06,0,45
"41",4.49303e-06,0,45
"42",3.59442e-06,0,47
"43",3.48659e-06,0,47
"44",2.78927e-06,0,49
"45",2.70559e-06,0,51
"46",2.62443e-06,0,51
"47",2.09954e-06,0,53
"48",2.03656e-06,0,53
"49",1.62924e-06,0,57
"50",1.58037e-06,0,59
"51",1.53296e-06,0,59
"52",1.48697e-06,0,59
"53",1.18957e-06,0,60
"54",1.15389e-06,0,61
"55",1.11927e-06,0,61
"56",8.95416e-07,0,61
"57",7.16333e-07,0,66
"58",6.94843e-07,0,67
"59",6.73997e-07,0,70
"60",6.53778e-07,0,70
"61",5.23022e-07,0,71
"62",5.07331e-07,0,75
"63",4.92111e-07,0,75
"64",3.93689e-07,0,77
"65",3.81878e-07,0,79
"66",3.70422e-07,0,80
"67",3.59309e-07,0,81
"68",3.4853e-07,0,82
"69",3.38074e-07,0,84
"70",3.27932e-07,0,84
"71",2.62346e-07,0,85
"72",2.54475e-07,0,86
"73",2.46841e-07,0,86
"74",1.97473e-07,0,88
"75",1.91549e-07,0,91
"76",1.85802e-07,0,91
"77",1.48642e-07,0,92
"78",1.44182e-07,0,93
"79",1.39857e-07,0,94
"80",1.35661e-07,0,95
"81",1.31591e-07,0,96
"82",1.27644e-07,0,97
"83",1.23814e-07,0,98
"84",1.201e-07,0,99
"85",1.16497e-07,0,99
"86",9.31976e-08,0,100
"87",9.04016e-08,0,100
"88",7.23213e-08,0,101
"89",7.01517e-08,0,101
"90",5.61213e-08,0,105
"91",5.44377e-08,0,107
"92",5.28046e-08,0,108
"93",5.12204e-08,0,107
"94",4.96838e-08,0,110
"95",4.81933e-08,0,111
"96",4.67475e-08,0,111
"97",4.53451e-08,0,110
"98",4.39847e-08,0,111
"99",4.26652e-08,0,113
"100",4.13852e-08,0,113
