"","lambda","gamma","suppSize"
"1",0.0451827,0,0
"2",0.0447309,0,1
"3",0.0339905,0,2
"4",0.0321974,0,3
"5",0.0275739,0,4
"6",0.0260269,0,5
"7",0.0226064,0,7
"8",0.0211547,0,8
"9",0.017094,0,10
"10",0.0165784,0,13
"11",0.0155713,0,16
"12",0.0152177,0,17
"13",0.0140194,0,18
"14",0.0135399,0,20
"15",0.0118371,0,21
"16",0.0106042,0,22
"17",0.00806104,0,23
"18",0.00745018,0,24
"19",0.00674297,0,25
"20",0.000413033,0,26
"21",0.000305336,0,27
"22",0.00026465,0,28
"23",0.000241539,0,29
"24",0.000159502,0,30
"25",0.000144705,0,31
"26",0.000116975,0,32
"27",9.40863e-05,0,33
"28",7.614e-05,0,34
"29",6.77884e-05,0,34
"30",5.42307e-05,0,36
"31",5.26038e-05,0,36
"32",2.53609e-05,0,37
"33",2.46e-05,0,37
"34",1.968e-05,0,41
"35",1.90896e-05,0,41
"36",1.52717e-05,0,41
"37",1.22174e-05,0,44
"38",1.18508e-05,0,44
"39",9.48067e-06,0,46
"40",9.1934e-06,0,46
"41",7.35472e-06,0,49
"42",7.13408e-06,0,50
"43",6.08299e-06,0,53
"44",5.25036e-06,0,54
"45",5.18013e-06,0,55
"46",4.58525e-06,0,54
"47",4.57808e-06,0,54
"48",3.66247e-06,0,56
"49",3.55259e-06,0,56
"50",2.84207e-06,0,58
"51",2.75681e-06,0,58
"52",2.20545e-06,0,60
"53",2.13929e-06,0,61
"54",2.07511e-06,0,61
"55",1.66009e-06,0,66
"56",1.61028e-06,0,68
"57",1.56197e-06,0,68
"58",1.24958e-06,0,73
"59",1.21209e-06,0,76
"60",1.17573e-06,0,77
"61",1.14046e-06,0,77
"62",9.12366e-07,0,79
"63",8.84995e-07,0,81
"64",8.58445e-07,0,82
"65",8.32692e-07,0,82
"66",8.07711e-07,0,82
"67",6.46169e-07,0,85
"68",6.26784e-07,0,87
"69",6.0798e-07,0,86
"70",5.89741e-07,0,87
"71",5.72049e-07,0,89
"72",5.54887e-07,0,90
"73",5.38241e-07,0,91
"74",5.22094e-07,0,92
"75",5.06431e-07,0,92
"76",4.05145e-07,0,98
"77",3.9299e-07,0,99
"78",3.81201e-07,0,101
"79",3.69765e-07,0,101
"80",3.58672e-07,0,103
"81",3.47911e-07,0,104
"82",3.37474e-07,0,103
"83",3.2735e-07,0,103
"84",2.6188e-07,0,104
"85",2.54023e-07,0,105
"86",2.46403e-07,0,106
"87",2.39011e-07,0,106
"88",1.91209e-07,0,111
"89",1.85472e-07,0,112
"90",1.79908e-07,0,113
"91",1.74511e-07,0,113
"92",1.39609e-07,0,117
"93",1.3542e-07,0,117
"94",1.08336e-07,0,120
"95",1.05086e-07,0,122
"96",1.01934e-07,0,123
"97",9.88757e-08,0,123
"98",7.91005e-08,0,124
"99",7.67275e-08,0,127
"100",7.44257e-08,0,130
