"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"85",1799,1799,"[158, 367, 481, 683]",0,1.85,6.2,1,84,2.19163e-07
"153",1799,1799,"[163, 370, 488, 686]",0,2.15,6.15,1,10,0.0140117
"214",1799,1799,"[158, 368, 482, 679]",0,1.8,6.3,1,50,2.88391e-06
"519",1799,1799,"[161, 374, 489, 687]",0,2.15,6.35,1,75,2.88285e-07
"1207",666,666,"[118, 862, 1132, 1166]",0,2.3,6.65,1,46,3.94982e-06
"1221",666,666,"[118, 862, 1133, 1166]",0,2.3,6.7,1,44,5.08997e-06
"1653",78,78,"[5, 592, 669, 850]",0,2.6,4.35,1,97,1.00331e-07
"1873",78,78,"[5, 592, 673, 853]",0,2.75,4.3,1,11,0.0138084
"2221",78,78,"[13, 593, 672, 854]",0,2.75,4.55,1,95,1.06633e-07
"2292",78,78,"[13, 596, 674, 854]",0,2.85,4.5,1,83,2.25941e-07
"2466",78,78,"[13, 595, 674, 857]",0,2.9,4.4,1,36,1.25737e-05
"2471",78,78,"[13, 597, 674, 857]",0,2.95,4.35,1,42,6.55924e-06
"2930",1880,1880,"[1, 199, 421, 830]",0,2.6,5.2,1,56,1.63399e-06
"3164",1880,1880,"[14, 206, 420, 834]",0,2.9,4.95,1,5,0.0243863
"3263",1880,1880,"[1, 201, 424, 835]",0,2.8,5.2,1,83,2.25941e-07
"3308",1880,1880,"[2, 199, 419, 830]",0,2.55,5.3,1,38,9.75721e-06
"3309",1880,1880,"[9, 199, 419, 830]",0,2.6,5.25,1,23,0.00012618
"3447",1880,1880,"[1, 201, 424, 833]",0,2.75,5.25,1,84,2.19163e-07
"3690",666,666,"[122, 867, 1136, 1166]",0,2.45,6.75,1,9,0.0146767
"3703",666,666,"[122, 862, 1139, 1166]",0,2.45,6.65,1,78,2.6311e-07
"3986",666,666,"[125, 868, 1137, 1172]",0,2.5,7.1,1,67,6.55681e-07
"4472",666,666,"[120, 864, 1136, 1171]",0,2.4,6.95,1,82,2.32929e-07
"4496",666,666,"[121, 864, 1137, 1171]",0,2.4,7.05,1,69,5.08809e-07
"4590",1535,1535,"[20, 225, 745, 1308]",0,3.15,2.05,1,56,1.63399e-06
"4852",78,78,"[38, 598, 677, 861]",0,3.15,4.4,1,26,6.53042e-05
"4925",78,78,"[38, 598, 677, 858]",0,3.1,4.4,1,99,9.44017e-08
"4940",78,78,"[38, 601, 677, 858]",0,3.15,4.4,1,69,5.08809e-07
"5247",1535,1535,"[61, 233, 748, 1312]",0,3.75,2.15,1,15,0.010276
"5435",1535,1535,"[61, 235, 748, 1316]",0,3.8,2.25,1,44,5.08997e-06
"5478",1319,1319,"[318, 738, 883, 1216]",0,3.7,3.8,1,13,0.0126208
"5496",372,372,"[181, 360, 1008, 1300]",0,3.8,3.6,1,54,2.10566e-06
"6068",1319,1319,"[331, 739, 884, 1215]",0,3.85,3.85,1,36,1.25737e-05
"6137",298,298,"[218, 381, 628, 1130]",0,3.6,4.1,1,26,6.53042e-05
"6167",1319,1319,"[318, 736, 883, 1216]",0,3.65,3.85,1,89,1.55219e-07
"6220",298,298,"[223, 381, 628, 1128]",0,3.6,4.1,1,75,2.88285e-07
"6278",298,298,"[223, 376, 627, 1127]",0,3.5,3.95,1,38,9.75721e-06
"6284",298,298,"[222, 376, 628, 1127]",0,3.5,3.95,1,75,2.88285e-07
"6285",298,298,"[223, 376, 628, 1127]",0,3.5,4,1,78,2.6311e-07
"6286",298,298,"[217, 377, 628, 1127]",0,3.45,4.05,1,16,0.010027
"6343",1319,1319,"[330, 742, 883, 1220]",0,3.95,3.85,1,73,3.71501e-07
"6400",1319,1319,"[318, 736, 883, 1212]",0,3.6,3.85,1,56,1.63399e-06
"6572",372,372,"[182, 361, 1012, 1301]",0,3.85,3.85,1,73,3.71501e-07
