"","lambda","gamma","suppSize"
"1",0.0617106,0,1
"2",0.0330189,0,2
"3",0.0277954,0,3
"4",0.0268411,0,4
"5",0.0259728,0,5
"6",0.0224855,0,6
"7",0.02171,0,7
"8",0.0193678,0,8
"9",0.0187042,0,9
"10",0.0180398,0,11
"11",0.0148875,0,14
"12",0.0143254,0,15
"13",0.0135286,0,17
"14",0.0129449,0,18
"15",0.0107209,0,20
"16",0.0104172,0,22
"17",0.0101103,0,23
"18",0.00680843,0,24
"19",0.0010006,0,25
"20",0.000637299,0,26
"21",0.000387422,0,27
"22",0.000369997,0,27
"23",0.000295998,0,28
"24",0.000290692,0,29
"25",0.000175001,0,30
"26",0.000145248,0,31
"27",0.000125817,0,32
"28",0.000103769,0,33
"29",9.19082e-05,0,34
"30",7.54799e-05,0,35
"31",5.44609e-05,0,35
"32",4.35687e-05,0,37
"33",4.09674e-05,0,38
"34",3.29068e-05,0,39
"35",2.31176e-05,0,41
"36",2.07766e-05,0,43
"37",1.54373e-05,0,44
"38",1.21225e-05,0,44
"39",9.69801e-06,0,48
"40",8.67774e-06,0,48
"41",6.94219e-06,0,49
"42",6.43874e-06,0,50
"43",5.87257e-06,0,52
"44",4.43641e-06,0,54
"45",4.33508e-06,0,57
"46",3.33492e-06,0,61
"47",3.23487e-06,0,62
"48",3.13782e-06,0,62
"49",3.04369e-06,0,62
"50",2.43495e-06,0,63
"51",2.3619e-06,0,63
"52",1.88952e-06,0,64
"53",1.83284e-06,0,65
"54",1.77785e-06,0,65
"55",1.42228e-06,0,69
"56",1.37961e-06,0,69
"57",1.10369e-06,0,73
"58",1.07058e-06,0,75
"59",1.03846e-06,0,76
"60",1.00731e-06,0,76
"61",8.05846e-07,0,78
"62",7.81671e-07,0,78
"63",6.25337e-07,0,82
"64",6.06576e-07,0,85
"65",5.88379e-07,0,87
"66",5.70728e-07,0,87
"67",5.53606e-07,0,88
"68",5.36998e-07,0,88
"69",4.29598e-07,0,90
"70",4.1671e-07,0,92
"71",4.04209e-07,0,95
"72",3.92083e-07,0,96
"73",3.8032e-07,0,97
"74",3.68911e-07,0,100
"75",3.57843e-07,0,99
"76",3.47108e-07,0,99
"77",2.77686e-07,0,101
"78",2.69356e-07,0,102
"79",2.61275e-07,0,105
"80",2.53437e-07,0,105
"81",2.0275e-07,0,108
"82",1.96667e-07,0,109
"83",1.90767e-07,0,111
"84",1.85044e-07,0,112
"85",1.79493e-07,0,113
"86",1.74108e-07,0,113
"87",1.68885e-07,0,116
"88",1.63818e-07,0,116
"89",1.31054e-07,0,118
"90",1.27123e-07,0,118
"91",1.01698e-07,0,120
"92",9.86473e-08,0,120
"93",7.89179e-08,0,123
"94",7.65503e-08,0,126
"95",7.42538e-08,0,129
"96",7.20262e-08,0,131
"97",6.98654e-08,0,136
"98",6.77695e-08,0,138
"99",6.57364e-08,0,139
"100",6.37643e-08,0,140
