"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"1",592,592,"[167, 357, 535, 1055]",0,2.7,1.9,1,73,1.8693e-07
"43",592,592,"[167, 361, 535, 1059]",0,2.8,1.95,1,76,1.70606e-07
"308",592,592,"[168, 362, 536, 1052]",0,2.7,2.1,1,6,0.0215298
"684",592,592,"[167, 361, 535, 1056]",0,2.75,1.95,1,95,5.36551e-08
"796",592,592,"[163, 358, 535, 1057]",0,2.65,2.15,1,70,2.48339e-07
"843",592,592,"[163, 358, 537, 1057]",0,2.65,2.25,1,40,4.7755e-06
"894",592,592,"[163, 358, 540, 1057]",0,2.7,2.2,1,37,5.80392e-06
"1140",1372,1372,"[120, 319, 672, 989]",0,2.8,3.15,1,50,1.75947e-06
"1180",203,203,"[153, 307, 509, 942]",0,2.9,3.1,1,75,1.75882e-07
"1246",1418,1418,"[92, 589, 808, 1168]",0,2.7,3.1,1,10,0.0146464
"1310",1418,1418,"[93, 592, 811, 1171]",0,2.9,3.1,1,59,9.09839e-07
"1345",1418,1418,"[93, 592, 811, 1172]",0,2.9,3.15,1,51,1.70669e-06
"1360",1372,1372,"[120, 320, 672, 989]",0,2.8,3.2,1,97,5.04841e-08
"1410",203,203,"[155, 308, 510, 940]",0,2.85,3.45,1,54,1.55765e-06
"1748",1626,1626,"[20, 172, 568, 964]",0,2.85,3.15,1,98,4.89696e-08
"1750",1626,1626,"[20, 174, 568, 964]",0,2.85,3.25,1,34,9.34909e-06
"1751",1626,1626,"[20, 182, 568, 964]",0,2.9,3.2,1,79,1.55707e-07
"1800",780,780,"[17, 201, 286, 915]",0,2.6,4.1,1,32,1.20478e-05
"1803",780,780,"[17, 202, 286, 915]",0,2.65,4.1,1,32,1.20478e-05
"1834",780,780,"[23, 202, 286, 914]",0,2.7,4.05,1,99,4.75005e-08
"1861",780,780,"[17, 202, 293, 914]",0,2.7,4.1,1,1,0.0369679
"1869",780,780,"[17, 202, 286, 932]",0,2.75,4.05,1,20,0.000246416
"1916",780,780,"[17, 201, 286, 926]",0,2.65,4.05,1,42,4.12334e-06
"1919",780,780,"[17, 202, 286, 926]",0,2.7,4.05,1,41,4.71794e-06
"1952",780,780,"[17, 202, 293, 926]",0,2.75,4.1,1,86,8.55751e-08
"1984",780,780,"[23, 203, 292, 931]",0,2.9,3.95,1,59,9.09839e-07
"1985",780,780,"[27, 203, 292, 931]",0,2.95,3.9,1,69,2.5602e-07
"1997",780,780,"[18, 202, 287, 916]",0,2.65,4.35,1,71,2.40889e-07
"1998",780,780,"[24, 202, 287, 916]",0,2.7,4.3,1,88,8.05176e-08
"2017",780,780,"[18, 201, 287, 915]",0,2.6,4.3,1,80,1.51036e-07
