"","lambda","gamma","suppSize"
"1",0.0373772,0,0
"2",0.0370035,0,1
"3",0.0327551,0,2
"4",0.0291279,0,3
"5",0.0266789,0,4
"6",0.025993,0,5
"7",0.0255203,0,6
"8",0.0232371,0,7
"9",0.0215787,0,8
"10",0.0186891,0,11
"11",0.015886,0,12
"12",0.0153695,0,15
"13",0.0141788,0,18
"14",0.0136553,0,20
"15",0.0132205,0,24
"16",0.00944675,0,25
"17",0.000185599,0,25
"18",8.51874e-05,0,26
"19",6.97567e-05,0,26
"20",5.1646e-05,0,27
"21",4.35439e-05,0,27
"22",3.48351e-05,0,29
"23",2.97005e-05,0,29
"24",2.37604e-05,0,30
"25",2.23987e-05,0,30
"26",1.79189e-05,0,30
"27",1.43352e-05,0,33
"28",1.27217e-05,0,35
"29",1.11104e-05,0,35
"30",8.88828e-06,0,36
"31",8.73198e-06,0,38
"32",7.84374e-06,0,40
"33",7.60843e-06,0,41
"34",7.23096e-06,0,41
"35",5.78477e-06,0,43
"36",5.63902e-06,0,45
"37",5.23006e-06,0,45
"38",4.18405e-06,0,46
"39",4.05853e-06,0,46
"40",3.24682e-06,0,48
"41",3.14942e-06,0,48
"42",2.51953e-06,0,50
"43",2.44395e-06,0,51
"44",2.37063e-06,0,51
"45",1.8965e-06,0,52
"46",1.83961e-06,0,53
"47",1.78442e-06,0,53
"48",1.42754e-06,0,59
"49",1.38471e-06,0,60
"50",1.34317e-06,0,60
"51",1.07453e-06,0,64
"52",1.0423e-06,0,65
"53",1.01103e-06,0,69
"54",9.80699e-07,0,71
"55",9.51278e-07,0,72
"56",9.22739e-07,0,74
"57",8.95057e-07,0,75
"58",8.68205e-07,0,77
"59",8.42159e-07,0,78
"60",8.16895e-07,0,79
"61",7.92388e-07,0,79
"62",6.3391e-07,0,83
"63",6.14893e-07,0,83
"64",4.91914e-07,0,85
"65",4.77157e-07,0,88
"66",4.62842e-07,0,89
"67",4.48957e-07,0,89
"68",3.59166e-07,0,94
"69",3.48391e-07,0,95
"70",3.37939e-07,0,94
"71",3.27801e-07,0,95
"72",3.17967e-07,0,95
"73",2.54373e-07,0,98
"74",2.46742e-07,0,100
"75",2.3934e-07,0,99
"76",2.3216e-07,0,99
"77",1.85728e-07,0,102
"78",1.80156e-07,0,106
"79",1.74751e-07,0,106
"80",1.39801e-07,0,107
"81",1.35607e-07,0,110
"82",1.31539e-07,0,112
"83",1.27593e-07,0,113
"84",1.23765e-07,0,118
"85",1.20052e-07,0,117
"86",1.1645e-07,0,118
"87",1.12957e-07,0,122
"88",1.09568e-07,0,124
"89",1.06281e-07,0,125
"90",1.03093e-07,0,123
"91",9.99998e-08,0,123
"92",9.69998e-08,0,124
"93",9.40898e-08,0,125
"94",9.12671e-08,0,125
"95",8.85291e-08,0,125
"96",7.08233e-08,0,126
"97",6.86986e-08,0,127
"98",6.66376e-08,0,128
"99",6.46385e-08,0,130
"100",6.26994e-08,0,131
