"","lambda","gamma","suppSize"
"1",0.0446595,0,0
"2",0.0442129,0,2
"3",0.033591,0,3
"4",0.0318646,0,4
"5",0.0269447,0,5
"6",0.0244305,0,6
"7",0.0227944,0,7
"8",0.0223094,0,8
"9",0.0164251,0,9
"10",0.0144464,0,12
"11",0.0142513,0,15
"12",0.0111659,0,16
"13",0.0110167,0,18
"14",0.010501,0,20
"15",0.00870076,0,22
"16",0.00858892,0,23
"17",0.00687199,0,24
"18",0.00341749,0,25
"19",0.00182031,0,26
"20",0.00149491,0,27
"21",0.000832984,0,28
"22",0.000254631,0,29
"23",0.000218785,0,29
"24",0.000175028,0,29
"25",0.000140022,0,30
"26",0.000135821,0,30
"27",0.000108657,0,32
"28",7.70945e-05,0,33
"29",7.47817e-05,0,33
"30",4.71489e-05,0,33
"31",3.77191e-05,0,35
"32",3.34784e-05,0,35
"33",2.67827e-05,0,37
"34",2.59793e-05,0,37
"35",2.07834e-05,0,37
"36",1.66267e-05,0,43
"37",1.61279e-05,0,42
"38",1.56441e-05,0,42
"39",1.25153e-05,0,42
"40",1.00122e-05,0,44
"41",9.71185e-06,0,45
"42",9.42049e-06,0,46
"43",9.13788e-06,0,48
"44",8.86374e-06,0,49
"45",8.59783e-06,0,49
"46",6.87826e-06,0,49
"47",5.50261e-06,0,49
"48",4.40209e-06,0,52
"49",4.27003e-06,0,52
"50",3.41602e-06,0,55
"51",3.31354e-06,0,55
"52",2.65083e-06,0,57
"53",2.57131e-06,0,59
"54",2.47092e-06,0,59
"55",1.97674e-06,0,60
"56",1.91744e-06,0,62
"57",1.85991e-06,0,62
"58",1.48793e-06,0,65
"59",1.44329e-06,0,66
"60",1.39999e-06,0,66
"61",1.12e-06,0,68
"62",1.0864e-06,0,69
"63",1.0538e-06,0,70
"64",1.02219e-06,0,71
"65",9.91524e-07,0,71
"66",9.24581e-07,0,72
"67",8.88917e-07,0,74
"68",8.27154e-07,0,75
"69",8.02339e-07,0,75
"70",6.41871e-07,0,77
"71",6.22615e-07,0,79
"72",6.03937e-07,0,79
"73",4.83149e-07,0,80
"74",4.68655e-07,0,81
"75",4.54595e-07,0,82
"76",4.40957e-07,0,83
"77",4.27729e-07,0,83
"78",3.42183e-07,0,87
"79",3.31917e-07,0,87
"80",2.65534e-07,0,89
"81",2.57568e-07,0,90
"82",2.49841e-07,0,91
"83",2.42346e-07,0,94
"84",2.35075e-07,0,94
"85",1.8806e-07,0,94
"86",1.50448e-07,0,95
"87",1.45935e-07,0,99
"88",1.41557e-07,0,100
"89",1.3731e-07,0,100
"90",1.09848e-07,0,103
"91",1.06553e-07,0,105
"92",1.03356e-07,0,106
"93",1.00255e-07,0,108
"94",9.72476e-08,0,108
"95",7.77981e-08,0,112
"96",7.54642e-08,0,113
"97",7.32002e-08,0,114
"98",7.10042e-08,0,115
"99",6.88741e-08,0,119
"100",6.68079e-08,0,120
