"","lambda","gamma","suppSize"
"1",0.0486068,0,0
"2",0.0481208,0,1
"3",0.0367372,0,2
"4",0.0353293,0,3
"5",0.0248484,0,5
"6",0.0190966,0,7
"7",0.0174778,0,8
"8",0.0172217,0,9
"9",0.0169449,0,11
"10",0.016491,0,12
"11",0.0156243,0,13
"12",0.0154369,0,14
"13",0.014186,0,15
"14",0.0138484,0,20
"15",0.0123515,0,21
"16",0.0109619,0,23
"17",0.0107374,0,24
"18",0.00688613,0,25
"19",0.00280834,0,26
"20",0.000799848,0,26
"21",0.000311149,0,27
"22",0.000217325,0,28
"23",0.00021275,0,29
"24",0.000176086,0,30
"25",0.000114083,0,31
"26",8.36314e-05,0,32
"27",7.25698e-05,0,33
"28",6.2033e-05,0,34
"29",4.20453e-05,0,35
"30",4.15412e-05,0,36
"31",2.99249e-05,0,37
"32",2.78481e-05,0,37
"33",2.11496e-05,0,39
"34",1.91263e-05,0,39
"35",1.5301e-05,0,41
"36",1.4842e-05,0,42
"37",1.43967e-05,0,45
"38",1.39648e-05,0,45
"39",1.11719e-05,0,45
"40",8.9375e-06,0,47
"41",8.66938e-06,0,47
"42",6.9355e-06,0,47
"43",5.5484e-06,0,51
"44",5.38195e-06,0,52
"45",5.22049e-06,0,52
"46",4.17639e-06,0,56
"47",4.0511e-06,0,58
"48",3.92957e-06,0,57
"49",3.91207e-06,0,57
"50",3.12966e-06,0,58
"51",3.03577e-06,0,59
"52",2.9447e-06,0,59
"53",2.35576e-06,0,62
"54",2.31756e-06,0,63
"55",2.09527e-06,0,63
"56",1.67621e-06,0,65
"57",1.62593e-06,0,67
"58",1.54863e-06,0,67
"59",1.50217e-06,0,69
"60",1.29772e-06,0,71
"61",1.25879e-06,0,71
"62",1.00703e-06,0,74
"63",9.76823e-07,0,74
"64",7.81458e-07,0,74
"65",6.25167e-07,0,81
"66",6.06412e-07,0,82
"67",5.88219e-07,0,83
"68",5.70573e-07,0,83
"69",4.56458e-07,0,85
"70",4.42764e-07,0,87
"71",4.29481e-07,0,88
"72",4.16597e-07,0,90
"73",4.04099e-07,0,90
"74",3.23279e-07,0,91
"75",3.13581e-07,0,92
"76",3.04173e-07,0,92
"77",2.43339e-07,0,99
"78",2.36039e-07,0,100
"79",2.28957e-07,0,100
"80",1.83166e-07,0,102
"81",1.77671e-07,0,106
"82",1.72341e-07,0,105
"83",1.67171e-07,0,107
"84",1.62156e-07,0,109
"85",1.57291e-07,0,109
"86",1.25833e-07,0,109
"87",1.22058e-07,0,113
"88",1.18396e-07,0,114
"89",1.14844e-07,0,115
"90",1.11399e-07,0,115
"91",8.9119e-08,0,118
"92",8.64454e-08,0,123
"93",8.38521e-08,0,126
"94",8.13365e-08,0,126
"95",7.88964e-08,0,129
"96",7.65295e-08,0,129
"97",6.12236e-08,0,130
"98",5.93869e-08,0,131
"99",5.76053e-08,0,134
"100",5.58771e-08,0,134
