gene,x,y
Ppm1g,311.7819111908896,1085.5068897231447
Cops7a,311.9034169828873,1089.1145072762151
Rarg,328.15825037438333,875.2929717830986
Snrnp70,328.0673302711729,1051.0389926095618
Paics,328.1962017061676,1052.451483622926
Tpm1,327.79942132524576,1050.9643500773552
Fxr1,328.3654416351557,881.4087518513348
negative_control,329.50572285800604,904.8746705003092
Lrrc59,329.4247422005501,904.987454665854
negative_control,329.3450364328057,904.9163593521536
Cops7a,329.4546939495238,904.962929634289
Rps15a,328.5800798478683,906.408324294918
negative_control,329.48815288766457,904.7922007878584
negative_control,329.5134772675382,904.8524571864522
Cops7a,330.5218040463022,859.5245481872834
Arpc5,332.1444152965701,863.7890529565798
negative_control,332.7296262185458,888.6147760217849
negative_control,333.48166690960545,871.6833947714647
negative_control,332.5974516063393,870.741345622271
Snrnp70,332.5322565958444,870.0321382915353
Jun,333.4056447905177,869.926502638092
Mtch1,333.5595301099836,871.2325199344274
Sae1,333.1230015621783,869.6244996780702
negative_control,333.863513986504,871.7646309418576
negative_control,332.0237073121476,872.2433774301835
Vat1,330.81113434046995,872.4983339117805
Khdrbs1,334.53575082900056,702.0029371020513
Rps15a,335.5406382139725,842.9069826109472
Zfp36l2,333.38165694033466,843.6211407184755
Arpc5,334.1880637672498,843.2778074168873
Fus,334.6806487226752,844.8971366327796
negative_control,334.70674782451295,844.5454523628516
Ltbp3,336.9163961726391,1022.7711921720876
Tpm4,336.94196693328126,697.221409955012
negative_control,337.01860102987234,858.3094032898538
negative_control,336.51614154879104,857.7898722854221
Gpi1,340.2239419673267,682.0347323995136
Arpc5,340.07787436268296,683.3223497043946
Tubb5,340.7500991954686,1052.1796601809565
Zfp36l1,340.1793322075757,1052.793421059405
Vim,341.7142541075861,895.3877882696816
Ybx1,341.0695609583443,896.8479563126991
negative_control,343.14983987619325,893.3734834263881
negative_control,340.9677096297587,896.4725934337797
Zfp36l1,341.4178152880691,893.175546376033
Rpl15,341.4658162533358,893.2955344514738
negative_control,342.3797448890153,894.1835294392407
negative_control,341.3806710932607,893.6666565652489
negative_control,341.037513189372,891.4940024910069
Rpsa,342.202499079129,892.5787770941158
Tpm4,340.8657456098486,803.4994470144751
negative_control,341.6562046568438,839.7587701108531
Tpm4,342.22930165696994,813.9572997425605
negative_control,342.54405409781066,812.9337081543639
Arf1,343.2933062704407,813.7068296182181
Tpm4,342.9138982514594,765.9221337506282
negative_control,346.6459828821041,779.7369967609984
Rps15a,345.89293287095524,1028.320601208747
Malat1,346.812010737166,1028.1693835380152
Mrpl28,346.8785065275291,1028.047653992499
Ywhah,347.22240898611744,838.4556806894554
Gpi1,348.3409164015609,837.0040515512537
negative_control,346.2184637171515,838.8398897006502
Ptges3,346.8198334343449,1031.9572059955565
Ywhaq,344.577202655908,1031.786175719218
Aars,345.37627142626394,1031.7236583053805
Maged1,344.392805936736,1033.30322644081
Lmna,345.9628867875065,1031.3559396806868
Vim,344.7867286030893,885.797739140035
Loxl1,345.52714853207993,886.3769848061903
Twist2,347.5833966743932,862.6473640048846
Hsd17b12,348.8493517441707,863.493905005742
Gsto1,348.05151468949185,862.8132023721489
Timp2,347.3788720261816,863.496921539648
Nr2f2,344.77187294683364,1021.204273395012
Csnk2b,346.2111600790656,1021.772547777936
negative_control,345.46938440597046,1021.3504830908752
negative_control,346.07218764342235,1021.9405486209254
Taldo1,345.52809875751205,1023.6606427132264
negative_control,346.37183916360954,1022.3197745258956
Myh9,348.3104119885593,845.5829719021228
Ltbp3,347.4602773444034,845.8515308379876
Zfp36l1,347.6767015154089,731.3875258505982
Eef1g,348.3660757873617,732.6083328796411
Rpl18a,348.92643016028023,732.9732101631748
Rpl4,349.63938082775456,732.0327955302973
negative_control,348.71118737919323,732.0198131345991
Taldo1,349.7921977331864,732.0918705300253
Vim,347.8970619509598,788.9272135191337
Sf3b2,349.73186131733894,793.1731372034556
Rrp1,348.7332145384456,790.2944084325774
Zfp36l1,348.29941742321034,787.8945122717466
Uqcrq,349.8887381349971,792.5997341821969
negative_control,349.14822547807086,792.3522014543177
negative_control,348.3728135954748,705.9384282921072
Lamp1,349.6902433420097,895.012889732292
negative_control,348.9543053939658,894.4223048087449
Csf1,347.6204107779748,895.7349486394572
negative_control,347.38942420375594,896.2075434483813
Plin2,349.29821138994777,897.2370542239354
Ssr2,349.8005553939517,895.5187690209735
Tpm4,349.4892555614183,903.910118524308
Tpm4,349.0475733487904,1070.6741394520657
Rarg,350.36604964098444,936.348207231378
Fus,351.145007312794,874.6728504955126
negative_control,349.58135163791314,908.7813826402504
Oaf,349.2729713838413,907.5406514764616
Ssr3,350.14801705352056,909.6144281543696
Csnk2b,351.38743852335466,863.5984390203386
Tsc22d1,350.8666709397476,863.1273786769941
Ybx1,352.8017430163542,864.1595529986159
Hmgcs1,352.67918827234723,864.1049377795798
Zfp36l1,351.2504466719368,863.086550209969
negative_control,351.7089675188814,863.0264069049614
negative_control,352.87333667128325,862.1251533678709
Mrfap1,351.54488279858947,865.2152976476468
Zfp36l1,351.4381301937491,882.0861377311522
negative_control,353.29527230549434,843.6705086488267
Cox7a2l,353.2844031148882,843.4923821951513
Rarg,351.7888003311634,843.8675837315647
Igfbp6,353.69933367901285,843.804306977223
negative_control,353.3490836585429,843.4288264735496
negative_control,353.0424334533957,843.837807504331
Tubb5,354.5620350655244,844.3745116877211
Mdh2,352.4089696325791,821.3890273784895
Nr4a1,353.1293174917945,821.5695536134073
Puf60,355.7089917109511,821.6649039653846
negative_control,354.0708815486228,820.5531468469053
negative_control,352.583382538126,821.0566561202318
negative_control,354.37617533864625,821.6021453335384
Sec13,351.9191487926292,801.757144407152
Vat1,352.6423017803707,801.2115494202328
Srebf2,349.7779001627427,803.1225931786023
Psmc2,350.6605380150862,802.1539882135461
negative_control,352.5402004557823,800.8949089877001
Tmbim6,350.20574978117554,736.2487460769519
Ppm1g,352.00360788003746,735.222169420733
Csnk2b,351.2415467490508,735.2686708056417
Myh9,350.9524539155917,735.2907913003821
Cops7a,352.5866974127292,750.0637651085486
Arpc5,351.9594058622933,814.9855381050265
Paics,353.34463328653203,929.438711872357
Rps6ka2,353.1038339258526,930.1725624748968
Slc38a2,354.20954362171176,929.4152062230032
Vim,354.65335867525926,1057.8468033703516
negative_control,353.6574262842008,1057.765837438836
Zfp36l2,353.8775685622206,1058.4486693407962
Cops7a,353.2986160746102,1057.246185345059
Pkm,352.81521949744143,1058.1915193163034
Tubb5,354.1355063181487,789.5279289704016
Vim,354.34605720882706,789.5600646006812
Spp1,354.4486213385532,839.8459933340309
Khdrbs1,355.84174233615823,1028.2649754300105
Emp1,357.7515113274037,893.9576506737524
negative_control,358.1969645577395,894.2430895469092
Arpc5,358.3021483760021,893.953083698302
negative_control,358.52210486599506,894.2225087261464
Stt3a,358.4390376171295,787.3484502500062
