,gene,gene_number,x,y
0,Cops7a,17,47.179478828750746,717.6283361728897
1,Tpm4,239,51.386711894920246,695.0920310618361
2,Khdrbs1,73,64.82280256887685,680.5699793801824
3,Tpm4,239,66.90115340799315,721.1625716779179
4,Tpm4,239,75.79543142421478,693.5792675345214
5,Ppm1g,150,85.43041602724371,706.7938953915726
6,Arpc5,8,91.1108339558068,696.2891941422234
7,Arpc5,8,96.2120240305646,675.7592467784093
8,Mvd,116,100.03501083485855,722.9567923855232
9,Arpc5,8,103.59966954953497,720.788368403311
10,Khdrbs1,73,106.98211856780723,741.3894708393682
11,Tpm4,239,110.41589917310594,678.2550680540868
12,Mvd,116,111.52420777023084,688.9256330165565
13,Tpm4,239,114.49514213439022,725.1564099141319
14,Ltbp3,80,127.82674572937287,740.8469516744963
15,Khdrbs1,73,133.8483346476211,718.831500987409
16,Cops7a,17,137.24789406591373,700.8810862356455
17,Cops7a,17,143.9537052875105,699.4767393689987
18,Pkm,144,151.9087284185465,726.0802283537643
19,Ppm1g,150,160.31195689085615,768.0556987057329
20,Khdrbs1,73,166.4768406402044,796.9332963884758
21,Tpm4,239,167.21297433942382,771.1386675368016
22,Cops7a,17,169.81217348190793,708.4850636725893
23,Ppm1g,150,171.32020790495585,800.1106130840167
24,negative_control,1362,177.520040764643,741.3443884960276
25,negative_control,1935,182.30415773804,789.6356441242011
26,negative_control,1111,182.52323675612587,788.7664352332332
27,negative_control,1009,182.70964381746688,789.7001045517336
28,negative_control,1707,182.9083784696831,790.1318432600119
29,negative_control,634,182.39298953724304,790.3565843169853
30,Cops7a,17,184.62711359435465,783.3565967281249
31,Snx5,212,185.02827580742127,783.1144345925887
32,Hspa8,62,184.7098632409549,782.3548449252764
33,Arpc5,8,189.3199811825975,821.9581022683325
34,Hspd1,64,192.5425440996341,795.1451742873415
35,Rarg,179,193.11045696487008,795.2974214370004
36,Mvd,116,196.7123602976264,758.8287030785509
37,Ppm1g,150,197.61294123131657,788.4104352583189
38,Cops7a,17,198.4087901236128,742.9504713493526
39,negative_control,2079,202.05099359642745,782.8020050538748
40,Sat1,200,201.39408535490028,781.3814210019946
41,negative_control,1270,200.65216732172084,782.7344219259461
42,negative_control,1791,201.02332460555976,782.9386682737631
43,Arpc5,8,204.8859920733779,751.0034542148182
44,Cox7a2l,18,205.64879408732423,749.8689876516047
45,Cops7a,17,206.8841777360892,785.6391191457919
46,Ppm1g,150,207.78524971834244,821.3114540688157
47,Tpm4,239,207.99988659528236,795.4042953777008
48,Ppm1g,150,207.8750146928081,765.0724348314188
49,negative_control,304,209.842025984565,812.0199725382465
50,Ppm1g,150,211.2439842483264,811.5100109733709
51,negative_control,1110,211.71042646868275,816.4568825658607
52,Cnn2,16,210.69437002414736,816.6954588337992
53,negative_control,1889,211.6910218874843,757.9005084463452
54,Rpl15,186,213.2865779865949,781.1992218458365
55,Vat1,259,214.77233612519927,798.9212548156515
56,Spp1,214,217.6205911707062,775.631290900624
57,Mvd,116,222.41858751573483,754.2933053257336
58,Mdh2,85,225.20763792697971,778.5451552443893
59,Tpm4,239,228.9537910545104,818.0708413678287
60,negative_control,339,229.15761331705573,841.4245192693742
61,Ckap4,14,230.1862432756595,842.0496598846407
62,Tpm4,239,230.24318933204705,846.5629798301236
63,negative_control,869,233.69771358540453,819.3945817793642
64,Hspa8,62,234.6690227578147,818.2859687281061
65,Spp1,214,233.64016685456863,826.1570024545335
66,Paics,137,234.64105798984056,781.4157863905373
67,negative_control,918,235.3702994832228,782.2890910569412
68,Mbd3,84,240.30148773238503,770.0772968698216
69,negative_control,1619,239.1823602552309,769.6732699183985
70,Zyx,271,241.08374969803765,787.2966519902977
71,Cops7a,17,240.31116359161595,786.2769378505088
72,Hnrnpk,59,240.87188577959557,786.0773223874849
73,Pdha1,139,239.6003170766811,784.698811506463
74,Lrrc59,79,241.70531232664584,786.9516314340608
75,negative_control,1118,240.24755479000467,786.7191394028243
76,Khdrbs1,73,240.4024584945516,861.5078326631888
77,St13,220,242.69203170899016,762.8890644091553
78,negative_control,1096,242.7976230487816,762.1187344331952
79,Il1rl1,69,243.4478275351484,855.6054983056714
80,negative_control,1235,242.24412374951584,856.1003464078782
81,Hspd1,64,243.27394441814155,857.7937891875529
82,negative_control,711,243.9730606208779,856.1619007949814
83,Rac1,175,242.86600135527897,855.789961299196
84,Ybx1,263,242.4444992672849,856.4434859095506
85,Tpm4,239,245.0793548565998,856.4068251732937
86,Tpm1,238,251.7840012935928,820.364038423136
87,Maged1,82,248.92644111033636,819.9423746822562
88,Ergic1,41,251.6148133056322,820.42130939473
89,Trp53,242,249.5051663502134,819.9549172212161
90,Snrnp70,210,249.71603718474236,839.7988506462366
91,Ncl,121,245.66870921865592,838.7216791028544
92,Hnrnpul1,60,247.8874235735052,840.3885950696158
93,Cox7a2l,18,250.13373302559577,839.1832088973704
94,Pkm,144,246.66214638917185,838.9340192558789
95,Zyx,271,247.25730626269328,839.6986612735266
96,Ubxn1,253,245.7177613914725,838.4088147071997
97,Rnf11,185,246.48536352423417,838.8245087362666
98,Rab7,174,250.40663569706533,812.6317664869307
99,Pa2g4,135,253.7073204713729,811.1004404720118
100,Zyx,271,254.32497878042977,812.5301059163944
101,Arpc5,8,252.5118450154544,811.0969162660937
102,Mrpl37,99,251.95601804697807,813.3467151721271
103,Puf60,171,252.03019752610413,872.5708808708614
104,Ppm1g,150,251.32418825311257,871.7214582025904
105,Arpc5,8,254.4252521113169,748.0236386471709
106,Vat1,259,255.984910357435,819.0487116935926
107,Arpc5,8,254.68601428801384,821.1568842647916
108,Ehmt2,31,255.49851563338817,855.4499294276708
109,Ncl,121,256.66138891609194,855.7329791605941
110,Hspa8,62,255.21593022305908,854.6596542672717
111,negative_control,459,256.18340565576136,853.8700591625438
112,Cnn2,16,257.2249938057184,856.4916131966629
113,Mrpl41,102,255.6912788727292,855.6818890750972
114,Hspd1,64,257.286184664118,857.9268400788205
115,negative_control,1003,256.1732213345816,782.6933435098042
116,Spp1,214,257.3372978503047,859.293027453307
117,Fbln2,42,258.24967173417514,858.4592593820735
118,Cebpd,12,259.5508841576572,882.8752303595171
119,Mrpl35,98,259.5761080098945,800.696843826361
120,Pdia3,140,261.0305832819509,833.3632637250531
121,Arpc2,7,261.4777495636354,833.315081921977
122,Zfp36l1,269,261.76014057978944,774.3763317001604
123,Txn2,248,264.5530743210825,876.6537768529362
124,negative_control,593,263.3616002042453,877.5401577712522
125,Fxr1,48,263.44502637986625,875.8800524207023
126,Ppm1g,150,264.2912208570529,891.9767823298456
127,Vim,261,263.18544463079314,891.2419025098144
128,negative_control,1911,264.0332430318461,891.3299852317634
129,Cnn2,16,266.77393486975376,795.9005090699502
130,Arpc5,8,267.07413993142023,885.8315434062737
