gene,x,y
Zfp36l1,574.7145110201723,1231.3708475871526
Ppm1g,625.3135828915484,1166.3727739922106
Rrp1,663.7777496564656,1217.2133692287332
Rpl18a,662.6527831443358,1218.28321506641
Arpc5,668.2608381834419,1336.6573961926842
Uqcrq,668.7676168469638,1335.2327385001315
Mdh2,668.8661485114536,1336.2478311111574
Rarg,672.0259450886907,1208.1623774017703
negative_control,674.1723249506349,1296.8724434328803
Tpm4,677.4693948427902,1172.7540979359826
Xdh,681.141903673311,1224.771383552561
Khdrbs1,688.1457871746373,1226.334775267974
Khdrbs1,689.4555897516726,1276.6355156937343
Tpm4,694.1287095738653,1034.1152397637063
Cops7a,695.1623601303477,1018.4238331340156
Cops7a,702.9023495679616,1278.4822874842062
Hspa9,702.1840574807749,1278.1163201439058
negative_control,702.9937905581493,1257.913475013842
negative_control,702.9298399260117,1258.0690179462497
Zfp36l1,702.8927600859113,1258.3187646796068
Tpm4,706.6411815759129,1228.2478711494173
Mrpl43,708.3432845745267,1184.325834362547
Rarg,706.8839026894377,1184.6639851818231
Rps15a,705.1999016907641,1185.689254180708
Nedd4,707.8401417446258,1185.2046150610372
Tpm1,708.6498306380156,1185.917832470812
Lmna,708.1756295344642,1248.8657323271414
negative_control,707.6456536831201,1247.8910660724157
Nr2f2,708.8344010573144,1249.9397980101544
Pkm,706.7517228230132,1248.0538207744407
Myh9,708.0955142062098,1249.9229600513895
Hspa8,706.4569895521059,1247.899955569274
Mdh2,710.1396811602206,1180.9651214473306
Ybx1,711.7944597969145,1179.9488717860186
negative_control,711.1527087228053,1180.0046805555055
Arpc5,711.1506324545855,1051.2486618931434
Arpc5,714.0384715289565,1016.56524436886
Vim,714.8172422058299,1243.211455400366
Twist2,714.435894858263,1245.8996771775196
Mrfap1,714.4371777253011,1245.5412854471665
Ncl,715.5271246173795,1244.1943899323185
Tcf25,714.5362765312386,1244.9950444610377
Pkm,714.524494754487,1245.8951377910523
Stip1,715.0011740376561,1169.6757357211973
Vat1,716.6401853265654,1169.3657768083071
Ppm1g,719.0328794584111,1215.914829524267
Eif4g2,719.6470908775789,1241.910802706653
Mrfap1,717.9695949321374,1240.5529571471347
Ybx1,717.3607616834172,1241.017750325923
Nedd4,718.3485311396037,1241.2394920553345
Rarg,718.9578908322784,1241.7891884596888
Msn,719.8279215820934,1270.4821987563405
Rpsa,721.3039212366963,1271.3855111224752
negative_control,721.0137098941822,1272.279056119766
Khdrbs1,720.6648158490433,1186.702325841623
Arpc5,721.8055568022879,1191.7108328264442
Eif3i,722.5884003687494,1264.873082898085
Aars,721.4996280172797,1265.2610534352443
Mdh2,723.9024651660661,1108.1507094254223
Ppm1g,722.8970682316029,1108.2580645433852
Cebpd,722.6667829195661,1108.3224356088451
Psmc2,725.3037867933178,1108.3468951900904
negative_control,724.0328412814342,1213.6314235236423
Msn,722.4888742743138,1214.297045446773
Eef1g,724.5948815628288,1128.0772946388215
Snrnp70,724.5669664013167,1128.218066317344
Tubb5,724.8843142153193,1129.9559207933012
negative_control,725.6635066401809,1129.150366435049
Tpm4,726.1006800902294,1267.989872752121
Sf3b2,724.406640303124,1183.0462281109023
Ppm1g,725.5764113262079,1181.761277611307
negative_control,724.2007294393754,1182.9544109321969
Gpi1,723.7157545708981,1184.6678537307366
Skp1a,723.0055396084422,1183.8509544929598
Mvd,726.3136024894776,1069.181185026482
Eif3e,728.7660433378901,1124.74098964701
Vim,728.4878899389117,1125.787383706964
Cops7a,728.6362518201256,1135.36551702545
Zfp36l1,728.9094409742067,1024.6199679643964
Khdrbs1,729.3828707500542,1188.0621765694648
Tpm4,730.7711119442106,1234.1235972901927
Zfp36l1,733.2157308630227,1077.6151676375623
Arpc5,732.9314046383122,1096.3363786203895
negative_control,733.5569678623774,1096.0744742993109
negative_control,733.8155242268549,1172.2230486371157
Khdrbs1,734.0148847313149,1103.4138307517965
negative_control,734.621553959599,1067.9466212654304
Tpm4,735.3920117348728,1032.7543664361542
Eif4b,734.741154845182,1032.911962767574
negative_control,736.0990890607226,1032.307784323071
Ppm1g,736.8544045601878,1022.834855735685
Tpm4,738.0225715594518,1084.2479341877663
Tpm4,737.9956853522647,1113.2987772539177
Cops7a,738.8092218440355,1075.696003258771
Rarg,742.4611529309639,1047.6047868670516
Tpm4,742.0708141733644,1184.805902276099
Tpm4,742.9853651175664,1033.3721138941437
Ran,742.2024948767988,1104.9820203918955
Rpsa,743.315606121228,1106.6139576350618
negative_control,743.1945682109751,1105.1303046769006
Plin2,744.8872480764144,1105.6281548400884
Ubxn1,743.1848169348684,1105.7061597229551
negative_control,747.430676070954,1204.00530689781
Tpm4,746.8025485364043,1202.3821259381218
Rpsa,747.060247993845,1080.653467370723
Vim,746.3974495426157,1078.7501667287115
Uba1,746.8628794227527,1079.578287317456
Ppm1g,747.5920470424473,1095.209325292065
Tpm4,750.4396227435137,1085.375914057125
Gsto1,751.6068212704192,1204.5982611938157
Zfp36l2,752.1300123198984,1066.3472056390292
Spon2,752.9843233851916,1065.632604833229
Hspd1,751.5561556396746,1066.1657835765598
Khdrbs1,752.3884725023931,1065.9872652104184
Cops7a,752.202481983661,1185.2922408951663
Csnk2b,753.3001152889115,1143.4834119641498
Raly,750.8663930337365,1145.289358441286
Trp53,752.3844101253096,1144.7056274473784
Fgf7,753.7155414179604,1143.2124568849335
Arf1,749.0738040474025,1147.2672289685613
Ran,750.4930793433289,1146.355816977921
Mrpl12,750.2570160737955,1146.71666305261
Rpl15,753.7998967740727,1251.9503383677545
Rbbp7,756.7441966766303,1252.3155701601645
Tpm4,753.777731874977,1252.1500145023977
U2af2,755.4133607995744,1253.0815446007337
Polr2m,754.1725057715505,1114.7439267782916
Vim,753.355499321241,1116.6191329625751
Ncl,754.6485355926507,1116.2741626332852
Arpc5,758.0514725181903,1213.6399355702008
Khdrbs1,761.5273612331346,1103.932516629318
Tubb5,762.0867621131547,1103.9909104738804
Rcc2,761.1617540434786,1102.8953027173857
Cct3,760.4557342603701,1104.7644356870217
Aco2,759.4994405662018,1104.6017869546329
Prmt1,761.8569390477976,1105.1458119145814
Psmc2,761.3518591595457,1104.1143135286711
Mtap,763.7146477344597,1166.6335886524253
Zfp36l2,763.1980813987877,1169.3482878185705
Myh9,763.8263028020411,1167.5979426151782
negative_control,763.3314863153679,1167.7734463500713
Msn,761.8218812811613,1166.38085714431
Tcp1,762.3224925544921,1166.942050147777
Sfpq,765.1633341935706,1091.1308309371088
Ppm1g,764.667406407536,1089.4460586307828
Ppm1g,765.4795807305186,1152.493199781682
Cct5,766.2787320035866,1233.0419506920289
Skp1a,770.1819674260603,1089.3066259104712
Eif4b,771.02035978447,1090.1622873651806
Tpm4,769.6681843423833,1159.5221960585936
Top2a,769.8405733586651,1052.2219228922963
Uba1,768.9855155734191,1052.7590260454697
Rpl18a,771.4648861677751,1140.71340341119
negative_control,772.3210523478513,1074.4830788218974
negative_control,772.2081894083638,1074.429591514665
negative_control,773.1200601279161,1041.1745536256294
negative_control,771.9706306110983,1040.707273351296
Eif4b,773.1813345345321,1041.528035218917
negative_control,774.1336067671382,1040.787659492747
negative_control,773.9838295543356,1022.3312752478892
Aars,776.445356534501,1126.100406508353
Cct3,777.6689925682523,1125.5707492461531
Rarg,777.2794823487,1126.018543500353
Mrfap1,775.9508144468782,1123.7510344100058
Vim,777.6076547646851,1171.8050725229857
Lrrc59,778.3735144156973,1066.894044758342
Vim,778.652851539466,1066.7835496425685
Ptbp1,778.1055636419173,1068.1556103476362
Msn,777.0589557699345,1066.1544491804486
Ywhag,778.362141252265,1065.923130704065
Mrfap1,776.8053008195388,1065.4007695091532
Rpl18a,779.0233132203805,1065.4991447756702
Sfpq,777.2288486667289,1067.025870549436
Psap,779.498042624738,1121.701510561092
Lamp1,779.7013695262241,1120.254013371195
Idh3g,779.60058794147,1119.8141366794148
Vim,780.4935442440851,1122.5810398533094
Ncl,780.5127839267843,1120.95385512727
Tpm4,779.6871352663355,1210.523999080417
Arpc2,779.4573438549969,1109.3665774971432
negative_control,779.7647751781918,1110.2259149339905
Tpm4,782.0672788945304,1027.945065000863
Myh9,782.0575954222041,1027.2509568341256
Hspa8,784.1538635948826,1117.3214277889656
Tubb5,782.9771148957251,1118.4317553501255
Tpm1,782.390869491181,1117.7001708624653
Rarg,782.6915403403597,1032.943487122173
Zfp36l1,783.1493529935744,1040.789995355569
Rpl15,782.6644880012551,1080.728018468282
Tsc22d1,784.1699498876561,1080.707836708001
Rab7,785.222943396438,1081.173271772284
negative_control,782.4668708735621,1081.52653166687
Khdrbs1,784.3707955399195,1067.9322221078369
Psma7,784.9269180594993,1206.688102777361
negative_control,784.6332482110276,1206.312809273323
Tubb5,785.6479499498948,1216.752628644981
Cops7a,785.6311139481423,1165.303190279656
Clta,787.1494807733678,1182.0295652639118
negative_control,787.3397113458773,1182.0633425375113
Tpm1,787.5099870006293,1183.3155057218073
Ppp2r1a,787.7296454886527,1183.129798816405
Ppm1g,786.8685259997228,1200.404328205818
negative_control,786.8378156469837,1076.1994538275312
negative_control,787.1043814450077,1074.0873484024974
Snrnp70,785.539471527286,1074.910382984427
Csf1,787.7317500575426,1074.3884307651056
Cct5,788.2919578188877,1077.681767063297
Vat1,786.791481494185,1078.0883200896128
negative_control,787.4662028314214,1076.755915971626
negative_control,787.0802573105522,1075.2940174234077
Fkbp8,786.3540589915142,1075.1256711279818
negative_control,787.901026565027,1078.1212801561928
negative_control,786.6345803003314,1076.2463993914748
Tpi1,789.3735996705386,1145.1127476894794
Junb,790.9693078410314,1144.9053314429418
Puf60,789.8965545633741,1144.860580076783
Gsto1,789.7254832965627,1117.26900253264
U2af2,789.1019791793735,1117.43583543915
St13,788.2603952127256,1115.255108197435
Vat1,787.6171209830665,1117.308317255574
Ncl,788.1482751333652,1116.1295221706723
Tpm4,791.4433384253018,1222.865602406788
negative_control,793.1806927098946,1075.5058960605108
Sec13,790.7532324178022,1076.9153249348212
Tomm40,792.0433067966621,1075.9243110465093
Pdha1,791.1127297710633,1072.9352303307146
negative_control,791.2464276353732,1073.527871611361
Rarg,792.8602176099539,1074.0604477661527
Khdrbs1,793.0690076052342,1155.8959523876945
negative_control,793.763640412624,1156.59529410593
Maged1,793.8367969965122,1102.9851346002308
Ercc1,793.0797741976427,1103.6762768409517
negative_control,792.8799815292762,1103.1002600401953
Zfp36l2,793.2127794675534,1102.8270377796018
negative_control,792.5602943696933,1103.492358600378
Khdrbs1,793.1088385867762,1092.504898362335
Eef1g,795.0321446734538,1190.2499836338468
Vat1,796.3626433324118,1192.534775280068
Scarb1,793.382687845614,1130.028010200239
Cited2,794.7706994142453,1131.6544802411493
negative_control,792.9193167532833,1130.5171406137802
negative_control,795.1373429830461,1132.4903629864823
Timp2,793.8580812273347,1132.4872980442544
negative_control,794.3757747306428,1131.6260530186269
Fgf7,793.7693977182066,1131.8997390189634
negative_control,794.5851773401897,1131.2042500752286
Npc2,795.2454991795144,1130.3707113524747
negative_control,793.2885909594644,1131.3959546400642
negative_control,795.1229106171442,1132.2384873190692
Spp1,794.8430895793791,1132.6271535102462
Arpc5,794.9399164393847,1089.4311878332878
Sec13,794.2575444053786,1170.9528505795656
Tubb5,794.5082875546652,1171.1231819996972
Arpc5,795.8173261756066,961.81980135479
Cops7a,795.3285592932504,1060.0481720356136
Hspa8,798.3888143716758,1065.858471012923
Rab7,797.427553064884,1065.9930046297995
negative_control,796.8442724471474,1066.8744613426938
Fus,797.1848178789028,1067.4473850947938
Hspd1,797.3065181442673,1141.5711286624946
Snrnp70,796.4388325640474,1046.2396898369147
negative_control,799.5419607493445,1187.428732129572
Tpm4,799.4006528746322,1099.7691135240264
Tpm4,801.0920135255745,1180.52956897777
Vim,802.6342503068006,1147.2756030718172
negative_control,802.047867326757,1148.0735192484294
negative_control,802.8597457872308,1146.6009959315568
Ppm1g,802.2132136756692,1091.6854948917462
Khdrbs1,802.9216956346397,1040.378257524788
Rad21,802.6605970144883,1039.7699289149923
Tpm1,803.0420455821438,1039.239862136081
Khdrbs1,803.7476412807841,1213.2600587162754
Ppm1g,803.2986051459256,1011.4371473429924
Hspa8,803.9100804098352,1197.197802487894
negative_control,803.7377543977087,1197.0157227385985
Fgf7,803.59043667175,1197.2759360601594
Eif3f,803.6722571761459,1112.3270625276282
Ubxn1,804.7264590875502,1087.216538947709
negative_control,803.5023774725536,1087.4391232589182
H1f0,804.7335909688503,1085.1360598213837
Tpm4,804.4086143701827,1184.932427145098
Prmt1,804.3993648238594,1183.633183515176
negative_control,804.3925539009796,1184.3532331715
Twist2,804.9887907520492,1184.0093000851314
Zfp36l1,805.8873421014341,1005.6344198930155
negative_control,805.539691632595,1137.3965708549993
negative_control,805.3259186495669,1138.8502555617572
negative_control,805.3056761813059,1137.5424308625188
negative_control,805.996227677143,1137.945240256062
Spp1,806.2324978421734,934.4047244324814
Arpc5,807.0004400923191,1024.9738606750147
Mvd,808.0504947174404,1016.8382580610285
Ywhag,808.534060015995,1169.6846088634536
negative_control,807.3115648214233,1170.4911107650314
Slc25a1,809.7368290996022,1167.5761389539734
Rad21,808.5551804847776,1168.8223832406652
Mtch1,806.5408248721344,1170.762347244544
negative_control,807.5767889741448,1169.7532025088717
Uqcrq,807.5250423066825,1170.627333343801
negative_control,809.4030806939788,1171.4068472488404
negative_control,806.2947799133667,1171.710935957953
Cct5,809.270210794353,1172.2334357567156
negative_control,806.9864651800488,1171.948219646638
negative_control,807.3812605079556,1168.9759431253638
negative_control,807.6422384482845,1170.8088877281816
negative_control,810.9299923208663,1173.1273394154096
negative_control,808.4941074776269,1170.8020042155258
negative_control,807.8077576471317,1169.3307389749598
negative_control,808.0268924938396,1168.0780595947354
negative_control,807.2653316951901,1170.2523986281003
Stt3a,803.8275698997022,1067.9860560589764
Top2a,806.5519332361514,1066.624117087273
negative_control,807.4128013955258,1066.1396685939822
negative_control,807.5585392228094,1065.285360040421
negative_control,808.6033191768747,1066.6765690923562
Rbbp7,804.2721575777733,1065.0090030393744
negative_control,803.6874135423075,1066.2613268695625
negative_control,808.6322573231233,1066.1311219323643
negative_control,802.8624253382202,1066.2977701953864
Tsc22d1,804.662997583649,1066.8296286340285
