gene,x,y
Zfp36l1,46.08941558440208,702.5376964365261
Hnrnpk,61.14764774886872,682.7838755195204
Cops7a,60.847807403084175,683.6740255433219
Khdrbs1,63.35244836387135,684.6134186817692
Npc2,68.61861427949687,678.3408861092544
Aars,68.16745297847241,678.1613132606625
Tpi1,69.35393748822653,678.0650522643161
Khdrbs1,69.33450447789053,677.5579507094222
negative_control,68.8375358073355,677.32642659562
Cops7a,69.20604599973771,780.9802032136762
Arpc5,80.57021244238089,678.7271844821947
Tpm4,83.81462488356097,686.9677229882653
Nedd4,96.75425596575612,753.9030406022091
Arpc5,106.1924156357199,778.5898225421519
Vim,118.48352380981196,709.428036179325
Zfp36l1,124.91770922472467,726.2749360887171
Arpc5,130.08603809791728,789.2576954451395
Mvd,140.65349516010502,728.2308149032755
Ppm1g,147.9991396906919,735.2226990157596
negative_control,151.0777608262408,720.2352626910605
negative_control,151.640899199792,721.2888754362857
Tpm4,152.96998983835798,788.824386451719
Cops7a,154.21677242706286,766.9290737022727
Mvd,154.74040012771903,761.3511269668866
Zfp36l1,154.84280770880383,750.9302890026113
Khdrbs1,161.05968392240555,786.1801599475764
negative_control,161.69866695108243,729.8017283242584
Nfe2l1,161.09356062164875,730.182782612547
Hspa8,163.22137382862638,770.3618572088712
Zfp36l1,162.604859672853,769.565104531412
Nedd4,167.97409122314912,711.1432713493223
Psmd2,167.36180276937287,701.2424407209496
Rarg,167.4049771924723,701.3790813308462
negative_control,166.53425025376188,701.6988769845588
Rps15a,175.06612744703057,711.351546602212
Khdrbs1,174.51271215048214,712.2850057662381
Mvd,178.375923276475,719.1391762055391
Zfp36l1,181.89781371126625,768.4723355395774
Hspa8,182.37147495054384,712.876993441821
Rarg,183.4642146342379,712.5829971357282
negative_control,183.5793831882729,713.1300677136223
Snx5,186.02081889701685,712.2837183602168
Ssrp1,186.39311158925776,732.2108749781041
Mbd3,185.16606497355275,733.4016816706164
Rad21,185.40862903860452,731.1590327532813
negative_control,185.97262703932157,733.5571299831349
Ptgs2,187.5044071420461,707.1214431445492
Khdrbs1,187.5719457653176,707.347938471747
Rrp1,186.6626137737236,735.8256389401486
Hnrnpk,186.5661473537054,736.713953011129
negative_control,187.55012067842392,736.8962194430675
Sfpq,192.56928290366784,693.0790431194957
Rpl18a,191.8538440974712,693.2627721764587
Tsc22d1,191.93301387949583,694.0073226019737
Trap1,192.29371379709133,692.819612249611
Clta,200.71857706349,727.1063626299124
Ssrp1,199.3212366342197,726.7481347779321
Khdrbs1,201.0985168910601,689.6676161579522
Cct5,203.66697075699267,690.6582320736533
Mrpl16,201.55379838257076,690.5157024675771
Zyx,202.4469389258557,700.0942192061382
Mrps18b,202.42988916955096,699.5499290803782
Arpc2,201.3711389209175,700.0097074440403
Rrp1,203.2403131460032,723.3530745022001
Mdh2,202.32517713200107,723.5088754500775
negative_control,200.66759638134377,724.7926975170569
Khdrbs1,202.64760806891127,723.4413682300593
negative_control,201.94487927874604,723.2891843318846
Cct5,203.52719001522684,782.9446295131231
Tpm4,204.45977484865264,798.5158449739029
Mvd,208.7335174157502,732.7551083352672
negative_control,209.6570844857592,724.8828157844234
Jun,210.29337536694575,713.2035947899667
Spp1,212.6605779585811,700.833154162096
Myc,215.5783352352638,706.8026988304065
Mrpl45,214.0766844535985,706.6323800968503
negative_control,214.3942542405965,741.2908725769784
negative_control,213.52611353239703,739.7364478810188
Gsto1,213.36863826292335,737.7393799199182
U2af2,213.20933115682345,739.0065198875448
Slc25a1,213.97211453201916,740.5606875390583
Zyx,214.61947486181083,739.8223999905156
Ywhag,215.6515934067897,735.5519506339265
negative_control,217.2791461572121,735.7851975464573
Sfpq,217.37952723238007,713.963103659196
Uba1,214.8535386570144,714.9404144121997
Rpl18a,216.1307285820425,713.38919595968
Rpl21,215.37602142724936,713.6753198204411
negative_control,214.1767947796357,714.9522159204489
Ran,215.8054101217312,713.8160242834041
Psmd2,217.0132036071645,713.3573924997024
Ppm1g,217.86474964009943,752.1148329791058
Gpi1,219.47380986722223,753.1143617762687
Cct8,218.91387996870023,753.122224131445
negative_control,218.17738981695877,750.8990524588786
negative_control,217.01717202798068,753.7581703933693
negative_control,218.3769735025299,750.788342981716
negative_control,219.8657876339325,773.049099922309
negative_control,218.1751083626226,774.5781801729655
Cops7a,222.8075889208268,729.4452350285345
Vim,221.86577156042904,750.6219708209943
negative_control,223.9399481087675,750.6450198345041
Mvd,225.471016037506,769.6641164829645
Spp1,229.75701711146377,782.957389098772
Sdc4,230.6716911061963,705.9286547512593
Gsto1,229.71958372937056,706.4574042145633
negative_control,231.1855672930089,705.9947265649666
negative_control,233.11583125172385,726.1655530640068
Spp1,235.2803002437263,725.7232098338815
Vim,234.0865482209832,725.1034181423238
negative_control,232.82235428214145,726.0966342909059
Sec13,238.96183856977368,787.7150666347545
Nr2f2,237.83251099684907,740.5040657054957
Tmed9,238.32611852345576,739.3186166595435
Pkm,237.1204906013064,736.9500248507685
negative_control,239.5669640578618,738.7501277468882
Ptges3,236.8660138558149,740.7767143935771
negative_control,237.10992394030717,738.0175031465875
negative_control,237.8712099777734,738.8014762521356
Psmd2,237.48291323633796,735.1525528471864
Eif3f,238.69888030689225,739.2996934764097
Spp1,240.4913865038738,714.0599840096129
Tpm4,240.6621216900503,753.3554439649714
negative_control,240.13603862100524,754.513089867263
Arf1,239.4442237827961,755.2607000674418
Trap1,240.3266586479794,754.4058548026667
Eif4g2,240.49280608103584,754.5901219123389
Actn4,240.2154884955703,753.1476568369953
Vat1,239.5685981936236,754.0595204928866
Spp1,241.17292949024653,732.3305729633647
Rpl15,242.56838511711624,781.7581038551326
negative_control,245.26375607833208,783.5573563477633
Zfp36l1,242.19749449907457,784.5401856355154
Actn4,240.78746538485052,785.2547699468275
Snrnp70,245.84627481216,781.8024745329186
negative_control,241.7734975254988,782.9360856988772
negative_control,244.4694195214768,782.2126814102196
negative_control,244.46736380222364,782.2461795078092
Nap1l1,242.06428724819017,784.5342188915497
Pkm,242.6661392680824,783.0118374021919
negative_control,242.86270795362665,781.6736608936249
Rpsa,243.9358162286878,712.767237154397
Mrpl28,244.39483949879667,712.5133732290313
negative_control,243.85554704145824,712.2585960170438
negative_control,243.17285794475976,721.2152417143203
Ptges3,245.98221357778337,720.7027750394607
Fgf7,245.8066772527892,777.505152917368
Hspa8,243.84427688041987,776.3501277939572
Lrrc59,245.6705594993769,776.61443012827
negative_control,244.36448542864213,776.0801097572793
negative_control,247.3373653085946,656.7743315359049
Spp1,245.8387606792418,729.6002327022234
Vat1,248.1468599404461,705.1104557054981
negative_control,247.443609423485,704.0990127271257
Emp1,248.7321453873972,703.2616739545845
Tapbp,248.2490617697777,704.8379770196178
Rarg,246.8686958142505,790.494973385802
Vim,246.90861254600816,790.3212469562408
negative_control,246.06166428232729,790.518894710546
Rpl15,249.8174101777504,789.1885067831186
Nedd4,246.66409046243703,790.2952675922674
Ctbp1,247.42396677459,789.9488352993208
negative_control,248.80118513914752,789.1313343081692
Spp1,247.74120221288055,718.9315208207624
Nucb1,247.32001374881,731.4431800125577
Ybx1,249.0495337936442,731.5048557119347
Mrpl43,246.8223595782887,730.9798655912292
negative_control,249.68073559936937,731.380085719853
Sdc4,246.58943975542428,730.398177276714
Zfp36l1,248.9409705375831,682.7277556545275
Rarg,250.32561621928252,764.7091496433216
Vim,250.44493936187763,750.2316848786365
Khdrbs1,251.91950506957508,749.8022638731811
Actn4,250.3791641916682,750.2431679405961
Got2,251.99225034147503,750.3966665925676
Hspa8,248.7528686308528,678.7867924113809
Spp1,251.01421968469776,679.3884035601668
