gene,x,y
Cops7a,1088.586176621023,1902.3935516999384
Arpc5,1103.4481312091448,1914.307808883384
Zfp36l1,1144.1103638706015,1903.5845801194105
Khdrbs1,1150.6366061957738,1918.2733541630068
Ppm1g,1160.7370947634656,1886.9693986978184
Rpl15,1168.092703453715,1924.81917796583
Mrfap1,1166.81000308752,1922.992964971252
Top2a,1168.060523962242,1923.6017490070928
Rarg,1169.5800273975638,1921.1692329881416
Mta1,1174.5266309425724,1921.063780444047
Tpm4,1174.259681680856,1921.4823555414052
Khdrbs1,1176.2478785552364,1895.985350646978
Tpm4,1189.795892019685,1917.2421019230896
negative_control,1189.950213831384,1896.3997272190527
negative_control,1191.8056873345645,1896.337853677603
Ncl,1191.0904370336796,1873.73792350044
Maged1,1191.638747534697,1872.987050127672
negative_control,1191.2676066792783,1873.671794951028
Khdrbs1,1191.0405822296195,1772.1464438684457
Ppm1g,1197.4930082577853,1877.3414707196323
Cops7a,1199.357216021005,1803.5804749953577
Prps2,1198.316172813633,1802.156797295048
Spp1,1200.0369457067668,1901.454055443567
Mrfap1,1200.658039420552,1765.7453711473772
Uqcrc1,1199.5115790223426,1765.0578359800663
Hnrnpk,1199.2593837697757,1766.1398747870742
Spp1,1199.53504570043,1689.89350527873
Tpm4,1200.91859720991,1780.275415189773
Vat1,1203.0375898657026,1875.672108571285
Hnrnpk,1202.038641077521,1875.9576516513011
Tpm4,1203.8017416793937,1769.046086850173
Rpl18a,1207.3813000193688,1927.816958729664
Junb,1206.8595753242553,1926.824045374533
Taldo1,1206.4344629116754,1928.534735400224
Spp1,1207.033799621224,1927.0031020722272
Mrfap1,1207.279245299396,1850.4124933240105
Tpm4,1207.222104009663,1851.273252316628
Eif4b,1208.1883114838454,1795.6011318853643
Uba1,1206.1744107771776,1792.855410757768
Vim,1207.2901574442606,1793.8802677877625
Rab7,1207.2617216980425,1791.8838911642135
Snrnp70,1208.1996970473003,1931.5902034622447
Rarg,1208.8669583686074,1913.073407709359
Tpm4,1208.6409885480634,1938.0798512903557
Tpm4,1214.5868865984417,1860.31735326661
Khdrbs1,1215.0502309838107,1946.5098825607236
Spp1,1216.486634182601,1871.0818677219213
Ppm1g,1216.9543179756556,1921.5739972659565
Khdrbs1,1218.3118961104817,1837.7930918820143
Spp1,1221.4097316242755,1935.5901020629285
Spp1,1222.9191835320455,1910.214429622518
Fbln2,1223.1668250371458,1910.9767973478488
negative_control,1222.0184006334798,1909.2905175866356
Spp1,1223.3431780953704,1832.3998731080544
Spp1,1224.3567972314097,1877.617444858036
Uba1,1223.5201295070506,1856.44024154441
Spp1,1225.095444311787,1854.9449382267803
Hspa8,1225.5730214131736,1854.0473525519085
negative_control,1225.9619699486927,1853.586580920461
Khdrbs1,1226.7275191063509,1924.0223952958013
Spp1,1226.5806145566648,1869.7720389751275
Sf3b2,1226.0429332750607,1792.9363173907343
Rarg,1228.0069331890031,1883.469845448358
Ncl,1230.7636963950222,1826.4296083704212
Spp1,1230.7005142287064,1826.827373939483
Arpc5,1232.1997174187932,1933.62033478691
Vat1,1232.4129100811435,1864.617939992362
Sfpq,1231.9203603972703,1863.862567781258
Ddx17,1233.442383698476,1863.0972462107256
Cox7a2l,1233.5485802949397,1864.1911932431617
negative_control,1233.7064651497285,1864.3262708826796
Hspa9,1235.6003551804622,1904.166039244088
Ptbp1,1236.4105591549169,1854.5428748740428
negative_control,1234.895567052322,1852.848516139203
negative_control,1237.230613796891,1921.6718568299664
U2af2,1238.0130318483425,1919.773434618489
Vim,1237.555124774481,1921.2371033797017
G3bp1,1237.4668863492273,1919.9076006025573
negative_control,1238.0905142039985,1826.67095964639
Morf4l2,1238.4120124623998,1837.8861661271485
Ptbp1,1238.0720581659175,1837.3116817207856
Thy1,1237.8843889632803,1887.0735400808005
Spp1,1238.608543446231,1888.0700859548376
Eef1g,1239.5672129724417,1842.8231014441967
negative_control,1240.264924414225,1842.7266069447612
Cnn2,1238.659020538757,1842.072603448623
Vim,1238.3472141134796,1913.4549494784887
Spp1,1239.1226731532674,1913.0231299820728
Spp1,1240.1884865818208,1815.830688182718
Ybx1,1239.895799208552,1815.769170887267
Tpm4,1242.06386249019,1851.45549339884
Sdhc,1241.7763878443482,1872.7224923496813
Psmd2,1242.4978127205954,1872.9905015534475
Ppm1g,1242.306980112729,1871.9483846903488
Sat1,1241.413855802326,1873.1086565150808
Spp1,1242.9267142521037,1909.19102820868
Arpc5,1243.7548314876976,1835.595671245669
Spp1,1246.6620035911792,1931.7166102058643
Fkbp4,1246.0304157503456,1873.5347675681533
Rpsa,1247.4540392376944,1875.5682370944955
