,gene,gene_number,x,y
0,Ncl,121,1347.1155935059437,1378.231432260177
1,Rpl15,186,1348.1330767373863,1376.8214354493043
2,Khdrbs1,73,1380.8348129560693,1474.5669422614535
3,Rpl18a,187,1396.2936383702695,1478.956015875527
4,Rarg,179,1403.9955105999106,1123.0791269623032
5,Tpm4,239,1410.5537181272248,1130.8220038976983
6,Nudt9,132,1419.2862365276824,1240.3515642286811
7,Mvd,116,1422.203938152796,1506.015832204217
8,Ppm1g,150,1421.5110314926849,1493.03761714496
9,Tpm4,239,1424.2870897537457,1450.460742346668
10,Ppm1g,150,1426.06813760247,1100.89688960373
11,Ppm1g,150,1426.4447288658084,1429.882894295507
12,Ppm1g,150,1427.492915042347,1464.0172639857776
13,Tpm4,239,1428.093234134905,1497.515731358675
14,Pkm,144,1428.8567803956653,1420.1503265162228
15,Eif3i,36,1428.637446143308,1455.091875796155
16,Khdrbs1,73,1431.5765298676042,1425.860478847477
17,Ppm1g,150,1435.035241443502,1244.0405593667012
18,Txn2,248,1436.6892005408497,1481.2837033804149
19,Arpc5,8,1437.2637547663244,1481.7958582647327
20,Arpc5,8,1441.1961687560251,1447.6729183684167
21,Tpm4,239,1441.7790443955548,1287.136093298048
22,Rarg,179,1445.12675256051,1159.0696570026955
23,Cops7a,17,1444.8909347300587,1190.878084697009
24,Polr2m,149,1443.9458726162648,1439.553128762591
25,Cops7a,17,1447.285487668545,1537.6454210345646
26,Khdrbs1,73,1448.0309298457846,1279.9348378011564
27,Vim,261,1447.9477543238943,1412.5197433713352
28,Spp1,214,1449.994661494726,1309.1337106360534
29,Cops7a,17,1449.5328243289782,1514.9974099817696
30,Ppm1g,150,1450.208035246381,1261.8839460859117
31,Spp1,214,1450.654609216968,1544.06696131289
32,Khdrbs1,73,1451.2594238492727,1505.8243540073754
33,Spp1,214,1451.334667710053,1343.2439835111752
34,Ppm1g,150,1453.308453351832,1177.293176695648
35,Eif3e,34,1454.0444338090665,1400.5289919357867
36,Khdrbs1,73,1455.1266647126108,1037.744110603111
37,Mvd,116,1455.001767649581,1234.361118915328
38,Ppm1g,150,1456.8822386815668,1139.668589299116
39,Spp1,214,1457.4466099595834,1123.853051224001
40,Zfp36l2,270,1456.0863323752471,1251.0710843685342
41,Spp1,214,1457.4149632910753,1249.930271679401
42,Msn,112,1455.463512697503,1251.8112327134638
43,Skp1a,207,1455.2609805434126,1251.6883787186289
44,Zfp36l1,269,1457.8910413577864,1255.6469863282412
45,Cops7a,17,1458.4935198638689,1315.9808710843602
46,Spp1,214,1459.0116936838458,1393.5559218862902
47,Spp1,214,1459.481258985057,1272.8832232071234
48,Khdrbs1,73,1459.5013636680012,1428.8643873589251
49,Fus,47,1458.8343412877111,1460.2002903129105
50,Mvd,116,1459.6743946323472,1133.0029780646062
51,Tpm4,239,1460.015646494378,1367.5908990731327
52,Zfp36l1,269,1460.4716670733417,1303.75122279552
53,Cops7a,17,1459.6457192244577,1530.64271311233
54,Ltbp3,80,1460.4939425161967,1128.0524017786408
55,Khdrbs1,73,1460.6370249952547,1174.5204127180182
56,Khdrbs1,73,1461.2794928030585,1218.4875740912676
57,Spp1,214,1461.992434470112,1264.4169101796963
58,Cops7a,17,1463.449941291096,1027.9790606177116
59,Tpm4,239,1462.9314741387377,1122.7253170102567
60,Spp1,214,1462.6680327169474,1150.9764906348523
61,Spp1,214,1463.461804030336,1353.9863860221144
62,Tpm4,239,1464.1797328179614,1474.4288372918409
63,Spp1,214,1463.8451686019123,1401.4436885294072
64,Mmp14,87,1465.4099948092576,1257.9922852808877
65,Arpc5,8,1464.5970875157896,1021.4129186306984
66,Vim,261,1464.803270411748,1508.445962016206
67,Spp1,214,1465.7379707883954,1238.851136100166
68,Spp1,214,1466.660421921797,1276.7588832864012
69,Prrx1,159,1465.4554058895883,1275.9253818709633
70,Spp1,214,1465.599308784172,1120.7521358137292
71,Loxl1,78,1465.966820110489,1145.6769563291775
72,Spp1,214,1466.333417495212,1336.878592397782
73,Ppm1g,150,1466.9646090989447,1448.8312307433616
74,Khdrbs1,73,1467.4951432894752,1048.1568886497591
75,Cops7a,17,1468.6641205367384,1304.313113528543
76,Spp1,214,1468.29475926218,1178.5904881268807
77,Ppm1g,150,1468.7438489918238,1115.0683100919814
78,Rpsa,197,1468.963483825176,1481.9032776378417
79,Khdrbs1,73,1469.847131223125,1068.285544997394
80,Cct5,10,1469.452571119524,1463.9849961062018
81,Spp1,214,1470.0396282923732,1107.6898315424205
82,Spp1,214,1470.7880891163472,1139.701214680186
83,Tpm4,239,1471.2342292151754,1013.997137872377
84,Emp1,39,1471.1026253457417,1136.740708634687
85,Cops7a,17,1471.0814138212484,1136.6091352452477
