gene,x,y
Gsto1,781.6343121871962,1271.1400140647706
Ppm1g,780.6475867861644,1270.6517211584687
Arpc5,784.2360459104947,1330.268367048362
Khdrbs1,786.335777666946,1257.264570472537
Eif4g2,801.6920107811923,1228.3826549263135
Psmc2,802.6080192313731,1239.7643587178472
Ercc1,803.7970097862135,1239.1895340122007
Spp1,822.9562550326457,1235.0935990422972
Ppm1g,827.2787860943745,1385.0855642254774
Ptbp1,829.731405057258,1374.7772509785364
negative_control,828.7866768828283,1374.8708057806805
negative_control,829.1139595264627,1374.752472944415
negative_control,830.1477142315628,1374.870854802704
Hdgf,834.6337307945797,1227.9610195616174
Tpm4,834.7282844554427,1370.054942210013
Mvd,837.4310566204343,1265.9712270354237
Uqcrq,838.7260729623099,1374.329128396148
Cnn2,837.9750864781124,1374.2141059932817
negative_control,837.9777387049086,1373.4463916091747
Ncl,838.9138559164851,1340.1501249161736
Cops7a,841.7026241980166,1259.614740084718
Khdrbs1,854.555388531417,1353.898198747762
Jun,871.9140792463495,1228.9852419704928
Trp53,871.1381815236379,1228.722135616837
negative_control,871.5609932600786,1227.8427346395597
Sec13,874.8842201929473,1292.5256523137448
Ppm1g,874.0675816560984,1347.8220750867165
Aco2,875.647656847028,1259.3525357739472
Got2,874.4896590515566,1260.0574311411376
negative_control,873.6811255074576,1260.54569626345
Fgf7,881.4506707668845,1254.6364503539012
negative_control,881.8848488857514,1254.7091063501591
negative_control,881.4663805924396,1254.5695762037544
Cct3,881.4088413067989,1256.8225051507493
negative_control,881.5341687358224,1253.7691278820962
Tubb5,881.956138991351,1253.198255055305
Lrrc59,883.3517193910327,1223.0359812117345
Gsto1,884.3181617342758,1224.868774213241
negative_control,885.1752679534811,1224.8443061087391
Ywhaq,885.090950299978,1242.6410175155486
Pkm,884.0251807193283,1242.4965672299288
Tpm4,885.514816112866,1214.581561562956
Ppm1g,887.4289692386785,1212.0923431383585
negative_control,889.7762484840522,1183.4613052673585
