gene,x,y
Rcn3,487.0421619007023,1228.8901261277283
Lamp1,487.20231950749394,1229.009593590324
Khdrbs1,500.9539334577133,1270.4986991519006
negative_control,509.7410032739557,1261.0083723597995
Khdrbs1,520.4291206171912,1289.1110533168178
Cops7a,522.2015890385226,1277.5154237715146
Ugdh,526.5058413578092,1215.908178985583
Rarg,526.1788082591662,1217.9177997212082
negative_control,530.7140855526827,1272.2768269939124
Cops7a,549.3009328498101,1244.1691459770227
Arpc5,555.1128691019892,1244.981135555344
negative_control,554.8092078334422,1245.450644153814
Ppm1g,561.9272323911312,1252.4675197716829
Vim,583.6143005627926,1225.516307476466
negative_control,582.8163247982942,1225.762115483115
Nedd4,583.947775689413,1225.9682201358596
Cops7a,603.0449336836315,1233.778470305208
Ppm1g,623.2772073481094,1200.5636882922445
Eef1g,629.4978045139743,1232.166390261495
Hspa8,630.6104039026393,1233.992240558462
Lmna,628.791664589392,1232.4062561498172
Hnrnpul1,630.1922994038396,1233.9259804639682
Hspd1,630.7399707362837,1235.2497612953862
Vim,629.2391967335303,1232.9269340934854
Rpl18a,655.149335181482,1225.237266254966
negative_control,655.358248799573,1226.5591573158542
Tpm4,664.9611168991247,1226.3753097697745
Mrpl17,673.7957891353074,1222.427842917246
Ctbp1,673.3920689300211,1223.737833819598
Ybx1,679.0986185618091,1214.001646009429
Ppm1g,680.0579988014606,1206.713347425847
Ppm1g,698.8450086710725,1193.3197361230443
Ppm1g,701.4509077915505,1216.7633263268567
Lmna,710.019727833582,1181.0446439363154
Vim,708.408523320394,1180.6277016370263
Cops7a,708.6537312183782,1181.5614571311564
negative_control,710.9915115893264,1181.1884547728914
negative_control,709.8539990285631,1180.7874327650395
Msn,708.1008745441081,1181.5174394730757
Vim,713.5150323949637,1172.454068098599
Ppm1g,715.6813093504364,1186.246844444348
negative_control,736.598223112376,1155.1453945867297
negative_control,743.0985479747608,1173.428902340576
Rps15a,741.8631869029181,1173.3978766768012
Ncl,741.6928623591647,1172.7346283396382
negative_control,741.958953372659,1172.8082764920173
Ppm1g,749.990722259105,1252.5159571152662
Khdrbs1,757.9141272534371,1183.7535219535391
Tpm4,765.7926666971482,1127.7112223329568
Mrpl35,771.4929708295693,1157.3582426174037
Eif4g2,796.0742284024177,1122.126771470997
Ncl,795.2253407532949,1121.7091555724303
Raly,798.0596637867216,1134.9782779869454
Arpc5,798.3211199086347,1135.2578480507746
negative_control,798.0822167328449,1135.995099029477
Cops7a,800.7265377269683,1123.18927716103
negative_control,801.212090624263,1131.3385313884226
Ctbp1,802.1777091798314,1129.8548883671167
negative_control,801.0042079242774,1130.52952813936
Arpc5,802.0063090423234,1171.8975038937658
Pla2g4a,834.192929024046,1099.4820688417644
Vim,866.0403697677842,1085.7869033984591
Spp1,865.4151407507532,1084.6647163035937
Rpsa,864.8468334071811,1085.180236115331
Khdrbs1,875.8435956951739,1040.647857216423
Snrnp70,878.2740322787146,1095.986761615755
Spp1,880.7472259294145,1046.205733989434
Khdrbs1,889.0631494488584,1078.116428092484
Ltbp3,913.135270491646,1001.4223118384164
Rarg,921.6874743961632,1010.5260109452124
negative_control,932.964838496636,1033.0003449675507
negative_control,932.5911368389228,1033.3195192505432
Arpc5,937.7753344584446,1046.602431954534
Cops7a,938.0237827803578,1056.1392410042886
U2af2,939.5133916256998,1015.5378410980368
Crlf1,940.406275060846,1015.0998626908472
Rpsa,940.4596406783268,1015.2403067689096
negative_control,939.5347477154228,1015.502742284104
Ncl,938.134005686413,1015.02208370717
negative_control,944.7522889934692,989.685307436968
Vim,948.570543474652,1033.0166507894016
negative_control,948.197055128472,1033.1632991353108
Psmd2,946.5539106023488,1033.5136357913295
Tpm4,947.175530311337,1033.547366588144
Ppm1g,951.8736043299434,1017.317953711243
Vim,971.1918993478434,992.662866060275
Mdh2,969.7213411414242,991.1940101810314
Cct3,971.1582770237874,990.2569677229164
negative_control,969.5535739015706,992.5828391364604
negative_control,969.9329403145769,991.11809173972
Rpl18a,977.298221812228,994.5771126348164
Tpm4,979.9566298289938,965.5482864533174
Rpl15,984.9660191605632,959.2699690140512
Raly,984.7755543414862,959.3807669434768
Vim,986.2537135229436,958.1232209269416
Uqcrq,984.1611434444192,958.7345271766532
negative_control,987.8931519273884,1011.7120825072526
negative_control,987.0557634042376,983.5370167567174
Spp1,991.6936537588408,957.2148375036296
Spp1,996.0206218143436,941.057196163334
Cops7a,995.662507268108,985.571487841986
negative_control,999.9563916730606,990.9038773357784
negative_control,1003.909132593657,958.0265817189364
negative_control,1002.290870018848,957.8069281351518
Hspa8,1003.3827509121344,958.2665592871698
Trap1,1002.4054264529904,957.8465032393524
Arpc5,1001.581956906307,957.554009392685
negative_control,1002.1126625942062,958.0938976815108
negative_control,1002.5438184385354,957.8860006409
Prrc2a,1002.9781908905117,984.322608988677
negative_control,1002.5147749129288,983.3887813622188
Hdgf,1005.4934464727868,958.8150665213284
negative_control,1006.1046600163584,948.718499846347
Fgf7,1013.1351831747168,944.5914734593182
negative_control,1013.1891391858842,945.693470853148
Pkm,1014.5186049198404,965.5352989291111
Tmed9,1014.985778865706,967.1162588000964
Mta1,1015.0670585706504,966.0767505108844
Tpm4,1014.9592658764672,967.128993487732
Ckap4,1013.6463081551638,967.1509766757448
Rpl18a,1013.0060127690106,966.0010761441432
Ltbp3,1017.0995629699077,987.0018717277014
Tpm4,1017.6654281946236,925.489261432488
Spp1,1020.7916912886724,967.8254101820328
Ltbp3,1022.2283776089598,930.51394889762
Tpm4,1022.998027395825,910.5604732592092
Hspa8,1025.7414529433245,975.1555997975468
negative_control,1024.533353254449,974.8270796609028
negative_control,1029.2038112390574,922.5072418573112
Maged1,1029.729293958666,921.8045496375292
Ltbp3,1029.005947876343,941.9049688022544
Rarg,1047.4868282640855,601.3748985577965
Rpsa,1048.191565593714,960.1289030963076
Vim,1048.1247302410225,958.5928258194645
Maged1,1048.8785693345335,959.3407199763373
Ppm1g,1050.3982128950577,939.1016792003182
Spp1,1055.994343891643,880.9109244950728
Psap,1058.0085555049518,877.783464564229
Rps15a,1059.9975777128063,879.4074637279922
Gpi1,1058.2124353190984,878.7181778819303
negative_control,1059.2263010569704,879.685548963379
Pkm,1060.752835919831,879.1928941877703
Cops7a,1062.1507168924115,906.262724223341
negative_control,1062.3157605199588,892.4237196464275
negative_control,1063.1921983858367,921.055589973386
Ltbp3,1065.002370892297,884.7646208012778
Spp1,1067.1779404365143,927.230939658361
Tpm4,1067.5762182562476,948.3901114438064
Cops7a,1067.6210153958757,640.4311037071935
Rarg,1067.7053066782298,854.633684280491
negative_control,1076.0378095702606,905.3833095287504
Hdgf,1077.3340999420216,883.5529903114987
