,gene,gene_number,x,y
0,Tpm4,239,243.41125747603417,1426.5125255206844
1,Tpm4,239,244.11766152631915,1431.4324716432188
2,Pkm,144,244.23362963619152,1452.888669855373
3,Zfp36l1,269,251.09452689327995,1465.199747571794
4,Khdrbs1,73,252.1754553062851,1408.5132183651526
5,Zfp36l1,269,254.2278918413681,1402.310060221679
6,Rarg,179,254.67142222892875,1440.9616564382495
7,Ppm1g,150,259.9290739253112,1385.6454521385194
8,Arpc5,8,265.1676584129037,1387.1967831124964
9,Zfp36l1,269,265.7256470600181,1423.6163432333626
10,negative_control,814,265.76347725126163,1443.261557929904
11,Rpsa,197,267.8132297331508,1391.7548781738583
12,negative_control,488,265.6436329742746,1392.0260496756343
13,negative_control,1197,270.3900816857575,1386.7297503445016
14,Hspa8,62,271.0273093621587,1387.5688444717302
15,negative_control,420,271.60159339761293,1387.5291195192892
16,negative_control,2069,271.3716544183266,1385.7034804898726
17,Aco2,2,269.2472295832231,1386.8121609701593
18,negative_control,341,270.68708918798416,1387.255179591313
19,negative_control,1824,271.5180200289868,1388.02012373042
20,Khdrbs1,73,271.0751977934612,1464.1003453508115
21,Cebpd,12,270.1000466297065,1463.6293600783372
22,Mvd,116,270.6494618163955,1458.6664999698023
23,Lmna,77,274.8564290152242,1370.440937846368
24,Rps15a,191,274.4806197601457,1370.7151667808437
25,Zyx,271,277.68585521971085,1404.8542888616423
26,Ptgs1,169,279.0396312194922,1404.7799378671853
27,Paics,137,277.31528286026776,1405.4027269687228
28,Ywhaz,268,279.54974201093063,1404.7091210366643
29,Clta,15,282.0539996627306,1394.9972778230194
30,Gsto1,54,282.38073829341386,1395.17662446087
31,Rrp1,198,286.2304567361806,1366.4462902692394
32,Rpsa,197,287.79873857294245,1366.6853777484291
33,Prpsap1,156,286.05247546836586,1367.5439040729866
34,Pkm,144,287.65597758118406,1365.9996636768997
35,Tsc22d1,244,286.6260998456455,1368.2870722372702
36,negative_control,1178,287.253293948608,1367.388783995576
37,Tcf25,226,285.8711448055309,1473.1555015373056
38,negative_control,1954,286.1869119547618,1474.0741494920203
39,Spp1,214,289.642732745698,1422.7584021205907
40,Ercc1,40,292.6970436202634,1365.085806747856
41,Ppm1g,150,292.4341721316923,1365.4455618992467
42,Ndufs8,123,293.07861481269424,1364.8769560732082
43,Spp1,214,293.3803324419061,1422.1996307781692
44,Ubxn1,253,294.2677898412974,1388.6245035027732
45,Khdrbs1,73,295.12926537870817,1387.8001495426386
46,Spp1,214,296.35796739408653,1418.3372367941736
47,Morf4l2,88,297.7117983575333,1356.4695527595063
48,Zyx,271,299.08396646259865,1356.4616429624962
49,negative_control,1121,297.9728559269475,1355.985932824045
50,Uba1,250,299.67479756468794,1357.925971676419
51,Psmd7,165,300.3913411225053,1356.870373634149
52,Spp1,214,302.2645778832721,1414.656184807713
53,negative_control,1041,301.0076102751186,1414.234929510278
54,Hdgf,56,305.56037420828955,1429.5632195253063
55,St13,220,304.4127249386827,1428.6679567631904
56,Uck2,254,305.9976230049646,1428.3510319674845
57,Cited2,13,304.22813971543803,1430.3725921982468
58,Vdac1,260,306.160069076277,1432.0515225766012
59,Spp1,214,303.50807405171184,1430.5390483298029
