,gene,gene_number,x,y
0,Oaf,133,1391.4330750724134,390.5473334302318
1,negative_control,700,1391.9137348936645,388.6993686744184
2,Zyx,271,1391.5844886159891,389.290923599523
3,Ppm1g,150,1403.0395299312795,406.7778631549621
4,Tpm4,239,1410.2265046898824,441.83623074567686
5,Tpm4,239,1412.0788225412175,401.712419239473
6,negative_control,1964,1428.3908429793012,384.9185075521121
7,Khdrbs1,73,1435.2398994436255,405.78794427202695
8,Tpm4,239,1444.4171058422744,511.4094043207256
9,Khdrbs1,73,1451.897652477517,443.0897895609761
10,Tpm4,239,1456.9711837524706,484.52345005993845
11,Vim,261,1457.8995559689577,550.3810918879165
12,Tmed9,231,1457.408941918563,552.2911389587457
13,Eif3i,36,1458.096765286586,552.5252249740691
14,negative_control,1546,1458.534443863188,418.5442681744636
15,negative_control,407,1458.5026027263075,418.7455379920903
16,Ltbp3,80,1458.7165305847404,418.7735003266209
17,negative_control,1272,1458.871687251564,418.5188454467872
18,Tpm4,239,1461.2890663636636,495.8270573676577
19,Ppm1g,150,1464.6827059124585,551.195234490338
20,Ppm1g,150,1465.1373826734712,396.3042467636282
21,Cops7a,17,1470.7910146113263,522.4606087817615
22,Tpm4,239,1483.6030711964868,575.7740150720593
23,Spp1,214,1489.065302709913,605.2516973041465
24,Actn4,3,1490.167364487308,619.7995206566223
25,Loxl1,78,1491.1646562131991,618.7481234396874
26,Hnrnpk,59,1490.7771693206355,618.9735906935105
27,negative_control,1001,1491.0414920219584,619.7775866345246
28,Prpsap1,156,1491.3045105459432,620.2879483067562
29,Cs,20,1493.923886096107,607.5273942708191
30,Cops7a,17,1495.1794589564895,639.1738406862485
31,Tubb5,246,1496.707675865934,645.4754808639392
32,Csnk2b,23,1496.0705096946758,646.7377706968585
33,Mrpl35,98,1496.012782172797,644.9307018825239
34,Cox7a2l,18,1499.8122733033915,643.9724622992919
35,Vim,261,1502.0512833920948,647.0056815639762
36,Ptges3,168,1502.1951502375778,646.6312670893213
37,Cops7a,17,1500.678257664688,647.7219518481149
38,Cct5,10,1501.557260306107,647.9954260123797
39,Hspa8,62,1501.7490705907587,646.5074784336966
40,Tubb5,246,1502.854876824335,648.1894891673453
41,Pkm,144,1502.4702128416045,639.7953445446475
42,Mvd,116,1506.1224731339007,690.8590119716782
43,Tpm4,239,1507.552132585451,633.9520276864062
44,Tpm4,239,1511.2470212639328,696.234754515782
45,Kars,72,1515.8941724568567,640.409142650428
46,Mrfap1,89,1515.2532600542663,640.1935991208011
47,Tcf25,226,1513.3209276615166,640.6662840433753
48,negative_control,1062,1516.0658574423494,641.1807433794966
49,Khdrbs1,73,1521.7339565024606,1388.3883215627106
50,Arpc5,8,1521.6846069339274,1345.338825341148
51,Arpc5,8,1521.8890936632442,645.6586268217463
52,Khdrbs1,73,1522.243576080209,1368.4607021362835
53,negative_control,1217,1521.998052622926,712.6150876435186
54,Maged1,82,1521.1890587211665,713.5599257178069
55,Gas1,50,1522.641580492437,713.4454600300402
56,Spp1,214,1523.7849788673946,716.1227905840683
57,Prmt1,153,1523.94078425905,715.7215918098354
58,Mrfap1,89,1524.024090739684,1331.3047902389992
59,negative_control,1889,1523.5682941084465,493.6763558746745
60,negative_control,1170,1523.6017530982017,494.0988212838796
61,negative_control,1464,1523.6540235706811,493.8938621434958
62,Mrpl4,101,1523.616526006928,493.7374969680962
63,Tpm4,239,1524.128860002009,736.7077197766855
64,Spp1,214,1524.9894994064844,785.5503204547915
65,Polr2e,148,1525.9798203321711,772.1399001838062
66,negative_control,328,1525.6647181850765,774.1238190669561
67,negative_control,589,1526.7671790071058,772.4052662972996
68,Vim,261,1524.7048311700846,753.8613919684726
69,St13,220,1525.857112153613,754.0768779829616
70,Vdac1,260,1524.721881813113,755.416890118694
71,Khdrbs1,73,1525.056270751347,754.4756610971843
72,negative_control,1118,1525.1754136632803,755.0474723884114
73,Ppm1g,150,1526.6603861973051,1080.398926407044
74,negative_control,275,1527.0328041996022,1079.4560636994445
75,Ube2m,252,1527.630587055639,1094.8595893458173
76,Khdrbs1,73,1528.3364369651235,1068.897942581785
77,negative_control,582,1528.3391821310795,735.2563246245088
78,Msn,112,1527.3513964428746,735.8356444554817
79,Laptm4a,76,1528.5093600425191,1348.710886757881
80,negative_control,330,1529.1002944015784,1348.6349115478188
81,Spp1,214,1528.5289939370607,1085.525820374473
82,Gpi1,52,1529.901958757035,1118.2347784766262
83,negative_control,1505,1528.41194546855,1118.6158759774205
84,Spp1,214,1529.9159246496229,1063.5340924254365
85,Ssrp1,219,1531.413157385425,772.6939329641818
86,negative_control,331,1530.6310310401705,771.7882242266252
87,Ppm1g,150,1530.5373758859307,766.5151730955623
88,Pkm,144,1529.7870528090618,767.3944212049156
89,Hdgf,56,1529.2594758605676,1390.259300762322
90,Fkbp4,44,1532.871151824169,717.0138170075704
91,Ran,178,1531.8612079752006,717.7933982598598
92,Zfp36l1,269,1532.7089045571763,1312.3247943213655
93,Spp1,214,1532.3369582227274,1323.715611957717
94,Snx5,212,1531.3247950120428,1323.1459406703466
95,Tpm4,239,1532.6243155461848,1149.251112618629
96,Tpm4,239,1532.6902677830178,1543.7618677395635
97,Spp1,214,1532.586302189447,1033.2283404641366
98,Spp1,214,1533.206704671344,802.833012275168
99,Rac1,175,1532.818825871666,803.8639247918211
100,Nr2f2,129,1534.5336843308191,804.2423281721794
101,negative_control,1172,1533.3070079576614,802.4480523920407
102,negative_control,896,1534.1288499391037,803.7523088671574
103,Mvd,116,1534.4682973100648,1059.493715921254
104,Tubb5,246,1534.04960782239,1402.18400989694
105,Mrpl4,101,1536.7640479793354,1403.0212865320154
106,Gsto1,54,1533.4750069073295,1402.492684973508
107,negative_control,2049,1537.0433820380072,1403.424588183747
108,Cnn2,16,1534.0247732960763,1403.873553567055
109,Rpsa,197,1536.714608242131,1402.7663899960637
110,Ybx1,263,1533.8770358987813,1400.5227945778076
111,negative_control,1862,1534.7831359100214,1403.425881553494
112,negative_control,299,1535.396775288287,1402.0957967275183
113,Tpm4,239,1534.9574686081874,1528.9145510711814
114,Spp1,214,1536.0403705158633,1087.809559232241
115,Hspa8,62,1535.98445997379,1081.395369526276
116,Msn,112,1535.627384799894,1081.6310301414044
117,negative_control,970,1535.8296136223785,1080.780537271873
118,Oaf,133,1535.1496447319337,1098.3964636025428
119,Tnfrsf1a,233,1534.6934225285722,1098.83617961224
120,Tspan3,245,1534.499395214577,1098.722239652385
121,negative_control,1701,1534.9649543923506,1099.1338802960713
122,Lamp1,74,1535.162607179548,1098.90297241668
123,Rps6kb1,195,1535.65860443332,957.2935906979054
124,Malat1,83,1537.0777548481306,957.1596963186493
125,negative_control,1087,1537.510175792905,958.0956304198896
126,Lrrc59,79,1537.08977819622,823.0838514386344
127,negative_control,1889,1535.8354975428167,1383.2137912100882
128,Actn4,3,1537.738782464948,853.1445021256303
129,Spp1,214,1536.701135867754,852.9810416694775
130,negative_control,343,1537.305731942616,834.8823095771409
131,Ppm1g,150,1537.444124303301,1299.9498938525182
132,Rarg,179,1537.4228143189025,918.0842496368872
133,Psap,160,1537.632339855112,819.1591466338183
134,Tubb5,246,1537.958263488677,1303.0853763522125
135,Snx5,212,1539.77806571652,1554.2020863660437
136,Rps15a,191,1539.5417730225458,1554.1235231797784
137,Spon2,213,1538.6885871384895,1553.62973388435
138,Zfp36l1,269,1539.1420087138454,1555.8544544257904
139,negative_control,328,1539.5831485753663,1201.522475275482
140,Arpc5,8,1538.873684679595,894.1912163074263
141,Spp1,214,1539.231729021078,798.3089310949804
142,Ywhah,266,1538.8477383607826,1079.3324173133565
143,Pkm,144,1539.9713707769936,1079.8755245403072
144,Slc38a2,209,1541.5114657425115,1080.6673642368528
145,negative_control,1946,1540.887809553031,1080.2934621787713
146,Ywhaq,267,1541.3013826632316,1080.2094676524766
147,negative_control,1887,1540.261039032997,1079.799459970686
148,negative_control,1247,1541.1409680018774,1079.7516988299517
149,Ppm1g,150,1539.640352317444,791.4844037949433
150,negative_control,1301,1539.4082280583862,706.4832837945207
151,Lrrc59,79,1538.1415288968478,707.1748264067428
152,Rbbp7,181,1540.490830392334,708.2328205699187
153,Zfp36l1,269,1541.1187543236358,708.5742033953444
154,negative_control,349,1539.7869089423675,707.359370186849
155,Eif3f,35,1540.0660381421142,711.6070246345676
156,negative_control,921,1538.5272141421276,707.1020913047357
157,negative_control,287,1541.5833784785789,1321.34563797154
158,negative_control,847,1541.6211983567591,1321.8383680935317
159,negative_control,1419,1538.8919559916708,1142.7140196409946
160,Jun,70,1538.8481090898877,1144.76575017383
161,negative_control,1447,1537.6439345093663,1143.3101137800388
162,Cnn2,16,1540.067400094168,1143.4565875348835
163,Ppm1g,150,1540.296030931724,1526.035668171419
164,Ppm1g,150,1540.497085961901,908.0038766249816
165,Sf3b2,205,1542.6590190680297,1197.8892882895318
166,Timp2,229,1541.6594574920991,1196.5430607969838
167,Spp1,214,1540.743224353648,1057.400302671301
168,negative_control,1362,1540.069603924385,1139.2552904519443
169,Spp1,214,1540.9258258215427,1397.3097840597536
170,Prps1l3,154,1540.0820725515691,1397.752991973001
171,Spp1,214,1541.491757583164,839.8039756601893
172,Sfpq,206,1541.4082239529662,1084.0436753586257
173,Taldo1,223,1540.1063233240843,1082.6236193185537
174,Tpm4,239,1540.727432483927,1083.308061408267
175,Tpi1,237,1541.9715413866986,1169.4319265164218
176,Ssr3,218,1541.01902993719,1168.7172873272584
177,Rarg,179,1542.0035823205685,943.1449354062614
178,Hsd17b12,61,1540.7105860895554,901.8410278198182
179,Aebp1,4,1539.8079244850064,901.406597867609
180,Spp1,214,1541.5775646029672,901.9913138109572
181,Vim,261,1543.5847532827604,901.9597481951806
182,Khdrbs1,73,1542.2543313604792,980.7419658271664
183,Spp1,214,1542.4494986064492,801.9877853248456
184,Xdh,262,1543.0262477839212,1456.4473904864587
185,Msn,112,1543.1623656766217,1457.5415287061264
186,Cox7a2l,18,1541.392987302127,1452.781203673206
187,Rpl4,189,1540.676724750953,1453.1195975290557
188,negative_control,1635,1540.408910431738,1453.0841392788886
189,negative_control,329,1542.6452547019103,1455.82716234261
190,Gsto1,54,1542.1900270125698,1456.6429889732922
191,Nucb1,131,1545.2024715926273,756.0436975278615
192,Rpsa,197,1544.049852262268,755.5350630243661
193,Spp1,214,1543.8192193664804,756.055870157116
194,Timp2,229,1543.0640068741975,1377.5298666068634
195,negative_control,1274,1543.500864687448,1376.3396182147012
196,Vim,261,1542.9296977185395,1376.3315312124523
197,Plin2,146,1542.2005231545313,1375.1913280964634
198,negative_control,1476,1542.7049960967854,1376.196897993566
199,Rbbp7,181,1543.2147870439476,1376.5748885552175
200,Ppm1g,150,1543.4982197294196,796.641536671445
201,negative_control,1003,1544.524342212021,1201.043169154759
202,negative_control,1003,1544.0183582020777,1361.7784885426531
203,Spp1,214,1544.504562148952,1142.9666103159173
204,Tpm4,239,1544.4221926970288,1163.096278862036
205,Spp1,214,1544.9138220128923,768.505029718153
206,Ywhae,264,1544.1454537374536,769.8245132823181
207,Sf3b2,205,1543.5088766924134,770.1278766088795
208,negative_control,1370,1544.7895423733669,1547.9910305422743
209,Ppm1g,150,1545.523689259747,1194.055243417311
210,negative_control,1698,1545.3581499906136,1193.886290637371
211,Tpm1,238,1544.637942556095,1188.1220768587966
212,negative_control,298,1546.0123368958662,1185.5277663065665
213,Ckap4,14,1546.1569829184805,1187.6459851888767
214,negative_control,952,1546.048721592536,1188.3515615781832
215,Ncl,121,1545.4946130733813,1187.65304144832
216,negative_control,1413,1545.895888085472,1186.3565083935318
217,Rpsa,197,1545.6854404847406,1186.5500610752556
218,Tpm4,239,1545.79976971348,1533.7147479004618
219,negative_control,926,1545.929444779745,1608.3664131088735
220,negative_control,426,1545.850824847621,1608.55307858766
221,negative_control,407,1545.814873583897,1608.5073633956886
222,negative_control,1889,1546.075016254906,1608.688104252033
223,Khdrbs1,73,1547.332820129575,858.6496997531915
224,Polr2m,149,1546.0955463836226,857.7615474673682
225,negative_control,1509,1547.1256436843978,856.7232392757471
226,negative_control,1495,1547.0249292573758,857.1761320078274
227,Hspa8,62,1547.494444482796,930.040442136756
228,negative_control,1879,1546.9504472544857,930.6643893289012
229,Prrx1,159,1547.118801407246,930.2681554207418
230,Spp1,214,1547.2844234853408,941.5179017339078
231,Rad21,176,1550.8887484277564,1155.149989553595
232,Spon2,213,1548.9611829009684,1154.2231589486155
233,Rpsa,197,1550.476979380872,1153.7108657409233
234,negative_control,831,1548.106571230182,1152.19364105944
235,negative_control,1178,1549.3099821839935,1152.942768740207
236,Fkbp9,46,1547.2643977043947,1158.64461176348
237,Hspa8,62,1547.0509191961442,711.607736528064
238,Spp1,214,1548.5841673656528,864.0609273331063
239,Mrpl12,92,1546.745061790321,1512.4411623416308
240,Polr2m,149,1546.1722143960783,1512.874389346302
241,Tpm4,239,1548.7018278936343,1511.5219650268057
242,negative_control,1531,1547.1862592349617,1513.0695940192468
243,Lmna,77,1547.5632434267193,1513.6860218357938
244,Tpm4,239,1549.0329591308118,1211.633743537016
245,Srebf2,215,1549.6508638171229,1379.2396599063354
246,Tpm4,239,1549.6663367228853,1378.7948095739748
247,Spp1,214,1548.8117562413452,754.5625171468307
248,Ckap4,14,1550.402089855702,1102.279334579904
249,Tpm4,239,1548.7581765043412,689.623629516732
250,Ybx1,263,1551.8370694769087,745.2395515575287
251,Vim,261,1551.3038190603622,744.7209774282572
252,Gpi1,52,1551.266210209273,745.4715980394735
253,Spp1,214,1551.0688435666916,745.159560146673
254,Spp1,214,1550.1417922750586,1141.473909824585
255,Maged1,82,1550.208258480121,1140.779593530748
256,Tubb5,246,1549.751809600211,1140.6590293936472
257,negative_control,339,1550.439939990819,763.7471862749514
258,Fkbp9,46,1550.349950826829,824.5442816791397
259,Twist2,247,1548.29896333972,1493.8732532716351
260,Mdh2,85,1548.7510173936707,1493.8508710709552
261,Lmna,77,1548.788878034504,1494.157724626506
262,Gsto1,54,1549.713083342764,1493.793060021772
263,Arpc5,8,1551.6900908330645,1493.1204193713083
264,Pkm,144,1550.8407328818084,1494.4742271375778
265,Hspd1,64,1550.974958191431,1493.8246144396044
266,Morf4l2,88,1550.552065736666,1492.2571634419164
267,negative_control,342,1551.1944492220125,1004.6851798642916
268,Mrfap1,89,1553.2104850639812,1573.9785886670534
269,Fus,47,1551.6729447465643,1149.5855104235045
270,Ppm1g,150,1552.7047103972209,1326.501191429267
271,Spp1,214,1552.783971824888,775.272749011286
272,Spp1,214,1553.236246777518,780.0409439824114
273,Vdac1,260,1553.8689433286702,780.8893344585813
274,Crlf1,19,1552.2390128425036,780.8317801515476
275,Zfp36l1,269,1553.1738504454872,881.0211936081045
276,Tbrg1,225,1553.2282009582284,882.179905007448
277,negative_control,608,1552.9014216464182,1193.1929426496283
278,Cops7a,17,1554.0289224471635,899.5263434451466
279,Tpm4,239,1554.154148669422,1388.3064085123126
280,Sfpq,206,1553.946591750845,728.534511678103
281,Paics,137,1555.0355656000493,728.1188403184767
282,Ctbp1,24,1555.5932571020537,726.9742787149671
283,Vim,261,1554.9336546967488,729.0395882165932
284,Thy1,228,1553.933374843912,728.0832391851434
285,Tnk2,234,1554.3735748923025,728.0839033871893
286,negative_control,1269,1555.4938582411708,726.9410108677542
287,Rpsa,197,1555.664513635196,727.105258608773
288,negative_control,1362,1555.1438972068045,1167.400148810635
289,Srebf2,215,1555.1635692486882,737.5586776734787
290,negative_control,1060,1555.7167807643832,736.1703816386479
291,Spp1,214,1555.1422544108286,828.7384809632117
292,Arpc5,8,1555.157195170358,1083.4687308217517
293,negative_control,273,1554.6019467327442,764.991153021334
294,Tpm4,239,1555.0102295435129,764.4667443291871
295,negative_control,932,1555.60218196608,1529.9672545873582
296,Cops7a,17,1555.7653668712046,1529.6846550299897
297,Fkbp4,44,1558.212199095461,1562.262122735749
298,Vim,261,1556.1842962045507,1561.1138013102625
299,Trp53,242,1557.1585056034876,1562.6142909588684
300,Rarg,179,1556.0534293372962,1560.8158441839182
301,Nudt9,132,1557.1183695804332,1562.406548892386
302,Spp1,214,1556.0183673986544,858.9278434673121
303,Ppm1g,150,1556.6121470350008,1436.5227138606983
304,Spp1,214,1555.8438482437948,849.656959364815
305,Cops7a,17,1556.2880237912198,846.0335943111081
306,Spp1,214,1556.7007329114333,766.4388661114781
307,Mvd,116,1556.8230806626102,1196.2558933257114
308,Spp1,214,1557.011675734705,817.3137041129474
309,Vim,261,1558.066595822393,1251.5699841359262
310,Ppp2r1a,151,1556.8108113617589,1505.0358918013903
311,Hspa8,62,1558.7517785698471,1504.8796056684805
312,Spp1,214,1558.0662458788777,1029.9284462819608
313,negative_control,334,1558.589773436932,806.0957923841534
314,Spp1,214,1559.5094271147325,725.7785327315105
315,Ltbp3,80,1559.9624383591463,1338.306935393955
316,Zyx,271,1559.7878984570596,1129.7309869201513
317,Paics,137,1558.85748121279,1130.0345602732837
318,Zfp36l1,269,1559.6571597543525,1128.061740634192
319,Mdh2,85,1560.434366208514,1128.1410924092645
320,Ppm1g,150,1560.116681325986,1556.2064352859702
321,Arpc5,8,1560.3036365651567,715.5532577698732
322,negative_control,600,1559.9147426401173,716.3789667330245
323,Tnc,232,1561.1514163579295,1172.2883726959983
324,Psap,160,1560.3242086320763,1171.5001798076037
325,Morf4l2,88,1560.3485475545513,1172.3821689827732
326,Nr2f2,129,1560.1357860755709,1172.420049780896
327,Sae1,199,1562.2628958106045,737.4512717659991
328,Prmt1,153,1560.978266450179,1215.3506291584015
329,Ckap4,14,1561.752632622991,1215.4608773232558
330,Ltbp3,80,1562.1036191355015,1309.4072383242087
331,negative_control,283,1562.1285283053348,798.8727951054037
332,Ctsb,25,1560.4827071611471,798.7645969858429
333,negative_control,593,1562.7680767861546,769.860591368361
334,Spp1,214,1563.0434583315955,1042.2634121637864
335,Spp1,214,1562.63927894796,864.6991313306602
336,Sec13,204,1562.1113889060837,1442.6691011085732
337,Rarg,179,1562.5538897576782,1442.1325887518235
338,Ndufv1,124,1563.7940896232735,1440.306496611597
339,Uqcrq,257,1563.9506525689649,1441.2729476866284
340,Psmd2,163,1564.09896577271,1440.6674943399669
341,negative_control,1079,1562.9400386101602,1442.9920795124074
342,Spp1,214,1563.1937187829108,851.5548399755908
343,Cited2,13,1563.9620423967406,1151.510309932974
344,Ppm1g,150,1562.6741974905142,1150.6760533686197
345,Hspa8,62,1563.948015756971,1151.2163966818584
346,negative_control,1390,1565.4600669360582,826.59501687705
347,Eif4b,37,1565.2980099042268,827.413639100344
348,Eef1g,28,1565.2900344763705,826.900771851444
349,Ncl,121,1564.9618248972988,827.0153692666778
350,negative_control,693,1563.125023405241,825.4460026282431
351,Sfpq,206,1564.757081886446,824.7021786969653
352,Gpi1,52,1561.8424325195078,816.5647111648017
353,negative_control,1310,1563.0375391896025,815.5340945778164
354,Oaf,133,1562.8428600129469,816.0573619808793
355,Vim,261,1564.0833844147458,1338.2260624469511
356,Cops7a,17,1564.2597011844025,1337.9750247830195
357,Rarg,179,1563.8452900180662,1133.6798637267148
358,Spp1,214,1563.7199452131088,1064.6530906730231
359,Spp1,214,1563.9815311648003,1225.7604345633686
360,Hdgf,56,1563.2429371745225,1526.4957936001
