pos,cell,lvf,zvf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
16,13,2,1,0,7292,15738,0.068651923
16,14,2,1,0,7864,19444,0.05992575
17,5,2,1,0,7305,15318,0.070660017
17,7,2,1,0,8601,20642,0.061738029
17,8,2,1,0,6591,17276,0.056528011
17,9,2,1,0,8103,20526,0.058492085
17,11,2,1,0,6422,27240,0.034931625
17,12,2,1,0,5600,15221,0.054513043
18,3,2,1,0,11262,25518,0.065391978
18,5,2,1,0,1649,4371,0.055897893
18,6,2,1,0,9466,18059,0.077665544
18,12,2,1,0,6998,18041,0.057473668
18,13,2,1,0,19617,39023,0.074484777
18,14,2,1,0,11627,23698,0.072696175
19,5,2,1,0,11908,30193,0.058437031
19,6,2,1,0,4447,14898,0.04422774
19,8,2,1,0,9527,23590,0.059838929
19,9,2,1,0,15495,38851,0.059094214
19,10,2,1,0,5478,12878,0.063027371
20,4,2,1,0,8375,14604,0.084970579
20,5,2,1,0,4249,10209,0.061667893
20,10,2,1,0,7150,16768,0.063180108
20,11,2,1,0,6512,11416,0.084519324
20,12,2,1,0,8694,21900,0.058820824
20,13,2,1,0,9754,20431,0.070737338
20,14,2,1,0,5896,13393,0.06522817
21,1,2,1,0,10840,31380,0.05118373
21,2,2,1,0,8896,26686,0.049393168
21,4,2,1,0,9117,21958,0.061519778
21,5,2,1,0,10913,26045,0.062083384
21,6,2,1,0,7838,18122,0.064084754
21,7,2,1,0,10317,23632,0.064685738
21,10,2,1,0,7090,15189,0.069162811
21,11,2,1,0,4326,15835,0.040478465
21,12,2,1,0,8260,16495,0.074196482
21,13,2,1,0,7925,18699,0.06279665
22,2,2,1,0,10112,27403,0.054675723
22,8,2,1,0,5973,18928,0.046756648
22,9,2,1,0,13096,25792,0.075233148
22,11,2,1,0,7385,24090,0.045422317
23,2,2,1,0,5912,19048,0.045987588
23,3,2,1,0,12209,31619,0.057212055
23,5,2,1,0,5077,19187,0.039206283
23,7,2,1,0,5673,19624,0.042833231
23,8,2,1,0,2303,10995,0.031035182
23,9,2,1,0,7605,22917,0.049169641
23,10,2,1,0,8055,22347,0.053407457
24,2,2,1,0,6711,12058,0.082464598
24,3,2,1,0,11919,25645,0.068864072
24,4,2,1,0,7351,15635,0.069663313
24,6,2,1,0,8381,16197,0.076668478
24,8,2,1,0,12896,23794,0.080305105
24,9,2,1,0,9031,19401,0.068971125
24,10,2,1,0,7400,14294,0.07670674
24,12,2,1,0,9417,16256,0.085833034
24,13,2,1,0,6206,11578,0.079420718
25,3,2,1,0,7971,19358,0.061010967
25,6,2,1,0,10070,27638,0.053985664
25,7,2,1,0,10749,22847,0.069709901
25,8,2,1,0,10299,24527,0.062216591
25,9,2,1,0,8031,22416,0.053084422
26,5,2,1,0,10571,19234,0.081433302
26,6,2,1,0,7841,19708,0.058950092
26,7,2,1,0,7976,22246,0.053123759
26,9,2,1,0,6599,10831,0.090274514
26,10,2,1,0,7839,13991,0.083017088
26,13,2,1,0,3569,6491,0.081468651
26,16,2,1,0,9982,17558,0.084236072
27,2,2,1,0,5790,10028,0.085549963
27,6,2,1,0,5412,17697,0.045312051
27,7,2,1,0,7663,13828,0.082109809
27,8,2,1,0,6977,13005,0.079490266
27,9,2,1,0,7140,13723,0.077091187
28,3,2,1,0,5298,11744,0.066842317
28,8,2,1,0,7520,16962,0.065689562
28,9,2,1,0,9577,18640,0.076127079
28,10,2,1,0,10224,25202,0.060109265
28,11,2,1,0,8989,16090,0.082777236
28,12,2,1,0,6781,20240,0.049640806
28,13,2,1,0,12263,25127,0.072312217
28,14,2,1,0,8014,15334,0.077437169
28,16,2,1,0,7254,14598,0.073627453
29,3,2,1,0,4657,16667,0.041400386
29,4,2,1,0,6651,14186,0.069467645
29,5,2,1,0,5968,12907,0.068510808
29,6,2,1,0,5821,18035,0.047823024
29,7,2,1,0,12170,31707,0.056871019
29,8,2,1,0,9849,33062,0.044138605
30,1,2,1,0,12655,32274,0.058098503
30,2,2,1,0,7756,18353,0.062616144
30,6,2,1,0,8495,18234,0.069029864
30,8,2,1,0,13038,29393,0.065723797
0,1,2,1,1,6372,14440,0.065382897
0,2,2,1,1,8513,16835,0.074924715
0,3,2,1,1,9528,22471,0.062825353
0,4,2,1,1,8507,15348,0.082125916
0,5,2,1,1,4981,10447,0.070644854
0,6,2,1,1,6386,15362,0.061593763
1,1,2,1,1,7402,14456,0.075867632
1,2,2,1,1,6853,12827,0.079160991
1,3,2,1,1,10534,25291,0.061713887
1,4,2,1,1,7320,18513,0.058585463
1,5,2,1,1,5483,13009,0.062449637
1,6,2,1,1,11684,25064,0.06907116
1,7,2,1,1,10979,25003,0.065061826
1,8,2,1,1,5613,8366,0.099410617
1,9,2,1,1,5740,8652,0.098299423
1,10,2,1,1,7173,16020,0.066342816
1,11,2,1,1,9509,20242,0.069604451
1,12,2,1,1,13823,27201,0.075296194
1,14,2,1,1,10269,20406,0.074563426
2,1,2,1,1,10591,17259,0.090923663
2,3,2,1,1,6838,13226,0.076604832
2,4,2,1,1,5264,10317,0.075599345
2,5,2,1,1,5537,11583,0.070828664
2,6,2,1,1,3850,5890,0.096850311
2,7,2,1,1,5499,8627,0.094445117
2,8,2,1,1,7493,13557,0.081893177
2,9,2,1,1,5943,12268,0.071777371
2,10,2,1,1,5937,11086,0.079350151
2,11,2,1,1,5337,7813,0.101212689
2,12,2,1,1,6019,9066,0.098370349
2,13,2,1,1,7646,13571,0.083479152
2,23,2,1,1,8649,15152,0.084576853
2,28,2,1,1,10049,17508,0.08504365
2,29,2,1,1,5851,10195,0.085035144
2,31,2,1,1,17839,32386,0.081614773
3,1,2,1,1,7687,26642,0.042750937
3,2,2,1,1,10514,26037,0.059831875
3,3,2,1,1,11047,29658,0.055189706
3,5,2,1,1,4845,14459,0.049649069
3,8,2,1,1,5931,14898,0.058986895
3,9,2,1,1,9920,24457,0.060098561
3,11,2,1,1,6972,22359,0.04620198
3,13,2,1,1,11628,28559,0.060327817
4,3,2,1,1,7888,15084,0.077482917
4,5,2,1,1,6660,11760,0.083911695
4,6,2,1,1,11762,22340,0.078010595
4,8,2,1,1,11310,23016,0.072809549
5,2,2,1,1,13936,33612,0.061432667
5,7,2,1,1,9335,26778,0.05165255
5,11,2,1,1,6392,13635,0.069460389
6,1,2,1,1,5910,14855,0.058948181
6,6,2,1,1,1286,3762,0.050649803
6,7,2,1,1,12215,26027,0.06953844
6,8,2,1,1,9140,18596,0.072825294
6,10,2,1,1,10901,21204,0.076173538
7,2,2,1,1,12881,26209,0.072820677
7,4,2,1,1,7750,20269,0.056653268
7,5,2,1,1,2172,7158,0.044959732
7,8,2,1,1,7470,13996,0.079081018
7,9,2,1,1,10416,22232,0.069418947
7,10,2,1,1,10192,19625,0.076949417
7,11,2,1,1,15868,34629,0.067895005
7,12,2,1,1,11051,25869,0.063296183
8,2,2,1,1,9923,20183,0.072847199
8,3,2,1,1,10871,27527,0.058514864
8,4,2,1,1,8435,22152,0.056419305
8,6,2,1,1,11071,23168,0.070803364
8,7,2,1,1,11859,27100,0.06483871
8,8,2,1,1,14220,31344,0.067220349
8,9,2,1,1,12775,25772,0.073446038
8,12,2,1,1,9070,21093,0.063712481
9,3,2,1,1,6802,16794,0.060011995
9,7,2,1,1,11400,29900,0.056492299
