code,nbarcodes,ncpaths
seqFISH_q12_n5_k4cb,10,5450.936
seqFISH_q16_n5_k3cb,1,0.818
seqFISH_q16_n5_k3cb,2,2.31
seqFISH_q16_n5_k3cb,3,4.918
seqFISH_q16_n5_k3cb,4,10.956
seqFISH_q16_n5_k3cb,5,21.388
seqFISH_q16_n5_k3cb,6,39.778
seqFISH_q16_n5_k3cb,7,76.068
seqFISH_q16_n5_k3cb,8,125.022
seqFISH_q16_n5_k3cb,9,206.168
seqFISH_q16_n5_k3cb,10,322.14
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,1,0.706
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,2,1.794
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,3,3.054
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,4,4.566
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,5,7.186
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,6,9.858
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,7,12.506
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,8,16.644
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,9,22.212
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1cb,10,28.386
seqFISHp2019_used_onlycb,1,0.72
seqFISHp2019_used_onlycb,2,1.988
seqFISHp2019_used_onlycb,3,4.184
seqFISHp2019_used_onlycb,4,8.19
seqFISHp2019_used_onlycb,5,13.746
seqFISHp2019_used_onlycb,6,26.53
seqFISHp2019_used_onlycb,7,40.894
seqFISHp2019_used_onlycb,8,64.084
seqFISHp2019_used_onlycb,9,97.134
seqFISHp2019_used_onlycb,10,141.736
seqFISHp2019cb,1,0.762
seqFISHp2019cb,2,2.402
seqFISHp2019cb,3,5.636
seqFISHp2019cb,4,12.314
seqFISHp2019cb,5,25.616
seqFISHp2019cb,6,47.358
seqFISHp2019cb,7,81.71
seqFISHp2019cb,8,131.58
seqFISHp2019cb,9,203.502
seqFISHp2019cb,10,299.234
unstructured_100bit_w5_md6cb,1,0.836
unstructured_100bit_w5_md6cb,2,1.956
unstructured_100bit_w5_md6cb,3,3.978
unstructured_100bit_w5_md6cb,4,7.68
unstructured_100bit_w5_md6cb,5,15.298
unstructured_100bit_w5_md6cb,6,29.316
unstructured_100bit_w5_md6cb,7,53.382
unstructured_100bit_w5_md6cb,8,95.426
unstructured_100bit_w5_md6cb,9,163.182
unstructured_100bit_w5_md6cb,10,255.976
